10 76 -> 84 fr=1000 (0.1011), cf=0.623, gamma=5.983, delta=0.084, M=-2.047e+003
5 -> ~87 fr=4759 (0.4813), cf=0.997, gamma=1.112, delta=0.049, M=-6.503e+002
76 -> ~80 fr=4312 (0.4361), cf=0.998, gamma=1.114, delta=0.045, M=-5.874e+002
76 -> ~88 fr=4320 (0.4369), cf=1.000, gamma=1.106, delta=0.042, M=-5.773e+002
1 -> ~86 fr=4406 (0.4456), cf=0.999, gamma=1.105, delta=0.042, M=-5.724e+002
71 -> ~82 fr=3952 (0.3997), cf=1.000, gamma=1.116, delta=0.042, M=-5.645e+002
45 -> ~82 fr=4042 (0.4088), cf=0.998, gamma=1.114, delta=0.042, M=-5.443e+002
69 -> ~82 fr=3620 (0.3661), cf=1.000, gamma=1.116, delta=0.038, M=-4.967e+002
69 -> ~83 fr=3621 (0.3662), cf=1.000, gamma=1.106, delta=0.035, M=-4.615e+002
69 -> ~81 fr=3612 (0.3653), cf=0.998, gamma=1.113, delta=0.037, M=-4.565e+002
50 -> ~83 fr=4894 (0.4950), cf=0.984, gamma=1.089, delta=0.040, M=-4.314e+002
20 -> ~80 fr=4173 (0.4221), cf=0.988, gamma=1.103, delta=0.039, M=-4.222e+002
20 -> ~84 fr=4170 (0.4218), cf=0.987, gamma=1.102, delta=0.039, M=-4.144e+002
66 -> ~84 fr=3048 (0.3083), cf=1.000, gamma=1.116, delta=0.032, M=-4.053e+002
66 -> ~80 fr=3048 (0.3083), cf=1.000, gamma=1.116, delta=0.032, M=-4.049e+002
59 -> ~82 fr=2990 (0.3024), cf=1.000, gamma=1.116, delta=0.031, M=-3.959e+002
25 -> ~84 fr=3016 (0.3050), cf=1.000, gamma=1.116, delta=0.032, M=-3.940e+002
45 -> ~86 fr=4012 (0.4058), cf=0.991, gamma=1.096, delta=0.036, M=-3.887e+002
10 -> ~82 fr=3951 (0.3996), cf=0.987, gamma=1.101, delta=0.037, M=-3.793e+002
41 -> ~83 fr=3584 (0.3625), cf=0.995, gamma=1.101, delta=0.033, M=-3.787e+002
25 -> ~80 fr=3010 (0.3044), cf=0.998, gamma=1.113, delta=0.031, M=-3.645e+002
50 -> ~89 fr=4866 (0.4922), cf=0.979, gamma=1.083, delta=0.038, M=-3.638e+002
59 -> ~83 fr=2990 (0.3024), cf=1.000, gamma=1.106, delta=0.029, M=-3.632e+002
25 -> ~86 fr=3016 (0.3050), cf=1.000, gamma=1.106, delta=0.029, M=-3.614e+002
59 -> ~86 fr=2989 (0.3023), cf=1.000, gamma=1.106, delta=0.029, M=-3.574e+002
71 -> ~87 fr=3894 (0.3939), cf=0.985, gamma=1.100, delta=0.036, M=-3.564e+002
35 -> ~86 fr=2910 (0.2943), cf=1.000, gamma=1.106, delta=0.028, M=-3.518e+002
66 -> ~87 fr=3036 (0.3071), cf=0.996, gamma=1.112, delta=0.031, M=-3.491e+002
48 -> ~86 fr=2936 (0.2970), cf=0.999, gamma=1.105, delta=0.028, M=-3.348e+002
41 -> ~80 fr=3557 (0.3598), cf=0.988, gamma=1.102, delta=0.033, M=-3.348e+002
74 -> ~86 fr=2815 (0.2847), cf=1.000, gamma=1.106, delta=0.027, M=-3.321e+002
74 -> ~83 fr=2815 (0.2847), cf=1.000, gamma=1.106, delta=0.027, M=-3.317e+002
71 -> ~84 fr=3881 (0.3925), cf=0.982, gamma=1.096, delta=0.034, M=-3.256e+002
74 -> ~80 fr=2807 (0.2839), cf=0.997, gamma=1.112, delta=0.029, M=-3.251e+002
56 -> ~84 fr=2897 (0.2930), cf=0.996, gamma=1.111, delta=0.029, M=-3.249e+002
49 -> ~86 fr=2687 (0.2718), cf=1.000, gamma=1.106, delta=0.026, M=-3.197e+002
41 -> ~84 fr=3550 (0.3591), cf=0.986, gamma=1.100, delta=0.033, M=-3.171e+002
76 -> ~86 fr=4239 (0.4287), cf=0.981, gamma=1.085, delta=0.034, M=-3.154e+002
50 -> ~80 fr=4816 (0.4871), cf=0.969, gamma=1.081, delta=0.037, M=-3.116e+002
6 -> ~84 fr=2592 (0.2622), cf=0.998, gamma=1.114, delta=0.027, M=-3.088e+002
54 -> ~82 fr=2411 (0.2439), cf=1.000, gamma=1.116, delta=0.025, M=-3.064e+002
10 -> ~81 fr=3920 (0.3965), cf=0.979, gamma=1.093, delta=0.034, M=-3.037e+002
79 -> ~84 fr=2382 (0.2409), cf=1.000, gamma=1.116, delta=0.025, M=-3.021e+002
79 -> ~82 fr=2382 (0.2409), cf=1.000, gamma=1.116, delta=0.025, M=-3.021e+002
79 -> ~81 fr=2382 (0.2409), cf=1.000, gamma=1.116, delta=0.025, M=-3.018e+002
49 -> ~82 fr=2676 (0.2707), cf=0.996, gamma=1.112, delta=0.027, M=-2.985e+002
66 -> ~86 fr=3030 (0.3065), cf=0.994, gamma=1.100, delta=0.028, M=-2.973e+002
26 -> ~81 fr=2390 (0.2417), cf=1.000, gamma=1.116, delta=0.025, M=-2.972e+002
53 -> ~82 fr=2312 (0.2338), cf=1.000, gamma=1.116, delta=0.024, M=-2.919e+002
46 -> ~84 fr=2273 (0.2299), cf=1.000, gamma=1.116, delta=0.024, M=-2.862e+002
26 -> ~87 fr=2387 (0.2414), cf=0.998, gamma=1.114, delta=0.025, M=-2.822e+002
20 66 -> ~88 fr=2411 (0.2439), cf=1.000, gamma=1.106, delta=0.023, M=-2.811e+002
26 -> ~82 fr=2386 (0.2413), cf=0.998, gamma=1.114, delta=0.025, M=-2.785e+002
30 -> ~84 fr=2212 (0.2237), cf=1.000, gamma=1.116, delta=0.023, M=-2.774e+002
79 -> ~83 fr=2382 (0.2409), cf=1.000, gamma=1.106, delta=0.023, M=-2.772e+002
26 -> ~83 fr=2390 (0.2417), cf=1.000, gamma=1.106, delta=0.023, M=-2.726e+002
78 -> ~84 fr=2164 (0.2189), cf=1.000, gamma=1.116, delta=0.023, M=-2.705e+002
50 74 -> ~84 fr=2633 (0.2663), cf=0.993, gamma=1.109, delta=0.026, M=-2.696e+002
31 -> ~87 fr=2295 (0.2321), cf=0.998, gamma=1.114, delta=0.024, M=-2.690e+002
5 -> ~81 fr=4612 (0.4665), cf=0.966, gamma=1.078, delta=0.034, M=-2.679e+002
22 -> ~83 fr=2443 (0.2471), cf=0.998, gamma=1.104, delta=0.023, M=-2.657e+002
29 -> ~80 fr=2460 (0.2488), cf=0.995, gamma=1.111, delta=0.025, M=-2.634e+002
46 -> ~83 fr=2273 (0.2299), cf=1.000, gamma=1.106, delta=0.022, M=-2.626e+002
74 -> ~89 fr=2797 (0.2829), cf=0.993, gamma=1.099, delta=0.025, M=-2.618e+002
10 -> ~83 fr=3918 (0.3963), cf=0.979, gamma=1.082, delta=0.030, M=-2.607e+002
1 -> ~89 fr=4295 (0.4344), cf=0.974, gamma=1.077, delta=0.031, M=-2.577e+002
76 -> ~87 fr=4190 (0.4238), cf=0.970, gamma=1.082, delta=0.032, M=-2.573e+002
46 -> ~89 fr=2272 (0.2298), cf=1.000, gamma=1.106, delta=0.022, M=-2.568e+002
73 -> ~85 fr=2747 (0.2778), cf=0.993, gamma=1.099, delta=0.025, M=-2.552e+002
11 45 -> ~85 fr=2312 (0.2338), cf=0.999, gamma=1.105, delta=0.022, M=-2.526e+002
6 -> ~86 fr=2584 (0.2614), cf=0.995, gamma=1.101, delta=0.024, M=-2.522e+002
45 -> ~85 fr=3954 (0.3999), cf=0.977, gamma=1.080, delta=0.030, M=-2.488e+002
40 -> ~86 fr=2157 (0.2182), cf=1.000, gamma=1.106, delta=0.021, M=-2.475e+002
