12 -> ~17 fr=2354 (0.8174), cf=0.989, gamma=1.096, delta=0.072, M=-4.370e+002
2 -> ~16 fr=2120 (0.7361), cf=0.989, gamma=1.106, delta=0.071, M=-3.542e+002
6 -> ~20 fr=2112 (0.7333), cf=0.991, gamma=1.099, delta=0.066, M=-3.307e+002
2 -> ~19 fr=2116 (0.7347), cf=0.987, gamma=1.094, delta=0.063, M=-3.034e+002
6 -> ~21 fr=2106 (0.7312), cf=0.988, gamma=1.087, delta=0.058, M=-2.733e+002
14 -> ~22 fr=1879 (0.6524), cf=0.992, gamma=1.101, delta=0.060, M=-2.666e+002
8 -> ~16 fr=1868 (0.6486), cf=0.984, gamma=1.100, delta=0.059, M=-2.361e+002
8 -> ~15 fr=1869 (0.6490), cf=0.984, gamma=1.098, delta=0.058, M=-2.322e+002
14 -> ~16 fr=1854 (0.6438), cf=0.979, gamma=1.095, delta=0.056, M=-2.078e+002
9 -> ~15 fr=1644 (0.5708), cf=0.989, gamma=1.104, delta=0.054, M=-2.052e+002
14 -> ~19 fr=1861 (0.6462), cf=0.983, gamma=1.090, delta=0.053, M=-2.030e+002
8 -> ~22 fr=1861 (0.6462), cf=0.980, gamma=1.088, delta=0.052, M=-1.934e+002
4 -> ~17 fr=1633 (0.5670), cf=0.987, gamma=1.093, delta=0.048, M=-1.743e+002
4 -> ~16 fr=1623 (0.5635), cf=0.981, gamma=1.097, delta=0.050, M=-1.677e+002
9 -> ~21 fr=1640 (0.5694), cf=0.987, gamma=1.086, delta=0.045, M=-1.586e+002
9 -> ~23 fr=1626 (0.5646), cf=0.978, gamma=1.093, delta=0.048, M=-1.563e+002
9 -> ~17 fr=1632 (0.5667), cf=0.982, gamma=1.088, delta=0.046, M=-1.534e+002
4 -> ~18 fr=1624 (0.5639), cf=0.981, gamma=1.086, delta=0.045, M=-1.467e+002
4 -> ~22 fr=1619 (0.5622), cf=0.978, gamma=1.086, delta=0.045, M=-1.410e+002
10 -> ~16 fr=1191 (0.4135), cf=0.978, gamma=1.094, delta=0.035, M=-9.542e+001
3 -> ~24 fr=1197 (0.4156), cf=0.977, gamma=1.091, delta=0.035, M=-9.175e+001
3 -> ~15 fr=1195 (0.4149), cf=0.976, gamma=1.089, delta=0.034, M=-8.707e+001
10 -> ~22 fr=1191 (0.4135), cf=0.978, gamma=1.086, delta=0.033, M=-8.549e+001
3 -> ~23 fr=1193 (0.4142), cf=0.974, gamma=1.088, delta=0.033, M=-8.460e+001
10 -> ~24 fr=1186 (0.4118), cf=0.974, gamma=1.087, delta=0.033, M=-8.253e+001
10 -> ~19 fr=1190 (0.4132), cf=0.977, gamma=1.083, delta=0.032, M=-8.189e+001
3 -> ~21 fr=1200 (0.4167), cf=0.980, gamma=1.078, delta=0.030, M=-7.828e+001
10 -> ~18 fr=1188 (0.4125), cf=0.975, gamma=1.080, delta=0.030, M=-7.542e+001
7 -> ~19 fr=962 (0.3340), cf=0.981, gamma=1.087, delta=0.027, M=-6.801e+001
10 -> ~20 fr=1182 (0.4104), cf=0.970, gamma=1.077, delta=0.029, M=-6.731e+001
13 -> ~15 fr=963 (0.3344), cf=0.977, gamma=1.090, delta=0.028, M=-6.685e+001
3 -> ~20 fr=1185 (0.4115), cf=0.967, gamma=1.073, delta=0.028, M=-6.147e+001
7 -> ~23 fr=954 (0.3312), cf=0.972, gamma=1.086, delta=0.026, M=-5.987e+001
3 -> ~19 fr=1184 (0.4111), cf=0.967, gamma=1.072, delta=0.028, M=-5.940e+001
13 -> ~23 fr=957 (0.3323), cf=0.971, gamma=1.084, delta=0.026, M=-5.702e+001
13 -> ~17 fr=961 (0.3337), cf=0.975, gamma=1.080, delta=0.025, M=-5.630e+001
7 -> ~24 fr=952 (0.3306), cf=0.970, gamma=1.083, delta=0.025, M=-5.567e+001
1 13 -> ~21 fr=509 (0.1767), cf=1.000, gamma=1.100, delta=0.016, M=-5.369e+001
7 -> ~18 fr=954 (0.3312), cf=0.972, gamma=1.076, delta=0.024, M=-5.117e+001
1 13 -> ~24 fr=506 (0.1757), cf=0.994, gamma=1.110, delta=0.017, M=-5.084e+001
13 -> ~24 fr=953 (0.3309), cf=0.967, gamma=1.079, delta=0.024, M=-4.979e+001
7 -> ~21 fr=956 (0.3319), cf=0.975, gamma=1.072, delta=0.022, M=-4.884e+001
13 -> ~18 fr=957 (0.3323), cf=0.971, gamma=1.074, delta=0.023, M=-4.845e+001
13 -> ~21 fr=960 (0.3333), cf=0.974, gamma=1.071, delta=0.022, M=-4.771e+001
1 13 -> ~20 fr=506 (0.1757), cf=0.994, gamma=1.103, delta=0.016, M=-4.752e+001
7 13 -> ~20 fr=528 (0.1833), cf=0.992, gamma=1.101, delta=0.017, M=-4.740e+001
7 -> ~17 fr=950 (0.3299), cf=0.968, gamma=1.073, delta=0.022, M=-4.580e+001
7 -> ~20 fr=949 (0.3295), cf=0.967, gamma=1.073, delta=0.022, M=-4.529e+001
13 -> ~20 fr=951 (0.3302), cf=0.965, gamma=1.070, delta=0.022, M=-4.145e+001
1 -> ~15 fr=712 (0.2472), cf=0.967, gamma=1.079, delta=0.018, M=-3.529e+001
1 -> ~20 fr=714 (0.2479), cf=0.970, gamma=1.076, delta=0.018, M=-3.464e+001
1 -> ~24 fr=711 (0.2469), cf=0.966, gamma=1.078, delta=0.018, M=-3.408e+001
