12 -> ~17 fr=2353 (0.8170), cf=0.990, gamma=1.097, delta=0.072, M=-4.402e+002
2 -> ~16 fr=2103 (0.7302), cf=0.988, gamma=1.111, delta=0.073, M=-3.638e+002
6 -> ~20 fr=2108 (0.7319), cf=0.992, gamma=1.101, delta=0.067, M=-3.416e+002
2 -> ~19 fr=2100 (0.7292), cf=0.986, gamma=1.093, delta=0.062, M=-2.890e+002
6 -> ~21 fr=2099 (0.7288), cf=0.988, gamma=1.091, delta=0.061, M=-2.860e+002
14 -> ~22 fr=1876 (0.6514), cf=0.993, gamma=1.098, delta=0.058, M=-2.570e+002
8 -> ~16 fr=1848 (0.6417), cf=0.984, gamma=1.106, delta=0.062, M=-2.475e+002
8 -> ~15 fr=1848 (0.6417), cf=0.984, gamma=1.102, delta=0.059, M=-2.358e+002
14 -> ~16 fr=1851 (0.6427), cf=0.979, gamma=1.102, delta=0.059, M=-2.266e+002
9 -> ~15 fr=1632 (0.5667), cf=0.988, gamma=1.107, delta=0.055, M=-2.065e+002
14 -> ~19 fr=1858 (0.6451), cf=0.983, gamma=1.089, delta=0.053, M=-2.015e+002
8 -> ~22 fr=1846 (0.6410), cf=0.982, gamma=1.087, delta=0.051, M=-1.912e+002
4 -> ~16 fr=1641 (0.5698), cf=0.980, gamma=1.103, delta=0.053, M=-1.831e+002
9 -> ~21 fr=1632 (0.5667), cf=0.988, gamma=1.091, delta=0.047, M=-1.714e+002
4 -> ~17 fr=1648 (0.5722), cf=0.984, gamma=1.091, delta=0.048, M=-1.669e+002
9 -> ~17 fr=1621 (0.5628), cf=0.981, gamma=1.087, delta=0.045, M=-1.487e+002
9 -> ~23 fr=1615 (0.5608), cf=0.978, gamma=1.088, delta=0.045, M=-1.430e+002
4 -> ~22 fr=1638 (0.5687), cf=0.978, gamma=1.082, delta=0.043, M=-1.364e+002
4 -> ~18 fr=1639 (0.5691), cf=0.979, gamma=1.077, delta=0.041, M=-1.278e+002
10 -> ~16 fr=1198 (0.4160), cf=0.976, gamma=1.098, delta=0.037, M=-9.858e+001
10 -> ~24 fr=1198 (0.4160), cf=0.976, gamma=1.089, delta=0.034, M=-8.857e+001
3 -> ~23 fr=1178 (0.4090), cf=0.977, gamma=1.087, delta=0.033, M=-8.472e+001
3 -> ~24 fr=1175 (0.4080), cf=0.974, gamma=1.088, delta=0.033, M=-8.320e+001
