12 -> ~17 fr=2353 (0.8170), cf=0.991, gamma=1.100, delta=0.074, M=-4.572e+002
2 -> ~16 fr=2113 (0.7337), cf=0.988, gamma=1.113, delta=0.074, M=-3.755e+002
6 -> ~20 fr=2109 (0.7323), cf=0.992, gamma=1.095, delta=0.064, M=-3.192e+002
2 -> ~19 fr=2112 (0.7333), cf=0.988, gamma=1.095, delta=0.063, M=-3.052e+002
6 -> ~21 fr=2101 (0.7295), cf=0.988, gamma=1.092, delta=0.061, M=-2.899e+002
14 -> ~22 fr=1856 (0.6444), cf=0.993, gamma=1.102, delta=0.060, M=-2.631e+002
8 -> ~16 fr=1855 (0.6441), cf=0.983, gamma=1.107, delta=0.062, M=-2.493e+002
14 -> ~16 fr=1832 (0.6361), cf=0.980, gamma=1.103, delta=0.059, M=-2.256e+002
8 -> ~15 fr=1854 (0.6438), cf=0.983, gamma=1.095, delta=0.056, M=-2.159e+002
14 -> ~19 fr=1839 (0.6385), cf=0.983, gamma=1.090, delta=0.053, M=-2.002e+002
8 -> ~22 fr=1852 (0.6431), cf=0.981, gamma=1.090, delta=0.053, M=-1.987e+002
9 -> ~15 fr=1632 (0.5667), cf=0.988, gamma=1.102, delta=0.052, M=-1.964e+002
4 -> ~17 fr=1627 (0.5649), cf=0.986, gamma=1.094, delta=0.049, M=-1.738e+002
4 -> ~16 fr=1614 (0.5604), cf=0.978, gamma=1.101, delta=0.052, M=-1.709e+002
9 -> ~21 fr=1627 (0.5649), cf=0.985, gamma=1.089, delta=0.046, M=-1.613e+002
9 -> ~17 fr=1622 (0.5632), cf=0.982, gamma=1.090, delta=0.047, M=-1.572e+002
9 -> ~23 fr=1617 (0.5615), cf=0.979, gamma=1.091, delta=0.047, M=-1.528e+002
4 -> ~22 fr=1615 (0.5608), cf=0.979, gamma=1.087, delta=0.045, M=-1.425e+002
4 -> ~18 fr=1618 (0.5618), cf=0.981, gamma=1.083, delta=0.043, M=-1.389e+002
10 -> ~16 fr=1198 (0.4160), cf=0.975, gamma=1.097, delta=0.037, M=-9.769e+001
3 -> ~24 fr=1204 (0.4181), cf=0.979, gamma=1.091, delta=0.035, M=-9.418e+001
10 -> ~22 fr=1203 (0.4177), cf=0.979, gamma=1.087, delta=0.033, M=-8.924e+001
3 -> ~23 fr=1201 (0.4170), cf=0.976, gamma=1.088, delta=0.034, M=-8.781e+001
10 -> ~24 fr=1200 (0.4167), cf=0.976, gamma=1.088, delta=0.034, M=-8.765e+001
3 -> ~15 fr=1200 (0.4167), cf=0.976, gamma=1.087, delta=0.033, M=-8.628e+001
3 -> ~21 fr=1204 (0.4181), cf=0.979, gamma=1.082, delta=0.032, M=-8.309e+001
10 -> ~19 fr=1200 (0.4167), cf=0.976, gamma=1.082, delta=0.032, M=-8.043e+001
7 -> ~19 fr=976 (0.3389), cf=0.983, gamma=1.089, delta=0.028, M=-7.309e+001
10 -> ~18 fr=1196 (0.4153), cf=0.973, gamma=1.075, delta=0.029, M=-6.882e+001
13 -> ~15 fr=985 (0.3420), cf=0.975, gamma=1.087, delta=0.027, M=-6.503e+001
3 -> ~19 fr=1192 (0.4139), cf=0.969, gamma=1.074, delta=0.028, M=-6.403e+001
10 -> ~20 fr=1192 (0.4139), cf=0.970, gamma=1.071, delta=0.028, M=-6.184e+001
13 -> ~23 fr=983 (0.3413), cf=0.973, gamma=1.084, delta=0.027, M=-6.096e+001
1 13 -> ~21 fr=527 (0.1830), cf=1.000, gamma=1.105, delta=0.017, M=-5.851e+001
7 -> ~21 fr=970 (0.3368), cf=0.977, gamma=1.080, delta=0.025, M=-5.816e+001
7 -> ~23 fr=965 (0.3351), cf=0.972, gamma=1.083, delta=0.026, M=-5.705e+001
1 13 -> ~17 fr=526 (0.1826), cf=0.998, gamma=1.108, delta=0.018, M=-5.670e+001
3 -> ~20 fr=1189 (0.4128), cf=0.967, gamma=1.068, delta=0.026, M=-5.550e+001
13 -> ~17 fr=982 (0.3410), cf=0.972, gamma=1.079, delta=0.025, M=-5.542e+001
7 -> ~18 fr=968 (0.3361), cf=0.975, gamma=1.077, delta=0.024, M=-5.417e+001
13 -> ~24 fr=979 (0.3399), cf=0.969, gamma=1.080, delta=0.025, M=-5.408e+001
