1 10 15 19 28 35 -> 42 fr=4363 (0.8859), cf=0.945, gamma=1.052, delta=0.044, M=-4.801e+002
1 15 19 28 35 -> 42 fr=4363 (0.8859), cf=0.945, gamma=1.052, delta=0.043, M=-4.774e+002
10 15 19 28 35 -> 42 fr=4363 (0.8859), cf=0.945, gamma=1.051, delta=0.043, M=-4.747e+002
15 19 28 35 -> 42 fr=4363 (0.8859), cf=0.945, gamma=1.051, delta=0.043, M=-4.721e+002
1 10 15 19 28 31 -> 42 fr=4363 (0.8859), cf=0.944, gamma=1.050, delta=0.042, M=-4.641e+002
1 15 19 28 31 -> 42 fr=4363 (0.8859), cf=0.944, gamma=1.050, delta=0.042, M=-4.615e+002
10 15 19 28 31 -> 42 fr=4363 (0.8859), cf=0.944, gamma=1.050, delta=0.042, M=-4.588e+002
15 19 28 31 -> 42 fr=4363 (0.8859), cf=0.944, gamma=1.050, delta=0.042, M=-4.562e+002
1 10 15 19 28 -> 42 fr=4366 (0.8865), cf=0.943, gamma=1.049, delta=0.042, M=-4.554e+002
1 10 15 19 35 -> 42 fr=4368 (0.8869), cf=0.943, gamma=1.049, delta=0.041, M=-4.505e+002
1 15 19 35 -> 42 fr=4368 (0.8869), cf=0.942, gamma=1.048, delta=0.041, M=-4.479e+002
10 15 19 28 38 -> 42 fr=4366 (0.8865), cf=0.943, gamma=1.049, delta=0.041, M=-4.475e+002
10 15 19 28 -> 42 fr=4366 (0.8865), cf=0.942, gamma=1.048, delta=0.041, M=-4.449e+002
10 15 19 35 -> 42 fr=4368 (0.8869), cf=0.942, gamma=1.048, delta=0.041, M=-4.427e+002
1 15 19 28 -> 42 fr=4366 (0.8865), cf=0.942, gamma=1.048, delta=0.041, M=-4.397e+002
15 19 35 -> 42 fr=4368 (0.8869), cf=0.942, gamma=1.048, delta=0.040, M=-4.375e+002
1 10 15 19 31 -> 42 fr=4368 (0.8869), cf=0.941, gamma=1.047, delta=0.040, M=-4.348e+002
1 15 19 31 -> 42 fr=4368 (0.8869), cf=0.941, gamma=1.047, delta=0.040, M=-4.322e+002
15 19 28 38 -> 42 fr=4366 (0.8865), cf=0.941, gamma=1.047, delta=0.040, M=-4.293e+002
10 15 19 31 -> 42 fr=4368 (0.8869), cf=0.941, gamma=1.047, delta=0.039, M=-4.271e+002
15 19 28 -> 42 fr=4366 (0.8865), cf=0.941, gamma=1.047, delta=0.040, M=-4.267e+002
1 10 15 19 -> 42 fr=4371 (0.8875), cf=0.940, gamma=1.046, delta=0.039, M=-4.264e+002
15 19 31 38 -> 42 fr=4368 (0.8869), cf=0.940, gamma=1.046, delta=0.039, M=-4.219e+002
15 19 31 -> 42 fr=4368 (0.8869), cf=0.940, gamma=1.046, delta=0.039, M=-4.193e+002
10 15 19 38 -> 42 fr=4371 (0.8875), cf=0.940, gamma=1.045, delta=0.038, M=-4.161e+002
10 15 19 -> 42 fr=4371 (0.8875), cf=0.939, gamma=1.045, delta=0.038, M=-4.135e+002
1 15 19 -> 42 fr=4371 (0.8875), cf=0.939, gamma=1.045, delta=0.038, M=-4.109e+002
15 19 38 -> 42 fr=4371 (0.8875), cf=0.938, gamma=1.043, delta=0.037, M=-3.956e+002
15 19 -> 42 fr=4371 (0.8875), cf=0.937, gamma=1.043, delta=0.036, M=-3.855e+002
1 10 19 28 35 -> 42 fr=4374 (0.8881), cf=0.936, gamma=1.042, delta=0.036, M=-3.798e+002
1 19 28 35 -> 42 fr=4374 (0.8881), cf=0.936, gamma=1.042, delta=0.035, M=-3.773e+002
10 19 28 35 -> 42 fr=4374 (0.8881), cf=0.936, gamma=1.041, delta=0.035, M=-3.748e+002
19 28 35 -> 42 fr=4374 (0.8881), cf=0.936, gamma=1.041, delta=0.035, M=-3.723e+002
1 10 19 28 31 -> 42 fr=4374 (0.8881), cf=0.935, gamma=1.040, delta=0.035, M=-3.648e+002
1 19 28 31 -> 42 fr=4374 (0.8881), cf=0.935, gamma=1.040, delta=0.034, M=-3.623e+002
10 19 28 31 -> 42 fr=4374 (0.8881), cf=0.935, gamma=1.040, delta=0.034, M=-3.598e+002
19 28 31 -> 42 fr=4374 (0.8881), cf=0.935, gamma=1.040, delta=0.034, M=-3.573e+002
1 10 19 28 -> 42 fr=4377 (0.8887), cf=0.934, gamma=1.039, delta=0.034, M=-3.568e+002
1 10 19 35 -> 42 fr=4379 (0.8891), cf=0.934, gamma=1.039, delta=0.033, M=-3.523e+002
1 19 35 -> 42 fr=4379 (0.8891), cf=0.933, gamma=1.038, delta=0.033, M=-3.498e+002
10 19 28 38 -> 42 fr=4377 (0.8887), cf=0.934, gamma=1.039, delta=0.033, M=-3.493e+002
10 19 28 -> 42 fr=4377 (0.8887), cf=0.933, gamma=1.038, delta=0.033, M=-3.468e+002
10 19 35 -> 42 fr=4379 (0.8891), cf=0.933, gamma=1.038, delta=0.033, M=-3.449e+002
1 19 28 -> 42 fr=4377 (0.8887), cf=0.933, gamma=1.038, delta=0.033, M=-3.419e+002
19 35 -> 42 fr=4379 (0.8891), cf=0.933, gamma=1.038, delta=0.032, M=-3.399e+002
1 10 19 31 -> 42 fr=4379 (0.8891), cf=0.932, gamma=1.037, delta=0.032, M=-3.375e+002
1 19 31 -> 42 fr=4379 (0.8891), cf=0.932, gamma=1.037, delta=0.032, M=-3.350e+002
19 28 38 -> 42 fr=4377 (0.8887), cf=0.932, gamma=1.037, delta=0.032, M=-3.321e+002
10 19 31 -> 42 fr=4379 (0.8891), cf=0.932, gamma=1.037, delta=0.032, M=-3.301e+002
1 10 19 -> 42 fr=4382 (0.8897), cf=0.932, gamma=1.036, delta=0.031, M=-3.297e+002
19 28 -> 42 fr=4377 (0.8887), cf=0.932, gamma=1.037, delta=0.032, M=-3.296e+002
19 31 38 -> 42 fr=4379 (0.8891), cf=0.932, gamma=1.036, delta=0.031, M=-3.252e+002
19 31 -> 42 fr=4379 (0.8891), cf=0.931, gamma=1.036, delta=0.031, M=-3.228e+002
10 19 38 -> 42 fr=4382 (0.8897), cf=0.931, gamma=1.035, delta=0.030, M=-3.199e+002
