1 15 19 28 31 35 -> 42 fr=4351 (0.8835), cf=0.945, gamma=1.053, delta=0.044, M=-4.770e+002
1 10 15 19 28 35 -> 42 fr=4351 (0.8835), cf=0.945, gamma=1.053, delta=0.044, M=-4.770e+002
1 15 19 28 35 -> 42 fr=4351 (0.8835), cf=0.945, gamma=1.052, delta=0.044, M=-4.744e+002
15 19 28 31 35 -> 42 fr=4351 (0.8835), cf=0.945, gamma=1.052, delta=0.044, M=-4.717e+002
10 15 19 28 35 -> 42 fr=4351 (0.8835), cf=0.945, gamma=1.052, delta=0.044, M=-4.717e+002
1 10 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.052, delta=0.043, M=-4.693e+002
15 19 28 35 -> 42 fr=4351 (0.8835), cf=0.944, gamma=1.052, delta=0.044, M=-4.691e+002
1 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.051, delta=0.043, M=-4.667e+002
10 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.051, delta=0.043, M=-4.641e+002
15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.051, delta=0.043, M=-4.614e+002
1 10 15 19 28 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.051, delta=0.043, M=-4.576e+002
10 15 19 28 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.050, delta=0.042, M=-4.524e+002
1 15 19 31 35 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.050, delta=0.042, M=-4.501e+002
1 10 15 19 35 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.050, delta=0.042, M=-4.501e+002
1 15 19 35 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.049, delta=0.042, M=-4.475e+002
1 10 15 19 31 -> 42 fr=4358 (0.8849), cf=0.942, gamma=1.049, delta=0.041, M=-4.426e+002
10 15 19 35 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.049, delta=0.041, M=-4.423e+002
1 15 19 28 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.049, delta=0.041, M=-4.420e+002
1 15 19 31 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.049, delta=0.041, M=-4.400e+002
15 19 31 35 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.049, delta=0.041, M=-4.397e+002
15 19 35 -> 42 fr=4356 (0.8845), cf=0.941, gamma=1.049, delta=0.041, M=-4.371e+002
10 15 19 31 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.048, delta=0.041, M=-4.348e+002
15 19 28 -> 42 fr=4354 (0.8841), cf=0.941, gamma=1.048, delta=0.041, M=-4.343e+002
1 10 15 19 -> 42 fr=4359 (0.8851), cf=0.941, gamma=1.048, delta=0.040, M=-4.311e+002
15 19 31 38 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.048, delta=0.040, M=-4.297e+002
15 19 31 -> 42 fr=4358 (0.8849), cf=0.940, gamma=1.047, delta=0.040, M=-4.271e+002
10 15 19 -> 42 fr=4359 (0.8851), cf=0.940, gamma=1.047, delta=0.040, M=-4.234e+002
1 15 19 -> 42 fr=4359 (0.8851), cf=0.939, gamma=1.046, delta=0.039, M=-4.157e+002
15 19 38 -> 42 fr=4359 (0.8851), cf=0.938, gamma=1.045, delta=0.038, M=-4.030e+002
15 19 -> 42 fr=4359 (0.8851), cf=0.938, gamma=1.044, delta=0.038, M=-3.955e+002
1 19 28 31 35 -> 42 fr=4362 (0.8857), cf=0.936, gamma=1.043, delta=0.036, M=-3.771e+002
1 10 19 28 35 -> 42 fr=4362 (0.8857), cf=0.936, gamma=1.043, delta=0.036, M=-3.771e+002
1 19 28 35 -> 42 fr=4362 (0.8857), cf=0.936, gamma=1.042, delta=0.036, M=-3.747e+002
19 28 31 35 -> 42 fr=4362 (0.8857), cf=0.936, gamma=1.042, delta=0.036, M=-3.722e+002
10 19 28 35 -> 42 fr=4362 (0.8857), cf=0.936, gamma=1.042, delta=0.036, M=-3.722e+002
1 10 19 28 31 -> 42 fr=4364 (0.8861), cf=0.935, gamma=1.042, delta=0.035, M=-3.700e+002
19 28 35 -> 42 fr=4362 (0.8857), cf=0.935, gamma=1.042, delta=0.036, M=-3.697e+002
1 19 28 31 -> 42 fr=4364 (0.8861), cf=0.935, gamma=1.041, delta=0.035, M=-3.675e+002
10 19 28 31 -> 42 fr=4364 (0.8861), cf=0.935, gamma=1.041, delta=0.035, M=-3.651e+002
19 28 31 -> 42 fr=4364 (0.8861), cf=0.935, gamma=1.041, delta=0.035, M=-3.626e+002
1 10 19 28 -> 42 fr=4365 (0.8863), cf=0.934, gamma=1.041, delta=0.035, M=-3.591e+002
10 19 28 -> 42 fr=4365 (0.8863), cf=0.934, gamma=1.040, delta=0.034, M=-3.541e+002
1 19 31 35 -> 42 fr=4367 (0.8867), cf=0.934, gamma=1.040, delta=0.034, M=-3.521e+002
1 10 19 35 -> 42 fr=4367 (0.8867), cf=0.934, gamma=1.040, delta=0.034, M=-3.521e+002
1 19 35 -> 42 fr=4367 (0.8867), cf=0.933, gamma=1.039, delta=0.034, M=-3.496e+002
1 10 19 31 -> 42 fr=4369 (0.8871), cf=0.933, gamma=1.039, delta=0.033, M=-3.451e+002
10 19 35 -> 42 fr=4367 (0.8867), cf=0.933, gamma=1.039, delta=0.033, M=-3.447e+002
1 19 28 -> 42 fr=4365 (0.8863), cf=0.933, gamma=1.039, delta=0.033, M=-3.444e+002
1 19 31 -> 42 fr=4369 (0.8871), cf=0.933, gamma=1.039, delta=0.033, M=-3.427e+002
19 31 35 -> 42 fr=4367 (0.8867), cf=0.933, gamma=1.039, delta=0.033, M=-3.423e+002
19 35 -> 42 fr=4367 (0.8867), cf=0.933, gamma=1.039, delta=0.033, M=-3.398e+002
6 19 28 -> 42 fr=4281 (0.8692), cf=0.939, gamma=1.046, delta=0.038, M=-3.382e+002
10 19 31 -> 42 fr=4369 (0.8871), cf=0.932, gamma=1.038, delta=0.033, M=-3.378e+002
19 28 -> 42 fr=4365 (0.8863), cf=0.932, gamma=1.039, delta=0.033, M=-3.370e+002
1 10 19 -> 42 fr=4370 (0.8873), cf=0.932, gamma=1.038, delta=0.032, M=-3.343e+002
19 31 38 -> 42 fr=4369 (0.8871), cf=0.932, gamma=1.038, delta=0.032, M=-3.329e+002
19 31 -> 42 fr=4369 (0.8871), cf=0.932, gamma=1.038, delta=0.032, M=-3.305e+002
10 19 -> 42 fr=4370 (0.8873), cf=0.931, gamma=1.037, delta=0.032, M=-3.271e+002
1 19 -> 42 fr=4370 (0.8873), cf=0.931, gamma=1.036, delta=0.031, M=-3.198e+002
6 19 38 -> 42 fr=4286 (0.8703), cf=0.936, gamma=1.043, delta=0.036, M=-3.083e+002
19 38 -> 42 fr=4370 (0.8873), cf=0.930, gamma=1.035, delta=0.030, M=-3.078e+002
6 19 -> 42 fr=4286 (0.8703), cf=0.936, gamma=1.042, delta=0.035, M=-3.016e+002
15 19 -> ~43 fr=4506 (0.9149), cf=0.969, gamma=1.031, delta=0.028, M=-2.935e+002
6 19 -> ~43 fr=4429 (0.8993), cf=0.967, gamma=1.028, delta=0.025, M=-2.185e+002
1 15 28 31 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.173e+002
1 10 15 28 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.023, delta=0.020, M=-2.150e+002
15 28 31 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.022, delta=0.020, M=-2.126e+002
1 15 28 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.022, delta=0.020, M=-2.126e+002
1 10 15 28 31 -> 42 fr=4405 (0.8944), cf=0.918, gamma=1.022, delta=0.019, M=-2.116e+002
10 15 28 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.103e+002
1 15 28 31 -> 42 fr=4405 (0.8944), cf=0.918, gamma=1.022, delta=0.019, M=-2.093e+002
15 28 35 -> 42 fr=4403 (0.8940), cf=0.918, gamma=1.022, delta=0.019, M=-2.080e+002
10 15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.022, delta=0.019, M=-2.069e+002
15 28 31 -> 42 fr=4405 (0.8944), cf=0.917, gamma=1.021, delta=0.019, M=-2.046e+002
1 10 15 28 -> 42 fr=4406 (0.8946), cf=0.917, gamma=1.021, delta=0.018, M=-1.994e+002
1 15 31 35 -> 42 fr=4408 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.963e+002
1 10 15 35 -> 42 fr=4408 (0.8950), cf=0.916, gamma=1.020, delta=0.018, M=-1.939e+002
10 15 28 -> 42 fr=4406 (0.8946), cf=0.916, gamma=1.020, delta=0.018, M=-1.925e+002
1 15 35 -> 42 fr=4408 (0.8950), cf=0.916, gamma=1.020, delta=0.017, M=-1.916e+002
1 10 15 31 -> 42 fr=4410 (0.8954), cf=0.915, gamma=1.019, delta=0.017, M=-1.909e+002
10 15 31 35 -> 42 fr=4408 (0.8950), cf=0.915, gamma=1.020, delta=0.017, M=-1.893e+002
1 15 31 -> 42 fr=4410 (0.8954), cf=0.915, gamma=1.019, delta=0.017, M=-1.886e+002
15 -> ~43 fr=4619 (0.9379), cf=0.954, gamma=1.015, delta=0.014, M=-1.876e+002
15 31 35 -> 42 fr=4408 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.869e+002
10 15 35 -> 42 fr=4408 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.869e+002
1 15 28 -> 42 fr=4406 (0.8946), cf=0.915, gamma=1.020, delta=0.017, M=-1.855e+002
10 15 31 -> 42 fr=4410 (0.8954), cf=0.915, gamma=1.019, delta=0.017, M=-1.839e+002
15 35 -> 42 fr=4408 (0.8950), cf=0.915, gamma=1.019, delta=0.017, M=-1.823e+002
19 -> ~43 fr=4517 (0.9172), cf=0.960, gamma=1.021, delta=0.019, M=-1.797e+002
15 31 38 -> 42 fr=4410 (0.8954), cf=0.914, gamma=1.018, delta=0.016, M=-1.792e+002
1 10 15 -> 42 fr=4411 (0.8956), cf=0.914, gamma=1.018, delta=0.016, M=-1.789e+002
15 31 -> 42 fr=4410 (0.8954), cf=0.914, gamma=1.018, delta=0.016, M=-1.769e+002
15 28 -> 42 fr=4406 (0.8946), cf=0.915, gamma=1.019, delta=0.016, M=-1.763e+002
10 15 -> 42 fr=4411 (0.8956), cf=0.913, gamma=1.017, delta=0.015, M=-1.696e+002
1 15 -> 42 fr=4411 (0.8956), cf=0.913, gamma=1.017, delta=0.015, M=-1.650e+002
1 19 -> ~45 fr=4676 (0.9494), cf=0.996, gamma=1.013, delta=0.012, M=-1.564e+002
15 38 -> 42 fr=4411 (0.8956), cf=0.912, gamma=1.016, delta=0.014, M=-1.511e+002
19 -> ~45 fr=4681 (0.9505), cf=0.995, gamma=1.012, delta=0.011, M=-1.457e+002
1 6 28 31 35 -> 42 fr=4331 (0.8794), cf=0.910, gamma=1.013, delta=0.012, M=-7.160e+001
1 6 10 28 35 -> 42 fr=4331 (0.8794), cf=0.910, gamma=1.013, delta=0.012, M=-7.160e+001
1 6 28 35 -> 42 fr=4331 (0.8794), cf=0.910, gamma=1.013, delta=0.011, M=-6.999e+001
1 28 31 35 -> 42 fr=4414 (0.8962), cf=0.905, gamma=1.008, delta=0.007, M=-6.939e+001
6 28 31 35 -> 42 fr=4331 (0.8794), cf=0.909, gamma=1.013, delta=0.011, M=-6.840e+001
6 10 28 35 -> 42 fr=4331 (0.8794), cf=0.909, gamma=1.013, delta=0.011, M=-6.840e+001
1 10 28 35 -> 42 fr=4414 (0.8962), cf=0.905, gamma=1.007, delta=0.007, M=-6.723e+001
6 28 35 -> 42 fr=4331 (0.8794), cf=0.909, gamma=1.013, delta=0.011, M=-6.681e+001
1 6 10 28 31 -> 42 fr=4332 (0.8796), cf=0.909, gamma=1.013, delta=0.011, M=-6.571e+001
28 31 35 -> 42 fr=4414 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-6.508e+001
1 28 35 -> 42 fr=4414 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-6.508e+001
1 6 28 31 -> 42 fr=4332 (0.8796), cf=0.909, gamma=1.012, delta=0.011, M=-6.414e+001
1 10 28 31 -> 42 fr=4416 (0.8966), cf=0.904, gamma=1.007, delta=0.006, M=-6.402e+001
10 28 35 -> 42 fr=4414 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-6.293e+001
6 10 28 31 -> 42 fr=4332 (0.8796), cf=0.909, gamma=1.012, delta=0.011, M=-6.258e+001
1 28 31 -> 42 fr=4416 (0.8966), cf=0.904, gamma=1.007, delta=0.006, M=-6.184e+001
6 28 31 -> 42 fr=4332 (0.8796), cf=0.909, gamma=1.012, delta=0.010, M=-6.103e+001
28 35 -> 42 fr=4414 (0.8962), cf=0.904, gamma=1.007, delta=0.006, M=-6.079e+001
10 28 31 -> 42 fr=4416 (0.8966), cf=0.904, gamma=1.006, delta=0.006, M=-5.967e+001
1 6 10 28 -> 42 fr=4333 (0.8798), cf=0.908, gamma=1.012, delta=0.010, M=-5.840e+001
28 31 -> 42 fr=4416 (0.8966), cf=0.903, gamma=1.006, delta=0.006, M=-5.750e+001
6 10 28 -> 42 fr=4333 (0.8798), cf=0.908, gamma=1.011, delta=0.009, M=-5.386e+001
1 6 28 -> 42 fr=4333 (0.8798), cf=0.908, gamma=1.011, delta=0.009, M=-5.386e+001
1 6 31 35 -> 42 fr=4336 (0.8804), cf=0.907, gamma=1.011, delta=0.009, M=-5.366e+001
1 6 10 35 -> 42 fr=4336 (0.8804), cf=0.907, gamma=1.011, delta=0.009, M=-5.366e+001
10 28 35 -> ~46 fr=4803 (0.9752), cf=0.984, gamma=1.004, delta=0.004, M=-5.293e+001
1 10 28 -> 42 fr=4417 (0.8969), cf=0.903, gamma=1.006, delta=0.005, M=-5.268e+001
28 31 35 -> ~46 fr=4802 (0.9750), cf=0.984, gamma=1.004, delta=0.004, M=-5.233e+001
1 6 35 -> 42 fr=4336 (0.8804), cf=0.907, gamma=1.011, delta=0.009, M=-5.216e+001
