1 10 15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.053, delta=0.044, M=-4.876e+002
1 15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.053, delta=0.044, M=-4.850e+002
10 15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.052, delta=0.044, M=-4.823e+002
15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.943, gamma=1.052, delta=0.044, M=-4.797e+002
1 10 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.943, gamma=1.052, delta=0.044, M=-4.770e+002
1 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.943, gamma=1.052, delta=0.043, M=-4.744e+002
10 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.943, gamma=1.051, delta=0.043, M=-4.717e+002
15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.943, gamma=1.051, delta=0.043, M=-4.691e+002
1 10 15 19 28 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.051, delta=0.043, M=-4.685e+002
10 15 19 28 38 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.050, delta=0.042, M=-4.606e+002
10 15 19 28 -> 42 fr=4356 (0.8845), cf=0.941, gamma=1.050, delta=0.042, M=-4.580e+002
1 15 19 28 -> 42 fr=4356 (0.8845), cf=0.941, gamma=1.050, delta=0.042, M=-4.554e+002
1 10 15 19 35 -> 42 fr=4357 (0.8847), cf=0.941, gamma=1.050, delta=0.042, M=-4.543e+002
1 15 19 35 -> 42 fr=4357 (0.8847), cf=0.941, gamma=1.049, delta=0.042, M=-4.517e+002
10 15 19 35 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.049, delta=0.041, M=-4.465e+002
15 19 28 38 -> 42 fr=4356 (0.8845), cf=0.940, gamma=1.049, delta=0.041, M=-4.450e+002
15 19 35 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.049, delta=0.041, M=-4.439e+002
1 10 15 19 31 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.049, delta=0.041, M=-4.439e+002
15 19 28 -> 42 fr=4356 (0.8845), cf=0.940, gamma=1.049, delta=0.041, M=-4.424e+002
1 15 19 31 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.048, delta=0.041, M=-4.413e+002
10 15 19 31 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.048, delta=0.040, M=-4.362e+002
1 10 15 19 -> 42 fr=4360 (0.8853), cf=0.939, gamma=1.048, delta=0.040, M=-4.356e+002
15 19 31 38 -> 42 fr=4357 (0.8847), cf=0.939, gamma=1.048, delta=0.040, M=-4.336e+002
15 19 31 -> 42 fr=4357 (0.8847), cf=0.939, gamma=1.047, delta=0.040, M=-4.310e+002
10 15 19 38 -> 42 fr=4360 (0.8853), cf=0.938, gamma=1.047, delta=0.039, M=-4.253e+002
1 15 19 -> 42 fr=4360 (0.8853), cf=0.938, gamma=1.046, delta=0.039, M=-4.228e+002
10 15 19 -> 42 fr=4360 (0.8853), cf=0.938, gamma=1.046, delta=0.039, M=-4.228e+002
15 19 38 -> 42 fr=4360 (0.8853), cf=0.937, gamma=1.045, delta=0.038, M=-4.100e+002
15 19 -> 42 fr=4360 (0.8853), cf=0.936, gamma=1.044, delta=0.038, M=-3.999e+002
1 10 19 28 35 -> 42 fr=4361 (0.8855), cf=0.935, gamma=1.043, delta=0.037, M=-3.888e+002
1 19 28 35 -> 42 fr=4361 (0.8855), cf=0.935, gamma=1.043, delta=0.037, M=-3.863e+002
10 19 28 35 -> 42 fr=4361 (0.8855), cf=0.935, gamma=1.043, delta=0.036, M=-3.838e+002
19 28 35 -> 42 fr=4361 (0.8855), cf=0.935, gamma=1.043, delta=0.036, M=-3.813e+002
1 10 19 28 31 -> 42 fr=4361 (0.8855), cf=0.935, gamma=1.042, delta=0.036, M=-3.788e+002
1 19 28 31 -> 42 fr=4361 (0.8855), cf=0.934, gamma=1.042, delta=0.036, M=-3.764e+002
10 19 28 31 -> 42 fr=4361 (0.8855), cf=0.934, gamma=1.042, delta=0.036, M=-3.739e+002
19 28 31 -> 42 fr=4361 (0.8855), cf=0.934, gamma=1.042, delta=0.035, M=-3.714e+002
