1 10 15 19 28 35 -> 42 fr=4354 (0.8841), cf=0.944, gamma=1.051, delta=0.043, M=-4.690e+002
1 15 19 28 35 -> 42 fr=4354 (0.8841), cf=0.944, gamma=1.051, delta=0.043, M=-4.663e+002
10 15 19 28 35 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.051, delta=0.043, M=-4.637e+002
15 19 28 35 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.051, delta=0.043, M=-4.611e+002
1 10 15 19 28 31 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.051, delta=0.043, M=-4.585e+002
1 15 19 28 31 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.050, delta=0.042, M=-4.559e+002
10 15 19 28 31 -> 42 fr=4354 (0.8841), cf=0.943, gamma=1.050, delta=0.042, M=-4.532e+002
1 10 15 19 28 -> 42 fr=4357 (0.8847), cf=0.942, gamma=1.050, delta=0.042, M=-4.524e+002
15 19 28 31 -> 42 fr=4354 (0.8841), cf=0.942, gamma=1.050, delta=0.042, M=-4.506e+002
10 15 19 28 38 -> 42 fr=4357 (0.8847), cf=0.942, gamma=1.049, delta=0.042, M=-4.472e+002
10 15 19 28 -> 42 fr=4357 (0.8847), cf=0.942, gamma=1.049, delta=0.041, M=-4.446e+002
1 15 19 28 -> 42 fr=4357 (0.8847), cf=0.941, gamma=1.049, delta=0.041, M=-4.394e+002
1 10 15 19 35 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.048, delta=0.041, M=-4.383e+002
1 15 19 35 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.048, delta=0.041, M=-4.357e+002
10 15 19 35 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.048, delta=0.040, M=-4.331e+002
15 19 28 38 -> 42 fr=4357 (0.8847), cf=0.941, gamma=1.048, delta=0.040, M=-4.317e+002
15 19 28 -> 42 fr=4357 (0.8847), cf=0.940, gamma=1.048, delta=0.040, M=-4.291e+002
15 19 35 -> 42 fr=4358 (0.8849), cf=0.940, gamma=1.047, delta=0.040, M=-4.280e+002
1 10 15 19 31 -> 42 fr=4358 (0.8849), cf=0.940, gamma=1.047, delta=0.040, M=-4.280e+002
1 15 19 31 -> 42 fr=4358 (0.8849), cf=0.940, gamma=1.047, delta=0.040, M=-4.254e+002
10 15 19 31 -> 42 fr=4358 (0.8849), cf=0.940, gamma=1.047, delta=0.040, M=-4.228e+002
1 10 15 19 -> 42 fr=4361 (0.8855), cf=0.939, gamma=1.047, delta=0.039, M=-4.221e+002
15 19 31 38 -> 42 fr=4358 (0.8849), cf=0.939, gamma=1.047, delta=0.039, M=-4.177e+002
10 15 19 38 -> 42 fr=4361 (0.8855), cf=0.939, gamma=1.046, delta=0.039, M=-4.170e+002
