1 10 15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.945, gamma=1.054, delta=0.045, M=-5.036e+002
1 15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.945, gamma=1.054, delta=0.045, M=-5.010e+002
10 15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.945, gamma=1.054, delta=0.045, M=-4.983e+002
15 19 28 35 -> 42 fr=4353 (0.8839), cf=0.945, gamma=1.054, delta=0.045, M=-4.956e+002
1 10 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.053, delta=0.044, M=-4.876e+002
1 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.053, delta=0.044, M=-4.850e+002
10 15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.944, gamma=1.052, delta=0.044, M=-4.823e+002
15 19 28 31 -> 42 fr=4353 (0.8839), cf=0.943, gamma=1.052, delta=0.044, M=-4.797e+002
1 10 15 19 28 -> 42 fr=4356 (0.8845), cf=0.943, gamma=1.052, delta=0.044, M=-4.790e+002
1 10 15 19 35 -> 42 fr=4358 (0.8849), cf=0.942, gamma=1.051, delta=0.043, M=-4.742e+002
1 15 19 35 -> 42 fr=4358 (0.8849), cf=0.942, gamma=1.051, delta=0.043, M=-4.716e+002
10 15 19 28 38 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.051, delta=0.043, M=-4.711e+002
10 15 19 28 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.051, delta=0.043, M=-4.685e+002
10 15 19 35 -> 42 fr=4358 (0.8849), cf=0.942, gamma=1.050, delta=0.042, M=-4.663e+002
1 15 19 28 -> 42 fr=4356 (0.8845), cf=0.942, gamma=1.050, delta=0.042, M=-4.632e+002
15 19 35 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.050, delta=0.042, M=-4.611e+002
1 10 15 19 31 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.050, delta=0.042, M=-4.585e+002
1 15 19 31 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.050, delta=0.042, M=-4.559e+002
