1 10 15 19 28 35 -> 42 fr=4360 (0.8853), cf=0.946, gamma=1.053, delta=0.044, M=-4.906e+002
1 15 19 28 35 -> 42 fr=4360 (0.8853), cf=0.946, gamma=1.053, delta=0.044, M=-4.879e+002
10 15 19 28 35 -> 42 fr=4360 (0.8853), cf=0.946, gamma=1.052, delta=0.044, M=-4.852e+002
15 19 28 35 -> 42 fr=4360 (0.8853), cf=0.945, gamma=1.052, delta=0.044, M=-4.826e+002
1 15 19 28 31 -> 42 fr=4360 (0.8853), cf=0.945, gamma=1.052, delta=0.044, M=-4.772e+002
15 19 28 31 -> 42 fr=4360 (0.8853), cf=0.945, gamma=1.051, delta=0.043, M=-4.719e+002
1 10 15 19 28 -> 42 fr=4363 (0.8859), cf=0.944, gamma=1.051, delta=0.043, M=-4.711e+002
10 15 19 28 38 -> 42 fr=4363 (0.8859), cf=0.944, gamma=1.050, delta=0.042, M=-4.632e+002
1 10 15 19 35 -> 42 fr=4364 (0.8861), cf=0.943, gamma=1.050, delta=0.042, M=-4.621e+002
10 15 19 28 -> 42 fr=4363 (0.8859), cf=0.943, gamma=1.050, delta=0.042, M=-4.605e+002
1 15 19 35 -> 42 fr=4364 (0.8861), cf=0.943, gamma=1.050, delta=0.042, M=-4.594e+002
1 15 19 28 -> 42 fr=4363 (0.8859), cf=0.943, gamma=1.050, delta=0.042, M=-4.579e+002
10 15 19 35 -> 42 fr=4364 (0.8861), cf=0.943, gamma=1.049, delta=0.042, M=-4.542e+002
15 19 35 -> 42 fr=4364 (0.8861), cf=0.942, gamma=1.049, delta=0.041, M=-4.489e+002
1 15 19 31 -> 42 fr=4364 (0.8861), cf=0.942, gamma=1.049, delta=0.041, M=-4.489e+002
15 19 28 38 -> 42 fr=4363 (0.8859), cf=0.942, gamma=1.049, delta=0.041, M=-4.474e+002
15 19 28 -> 42 fr=4363 (0.8859), cf=0.942, gamma=1.049, delta=0.041, M=-4.448e+002
1 10 15 19 -> 42 fr=4367 (0.8867), cf=0.942, gamma=1.048, delta=0.041, M=-4.430e+002
10 15 19 31 -> 42 fr=4364 (0.8861), cf=0.942, gamma=1.048, delta=0.041, M=-4.411e+002
15 19 31 38 -> 42 fr=4364 (0.8861), cf=0.942, gamma=1.048, delta=0.041, M=-4.385e+002
15 19 31 -> 42 fr=4364 (0.8861), cf=0.941, gamma=1.048, delta=0.040, M=-4.359e+002
10 15 19 38 -> 42 fr=4367 (0.8867), cf=0.941, gamma=1.047, delta=0.040, M=-4.326e+002
1 15 19 -> 42 fr=4367 (0.8867), cf=0.941, gamma=1.047, delta=0.040, M=-4.300e+002
10 15 19 -> 42 fr=4367 (0.8867), cf=0.941, gamma=1.047, delta=0.040, M=-4.300e+002
