1 10 15 19 28 35 -> 42 fr=4348 (0.8828), cf=0.944, gamma=1.053, delta=0.044, M=-4.852e+002
10 15 19 28 35 -> 42 fr=4348 (0.8828), cf=0.943, gamma=1.053, delta=0.044, M=-4.826e+002
1 15 19 28 35 -> 42 fr=4348 (0.8828), cf=0.943, gamma=1.053, delta=0.044, M=-4.826e+002
15 19 28 35 -> 42 fr=4348 (0.8828), cf=0.943, gamma=1.053, delta=0.044, M=-4.799e+002
1 10 15 19 28 31 -> 42 fr=4347 (0.8826), cf=0.942, gamma=1.052, delta=0.043, M=-4.679e+002
10 15 19 28 31 -> 42 fr=4347 (0.8826), cf=0.942, gamma=1.051, delta=0.043, M=-4.653e+002
1 15 19 28 31 -> 42 fr=4347 (0.8826), cf=0.942, gamma=1.051, delta=0.043, M=-4.653e+002
15 19 28 31 -> 42 fr=4347 (0.8826), cf=0.942, gamma=1.051, delta=0.043, M=-4.627e+002
1 10 15 19 28 -> 42 fr=4350 (0.8832), cf=0.941, gamma=1.051, delta=0.043, M=-4.594e+002
1 10 15 19 35 -> 42 fr=4353 (0.8839), cf=0.941, gamma=1.050, delta=0.042, M=-4.587e+002
1 15 19 35 -> 42 fr=4353 (0.8839), cf=0.941, gamma=1.050, delta=0.042, M=-4.561e+002
10 15 19 28 38 -> 42 fr=4350 (0.8832), cf=0.941, gamma=1.050, delta=0.042, M=-4.542e+002
10 15 19 35 -> 42 fr=4353 (0.8839), cf=0.941, gamma=1.050, delta=0.042, M=-4.535e+002
10 15 19 28 -> 42 fr=4350 (0.8832), cf=0.941, gamma=1.050, delta=0.042, M=-4.516e+002
15 19 35 -> 42 fr=4353 (0.8839), cf=0.940, gamma=1.049, delta=0.041, M=-4.484e+002
1 15 19 28 -> 42 fr=4350 (0.8832), cf=0.940, gamma=1.049, delta=0.041, M=-4.438e+002
1 10 15 19 31 -> 42 fr=4352 (0.8837), cf=0.940, gamma=1.049, delta=0.041, M=-4.417e+002
1 15 19 31 -> 42 fr=4352 (0.8837), cf=0.940, gamma=1.049, delta=0.041, M=-4.391e+002
10 15 19 31 -> 42 fr=4352 (0.8837), cf=0.939, gamma=1.048, delta=0.041, M=-4.365e+002
15 19 28 38 -> 42 fr=4350 (0.8832), cf=0.940, gamma=1.049, delta=0.041, M=-4.361e+002
15 19 28 -> 42 fr=4350 (0.8832), cf=0.939, gamma=1.048, delta=0.041, M=-4.336e+002
1 10 15 19 -> 42 fr=4355 (0.8843), cf=0.939, gamma=1.048, delta=0.040, M=-4.334e+002
15 19 31 38 -> 42 fr=4352 (0.8837), cf=0.939, gamma=1.048, delta=0.040, M=-4.314e+002
15 19 31 -> 42 fr=4352 (0.8837), cf=0.939, gamma=1.048, delta=0.040, M=-4.289e+002
10 15 19 38 -> 42 fr=4355 (0.8843), cf=0.938, gamma=1.047, delta=0.040, M=-4.257e+002
10 15 19 -> 42 fr=4355 (0.8843), cf=0.938, gamma=1.047, delta=0.040, M=-4.231e+002
1 15 19 -> 42 fr=4355 (0.8843), cf=0.938, gamma=1.046, delta=0.039, M=-4.181e+002
15 19 38 -> 42 fr=4355 (0.8843), cf=0.937, gamma=1.045, delta=0.038, M=-4.054e+002
15 19 -> 42 fr=4355 (0.8843), cf=0.936, gamma=1.044, delta=0.038, M=-3.954e+002
1 10 19 28 35 -> 42 fr=4358 (0.8849), cf=0.934, gamma=1.042, delta=0.036, M=-3.774e+002
10 19 28 35 -> 42 fr=4358 (0.8849), cf=0.934, gamma=1.042, delta=0.036, M=-3.749e+002
1 19 28 35 -> 42 fr=4358 (0.8849), cf=0.934, gamma=1.042, delta=0.036, M=-3.749e+002
19 28 35 -> 42 fr=4358 (0.8849), cf=0.934, gamma=1.042, delta=0.036, M=-3.724e+002
1 10 19 28 31 -> 42 fr=4357 (0.8847), cf=0.933, gamma=1.041, delta=0.035, M=-3.611e+002
10 19 28 31 -> 42 fr=4357 (0.8847), cf=0.933, gamma=1.041, delta=0.035, M=-3.587e+002
1 19 28 31 -> 42 fr=4357 (0.8847), cf=0.933, gamma=1.041, delta=0.035, M=-3.587e+002
19 28 31 -> 42 fr=4357 (0.8847), cf=0.932, gamma=1.041, delta=0.034, M=-3.562e+002
1 10 19 28 -> 42 fr=4360 (0.8853), cf=0.932, gamma=1.040, delta=0.034, M=-3.532e+002
1 10 19 35 -> 42 fr=4363 (0.8859), cf=0.931, gamma=1.040, delta=0.034, M=-3.528e+002
1 19 35 -> 42 fr=4363 (0.8859), cf=0.931, gamma=1.039, delta=0.034, M=-3.503e+002
10 19 28 38 -> 42 fr=4360 (0.8853), cf=0.931, gamma=1.039, delta=0.034, M=-3.483e+002
10 19 35 -> 42 fr=4363 (0.8859), cf=0.931, gamma=1.039, delta=0.033, M=-3.479e+002
10 19 28 -> 42 fr=4360 (0.8853), cf=0.931, gamma=1.039, delta=0.033, M=-3.459e+002
19 35 -> 42 fr=4363 (0.8859), cf=0.931, gamma=1.039, delta=0.033, M=-3.430e+002
1 19 28 -> 42 fr=4360 (0.8853), cf=0.931, gamma=1.039, delta=0.033, M=-3.386e+002
1 10 19 31 -> 42 fr=4362 (0.8857), cf=0.930, gamma=1.038, delta=0.033, M=-3.367e+002
1 19 31 -> 42 fr=4362 (0.8857), cf=0.930, gamma=1.038, delta=0.032, M=-3.343e+002
10 19 31 -> 42 fr=4362 (0.8857), cf=0.930, gamma=1.038, delta=0.032, M=-3.319e+002
19 28 38 -> 42 fr=4360 (0.8853), cf=0.930, gamma=1.038, delta=0.032, M=-3.314e+002
1 10 19 -> 42 fr=4365 (0.8863), cf=0.929, gamma=1.037, delta=0.032, M=-3.290e+002
19 28 -> 42 fr=4360 (0.8853), cf=0.930, gamma=1.038, delta=0.032, M=-3.290e+002
19 31 38 -> 42 fr=4362 (0.8857), cf=0.929, gamma=1.037, delta=0.032, M=-3.270e+002
19 31 -> 42 fr=4362 (0.8857), cf=0.929, gamma=1.037, delta=0.032, M=-3.246e+002
10 19 38 -> 42 fr=4365 (0.8863), cf=0.929, gamma=1.036, delta=0.031, M=-3.218e+002
10 19 -> 42 fr=4365 (0.8863), cf=0.929, gamma=1.036, delta=0.031, M=-3.194e+002
1 19 -> 42 fr=4365 (0.8863), cf=0.928, gamma=1.036, delta=0.031, M=-3.146e+002
19 38 -> 42 fr=4365 (0.8863), cf=0.927, gamma=1.035, delta=0.030, M=-3.027e+002
15 19 28 -> ~43 fr=4489 (0.9115), cf=0.969, gamma=1.032, delta=0.028, M=-2.953e+002
15 19 -> ~43 fr=4507 (0.9151), cf=0.968, gamma=1.031, delta=0.028, M=-2.947e+002
1 10 15 28 35 -> 42 fr=4396 (0.8926), cf=0.917, gamma=1.024, delta=0.021, M=-2.259e+002
1 15 28 31 35 -> 42 fr=4394 (0.8922), cf=0.917, gamma=1.024, delta=0.021, M=-2.245e+002
10 15 28 35 -> 42 fr=4396 (0.8926), cf=0.917, gamma=1.023, delta=0.020, M=-2.235e+002
1 15 28 35 -> 42 fr=4396 (0.8926), cf=0.917, gamma=1.023, delta=0.020, M=-2.235e+002
15 28 31 35 -> 42 fr=4394 (0.8922), cf=0.917, gamma=1.024, delta=0.021, M=-2.221e+002
15 28 35 -> 42 fr=4396 (0.8926), cf=0.917, gamma=1.023, delta=0.020, M=-2.212e+002
