1 15 19 28 35 -> 42 fr=4356 (0.8845), cf=0.945, gamma=1.051, delta=0.043, M=-4.679e+002
15 19 28 35 -> 42 fr=4356 (0.8845), cf=0.944, gamma=1.051, delta=0.043, M=-4.626e+002
1 10 15 19 28 31 -> 42 fr=4355 (0.8843), cf=0.944, gamma=1.050, delta=0.042, M=-4.533e+002
1 15 19 28 31 -> 42 fr=4355 (0.8843), cf=0.944, gamma=1.050, delta=0.042, M=-4.507e+002
10 15 19 28 31 -> 42 fr=4355 (0.8843), cf=0.943, gamma=1.050, delta=0.042, M=-4.481e+002
1 10 15 19 28 -> 42 fr=4358 (0.8849), cf=0.943, gamma=1.049, delta=0.042, M=-4.471e+002
1 15 19 35 -> 42 fr=4361 (0.8855), cf=0.943, gamma=1.049, delta=0.041, M=-4.462e+002
15 19 28 31 -> 42 fr=4355 (0.8843), cf=0.943, gamma=1.050, delta=0.042, M=-4.454e+002
10 15 19 28 38 -> 42 fr=4358 (0.8849), cf=0.942, gamma=1.049, delta=0.041, M=-4.393e+002
10 15 19 35 -> 42 fr=4361 (0.8855), cf=0.942, gamma=1.048, delta=0.041, M=-4.384e+002
10 15 19 28 -> 42 fr=4358 (0.8849), cf=0.942, gamma=1.049, delta=0.041, M=-4.367e+002
15 19 35 -> 42 fr=4361 (0.8855), cf=0.942, gamma=1.048, delta=0.041, M=-4.358e+002
1 15 19 28 -> 42 fr=4358 (0.8849), cf=0.942, gamma=1.048, delta=0.041, M=-4.341e+002
1 10 15 19 31 -> 42 fr=4360 (0.8853), cf=0.942, gamma=1.048, delta=0.040, M=-4.318e+002
1 15 19 31 -> 42 fr=4360 (0.8853), cf=0.941, gamma=1.048, delta=0.040, M=-4.292e+002
1 10 15 19 -> 42 fr=4363 (0.8859), cf=0.941, gamma=1.047, delta=0.040, M=-4.257e+002
10 15 19 31 -> 42 fr=4360 (0.8853), cf=0.941, gamma=1.047, delta=0.040, M=-4.240e+002
15 19 28 38 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.047, delta=0.040, M=-4.238e+002
15 19 28 -> 42 fr=4358 (0.8849), cf=0.941, gamma=1.047, delta=0.040, M=-4.212e+002
15 19 31 38 -> 42 fr=4360 (0.8853), cf=0.941, gamma=1.047, delta=0.040, M=-4.189e+002
15 19 31 -> 42 fr=4360 (0.8853), cf=0.940, gamma=1.046, delta=0.039, M=-4.163e+002
10 15 19 38 -> 42 fr=4363 (0.8859), cf=0.940, gamma=1.046, delta=0.039, M=-4.155e+002
1 15 19 -> 42 fr=4363 (0.8859), cf=0.940, gamma=1.046, delta=0.039, M=-4.129e+002
10 15 19 -> 42 fr=4363 (0.8859), cf=0.940, gamma=1.046, delta=0.039, M=-4.129e+002
15 19 38 -> 42 fr=4363 (0.8859), cf=0.939, gamma=1.045, delta=0.038, M=-3.976e+002
15 19 -> 42 fr=4363 (0.8859), cf=0.938, gamma=1.044, delta=0.037, M=-3.900e+002
1 19 28 35 -> 42 fr=4367 (0.8867), cf=0.936, gamma=1.042, delta=0.035, M=-3.706e+002
19 28 35 -> 42 fr=4367 (0.8867), cf=0.936, gamma=1.041, delta=0.035, M=-3.656e+002
1 10 19 28 31 -> 42 fr=4366 (0.8865), cf=0.935, gamma=1.041, delta=0.035, M=-3.568e+002
1 19 28 31 -> 42 fr=4366 (0.8865), cf=0.935, gamma=1.040, delta=0.034, M=-3.543e+002
10 19 28 31 -> 42 fr=4366 (0.8865), cf=0.935, gamma=1.040, delta=0.034, M=-3.519e+002
1 10 19 28 -> 42 fr=4369 (0.8871), cf=0.934, gamma=1.040, delta=0.034, M=-3.511e+002
1 19 35 -> 42 fr=4372 (0.8877), cf=0.934, gamma=1.039, delta=0.034, M=-3.504e+002
19 28 31 -> 42 fr=4366 (0.8865), cf=0.935, gamma=1.040, delta=0.034, M=-3.494e+002
10 19 28 38 -> 42 fr=4369 (0.8871), cf=0.934, gamma=1.039, delta=0.033, M=-3.438e+002
10 19 35 -> 42 fr=4372 (0.8877), cf=0.933, gamma=1.039, delta=0.033, M=-3.431e+002
10 19 28 -> 42 fr=4369 (0.8871), cf=0.934, gamma=1.039, delta=0.033, M=-3.413e+002
19 35 -> 42 fr=4372 (0.8877), cf=0.933, gamma=1.038, delta=0.033, M=-3.406e+002
1 19 28 -> 42 fr=4369 (0.8871), cf=0.933, gamma=1.039, delta=0.033, M=-3.389e+002
1 10 19 31 -> 42 fr=4371 (0.8875), cf=0.933, gamma=1.038, delta=0.033, M=-3.368e+002
1 19 31 -> 42 fr=4371 (0.8875), cf=0.933, gamma=1.038, delta=0.032, M=-3.343e+002
