1 10 15 19 28 35 -> 42 fr=4362 (0.8857), cf=0.945, gamma=1.051, delta=0.043, M=-4.663e+002
1 15 19 28 35 -> 42 fr=4362 (0.8857), cf=0.945, gamma=1.051, delta=0.043, M=-4.636e+002
10 15 19 28 35 -> 42 fr=4362 (0.8857), cf=0.945, gamma=1.050, delta=0.042, M=-4.610e+002
15 19 28 35 -> 42 fr=4362 (0.8857), cf=0.944, gamma=1.050, delta=0.042, M=-4.583e+002
1 10 15 19 28 31 -> 42 fr=4362 (0.8857), cf=0.944, gamma=1.050, delta=0.042, M=-4.557e+002
1 15 19 28 31 -> 42 fr=4362 (0.8857), cf=0.944, gamma=1.050, delta=0.042, M=-4.530e+002
10 15 19 28 31 -> 42 fr=4362 (0.8857), cf=0.944, gamma=1.049, delta=0.042, M=-4.504e+002
15 19 28 31 -> 42 fr=4362 (0.8857), cf=0.944, gamma=1.049, delta=0.042, M=-4.478e+002
1 10 15 19 28 -> 42 fr=4365 (0.8863), cf=0.943, gamma=1.049, delta=0.041, M=-4.469e+002
1 10 15 19 35 -> 42 fr=4367 (0.8867), cf=0.942, gamma=1.048, delta=0.041, M=-4.394e+002
10 15 19 28 38 -> 42 fr=4365 (0.8863), cf=0.943, gamma=1.048, delta=0.041, M=-4.391e+002
1 15 19 35 -> 42 fr=4367 (0.8867), cf=0.942, gamma=1.048, delta=0.040, M=-4.368e+002
10 15 19 28 -> 42 fr=4365 (0.8863), cf=0.942, gamma=1.048, delta=0.041, M=-4.364e+002
10 15 19 35 -> 42 fr=4367 (0.8867), cf=0.942, gamma=1.047, delta=0.040, M=-4.316e+002
1 15 19 28 -> 42 fr=4365 (0.8863), cf=0.942, gamma=1.047, delta=0.040, M=-4.312e+002
1 10 15 19 31 -> 42 fr=4367 (0.8867), cf=0.942, gamma=1.047, delta=0.040, M=-4.290e+002
15 19 35 -> 42 fr=4367 (0.8867), cf=0.941, gamma=1.047, delta=0.040, M=-4.264e+002
1 15 19 31 -> 42 fr=4367 (0.8867), cf=0.941, gamma=1.047, delta=0.040, M=-4.264e+002
15 19 28 38 -> 42 fr=4365 (0.8863), cf=0.941, gamma=1.047, delta=0.040, M=-4.235e+002
10 15 19 31 -> 42 fr=4367 (0.8867), cf=0.941, gamma=1.046, delta=0.039, M=-4.212e+002
15 19 28 -> 42 fr=4365 (0.8863), cf=0.941, gamma=1.047, delta=0.039, M=-4.209e+002
