1 -> ~85 fr=171 (0.5166), cf=0.891, gamma=1.391, delta=0.145, M=-6.745e+001
1 -> 84 fr=171 (0.5166), cf=0.891, gamma=1.391, delta=0.145, M=-6.745e+001
5 38 -> 85 fr=34 (0.1027), cf=0.850, gamma=2.364, delta=0.059, M=-2.507e+001
5 38 -> ~84 fr=34 (0.1027), cf=0.850, gamma=2.364, delta=0.059, M=-2.507e+001
38 -> 85 fr=36 (0.1088), cf=0.818, gamma=2.276, delta=0.061, M=-2.437e+001
5 25 47 -> 85 fr=37 (0.1118), cf=0.712, gamma=1.979, delta=0.055, M=-1.778e+001
5 25 47 -> ~84 fr=37 (0.1118), cf=0.712, gamma=1.979, delta=0.055, M=-1.778e+001
49 -> 84 fr=71 (0.2145), cf=0.887, gamma=1.386, delta=0.060, M=-1.769e+001
5 20 47 -> 85 fr=35 (0.1057), cf=0.686, gamma=1.909, delta=0.050, M=-1.521e+001
5 20 47 -> ~84 fr=35 (0.1057), cf=0.686, gamma=1.909, delta=0.050, M=-1.521e+001
16 -> ~85 fr=145 (0.4381), cf=0.755, gamma=1.179, delta=0.067, M=-1.505e+001
16 -> 84 fr=145 (0.4381), cf=0.755, gamma=1.179, delta=0.067, M=-1.505e+001
25 47 -> 85 fr=39 (0.1178), cf=0.650, gamma=1.808, delta=0.053, M=-1.475e+001
25 47 -> ~84 fr=39 (0.1178), cf=0.650, gamma=1.808, delta=0.053, M=-1.475e+001
5 25 29 -> 85 fr=36 (0.1088), cf=0.667, gamma=1.854, delta=0.050, M=-1.450e+001
5 25 29 -> ~84 fr=36 (0.1088), cf=0.667, gamma=1.854, delta=0.050, M=-1.450e+001
5 47 -> 85 fr=47 (0.1420), cf=0.595, gamma=1.655, delta=0.056, M=-1.400e+001
5 47 -> ~84 fr=47 (0.1420), cf=0.595, gamma=1.655, delta=0.056, M=-1.400e+001
79 -> 84 fr=50 (0.1511), cf=0.909, gamma=1.419, delta=0.045, M=-1.381e+001
5 25 -> 85 fr=64 (0.1934), cf=0.529, gamma=1.471, delta=0.062, M=-1.371e+001
5 25 -> ~84 fr=64 (0.1934), cf=0.529, gamma=1.471, delta=0.062, M=-1.371e+001
5 29 -> 85 fr=46 (0.1390), cf=0.590, gamma=1.640, delta=0.054, M=-1.326e+001
5 29 -> ~84 fr=46 (0.1390), cf=0.590, gamma=1.640, delta=0.054, M=-1.326e+001
65 -> 84 fr=45 (0.1360), cf=0.918, gamma=1.434, delta=0.041, M=-1.310e+001
66 71 -> ~85 fr=57 (0.1722), cf=0.877, gamma=1.369, delta=0.046, M=-1.284e+001
66 71 -> 84 fr=57 (0.1722), cf=0.877, gamma=1.369, delta=0.046, M=-1.284e+001
66 -> 84 fr=73 (0.2205), cf=0.839, gamma=1.310, delta=0.052, M=-1.281e+001
61 71 72 -> ~85 fr=44 (0.1329), cf=0.917, gamma=1.431, delta=0.040, M=-1.265e+001
61 71 72 -> 84 fr=44 (0.1329), cf=0.917, gamma=1.431, delta=0.040, M=-1.265e+001
61 71 -> ~85 fr=59 (0.1782), cf=0.868, gamma=1.355, delta=0.047, M=-1.249e+001
61 71 -> 84 fr=59 (0.1782), cf=0.868, gamma=1.355, delta=0.047, M=-1.249e+001
3 42 -> ~85 fr=40 (0.1208), cf=0.930, gamma=1.452, delta=0.038, M=-1.246e+001
3 42 -> 84 fr=40 (0.1208), cf=0.930, gamma=1.452, delta=0.038, M=-1.246e+001
5 42 -> ~85 fr=39 (0.1178), cf=0.929, gamma=1.450, delta=0.037, M=-1.202e+001
5 42 -> 84 fr=39 (0.1178), cf=0.929, gamma=1.450, delta=0.037, M=-1.202e+001
25 29 -> 85 fr=37 (0.1118), cf=0.617, gamma=1.715, delta=0.047, M=-1.193e+001
25 29 -> ~84 fr=37 (0.1118), cf=0.617, gamma=1.715, delta=0.047, M=-1.193e+001
27 -> 84 fr=87 (0.2628), cf=0.806, gamma=1.258, delta=0.054, M=-1.188e+001
