1 -> ~85 fr=168 (0.5076), cf=0.880, gamma=1.400, delta=0.145, M=-6.627e+001
1 -> 84 fr=168 (0.5076), cf=0.880, gamma=1.400, delta=0.145, M=-6.627e+001
38 -> 85 fr=34 (0.1027), cf=0.829, gamma=2.232, delta=0.057, M=-2.245e+001
65 -> 84 fr=46 (0.1390), cf=0.958, gamma=1.525, delta=0.048, M=-1.807e+001
3 49 -> ~85 fr=61 (0.1843), cf=0.884, gamma=1.407, delta=0.053, M=-1.564e+001
3 49 -> 84 fr=61 (0.1843), cf=0.884, gamma=1.407, delta=0.053, M=-1.564e+001
49 -> 84 fr=65 (0.1964), cf=0.867, gamma=1.379, delta=0.054, M=-1.496e+001
5 20 47 -> 85 fr=35 (0.1057), cf=0.673, gamma=1.811, delta=0.047, M=-1.340e+001
5 20 47 -> ~84 fr=35 (0.1057), cf=0.673, gamma=1.811, delta=0.047, M=-1.340e+001
5 25 47 -> 85 fr=34 (0.1027), cf=0.680, gamma=1.830, delta=0.047, M=-1.337e+001
5 25 47 -> ~84 fr=34 (0.1027), cf=0.680, gamma=1.830, delta=0.047, M=-1.337e+001
3 16 72 -> ~85 fr=89 (0.2689), cf=0.802, gamma=1.276, delta=0.058, M=-1.323e+001
3 16 72 -> 84 fr=89 (0.2689), cf=0.802, gamma=1.276, delta=0.058, M=-1.323e+001
5 25 -> 85 fr=65 (0.1964), cf=0.537, gamma=1.446, delta=0.061, M=-1.304e+001
5 25 -> ~84 fr=65 (0.1964), cf=0.537, gamma=1.446, delta=0.061, M=-1.304e+001
71 79 -> ~85 fr=43 (0.1299), cf=0.915, gamma=1.456, delta=0.041, M=-1.301e+001
71 79 -> 84 fr=43 (0.1299), cf=0.915, gamma=1.456, delta=0.041, M=-1.301e+001
79 -> 84 fr=49 (0.1480), cf=0.891, gamma=1.418, delta=0.044, M=-1.287e+001
16 -> ~85 fr=141 (0.4260), cf=0.731, gamma=1.163, delta=0.060, M=-1.227e+001
16 -> 84 fr=141 (0.4260), cf=0.731, gamma=1.163, delta=0.060, M=-1.227e+001
5 29 -> 85 fr=46 (0.1390), cf=0.590, gamma=1.587, delta=0.051, M=-1.199e+001
5 29 -> ~84 fr=46 (0.1390), cf=0.590, gamma=1.587, delta=0.051, M=-1.199e+001
27 -> 84 fr=83 (0.2508), cf=0.798, gamma=1.270, delta=0.053, M=-1.172e+001
5 47 -> 85 fr=45 (0.1360), cf=0.584, gamma=1.573, delta=0.050, M=-1.132e+001
5 47 -> ~84 fr=45 (0.1360), cf=0.584, gamma=1.573, delta=0.050, M=-1.132e+001
3 66 -> ~85 fr=70 (0.2115), cf=0.814, gamma=1.295, delta=0.048, M=-1.098e+001
3 66 -> 84 fr=70 (0.2115), cf=0.814, gamma=1.295, delta=0.048, M=-1.098e+001
25 35 -> 85 fr=62 (0.1873), cf=0.521, gamma=1.402, delta=0.054, M=-1.069e+001
25 35 -> ~84 fr=62 (0.1873), cf=0.521, gamma=1.402, delta=0.054, M=-1.069e+001
3 61 71 -> ~85 fr=54 (0.1631), cf=0.844, gamma=1.343, delta=0.042, M=-1.039e+001
3 61 71 -> 84 fr=54 (0.1631), cf=0.844, gamma=1.343, delta=0.042, M=-1.039e+001
61 71 -> ~85 fr=56 (0.1692), cf=0.836, gamma=1.330, delta=0.042, M=-1.019e+001
61 71 -> 84 fr=56 (0.1692), cf=0.836, gamma=1.330, delta=0.042, M=-1.019e+001
66 -> 84 fr=70 (0.2115), cf=0.805, gamma=1.280, delta=0.046, M=-1.015e+001
3 46 71 -> ~85 fr=54 (0.1631), cf=0.831, gamma=1.322, delta=0.040, M=-9.436e+000
3 46 71 -> 84 fr=54 (0.1631), cf=0.831, gamma=1.322, delta=0.040, M=-9.436e+000
29 -> 85 fr=48 (0.1450), cf=0.545, gamma=1.468, delta=0.046, M=-9.417e+000
46 71 -> ~85 fr=56 (0.1692), cf=0.824, gamma=1.311, delta=0.040, M=-9.276e+000
46 71 -> 84 fr=56 (0.1692), cf=0.824, gamma=1.311, delta=0.040, M=-9.276e+000
20 47 -> 85 fr=36 (0.1088), cf=0.590, gamma=1.588, delta=0.040, M=-9.171e+000
20 47 -> ~84 fr=36 (0.1088), cf=0.590, gamma=1.588, delta=0.040, M=-9.171e+000
46 -> 84 fr=65 (0.1964), cf=0.802, gamma=1.277, delta=0.043, M=-9.170e+000
47 -> 85 fr=48 (0.1450), cf=0.533, gamma=1.435, delta=0.044, M=-8.587e+000
15 -> 85 fr=34 (0.1027), cf=0.586, gamma=1.578, delta=0.038, M=-8.446e+000
3 61 -> ~85 fr=65 (0.1964), cf=0.793, gamma=1.261, delta=0.041, M=-8.413e+000
3 61 -> 84 fr=65 (0.1964), cf=0.793, gamma=1.261, delta=0.041, M=-8.413e+000
61 -> 84 fr=67 (0.2024), cf=0.788, gamma=1.254, delta=0.041, M=-8.352e+000
23 72 -> ~85 fr=65 (0.1964), cf=0.783, gamma=1.246, delta=0.039, M=-7.706e+000
23 72 -> 84 fr=65 (0.1964), cf=0.783, gamma=1.246, delta=0.039, M=-7.706e+000
3 41 -> ~85 fr=36 (0.1088), cf=0.857, gamma=1.364, delta=0.029, M=-7.562e+000
3 41 -> 84 fr=36 (0.1088), cf=0.857, gamma=1.364, delta=0.029, M=-7.562e+000
42 -> 84 fr=35 (0.1057), cf=0.854, gamma=1.358, delta=0.028, M=-7.191e+000
3 32 -> ~85 fr=35 (0.1057), cf=0.854, gamma=1.358, delta=0.028, M=-7.191e+000
3 32 -> 84 fr=35 (0.1057), cf=0.854, gamma=1.358, delta=0.028, M=-7.191e+000
3 36 71 -> ~85 fr=52 (0.1571), cf=0.800, gamma=1.273, delta=0.034, M=-7.097e+000
3 36 71 -> 84 fr=52 (0.1571), cf=0.800, gamma=1.273, delta=0.034, M=-7.097e+000
5 32 -> ~85 fr=34 (0.1027), cf=0.850, gamma=1.353, delta=0.027, M=-6.825e+000
5 32 -> 84 fr=34 (0.1027), cf=0.850, gamma=1.353, delta=0.027, M=-6.825e+000
5 41 -> ~85 fr=34 (0.1027), cf=0.850, gamma=1.353, delta=0.027, M=-6.825e+000
5 41 -> 84 fr=34 (0.1027), cf=0.850, gamma=1.353, delta=0.027, M=-6.825e+000
3 57 -> ~85 fr=44 (0.1329), cf=0.815, gamma=1.297, delta=0.030, M=-6.783e+000
3 57 -> 84 fr=44 (0.1329), cf=0.815, gamma=1.297, delta=0.030, M=-6.783e+000
36 71 -> ~85 fr=55 (0.1662), cf=0.786, gamma=1.250, delta=0.033, M=-6.628e+000
36 71 -> 84 fr=55 (0.1662), cf=0.786, gamma=1.250, delta=0.033, M=-6.628e+000
56 -> 84 fr=36 (0.1088), cf=0.837, gamma=1.332, delta=0.027, M=-6.601e+000
32 -> 84 fr=36 (0.1088), cf=0.837, gamma=1.332, delta=0.027, M=-6.601e+000
23 45 71 -> ~85 fr=35 (0.1057), cf=0.833, gamma=1.326, delta=0.026, M=-6.254e+000
23 45 71 -> 84 fr=35 (0.1057), cf=0.833, gamma=1.326, delta=0.026, M=-6.254e+000
5 21 35 -> 85 fr=34 (0.1027), cf=0.540, gamma=1.452, delta=0.032, M=-6.242e+000
5 21 35 -> ~84 fr=34 (0.1027), cf=0.540, gamma=1.452, delta=0.032, M=-6.242e+000
41 -> 84 fr=37 (0.1118), cf=0.822, gamma=1.308, delta=0.026, M=-6.080e+000
23 71 -> ~85 fr=69 (0.2085), cf=0.750, gamma=1.194, delta=0.034, M=-5.837e+000
23 71 -> 84 fr=69 (0.2085), cf=0.750, gamma=1.194, delta=0.034, M=-5.837e+000
5 57 -> ~85 fr=41 (0.1239), cf=0.804, gamma=1.279, delta=0.027, M=-5.816e+000
5 57 -> 84 fr=41 (0.1239), cf=0.804, gamma=1.279, delta=0.027, M=-5.816e+000
3 5 35 -> 85 fr=81 (0.2447), cf=0.438, gamma=1.178, delta=0.037, M=-5.682e+000
3 5 35 -> ~84 fr=81 (0.2447), cf=0.438, gamma=1.178, delta=0.037, M=-5.682e+000
5 21 -> 85 fr=37 (0.1118), cf=0.514, gamma=1.383, delta=0.031, M=-5.541e+000
5 21 -> ~84 fr=37 (0.1118), cf=0.514, gamma=1.383, delta=0.031, M=-5.541e+000
5 35 -> 85 fr=81 (0.2447), cf=0.435, gamma=1.172, delta=0.036, M=-5.433e+000
5 35 -> ~84 fr=81 (0.2447), cf=0.435, gamma=1.172, delta=0.036, M=-5.433e+000
21 35 -> 85 fr=37 (0.1118), cf=0.507, gamma=1.364, delta=0.030, M=-5.213e+000
21 35 -> ~84 fr=37 (0.1118), cf=0.507, gamma=1.364, delta=0.030, M=-5.213e+000
