1 -> ~85 fr=167 (0.5045), cf=0.884, gamma=1.406, delta=0.146, M=-6.694e+001
1 -> 84 fr=167 (0.5045), cf=0.884, gamma=1.406, delta=0.146, M=-6.694e+001
5 38 -> 85 fr=34 (0.1027), cf=0.829, gamma=2.232, delta=0.057, M=-2.245e+001
5 38 -> ~84 fr=34 (0.1027), cf=0.829, gamma=2.232, delta=0.057, M=-2.245e+001
38 -> 85 fr=36 (0.1088), cf=0.800, gamma=2.153, delta=0.058, M=-2.185e+001
16 65 -> ~85 fr=37 (0.1118), cf=1.000, gamma=1.591, delta=0.042, M=-1.851e+001
16 65 -> 84 fr=37 (0.1118), cf=1.000, gamma=1.591, delta=0.042, M=-1.851e+001
65 -> 84 fr=45 (0.1360), cf=0.957, gamma=1.524, delta=0.047, M=-1.756e+001
3 49 -> ~85 fr=64 (0.1934), cf=0.889, gamma=1.415, delta=0.057, M=-1.703e+001
3 49 -> 84 fr=64 (0.1934), cf=0.889, gamma=1.415, delta=0.057, M=-1.703e+001
49 -> 84 fr=68 (0.2054), cf=0.872, gamma=1.387, delta=0.057, M=-1.631e+001
3 16 72 -> ~85 fr=89 (0.2689), cf=0.824, gamma=1.311, delta=0.064, M=-1.596e+001
3 16 72 -> 84 fr=89 (0.2689), cf=0.824, gamma=1.311, delta=0.064, M=-1.596e+001
5 20 47 -> 85 fr=36 (0.1088), cf=0.706, gamma=1.900, delta=0.052, M=-1.577e+001
5 20 47 -> ~84 fr=36 (0.1088), cf=0.706, gamma=1.900, delta=0.052, M=-1.577e+001
5 16 72 -> ~85 fr=85 (0.2568), cf=0.817, gamma=1.301, delta=0.059, M=-1.425e+001
5 16 72 -> 84 fr=85 (0.2568), cf=0.817, gamma=1.301, delta=0.059, M=-1.425e+001
5 25 29 -> 85 fr=36 (0.1088), cf=0.679, gamma=1.828, delta=0.049, M=-1.417e+001
5 25 29 -> ~84 fr=36 (0.1088), cf=0.679, gamma=1.828, delta=0.049, M=-1.417e+001
5 25 -> 85 fr=65 (0.1964), cf=0.546, gamma=1.470, delta=0.063, M=-1.397e+001
5 25 -> ~84 fr=65 (0.1964), cf=0.546, gamma=1.470, delta=0.063, M=-1.397e+001
16 -> ~85 fr=140 (0.4230), cf=0.741, gamma=1.179, delta=0.064, M=-1.389e+001
16 -> 84 fr=140 (0.4230), cf=0.741, gamma=1.179, delta=0.064, M=-1.389e+001
5 29 -> 85 fr=45 (0.1360), cf=0.616, gamma=1.659, delta=0.054, M=-1.356e+001
5 29 -> ~84 fr=45 (0.1360), cf=0.616, gamma=1.659, delta=0.054, M=-1.356e+001
5 47 -> 85 fr=47 (0.1420), cf=0.603, gamma=1.622, delta=0.054, M=-1.323e+001
5 47 -> ~84 fr=47 (0.1420), cf=0.603, gamma=1.622, delta=0.054, M=-1.323e+001
3 27 -> ~85 fr=80 (0.2417), cf=0.816, gamma=1.299, delta=0.056, M=-1.311e+001
3 27 -> 84 fr=80 (0.2417), cf=0.816, gamma=1.299, delta=0.056, M=-1.311e+001
5 15 -> 85 fr=37 (0.1118), cf=0.649, gamma=1.747, delta=0.048, M=-1.279e+001
5 15 -> ~84 fr=37 (0.1118), cf=0.649, gamma=1.747, delta=0.048, M=-1.279e+001
27 -> 84 fr=83 (0.2508), cf=0.806, gamma=1.282, delta=0.055, M=-1.255e+001
25 35 -> 85 fr=62 (0.1873), cf=0.539, gamma=1.451, delta=0.058, M=-1.240e+001
