1 -> ~85 fr=169 (0.5106), cf=0.876, gamma=1.380, delta=0.141, M=-6.278e+001
1 -> 84 fr=169 (0.5106), cf=0.876, gamma=1.380, delta=0.141, M=-6.278e+001
38 -> 85 fr=39 (0.1178), cf=0.848, gamma=2.319, delta=0.067, M=-2.829e+001
3 16 72 -> ~85 fr=90 (0.2719), cf=0.841, gamma=1.326, delta=0.067, M=-1.764e+001
3 16 72 -> 84 fr=90 (0.2719), cf=0.841, gamma=1.326, delta=0.067, M=-1.764e+001
49 -> 84 fr=65 (0.1964), cf=0.890, gamma=1.403, delta=0.056, M=-1.690e+001
16 72 -> ~85 fr=103 (0.3112), cf=0.811, gamma=1.278, delta=0.068, M=-1.652e+001
16 72 -> 84 fr=103 (0.3112), cf=0.811, gamma=1.278, delta=0.068, M=-1.652e+001
65 -> 84 fr=46 (0.1390), cf=0.939, gamma=1.480, delta=0.045, M=-1.565e+001
5 25 29 -> 85 fr=38 (0.1148), cf=0.679, gamma=1.856, delta=0.053, M=-1.556e+001
5 25 29 -> ~84 fr=38 (0.1148), cf=0.679, gamma=1.856, delta=0.053, M=-1.556e+001
27 -> 84 fr=85 (0.2568), cf=0.833, gamma=1.313, delta=0.061, M=-1.543e+001
16 71 79 -> ~85 fr=37 (0.1118), cf=0.974, gamma=1.535, delta=0.039, M=-1.533e+001
16 71 79 -> 84 fr=37 (0.1118), cf=0.974, gamma=1.535, delta=0.039, M=-1.533e+001
5 25 -> 85 fr=66 (0.1994), cf=0.545, gamma=1.492, delta=0.066, M=-1.516e+001
5 25 -> ~84 fr=66 (0.1994), cf=0.545, gamma=1.492, delta=0.066, M=-1.516e+001
16 -> ~85 fr=142 (0.4290), cf=0.751, gamma=1.184, delta=0.067, M=-1.498e+001
16 -> 84 fr=142 (0.4290), cf=0.751, gamma=1.184, delta=0.067, M=-1.498e+001
5 29 -> 85 fr=49 (0.1480), cf=0.605, gamma=1.655, delta=0.059, M=-1.479e+001
5 29 -> ~84 fr=49 (0.1480), cf=0.605, gamma=1.655, delta=0.059, M=-1.479e+001
71 79 -> ~85 fr=43 (0.1299), cf=0.935, gamma=1.473, delta=0.042, M=-1.423e+001
71 79 -> 84 fr=43 (0.1299), cf=0.935, gamma=1.473, delta=0.042, M=-1.423e+001
25 29 -> 85 fr=39 (0.1178), cf=0.639, gamma=1.749, delta=0.050, M=-1.350e+001
25 29 -> ~84 fr=39 (0.1178), cf=0.639, gamma=1.749, delta=0.050, M=-1.350e+001
79 -> 84 fr=48 (0.1450), cf=0.906, gamma=1.427, delta=0.043, M=-1.337e+001
5 20 47 -> 85 fr=35 (0.1057), cf=0.660, gamma=1.806, delta=0.047, M=-1.318e+001
5 20 47 -> ~84 fr=35 (0.1057), cf=0.660, gamma=1.806, delta=0.047, M=-1.318e+001
29 -> 85 fr=51 (0.1541), cf=0.573, gamma=1.568, delta=0.056, M=-1.293e+001
46 -> 84 fr=69 (0.2085), cf=0.841, gamma=1.326, delta=0.051, M=-1.281e+001
66 71 -> ~85 fr=54 (0.1631), cf=0.871, gamma=1.373, delta=0.044, M=-1.208e+001
66 71 -> 84 fr=54 (0.1631), cf=0.871, gamma=1.373, delta=0.044, M=-1.208e+001
66 -> 84 fr=69 (0.2085), cf=0.831, gamma=1.310, delta=0.049, M=-1.184e+001
5 47 -> 85 fr=45 (0.1360), cf=0.577, gamma=1.578, delta=0.050, M=-1.140e+001
5 47 -> ~84 fr=45 (0.1360), cf=0.577, gamma=1.578, delta=0.050, M=-1.140e+001
3 42 71 -> ~85 fr=34 (0.1027), cf=0.919, gamma=1.448, delta=0.032, M=-1.016e+001
3 42 71 -> 84 fr=34 (0.1027), cf=0.919, gamma=1.448, delta=0.032, M=-1.016e+001
5 15 -> 85 fr=34 (0.1027), cf=0.607, gamma=1.661, delta=0.041, M=-9.934e+000
5 15 -> ~84 fr=34 (0.1027), cf=0.607, gamma=1.661, delta=0.041, M=-9.934e+000
61 71 -> ~85 fr=61 (0.1843), cf=0.824, gamma=1.299, delta=0.042, M=-9.757e+000
61 71 -> 84 fr=61 (0.1843), cf=0.824, gamma=1.299, delta=0.042, M=-9.757e+000
20 47 -> 85 fr=36 (0.1088), cf=0.590, gamma=1.614, delta=0.041, M=-9.627e+000
20 47 -> ~84 fr=36 (0.1088), cf=0.590, gamma=1.614, delta=0.041, M=-9.627e+000
47 -> 85 fr=48 (0.1450), cf=0.539, gamma=1.475, delta=0.047, M=-9.575e+000
42 -> 84 fr=42 (0.1269), cf=0.875, gamma=1.379, delta=0.035, M=-9.554e+000
15 -> 85 fr=35 (0.1057), cf=0.593, gamma=1.623, delta=0.041, M=-9.505e+000
36 71 -> ~85 fr=57 (0.1722), cf=0.826, gamma=1.302, delta=0.040, M=-9.201e+000
36 71 -> 84 fr=57 (0.1722), cf=0.826, gamma=1.302, delta=0.040, M=-9.201e+000
36 61 -> ~85 fr=35 (0.1057), cf=0.897, gamma=1.415, delta=0.031, M=-9.185e+000
36 61 -> 84 fr=35 (0.1057), cf=0.897, gamma=1.415, delta=0.031, M=-9.185e+000
23 72 -> ~85 fr=70 (0.2115), cf=0.795, gamma=1.254, delta=0.043, M=-8.855e+000
23 72 -> 84 fr=70 (0.2115), cf=0.795, gamma=1.254, delta=0.043, M=-8.855e+000
61 72 -> ~85 fr=50 (0.1511), cf=0.833, gamma=1.313, delta=0.036, M=-8.493e+000
