1 -> ~85 fr=168 (0.5076), cf=0.880, gamma=1.400, delta=0.145, M=-6.627e+001
1 -> 84 fr=168 (0.5076), cf=0.880, gamma=1.400, delta=0.145, M=-6.627e+001
5 38 -> 85 fr=36 (0.1088), cf=0.857, gamma=2.307, delta=0.062, M=-2.594e+001
5 38 -> ~84 fr=36 (0.1088), cf=0.857, gamma=2.307, delta=0.062, M=-2.594e+001
38 -> 85 fr=38 (0.1148), cf=0.826, gamma=2.223, delta=0.063, M=-2.513e+001
5 25 -> 85 fr=69 (0.2085), cf=0.566, gamma=1.522, delta=0.071, M=-1.747e+001
5 25 -> ~84 fr=69 (0.2085), cf=0.566, gamma=1.522, delta=0.071, M=-1.747e+001
16 -> ~85 fr=142 (0.4290), cf=0.747, gamma=1.189, delta=0.068, M=-1.554e+001
16 -> 84 fr=142 (0.4290), cf=0.747, gamma=1.189, delta=0.068, M=-1.554e+001
65 -> 84 fr=48 (0.1450), cf=0.923, gamma=1.469, delta=0.046, M=-1.535e+001
3 49 -> ~85 fr=63 (0.1903), cf=0.875, gamma=1.392, delta=0.054, M=-1.528e+001
3 49 -> 84 fr=63 (0.1903), cf=0.875, gamma=1.392, delta=0.054, M=-1.528e+001
25 35 -> 85 fr=66 (0.1994), cf=0.555, gamma=1.493, delta=0.066, M=-1.518e+001
25 35 -> ~84 fr=66 (0.1994), cf=0.555, gamma=1.493, delta=0.066, M=-1.518e+001
49 -> 84 fr=67 (0.2024), cf=0.859, gamma=1.367, delta=0.054, M=-1.469e+001
5 29 -> 85 fr=49 (0.1480), cf=0.613, gamma=1.648, delta=0.058, M=-1.468e+001
5 29 -> ~84 fr=49 (0.1480), cf=0.613, gamma=1.648, delta=0.058, M=-1.468e+001
5 15 -> 85 fr=38 (0.1148), cf=0.655, gamma=1.763, delta=0.050, M=-1.354e+001
5 15 -> ~84 fr=38 (0.1148), cf=0.655, gamma=1.763, delta=0.050, M=-1.354e+001
27 -> 84 fr=83 (0.2508), cf=0.814, gamma=1.295, delta=0.057, M=-1.342e+001
15 -> 85 fr=39 (0.1178), cf=0.639, gamma=1.721, delta=0.049, M=-1.294e+001
3 66 -> ~85 fr=70 (0.2115), cf=0.833, gamma=1.326, delta=0.052, M=-1.281e+001
3 66 -> 84 fr=70 (0.2115), cf=0.833, gamma=1.326, delta=0.052, M=-1.281e+001
5 20 47 -> 85 fr=35 (0.1057), cf=0.660, gamma=1.777, delta=0.046, M=-1.268e+001
5 20 47 -> ~84 fr=35 (0.1057), cf=0.660, gamma=1.777, delta=0.046, M=-1.268e+001
71 79 -> ~85 fr=45 (0.1360), cf=0.900, gamma=1.432, delta=0.041, M=-1.246e+001
71 79 -> 84 fr=45 (0.1360), cf=0.900, gamma=1.432, delta=0.041, M=-1.246e+001
29 -> 85 fr=50 (0.1511), cf=0.575, gamma=1.547, delta=0.053, M=-1.207e+001
79 -> 84 fr=50 (0.1511), cf=0.877, gamma=1.396, delta=0.043, M=-1.204e+001
66 -> 84 fr=70 (0.2115), cf=0.824, gamma=1.311, delta=0.050, M=-1.186e+001
5 47 -> 85 fr=47 (0.1420), cf=0.580, gamma=1.561, delta=0.051, M=-1.161e+001
5 47 -> ~84 fr=47 (0.1420), cf=0.580, gamma=1.561, delta=0.051, M=-1.161e+001
3 46 71 -> ~85 fr=57 (0.1722), cf=0.851, gamma=1.354, delta=0.045, M=-1.157e+001
3 46 71 -> 84 fr=57 (0.1722), cf=0.851, gamma=1.354, delta=0.045, M=-1.157e+001
46 71 -> ~85 fr=59 (0.1782), cf=0.843, gamma=1.341, delta=0.045, M=-1.135e+001
46 71 -> 84 fr=59 (0.1782), cf=0.843, gamma=1.341, delta=0.045, M=-1.135e+001
46 -> 84 fr=65 (0.1964), cf=0.823, gamma=1.309, delta=0.046, M=-1.084e+001
3 61 -> ~85 fr=67 (0.2024), cf=0.817, gamma=1.300, delta=0.047, M=-1.072e+001
3 61 -> 84 fr=67 (0.2024), cf=0.817, gamma=1.300, delta=0.047, M=-1.072e+001
61 -> 84 fr=69 (0.2085), cf=0.812, gamma=1.292, delta=0.047, M=-1.061e+001
3 5 35 -> 85 fr=87 (0.2628), cf=0.460, gamma=1.239, delta=0.051, M=-9.434e+000
