1 -> ~85 fr=174 (0.5257), cf=0.879, gamma=1.359, delta=0.139, M=-6.244e+001
1 -> 84 fr=174 (0.5257), cf=0.879, gamma=1.359, delta=0.139, M=-6.244e+001
16 -> ~85 fr=144 (0.4350), cf=0.770, gamma=1.191, delta=0.070, M=-1.640e+001
16 -> 84 fr=144 (0.4350), cf=0.770, gamma=1.191, delta=0.070, M=-1.640e+001
5 25 -> 85 fr=64 (0.1934), cf=0.538, gamma=1.522, delta=0.066, M=-1.562e+001
5 25 -> ~84 fr=64 (0.1934), cf=0.538, gamma=1.522, delta=0.066, M=-1.562e+001
5 29 -> 85 fr=46 (0.1390), cf=0.597, gamma=1.690, delta=0.057, M=-1.451e+001
5 29 -> ~84 fr=46 (0.1390), cf=0.597, gamma=1.690, delta=0.057, M=-1.451e+001
5 15 -> 85 fr=37 (0.1118), cf=0.649, gamma=1.836, delta=0.051, M=-1.443e+001
5 15 -> ~84 fr=37 (0.1118), cf=0.649, gamma=1.836, delta=0.051, M=-1.443e+001
65 -> 84 fr=48 (0.1450), cf=0.923, gamma=1.428, delta=0.043, M=-1.400e+001
3 49 -> ~85 fr=61 (0.1843), cf=0.884, gamma=1.367, delta=0.050, M=-1.399e+001
3 49 -> 84 fr=61 (0.1843), cf=0.884, gamma=1.367, delta=0.050, M=-1.399e+001
15 -> 85 fr=38 (0.1148), cf=0.633, gamma=1.792, delta=0.051, M=-1.386e+001
49 -> 84 fr=65 (0.1964), cf=0.867, gamma=1.340, delta=0.050, M=-1.326e+001
29 -> 85 fr=48 (0.1450), cf=0.558, gamma=1.579, delta=0.053, M=-1.222e+001
27 -> 84 fr=87 (0.2628), cf=0.813, gamma=1.258, delta=0.054, M=-1.204e+001
3 66 -> ~85 fr=74 (0.2236), cf=0.831, gamma=1.286, delta=0.050, M=-1.165e+001
3 66 -> 84 fr=74 (0.2236), cf=0.831, gamma=1.286, delta=0.050, M=-1.165e+001
3 79 -> ~85 fr=44 (0.1329), cf=0.898, gamma=1.389, delta=0.037, M=-1.086e+001
3 79 -> 84 fr=44 (0.1329), cf=0.898, gamma=1.389, delta=0.037, M=-1.086e+001
79 -> 84 fr=47 (0.1420), cf=0.887, gamma=1.372, delta=0.038, M=-1.078e+001
66 -> 84 fr=74 (0.2236), cf=0.822, gamma=1.272, delta=0.048, M=-1.076e+001
3 46 71 -> ~85 fr=61 (0.1843), cf=0.847, gamma=1.310, delta=0.044, M=-1.066e+001
3 46 71 -> 84 fr=61 (0.1843), cf=0.847, gamma=1.310, delta=0.044, M=-1.066e+001
46 71 -> ~85 fr=62 (0.1873), cf=0.838, gamma=1.296, delta=0.043, M=-1.007e+001
46 71 -> 84 fr=62 (0.1873), cf=0.838, gamma=1.296, delta=0.043, M=-1.007e+001
3 42 71 -> ~85 fr=35 (0.1057), cf=0.921, gamma=1.425, delta=0.032, M=-9.973e+000
3 42 71 -> 84 fr=35 (0.1057), cf=0.921, gamma=1.425, delta=0.032, M=-9.973e+000
3 42 -> ~85 fr=41 (0.1239), cf=0.891, gamma=1.379, delta=0.034, M=-9.665e+000
3 42 -> 84 fr=41 (0.1239), cf=0.891, gamma=1.379, delta=0.034, M=-9.665e+000
3 46 -> ~85 fr=68 (0.2054), cf=0.819, gamma=1.267, delta=0.043, M=-9.527e+000
3 46 -> 84 fr=68 (0.2054), cf=0.819, gamma=1.267, delta=0.043, M=-9.527e+000
3 36 71 -> ~85 fr=55 (0.1662), cf=0.846, gamma=1.309, delta=0.039, M=-9.461e+000
3 36 71 -> 84 fr=55 (0.1662), cf=0.846, gamma=1.309, delta=0.039, M=-9.461e+000
46 -> 84 fr=70 (0.2115), cf=0.814, gamma=1.259, delta=0.044, M=-9.383e+000
42 71 -> ~85 fr=36 (0.1088), cf=0.900, gamma=1.392, delta=0.031, M=-8.981e+000
42 71 -> 84 fr=36 (0.1088), cf=0.900, gamma=1.392, delta=0.031, M=-8.981e+000
5 42 -> ~85 fr=39 (0.1178), cf=0.886, gamma=1.371, delta=0.032, M=-8.893e+000
5 42 -> 84 fr=39 (0.1178), cf=0.886, gamma=1.371, delta=0.032, M=-8.893e+000
42 -> 84 fr=42 (0.1269), cf=0.875, gamma=1.353, delta=0.033, M=-8.865e+000
3 36 61 -> ~85 fr=35 (0.1057), cf=0.897, gamma=1.388, delta=0.030, M=-8.590e+000
3 36 61 -> 84 fr=35 (0.1057), cf=0.897, gamma=1.388, delta=0.030, M=-8.590e+000
