1 -> ~85 fr=166 (0.5015), cf=0.874, gamma=1.411, delta=0.146, M=-6.657e+001
1 -> 84 fr=166 (0.5015), cf=0.874, gamma=1.411, delta=0.146, M=-6.657e+001
65 -> 84 fr=48 (0.1450), cf=0.923, gamma=1.490, delta=0.048, M=-1.605e+001
16 -> ~85 fr=140 (0.4230), cf=0.737, gamma=1.190, delta=0.067, M=-1.508e+001
16 -> 84 fr=140 (0.4230), cf=0.737, gamma=1.190, delta=0.067, M=-1.508e+001
3 49 -> ~85 fr=58 (0.1752), cf=0.879, gamma=1.419, delta=0.052, M=-1.508e+001
3 49 -> 84 fr=58 (0.1752), cf=0.879, gamma=1.419, delta=0.052, M=-1.508e+001
49 -> 84 fr=62 (0.1873), cf=0.861, gamma=1.390, delta=0.053, M=-1.448e+001
5 25 29 -> 85 fr=39 (0.1178), cf=0.661, gamma=1.736, delta=0.050, M=-1.347e+001
5 25 29 -> ~84 fr=39 (0.1178), cf=0.661, gamma=1.736, delta=0.050, M=-1.347e+001
5 20 47 -> 85 fr=37 (0.1118), cf=0.673, gamma=1.767, delta=0.049, M=-1.341e+001
5 20 47 -> ~84 fr=37 (0.1118), cf=0.673, gamma=1.767, delta=0.049, M=-1.341e+001
5 25 -> 85 fr=68 (0.2054), cf=0.544, gamma=1.429, delta=0.062, M=-1.325e+001
5 25 -> ~84 fr=68 (0.2054), cf=0.544, gamma=1.429, delta=0.062, M=-1.325e+001
5 29 -> 85 fr=48 (0.1450), cf=0.600, gamma=1.576, delta=0.053, M=-1.240e+001
5 29 -> ~84 fr=48 (0.1450), cf=0.600, gamma=1.576, delta=0.053, M=-1.240e+001
71 79 -> ~85 fr=43 (0.1299), cf=0.896, gamma=1.446, delta=0.040, M=-1.216e+001
71 79 -> 84 fr=43 (0.1299), cf=0.896, gamma=1.446, delta=0.040, M=-1.216e+001
79 -> 84 fr=46 (0.1390), cf=0.868, gamma=1.401, delta=0.040, M=-1.097e+001
5 15 -> 85 fr=37 (0.1118), cf=0.627, gamma=1.647, delta=0.044, M=-1.078e+001
5 15 -> ~84 fr=37 (0.1118), cf=0.627, gamma=1.647, delta=0.044, M=-1.078e+001
3 66 -> ~85 fr=65 (0.1964), cf=0.813, gamma=1.312, delta=0.047, M=-1.074e+001
3 66 -> 84 fr=65 (0.1964), cf=0.813, gamma=1.312, delta=0.047, M=-1.074e+001
5 47 -> 85 fr=47 (0.1420), cf=0.580, gamma=1.524, delta=0.049, M=-1.071e+001
5 47 -> ~84 fr=47 (0.1420), cf=0.580, gamma=1.524, delta=0.049, M=-1.071e+001
3 25 -> 85 fr=69 (0.2085), cf=0.515, gamma=1.353, delta=0.054, M=-1.048e+001
3 25 -> ~84 fr=69 (0.2085), cf=0.515, gamma=1.353, delta=0.054, M=-1.048e+001
25 29 -> 85 fr=40 (0.1208), cf=0.606, gamma=1.592, delta=0.045, M=-1.046e+001
25 29 -> ~84 fr=40 (0.1208), cf=0.606, gamma=1.592, delta=0.045, M=-1.046e+001
27 -> 84 fr=79 (0.2387), cf=0.782, gamma=1.263, delta=0.050, M=-1.041e+001
15 -> 85 fr=38 (0.1148), cf=0.613, gamma=1.610, delta=0.044, M=-1.028e+001
29 -> 85 fr=50 (0.1511), cf=0.562, gamma=1.476, delta=0.049, M=-1.016e+001
3 61 71 72 -> ~85 fr=44 (0.1329), cf=0.863, gamma=1.393, delta=0.038, M=-1.014e+001
3 61 71 72 -> 84 fr=44 (0.1329), cf=0.863, gamma=1.393, delta=0.038, M=-1.014e+001
25 35 -> 85 fr=63 (0.1903), cf=0.525, gamma=1.379, delta=0.052, M=-1.013e+001
25 35 -> ~84 fr=63 (0.1903), cf=0.525, gamma=1.379, delta=0.052, M=-1.013e+001
66 -> 84 fr=65 (0.1964), cf=0.802, gamma=1.296, delta=0.045, M=-9.910e+000
3 61 71 -> ~85 fr=58 (0.1752), cf=0.817, gamma=1.319, delta=0.042, M=-9.811e+000
3 61 71 -> 84 fr=58 (0.1752), cf=0.817, gamma=1.319, delta=0.042, M=-9.811e+000
61 71 -> ~85 fr=60 (0.1813), cf=0.811, gamma=1.309, delta=0.043, M=-9.706e+000
61 71 -> 84 fr=60 (0.1813), cf=0.811, gamma=1.309, delta=0.043, M=-9.706e+000
3 61 72 -> ~85 fr=48 (0.1450), cf=0.842, gamma=1.360, delta=0.038, M=-9.657e+000
3 61 72 -> 84 fr=48 (0.1450), cf=0.842, gamma=1.360, delta=0.038, M=-9.657e+000
20 47 -> 85 fr=38 (0.1148), cf=0.594, gamma=1.560, delta=0.041, M=-9.209e+000
20 47 -> ~84 fr=38 (0.1148), cf=0.594, gamma=1.560, delta=0.041, M=-9.209e+000
61 72 -> ~85 fr=49 (0.1480), cf=0.831, gamma=1.341, delta=0.038, M=-9.090e+000
61 72 -> 84 fr=49 (0.1480), cf=0.831, gamma=1.341, delta=0.038, M=-9.090e+000
3 46 71 -> ~85 fr=52 (0.1571), cf=0.813, gamma=1.312, delta=0.037, M=-8.452e+000
3 46 71 -> 84 fr=52 (0.1571), cf=0.813, gamma=1.312, delta=0.037, M=-8.452e+000
42 -> 84 fr=37 (0.1118), cf=0.860, gamma=1.389, delta=0.031, M=-8.394e+000
3 61 -> ~85 fr=67 (0.2024), cf=0.779, gamma=1.258, delta=0.042, M=-8.365e+000
3 61 -> 84 fr=67 (0.2024), cf=0.779, gamma=1.258, delta=0.042, M=-8.365e+000
46 71 -> ~85 fr=54 (0.1631), cf=0.806, gamma=1.301, delta=0.038, M=-8.351e+000
46 71 -> 84 fr=54 (0.1631), cf=0.806, gamma=1.301, delta=0.038, M=-8.351e+000
3 36 71 -> ~85 fr=54 (0.1631), cf=0.806, gamma=1.301, delta=0.038, M=-8.351e+000
3 36 71 -> 84 fr=54 (0.1631), cf=0.806, gamma=1.301, delta=0.038, M=-8.351e+000
61 -> 84 fr=69 (0.2085), cf=0.775, gamma=1.252, delta=0.042, M=-8.345e+000
46 -> 84 fr=62 (0.1873), cf=0.785, gamma=1.267, delta=0.039, M=-8.094e+000
47 -> 85 fr=50 (0.1511), cf=0.532, gamma=1.397, delta=0.043, M=-8.057e+000
36 71 -> ~85 fr=57 (0.1722), cf=0.792, gamma=1.278, delta=0.037, M=-7.857e+000
36 71 -> 84 fr=57 (0.1722), cf=0.792, gamma=1.278, delta=0.037, M=-7.857e+000
3 41 -> ~85 fr=35 (0.1057), cf=0.854, gamma=1.378, delta=0.029, M=-7.611e+000
3 41 -> 84 fr=35 (0.1057), cf=0.854, gamma=1.378, delta=0.029, M=-7.611e+000
3 9 35 -> 85 fr=44 (0.1329), cf=0.537, gamma=1.410, delta=0.039, M=-7.255e+000
3 9 35 -> ~84 fr=44 (0.1329), cf=0.537, gamma=1.410, delta=0.039, M=-7.255e+000
3 5 9 -> 85 fr=54 (0.1631), cf=0.505, gamma=1.326, delta=0.040, M=-6.850e+000
3 5 9 -> ~84 fr=54 (0.1631), cf=0.505, gamma=1.326, delta=0.040, M=-6.850e+000
5 9 35 -> 85 fr=43 (0.1299), cf=0.531, gamma=1.395, delta=0.037, M=-6.753e+000
5 9 35 -> ~84 fr=43 (0.1299), cf=0.531, gamma=1.395, delta=0.037, M=-6.753e+000
5 48 -> 85 fr=36 (0.1088), cf=0.554, gamma=1.455, delta=0.034, M=-6.709e+000
5 48 -> ~84 fr=36 (0.1088), cf=0.554, gamma=1.455, delta=0.034, M=-6.709e+000
5 21 35 -> 85 fr=36 (0.1088), cf=0.554, gamma=1.455, delta=0.034, M=-6.709e+000
5 21 35 -> ~84 fr=36 (0.1088), cf=0.554, gamma=1.455, delta=0.034, M=-6.709e+000
20 23 45 -> ~85 fr=35 (0.1057), cf=0.833, gamma=1.346, delta=0.027, M=-6.651e+000
20 23 45 -> 84 fr=35 (0.1057), cf=0.833, gamma=1.346, delta=0.027, M=-6.651e+000
3 5 35 -> 85 fr=84 (0.2538), cf=0.454, gamma=1.193, delta=0.041, M=-6.601e+000
3 5 35 -> ~84 fr=84 (0.2538), cf=0.454, gamma=1.193, delta=0.041, M=-6.601e+000
5 9 -> 85 fr=54 (0.1631), cf=0.500, gamma=1.313, delta=0.039, M=-6.526e+000
5 9 -> ~84 fr=54 (0.1631), cf=0.500, gamma=1.313, delta=0.039, M=-6.526e+000
3 57 -> ~85 fr=46 (0.1390), cf=0.793, gamma=1.281, delta=0.030, M=-6.405e+000
3 57 -> 84 fr=46 (0.1390), cf=0.793, gamma=1.281, delta=0.030, M=-6.405e+000
5 35 -> 85 fr=84 (0.2538), cf=0.452, gamma=1.186, delta=0.040, M=-6.324e+000
5 35 -> ~84 fr=84 (0.2538), cf=0.452, gamma=1.186, delta=0.040, M=-6.324e+000
3 48 -> 85 fr=36 (0.1088), cf=0.545, gamma=1.433, delta=0.033, M=-6.310e+000
3 48 -> ~84 fr=36 (0.1088), cf=0.545, gamma=1.433, delta=0.033, M=-6.310e+000
21 72 -> 85 fr=35 (0.1057), cf=0.547, gamma=1.437, delta=0.032, M=-6.201e+000
21 72 -> ~84 fr=35 (0.1057), cf=0.547, gamma=1.437, delta=0.032, M=-6.201e+000
9 35 -> 85 fr=46 (0.1390), cf=0.511, gamma=1.343, delta=0.035, M=-6.089e+000
9 35 -> ~84 fr=46 (0.1390), cf=0.511, gamma=1.343, delta=0.035, M=-6.089e+000
48 -> 85 fr=37 (0.1118), cf=0.536, gamma=1.409, delta=0.032, M=-6.041e+000
5 21 -> 85 fr=40 (0.1208), cf=0.526, gamma=1.383, delta=0.033, M=-6.027e+000
5 21 -> ~84 fr=40 (0.1208), cf=0.526, gamma=1.383, delta=0.033, M=-6.027e+000
23 45 71 -> ~85 fr=38 (0.1148), cf=0.809, gamma=1.305, delta=0.027, M=-6.020e+000
23 45 71 -> 84 fr=38 (0.1148), cf=0.809, gamma=1.305, delta=0.027, M=-6.020e+000
23 72 -> ~85 fr=65 (0.1964), cf=0.747, gamma=1.206, delta=0.034, M=-5.894e+000
23 72 -> 84 fr=65 (0.1964), cf=0.747, gamma=1.206, delta=0.034, M=-5.894e+000
41 -> 84 fr=35 (0.1057), cf=0.814, gamma=1.314, delta=0.025, M=-5.804e+000
57 -> 84 fr=48 (0.1450), cf=0.774, gamma=1.250, delta=0.029, M=-5.679e+000
3 32 -> ~85 fr=34 (0.1027), cf=0.810, gamma=1.307, delta=0.024, M=-5.471e+000
3 32 -> 84 fr=34 (0.1027), cf=0.810, gamma=1.307, delta=0.024, M=-5.471e+000
3 9 -> 85 fr=55 (0.1662), cf=0.482, gamma=1.267, delta=0.035, M=-5.469e+000
3 9 -> ~84 fr=55 (0.1662), cf=0.482, gamma=1.267, delta=0.035, M=-5.469e+000
3 36 72 -> ~85 fr=43 (0.1299), cf=0.782, gamma=1.262, delta=0.027, M=-5.467e+000
3 36 72 -> 84 fr=43 (0.1299), cf=0.782, gamma=1.262, delta=0.027, M=-5.467e+000
