1 -> ~85 fr=169 (0.5106), cf=0.871, gamma=1.393, delta=0.144, M=-6.537e+001
1 -> 84 fr=169 (0.5106), cf=0.871, gamma=1.393, delta=0.144, M=-6.537e+001
5 38 -> 85 fr=34 (0.1027), cf=0.850, gamma=2.269, delta=0.057, M=-2.357e+001
5 38 -> ~84 fr=34 (0.1027), cf=0.850, gamma=2.269, delta=0.057, M=-2.357e+001
38 -> 85 fr=35 (0.1057), cf=0.814, gamma=2.173, delta=0.057, M=-2.183e+001
3 49 -> ~85 fr=64 (0.1934), cf=0.877, gamma=1.402, delta=0.055, M=-1.603e+001
3 49 -> 84 fr=64 (0.1934), cf=0.877, gamma=1.402, delta=0.055, M=-1.603e+001
49 -> 84 fr=69 (0.2085), cf=0.863, gamma=1.379, delta=0.057, M=-1.588e+001
5 25 29 -> 85 fr=39 (0.1178), cf=0.684, gamma=1.826, delta=0.053, M=-1.550e+001
5 25 29 -> ~84 fr=39 (0.1178), cf=0.684, gamma=1.826, delta=0.053, M=-1.550e+001
65 -> 84 fr=43 (0.1299), cf=0.935, gamma=1.495, delta=0.043, M=-1.485e+001
5 25 -> 85 fr=67 (0.2024), cf=0.545, gamma=1.454, delta=0.063, M=-1.396e+001
5 25 -> ~84 fr=67 (0.2024), cf=0.545, gamma=1.454, delta=0.063, M=-1.396e+001
5 29 -> 85 fr=50 (0.1511), cf=0.602, gamma=1.608, delta=0.057, M=-1.389e+001
5 29 -> ~84 fr=50 (0.1511), cf=0.602, gamma=1.608, delta=0.057, M=-1.389e+001
3 16 72 -> ~85 fr=85 (0.2568), cf=0.802, gamma=1.282, delta=0.057, M=-1.284e+001
3 16 72 -> 84 fr=85 (0.2568), cf=0.802, gamma=1.282, delta=0.057, M=-1.284e+001
16 -> ~85 fr=136 (0.4109), cf=0.735, gamma=1.176, delta=0.061, M=-1.277e+001
16 -> 84 fr=136 (0.4109), cf=0.735, gamma=1.176, delta=0.061, M=-1.277e+001
25 29 -> 85 fr=40 (0.1208), cf=0.635, gamma=1.695, delta=0.050, M=-1.275e+001
25 29 -> ~84 fr=40 (0.1208), cf=0.635, gamma=1.695, delta=0.050, M=-1.275e+001
3 42 -> ~85 fr=38 (0.1148), cf=0.927, gamma=1.482, delta=0.037, M=-1.246e+001
3 42 -> 84 fr=38 (0.1148), cf=0.927, gamma=1.482, delta=0.037, M=-1.246e+001
79 -> 84 fr=50 (0.1511), cf=0.877, gamma=1.403, delta=0.043, M=-1.226e+001
3 27 -> ~85 fr=79 (0.2387), cf=0.806, gamma=1.289, delta=0.054, M=-1.217e+001
3 27 -> 84 fr=79 (0.2387), cf=0.806, gamma=1.289, delta=0.054, M=-1.217e+001
27 -> 84 fr=83 (0.2508), cf=0.798, gamma=1.276, delta=0.054, M=-1.205e+001
42 -> 84 fr=40 (0.1208), cf=0.909, gamma=1.454, delta=0.038, M=-1.184e+001
29 -> 85 fr=52 (0.1571), cf=0.565, gamma=1.509, delta=0.053, M=-1.157e+001
3 25 -> 85 fr=68 (0.2054), cf=0.519, gamma=1.386, delta=0.057, M=-1.153e+001
3 25 -> ~84 fr=68 (0.2054), cf=0.519, gamma=1.386, delta=0.057, M=-1.153e+001
3 66 -> ~85 fr=70 (0.2115), cf=0.814, gamma=1.302, delta=0.049, M=-1.126e+001
3 66 -> 84 fr=70 (0.2115), cf=0.814, gamma=1.302, delta=0.049, M=-1.126e+001
5 47 -> 85 fr=44 (0.1329), cf=0.587, gamma=1.566, delta=0.048, M=-1.090e+001
5 47 -> ~84 fr=44 (0.1329), cf=0.587, gamma=1.566, delta=0.048, M=-1.090e+001
66 -> 84 fr=70 (0.2115), cf=0.805, gamma=1.287, delta=0.047, M=-1.042e+001
5 15 -> 85 fr=36 (0.1088), cf=0.610, gamma=1.629, delta=0.042, M=-1.001e+001
5 15 -> ~84 fr=36 (0.1088), cf=0.610, gamma=1.629, delta=0.042, M=-1.001e+001
46 -> 84 fr=64 (0.1934), cf=0.810, gamma=1.295, delta=0.044, M=-9.863e+000
15 -> 85 fr=37 (0.1118), cf=0.597, gamma=1.593, delta=0.042, M=-9.569e+000
3 61 71 -> ~85 fr=55 (0.1662), cf=0.809, gamma=1.293, delta=0.038, M=-8.294e+000
3 61 71 -> 84 fr=55 (0.1662), cf=0.809, gamma=1.293, delta=0.038, M=-8.294e+000
20 47 -> 85 fr=34 (0.1027), cf=0.586, gamma=1.565, delta=0.037, M=-8.240e+000
20 47 -> ~84 fr=34 (0.1027), cf=0.586, gamma=1.565, delta=0.037, M=-8.240e+000
61 71 -> ~85 fr=57 (0.1722), cf=0.803, gamma=1.284, delta=0.038, M=-8.195e+000
61 71 -> 84 fr=57 (0.1722), cf=0.803, gamma=1.284, delta=0.038, M=-8.195e+000
47 -> 85 fr=47 (0.1420), cf=0.534, gamma=1.426, delta=0.042, M=-8.164e+000
3 36 71 -> ~85 fr=53 (0.1601), cf=0.803, gamma=1.284, delta=0.035, M=-7.613e+000
3 36 71 -> 84 fr=53 (0.1601), cf=0.803, gamma=1.284, delta=0.035, M=-7.613e+000
5 48 -> 85 fr=35 (0.1057), cf=0.556, gamma=1.483, delta=0.034, M=-6.984e+000
5 48 -> ~84 fr=35 (0.1057), cf=0.556, gamma=1.483, delta=0.034, M=-6.984e+000
3 61 72 -> ~85 fr=44 (0.1329), cf=0.815, gamma=1.303, delta=0.031, M=-6.943e+000
3 61 72 -> 84 fr=44 (0.1329), cf=0.815, gamma=1.303, delta=0.031, M=-6.943e+000
3 5 35 -> 85 fr=85 (0.2568), cf=0.447, gamma=1.194, delta=0.042, M=-6.876e+000
3 5 35 -> ~84 fr=85 (0.2568), cf=0.447, gamma=1.194, delta=0.042, M=-6.876e+000
36 71 -> ~85 fr=55 (0.1662), cf=0.786, gamma=1.256, delta=0.034, M=-6.814e+000
36 71 -> 84 fr=55 (0.1662), cf=0.786, gamma=1.256, delta=0.034, M=-6.814e+000
5 35 -> 85 fr=85 (0.2568), cf=0.445, gamma=1.188, delta=0.041, M=-6.596e+000
5 35 -> ~84 fr=85 (0.2568), cf=0.445, gamma=1.188, delta=0.041, M=-6.596e+000
3 48 -> 85 fr=35 (0.1057), cf=0.547, gamma=1.460, delta=0.033, M=-6.572e+000
3 48 -> ~84 fr=35 (0.1057), cf=0.547, gamma=1.460, delta=0.033, M=-6.572e+000
61 72 -> ~85 fr=45 (0.1360), cf=0.804, gamma=1.285, delta=0.030, M=-6.496e+000
61 72 -> 84 fr=45 (0.1360), cf=0.804, gamma=1.285, delta=0.030, M=-6.496e+000
3 57 -> ~85 fr=47 (0.1420), cf=0.797, gamma=1.274, delta=0.031, M=-6.401e+000
3 57 -> 84 fr=47 (0.1420), cf=0.797, gamma=1.274, delta=0.031, M=-6.401e+000
3 9 35 -> 85 fr=42 (0.1269), cf=0.519, gamma=1.384, delta=0.035, M=-6.344e+000
3 9 35 -> ~84 fr=42 (0.1269), cf=0.519, gamma=1.384, delta=0.035, M=-6.344e+000
3 61 -> ~85 fr=64 (0.1934), cf=0.762, gamma=1.218, delta=0.035, M=-6.342e+000
3 61 -> 84 fr=64 (0.1934), cf=0.762, gamma=1.218, delta=0.035, M=-6.342e+000
23 72 -> ~85 fr=64 (0.1934), cf=0.762, gamma=1.218, delta=0.035, M=-6.342e+000
23 72 -> 84 fr=64 (0.1934), cf=0.762, gamma=1.218, delta=0.035, M=-6.342e+000
61 -> 84 fr=66 (0.1994), cf=0.759, gamma=1.213, delta=0.035, M=-6.331e+000
48 -> 85 fr=36 (0.1088), cf=0.537, gamma=1.434, delta=0.033, M=-6.302e+000
3 32 -> ~85 fr=36 (0.1088), cf=0.818, gamma=1.308, delta=0.026, M=-5.881e+000
3 32 -> 84 fr=36 (0.1088), cf=0.818, gamma=1.308, delta=0.026, M=-5.881e+000
23 71 -> ~85 fr=72 (0.2175), cf=0.742, gamma=1.187, delta=0.034, M=-5.793e+000
23 71 -> 84 fr=72 (0.2175), cf=0.742, gamma=1.187, delta=0.034, M=-5.793e+000
57 -> 84 fr=49 (0.1480), cf=0.778, gamma=1.244, delta=0.029, M=-5.658e+000
9 35 -> 85 fr=44 (0.1329), cf=0.500, gamma=1.335, delta=0.033, M=-5.623e+000
9 35 -> ~84 fr=44 (0.1329), cf=0.500, gamma=1.335, delta=0.033, M=-5.623e+000
5 21 -> 85 fr=39 (0.1178), cf=0.513, gamma=1.370, delta=0.032, M=-5.610e+000
5 21 -> ~84 fr=39 (0.1178), cf=0.513, gamma=1.370, delta=0.032, M=-5.610e+000
5 32 -> ~85 fr=35 (0.1057), cf=0.814, gamma=1.302, delta=0.024, M=-5.553e+000
5 32 -> 84 fr=35 (0.1057), cf=0.814, gamma=1.302, delta=0.024, M=-5.553e+000
