1 -> ~85 fr=165 (0.5000), cf=0.873, gamma=1.385, delta=0.139, M=-6.066e+001
1 -> 84 fr=165 (0.5000), cf=0.873, gamma=1.385, delta=0.139, M=-6.066e+001
38 -> 85 fr=35 (0.1061), cf=0.795, gamma=2.152, delta=0.057, M=-2.108e+001
3 49 -> ~85 fr=61 (0.1848), cf=0.884, gamma=1.403, delta=0.053, M=-1.547e+001
3 49 -> 84 fr=61 (0.1848), cf=0.884, gamma=1.403, delta=0.053, M=-1.547e+001
49 -> 84 fr=65 (0.1970), cf=0.867, gamma=1.375, delta=0.054, M=-1.479e+001
3 16 72 -> ~85 fr=84 (0.2545), cf=0.824, gamma=1.307, delta=0.060, M=-1.455e+001
3 16 72 -> 84 fr=84 (0.2545), cf=0.824, gamma=1.307, delta=0.060, M=-1.455e+001
5 29 -> 85 fr=49 (0.1485), cf=0.598, gamma=1.616, delta=0.057, M=-1.375e+001
5 29 -> ~84 fr=49 (0.1485), cf=0.598, gamma=1.616, delta=0.057, M=-1.375e+001
16 -> ~85 fr=137 (0.4152), cf=0.745, gamma=1.181, delta=0.064, M=-1.366e+001
16 -> 84 fr=137 (0.4152), cf=0.745, gamma=1.181, delta=0.064, M=-1.366e+001
5 25 47 -> 85 fr=36 (0.1091), cf=0.667, gamma=1.803, delta=0.049, M=-1.360e+001
5 25 47 -> ~84 fr=36 (0.1091), cf=0.667, gamma=1.803, delta=0.049, M=-1.360e+001
5 25 -> 85 fr=66 (0.2000), cf=0.537, gamma=1.451, delta=0.062, M=-1.358e+001
5 25 -> ~84 fr=66 (0.2000), cf=0.537, gamma=1.451, delta=0.062, M=-1.358e+001
65 -> 84 fr=44 (0.1333), cf=0.917, gamma=1.454, delta=0.042, M=-1.334e+001
5 20 47 -> 85 fr=36 (0.1091), cf=0.643, gamma=1.739, delta=0.046, M=-1.223e+001
5 20 47 -> ~84 fr=36 (0.1091), cf=0.643, gamma=1.739, delta=0.046, M=-1.223e+001
27 -> 84 fr=82 (0.2485), cf=0.804, gamma=1.275, delta=0.054, M=-1.197e+001
29 -> 85 fr=51 (0.1545), cf=0.567, gamma=1.533, delta=0.054, M=-1.196e+001
3 66 71 -> ~85 fr=55 (0.1667), cf=0.859, gamma=1.363, delta=0.044, M=-1.169e+001
3 66 71 -> 84 fr=55 (0.1667), cf=0.859, gamma=1.363, delta=0.044, M=-1.169e+001
3 71 79 -> ~85 fr=40 (0.1212), cf=0.909, gamma=1.442, delta=0.037, M=-1.154e+001
3 71 79 -> 84 fr=40 (0.1212), cf=0.909, gamma=1.442, delta=0.037, M=-1.154e+001
71 79 -> ~85 fr=43 (0.1303), cf=0.896, gamma=1.421, delta=0.039, M=-1.146e+001
71 79 -> 84 fr=43 (0.1303), cf=0.896, gamma=1.421, delta=0.039, M=-1.146e+001
5 47 -> 85 fr=47 (0.1424), cf=0.573, gamma=1.550, delta=0.051, M=-1.131e+001
5 47 -> ~84 fr=47 (0.1424), cf=0.573, gamma=1.550, delta=0.051, M=-1.131e+001
5 66 71 -> ~85 fr=54 (0.1636), cf=0.857, gamma=1.360, delta=0.043, M=-1.128e+001
5 66 71 -> 84 fr=54 (0.1636), cf=0.857, gamma=1.360, delta=0.043, M=-1.128e+001
79 -> 84 fr=47 (0.1424), cf=0.870, gamma=1.381, delta=0.039, M=-1.067e+001
66 71 -> ~85 fr=55 (0.1667), cf=0.846, gamma=1.342, delta=0.043, M=-1.064e+001
66 71 -> 84 fr=55 (0.1667), cf=0.846, gamma=1.342, delta=0.043, M=-1.064e+001
3 66 -> ~85 fr=66 (0.2000), cf=0.815, gamma=1.293, delta=0.045, M=-1.019e+001
3 66 -> 84 fr=66 (0.2000), cf=0.815, gamma=1.293, delta=0.045, M=-1.019e+001
3 46 71 -> ~85 fr=56 (0.1697), cf=0.836, gamma=1.326, delta=0.042, M=-1.005e+001
3 46 71 -> 84 fr=56 (0.1697), cf=0.836, gamma=1.326, delta=0.042, M=-1.005e+001
46 -> 84 fr=65 (0.1970), cf=0.813, gamma=1.289, delta=0.044, M=-9.829e+000
5 66 -> ~85 fr=64 (0.1939), cf=0.810, gamma=1.285, delta=0.043, M=-9.472e+000
5 66 -> 84 fr=64 (0.1939), cf=0.810, gamma=1.285, delta=0.043, M=-9.472e+000
66 -> 84 fr=66 (0.2000), cf=0.805, gamma=1.277, delta=0.043, M=-9.372e+000
3 36 71 -> ~85 fr=54 (0.1636), cf=0.831, gamma=1.318, delta=0.039, M=-9.308e+000
3 36 71 -> 84 fr=54 (0.1636), cf=0.831, gamma=1.318, delta=0.039, M=-9.308e+000
5 15 -> 85 fr=35 (0.1061), cf=0.593, gamma=1.605, delta=0.040, M=-9.205e+000
5 15 -> ~84 fr=35 (0.1061), cf=0.593, gamma=1.605, delta=0.040, M=-9.205e+000
47 -> 85 fr=50 (0.1515), cf=0.532, gamma=1.439, delta=0.046, M=-9.102e+000
15 -> 85 fr=36 (0.1091), cf=0.581, gamma=1.571, delta=0.040, M=-8.815e+000
36 71 -> ~85 fr=56 (0.1697), cf=0.812, gamma=1.288, delta=0.038, M=-8.309e+000
36 71 -> 84 fr=56 (0.1697), cf=0.812, gamma=1.288, delta=0.038, M=-8.309e+000
3 9 35 -> 85 fr=42 (0.1273), cf=0.538, gamma=1.456, delta=0.040, M=-7.850e+000
3 9 35 -> ~84 fr=42 (0.1273), cf=0.538, gamma=1.456, delta=0.040, M=-7.850e+000
3 41 -> ~85 fr=37 (0.1121), cf=0.860, gamma=1.365, delta=0.030, M=-7.848e+000
3 41 -> 84 fr=37 (0.1121), cf=0.860, gamma=1.365, delta=0.030, M=-7.848e+000
42 -> 84 fr=34 (0.1030), cf=0.872, gamma=1.383, delta=0.029, M=-7.782e+000
3 61 71 -> ~85 fr=54 (0.1636), cf=0.806, gamma=1.279, delta=0.036, M=-7.636e+000
3 61 71 -> 84 fr=54 (0.1636), cf=0.806, gamma=1.279, delta=0.036, M=-7.636e+000
61 71 -> ~85 fr=56 (0.1697), cf=0.800, gamma=1.269, delta=0.036, M=-7.536e+000
61 71 -> 84 fr=56 (0.1697), cf=0.800, gamma=1.269, delta=0.036, M=-7.536e+000
