1 -> ~85 fr=170 (0.5136), cf=0.885, gamma=1.402, delta=0.147, M=-6.887e+001
1 -> 84 fr=170 (0.5136), cf=0.885, gamma=1.402, delta=0.147, M=-6.887e+001
38 -> 85 fr=34 (0.1027), cf=0.791, gamma=2.145, delta=0.055, M=-2.022e+001
3 49 -> ~85 fr=62 (0.1873), cf=0.886, gamma=1.403, delta=0.054, M=-1.581e+001
3 49 -> 84 fr=62 (0.1873), cf=0.886, gamma=1.403, delta=0.054, M=-1.581e+001
49 -> 84 fr=67 (0.2024), cf=0.870, gamma=1.378, delta=0.056, M=-1.555e+001
3 16 72 -> ~85 fr=91 (0.2749), cf=0.820, gamma=1.298, delta=0.063, M=-1.547e+001
3 16 72 -> 84 fr=91 (0.2749), cf=0.820, gamma=1.298, delta=0.063, M=-1.547e+001
16 -> ~85 fr=142 (0.4290), cf=0.747, gamma=1.184, delta=0.067, M=-1.489e+001
16 -> 84 fr=142 (0.4290), cf=0.747, gamma=1.184, delta=0.067, M=-1.489e+001
65 -> 84 fr=47 (0.1420), cf=0.922, gamma=1.460, delta=0.045, M=-1.465e+001
5 25 -> 85 fr=64 (0.1934), cf=0.542, gamma=1.472, delta=0.062, M=-1.373e+001
5 25 -> ~84 fr=64 (0.1934), cf=0.542, gamma=1.472, delta=0.062, M=-1.373e+001
3 79 -> ~85 fr=45 (0.1360), cf=0.918, gamma=1.454, delta=0.042, M=-1.372e+001
3 79 -> 84 fr=45 (0.1360), cf=0.918, gamma=1.454, delta=0.042, M=-1.372e+001
79 -> 84 fr=48 (0.1450), cf=0.906, gamma=1.434, delta=0.044, M=-1.359e+001
27 -> 84 fr=88 (0.2659), cf=0.807, gamma=1.279, delta=0.058, M=-1.332e+001
5 20 47 -> 85 fr=35 (0.1057), cf=0.660, gamma=1.792, delta=0.047, M=-1.293e+001
5 20 47 -> ~84 fr=35 (0.1057), cf=0.660, gamma=1.792, delta=0.047, M=-1.293e+001
46 -> 84 fr=68 (0.2054), cf=0.840, gamma=1.330, delta=0.051, M=-1.269e+001
25 35 -> 85 fr=62 (0.1873), cf=0.530, gamma=1.438, delta=0.057, M=-1.193e+001
25 35 -> ~84 fr=62 (0.1873), cf=0.530, gamma=1.438, delta=0.057, M=-1.193e+001
3 42 -> ~85 fr=36 (0.1088), cf=0.923, gamma=1.462, delta=0.034, M=-1.120e+001
3 42 -> 84 fr=36 (0.1088), cf=0.923, gamma=1.462, delta=0.034, M=-1.120e+001
5 29 -> 85 fr=45 (0.1360), cf=0.577, gamma=1.565, delta=0.049, M=-1.111e+001
5 29 -> ~84 fr=45 (0.1360), cf=0.577, gamma=1.565, delta=0.049, M=-1.111e+001
42 -> 84 fr=39 (0.1178), cf=0.907, gamma=1.436, delta=0.036, M=-1.104e+001
5 47 -> 85 fr=44 (0.1329), cf=0.579, gamma=1.571, delta=0.048, M=-1.096e+001
5 47 -> ~84 fr=44 (0.1329), cf=0.579, gamma=1.571, delta=0.048, M=-1.096e+001
3 66 -> ~85 fr=68 (0.2054), cf=0.819, gamma=1.298, delta=0.047, M=-1.082e+001
3 66 -> 84 fr=68 (0.2054), cf=0.819, gamma=1.298, delta=0.047, M=-1.082e+001
3 61 71 -> ~85 fr=57 (0.1722), cf=0.838, gamma=1.328, delta=0.042, M=-1.034e+001
3 61 71 -> 84 fr=57 (0.1722), cf=0.838, gamma=1.328, delta=0.042, M=-1.034e+001
66 -> 84 fr=68 (0.2054), cf=0.810, gamma=1.282, delta=0.045, M=-9.978e+000
61 71 -> ~85 fr=58 (0.1752), cf=0.829, gamma=1.312, delta=0.042, M=-9.785e+000
61 71 -> 84 fr=58 (0.1752), cf=0.829, gamma=1.312, delta=0.042, M=-9.785e+000
20 47 -> 85 fr=36 (0.1088), cf=0.590, gamma=1.601, delta=0.041, M=-9.397e+000
20 47 -> ~84 fr=36 (0.1088), cf=0.590, gamma=1.601, delta=0.041, M=-9.397e+000
29 -> 85 fr=47 (0.1420), cf=0.540, gamma=1.466, delta=0.045, M=-9.118e+000
50 -> 84 fr=34 (0.1027), cf=0.895, gamma=1.417, delta=0.030, M=-8.923e+000
3 61 72 -> ~85 fr=48 (0.1450), cf=0.842, gamma=1.334, delta=0.036, M=-8.887e+000
3 61 72 -> 84 fr=48 (0.1450), cf=0.842, gamma=1.334, delta=0.036, M=-8.887e+000
47 -> 85 fr=47 (0.1420), cf=0.534, gamma=1.449, delta=0.044, M=-8.705e+000
3 41 -> ~85 fr=36 (0.1088), cf=0.878, gamma=1.391, delta=0.031, M=-8.506e+000
3 41 -> 84 fr=36 (0.1088), cf=0.878, gamma=1.391, delta=0.031, M=-8.506e+000
3 36 71 -> ~85 fr=54 (0.1631), cf=0.818, gamma=1.296, delta=0.037, M=-8.359e+000
3 36 71 -> 84 fr=54 (0.1631), cf=0.818, gamma=1.296, delta=0.037, M=-8.359e+000
3 57 -> ~85 fr=51 (0.1541), cf=0.823, gamma=1.303, delta=0.036, M=-8.160e+000
3 57 -> 84 fr=51 (0.1541), cf=0.823, gamma=1.303, delta=0.036, M=-8.160e+000
61 72 -> ~85 fr=48 (0.1450), cf=0.828, gamma=1.311, delta=0.034, M=-7.976e+000
61 72 -> 84 fr=48 (0.1450), cf=0.828, gamma=1.311, delta=0.034, M=-7.976e+000
3 61 -> ~85 fr=66 (0.1994), cf=0.786, gamma=1.244, delta=0.039, M=-7.797e+000
3 61 -> 84 fr=66 (0.1994), cf=0.786, gamma=1.244, delta=0.039, M=-7.797e+000
36 71 -> ~85 fr=57 (0.1722), cf=0.803, gamma=1.271, delta=0.037, M=-7.783e+000
36 71 -> 84 fr=57 (0.1722), cf=0.803, gamma=1.271, delta=0.037, M=-7.783e+000
3 32 -> ~85 fr=34 (0.1027), cf=0.872, gamma=1.381, delta=0.028, M=-7.729e+000
3 32 -> 84 fr=34 (0.1027), cf=0.872, gamma=1.381, delta=0.028, M=-7.729e+000
5 41 -> ~85 fr=34 (0.1027), cf=0.872, gamma=1.381, delta=0.028, M=-7.729e+000
5 41 -> 84 fr=34 (0.1027), cf=0.872, gamma=1.381, delta=0.028, M=-7.729e+000
61 -> 84 fr=67 (0.2024), cf=0.779, gamma=1.234, delta=0.038, M=-7.433e+000
5 57 -> ~85 fr=48 (0.1450), cf=0.814, gamma=1.288, delta=0.032, M=-7.145e+000
5 57 -> 84 fr=48 (0.1450), cf=0.814, gamma=1.288, delta=0.032, M=-7.145e+000
32 -> 84 fr=35 (0.1057), cf=0.854, gamma=1.352, delta=0.028, M=-7.053e+000
41 -> 84 fr=37 (0.1118), cf=0.841, gamma=1.332, delta=0.028, M=-6.812e+000
5 21 35 -> 85 fr=35 (0.1057), cf=0.538, gamma=1.461, delta=0.033, M=-6.557e+000
5 21 35 -> ~84 fr=35 (0.1057), cf=0.538, gamma=1.461, delta=0.033, M=-6.557e+000
57 -> 84 fr=53 (0.1601), cf=0.791, gamma=1.253, delta=0.032, M=-6.517e+000
5 48 -> 85 fr=34 (0.1027), cf=0.540, gamma=1.464, delta=0.033, M=-6.426e+000
5 48 -> ~84 fr=34 (0.1027), cf=0.540, gamma=1.464, delta=0.033, M=-6.426e+000
48 -> 85 fr=36 (0.1088), cf=0.529, gamma=1.436, delta=0.033, M=-6.307e+000
3 9 35 -> 85 fr=43 (0.1299), cf=0.506, gamma=1.373, delta=0.035, M=-6.239e+000
3 9 35 -> ~84 fr=43 (0.1299), cf=0.506, gamma=1.373, delta=0.035, M=-6.239e+000
23 72 -> ~85 fr=65 (0.1964), cf=0.765, gamma=1.211, delta=0.034, M=-6.220e+000
23 72 -> 84 fr=65 (0.1964), cf=0.765, gamma=1.211, delta=0.034, M=-6.220e+000
56 -> 84 fr=39 (0.1178), cf=0.813, gamma=1.287, delta=0.026, M=-5.800e+000
5 9 35 -> 85 fr=42 (0.1269), cf=0.500, gamma=1.357, delta=0.033, M=-5.767e+000
5 9 35 -> ~84 fr=42 (0.1269), cf=0.500, gamma=1.357, delta=0.033, M=-5.767e+000
