1 -> ~85 fr=171 (0.5151), cf=0.872, gamma=1.386, delta=0.143, M=-6.537e+001
1 -> 84 fr=171 (0.5151), cf=0.872, gamma=1.386, delta=0.143, M=-6.537e+001
5 38 -> 85 fr=34 (0.1024), cf=0.872, gamma=2.353, delta=0.059, M=-2.552e+001
5 38 -> ~84 fr=34 (0.1024), cf=0.872, gamma=2.353, delta=0.059, M=-2.552e+001
38 -> 85 fr=36 (0.1084), cf=0.837, gamma=2.260, delta=0.060, M=-2.457e+001
3 49 -> ~85 fr=61 (0.1837), cf=0.897, gamma=1.425, delta=0.055, M=-1.688e+001
3 49 -> 84 fr=61 (0.1837), cf=0.897, gamma=1.425, delta=0.055, M=-1.688e+001
49 -> 84 fr=66 (0.1988), cf=0.880, gamma=1.398, delta=0.057, M=-1.653e+001
71 79 -> ~85 fr=44 (0.1325), cf=0.936, gamma=1.487, delta=0.043, M=-1.504e+001
71 79 -> 84 fr=44 (0.1325), cf=0.936, gamma=1.487, delta=0.043, M=-1.504e+001
79 -> 84 fr=50 (0.1506), cf=0.909, gamma=1.444, delta=0.046, M=-1.464e+001
5 25 29 -> 85 fr=36 (0.1084), cf=0.679, gamma=1.833, delta=0.049, M=-1.426e+001
5 25 29 -> ~84 fr=36 (0.1084), cf=0.679, gamma=1.833, delta=0.049, M=-1.426e+001
5 25 -> 85 fr=65 (0.1958), cf=0.542, gamma=1.462, delta=0.062, M=-1.365e+001
5 25 -> ~84 fr=65 (0.1958), cf=0.542, gamma=1.462, delta=0.062, M=-1.365e+001
3 16 72 -> ~85 fr=86 (0.2590), cf=0.811, gamma=1.289, delta=0.058, M=-1.361e+001
3 16 72 -> 84 fr=86 (0.2590), cf=0.811, gamma=1.289, delta=0.058, M=-1.361e+001
65 -> 84 fr=44 (0.1325), cf=0.917, gamma=1.456, delta=0.042, M=-1.339e+001
5 29 -> 85 fr=47 (0.1416), cf=0.595, gamma=1.606, delta=0.053, M=-1.278e+001
5 29 -> ~84 fr=47 (0.1416), cf=0.595, gamma=1.606, delta=0.053, M=-1.278e+001
16 72 -> ~85 fr=100 (0.3012), cf=0.781, gamma=1.241, delta=0.058, M=-1.258e+001
16 72 -> 84 fr=100 (0.3012), cf=0.781, gamma=1.241, delta=0.058, M=-1.258e+001
16 -> ~85 fr=142 (0.4277), cf=0.732, gamma=1.163, delta=0.060, M=-1.243e+001
16 -> 84 fr=142 (0.4277), cf=0.732, gamma=1.163, delta=0.060, M=-1.243e+001
5 20 47 -> 85 fr=34 (0.1024), cf=0.654, gamma=1.765, delta=0.044, M=-1.202e+001
5 20 47 -> ~84 fr=34 (0.1024), cf=0.654, gamma=1.765, delta=0.044, M=-1.202e+001
3 46 71 -> ~85 fr=58 (0.1747), cf=0.853, gamma=1.355, delta=0.046, M=-1.188e+001
3 46 71 -> 84 fr=58 (0.1747), cf=0.853, gamma=1.355, delta=0.046, M=-1.188e+001
46 71 -> ~85 fr=60 (0.1807), cf=0.845, gamma=1.342, delta=0.046, M=-1.165e+001
46 71 -> 84 fr=60 (0.1807), cf=0.845, gamma=1.342, delta=0.046, M=-1.165e+001
27 -> 84 fr=83 (0.2500), cf=0.798, gamma=1.268, delta=0.053, M=-1.159e+001
46 -> 84 fr=69 (0.2078), cf=0.821, gamma=1.305, delta=0.049, M=-1.136e+001
5 47 -> 85 fr=45 (0.1355), cf=0.577, gamma=1.557, delta=0.049, M=-1.091e+001
5 47 -> ~84 fr=45 (0.1355), cf=0.577, gamma=1.557, delta=0.049, M=-1.091e+001
3 66 -> ~85 fr=70 (0.2108), cf=0.814, gamma=1.293, delta=0.048, M=-1.087e+001
3 66 -> 84 fr=70 (0.2108), cf=0.814, gamma=1.293, delta=0.048, M=-1.087e+001
5 66 -> ~85 fr=68 (0.2048), cf=0.810, gamma=1.286, delta=0.046, M=-1.013e+001
5 66 -> 84 fr=68 (0.2048), cf=0.810, gamma=1.286, delta=0.046, M=-1.013e+001
29 -> 85 fr=49 (0.1476), cf=0.551, gamma=1.486, delta=0.048, M=-1.012e+001
66 -> 84 fr=70 (0.2108), cf=0.805, gamma=1.278, delta=0.046, M=-1.004e+001
5 15 -> 85 fr=34 (0.1024), cf=0.607, gamma=1.639, delta=0.040, M=-9.569e+000
5 15 -> ~84 fr=34 (0.1024), cf=0.607, gamma=1.639, delta=0.040, M=-9.569e+000
15 -> 85 fr=35 (0.1054), cf=0.593, gamma=1.601, delta=0.040, M=-9.137e+000
42 -> 84 fr=40 (0.1205), cf=0.870, gamma=1.381, delta=0.033, M=-9.040e+000
47 -> 85 fr=48 (0.1446), cf=0.533, gamma=1.440, delta=0.044, M=-8.682e+000
3 36 71 -> ~85 fr=53 (0.1596), cf=0.815, gamma=1.295, delta=0.036, M=-8.135e+000
3 36 71 -> 84 fr=53 (0.1596), cf=0.815, gamma=1.295, delta=0.036, M=-8.135e+000
36 71 -> ~85 fr=56 (0.1687), cf=0.800, gamma=1.271, delta=0.036, M=-7.578e+000
36 71 -> 84 fr=56 (0.1687), cf=0.800, gamma=1.271, delta=0.036, M=-7.578e+000
3 61 71 72 -> ~85 fr=36 (0.1084), cf=0.857, gamma=1.362, delta=0.029, M=-7.507e+000
3 61 71 72 -> 84 fr=36 (0.1084), cf=0.857, gamma=1.362, delta=0.029, M=-7.507e+000
3 61 71 -> ~85 fr=51 (0.1536), cf=0.810, gamma=1.286, delta=0.034, M=-7.459e+000
3 61 71 -> 84 fr=51 (0.1536), cf=0.810, gamma=1.286, delta=0.034, M=-7.459e+000
3 61 72 -> ~85 fr=41 (0.1235), cf=0.837, gamma=1.329, delta=0.031, M=-7.397e+000
3 61 72 -> 84 fr=41 (0.1235), cf=0.837, gamma=1.329, delta=0.031, M=-7.397e+000
3 57 -> ~85 fr=46 (0.1386), cf=0.821, gamma=1.305, delta=0.032, M=-7.392e+000
3 57 -> 84 fr=46 (0.1386), cf=0.821, gamma=1.305, delta=0.032, M=-7.392e+000
5 48 -> 85 fr=36 (0.1084), cf=0.554, gamma=1.495, delta=0.036, M=-7.375e+000
5 48 -> ~84 fr=36 (0.1084), cf=0.554, gamma=1.495, delta=0.036, M=-7.375e+000
61 71 -> ~85 fr=53 (0.1596), cf=0.803, gamma=1.276, delta=0.034, M=-7.349e+000
61 71 -> 84 fr=53 (0.1596), cf=0.803, gamma=1.276, delta=0.034, M=-7.349e+000
48 -> 85 fr=38 (0.1145), cf=0.543, gamma=1.465, delta=0.036, M=-7.222e+000
3 41 -> ~85 fr=35 (0.1054), cf=0.854, gamma=1.356, delta=0.028, M=-7.138e+000
3 41 -> 84 fr=35 (0.1054), cf=0.854, gamma=1.356, delta=0.028, M=-7.138e+000
56 -> 84 fr=37 (0.1114), cf=0.841, gamma=1.336, delta=0.028, M=-6.899e+000
61 72 -> ~85 fr=42 (0.1265), cf=0.824, gamma=1.308, delta=0.030, M=-6.870e+000
61 72 -> 84 fr=42 (0.1265), cf=0.824, gamma=1.308, delta=0.030, M=-6.870e+000
3 5 35 -> 85 fr=82 (0.2470), cf=0.446, gamma=1.203, delta=0.042, M=-6.826e+000
3 5 35 -> ~84 fr=82 (0.2470), cf=0.446, gamma=1.203, delta=0.042, M=-6.826e+000
3 61 -> ~85 fr=62 (0.1867), cf=0.775, gamma=1.231, delta=0.035, M=-6.699e+000
3 61 -> 84 fr=62 (0.1867), cf=0.775, gamma=1.231, delta=0.035, M=-6.699e+000
61 -> 84 fr=64 (0.1928), cf=0.771, gamma=1.225, delta=0.035, M=-6.662e+000
5 35 -> 85 fr=82 (0.2470), cf=0.443, gamma=1.196, delta=0.041, M=-6.550e+000
5 35 -> ~84 fr=82 (0.2470), cf=0.443, gamma=1.196, delta=0.041, M=-6.550e+000
5 57 -> ~85 fr=43 (0.1295), cf=0.811, gamma=1.289, delta=0.029, M=-6.396e+000
5 57 -> 84 fr=43 (0.1295), cf=0.811, gamma=1.289, delta=0.029, M=-6.396e+000
