1 -> ~85 fr=171 (0.5166), cf=0.886, gamma=1.403, delta=0.148, M=-7.002e+001
1 -> 84 fr=171 (0.5166), cf=0.886, gamma=1.403, delta=0.148, M=-7.002e+001
5 38 -> 85 fr=35 (0.1057), cf=0.875, gamma=2.374, delta=0.061, M=-2.678e+001
5 38 -> ~84 fr=35 (0.1057), cf=0.875, gamma=2.374, delta=0.061, M=-2.678e+001
38 -> 85 fr=37 (0.1118), cf=0.841, gamma=2.281, delta=0.063, M=-2.582e+001
65 -> 84 fr=48 (0.1450), cf=0.941, gamma=1.491, delta=0.048, M=-1.686e+001
3 49 -> ~85 fr=63 (0.1903), cf=0.887, gamma=1.405, delta=0.055, M=-1.627e+001
3 49 -> 84 fr=63 (0.1903), cf=0.887, gamma=1.405, delta=0.055, M=-1.627e+001
49 -> 84 fr=68 (0.2054), cf=0.872, gamma=1.381, delta=0.057, M=-1.600e+001
16 -> ~85 fr=145 (0.4381), cf=0.747, gamma=1.184, delta=0.068, M=-1.554e+001
16 -> 84 fr=145 (0.4381), cf=0.747, gamma=1.184, delta=0.068, M=-1.554e+001
5 25 -> 85 fr=67 (0.2024), cf=0.545, gamma=1.478, delta=0.065, M=-1.492e+001
5 25 -> ~84 fr=67 (0.2024), cf=0.545, gamma=1.478, delta=0.065, M=-1.492e+001
5 29 -> 85 fr=49 (0.1480), cf=0.605, gamma=1.641, delta=0.058, M=-1.444e+001
5 29 -> ~84 fr=49 (0.1480), cf=0.605, gamma=1.641, delta=0.058, M=-1.444e+001
5 20 47 -> 85 fr=36 (0.1088), cf=0.679, gamma=1.843, delta=0.050, M=-1.444e+001
5 20 47 -> ~84 fr=36 (0.1088), cf=0.679, gamma=1.843, delta=0.050, M=-1.444e+001
5 15 -> 85 fr=37 (0.1118), cf=0.649, gamma=1.761, delta=0.048, M=-1.305e+001
5 15 -> ~84 fr=37 (0.1118), cf=0.649, gamma=1.761, delta=0.048, M=-1.305e+001
15 -> 85 fr=38 (0.1148), cf=0.633, gamma=1.718, delta=0.048, M=-1.248e+001
25 35 -> 85 fr=64 (0.1934), cf=0.529, gamma=1.435, delta=0.059, M=-1.237e+001
25 35 -> ~84 fr=64 (0.1934), cf=0.529, gamma=1.435, delta=0.059, M=-1.237e+001
5 47 -> 85 fr=45 (0.1360), cf=0.592, gamma=1.606, delta=0.051, M=-1.215e+001
5 47 -> ~84 fr=45 (0.1360), cf=0.592, gamma=1.606, delta=0.051, M=-1.215e+001
29 -> 85 fr=51 (0.1541), cf=0.560, gamma=1.521, delta=0.053, M=-1.159e+001
27 -> 84 fr=81 (0.2447), cf=0.802, gamma=1.270, delta=0.052, M=-1.146e+001
3 66 -> ~85 fr=72 (0.2175), cf=0.818, gamma=1.296, delta=0.050, M=-1.145e+001
