1 -> ~85 fr=169 (0.5090), cf=0.876, gamma=1.391, delta=0.143, M=-6.485e+001
1 -> 84 fr=169 (0.5090), cf=0.876, gamma=1.391, delta=0.143, M=-6.485e+001
5 38 -> 85 fr=35 (0.1054), cf=0.833, gamma=2.249, delta=0.059, M=-2.355e+001
5 38 -> ~84 fr=35 (0.1054), cf=0.833, gamma=2.249, delta=0.059, M=-2.355e+001
38 -> 85 fr=37 (0.1114), cf=0.804, gamma=2.171, delta=0.060, M=-2.293e+001
65 -> 84 fr=47 (0.1416), cf=0.940, gamma=1.493, delta=0.047, M=-1.650e+001
49 -> 84 fr=66 (0.1988), cf=0.868, gamma=1.380, delta=0.055, M=-1.529e+001
5 20 47 -> 85 fr=35 (0.1054), cf=0.673, gamma=1.817, delta=0.047, M=-1.348e+001
5 20 47 -> ~84 fr=35 (0.1054), cf=0.673, gamma=1.817, delta=0.047, M=-1.348e+001
71 79 -> ~85 fr=43 (0.1295), cf=0.915, gamma=1.453, delta=0.040, M=-1.293e+001
71 79 -> 84 fr=43 (0.1295), cf=0.915, gamma=1.453, delta=0.040, M=-1.293e+001
5 25 -> 85 fr=64 (0.1928), cf=0.533, gamma=1.440, delta=0.059, M=-1.252e+001
5 25 -> ~84 fr=64 (0.1928), cf=0.533, gamma=1.440, delta=0.059, M=-1.252e+001
79 -> 84 fr=48 (0.1446), cf=0.889, gamma=1.412, delta=0.042, M=-1.235e+001
16 72 -> ~85 fr=99 (0.2982), cf=0.780, gamma=1.238, delta=0.057, M=-1.220e+001
16 72 -> 84 fr=99 (0.2982), cf=0.780, gamma=1.238, delta=0.057, M=-1.220e+001
3 66 -> ~85 fr=72 (0.2169), cf=0.818, gamma=1.300, delta=0.050, M=-1.162e+001
3 66 -> 84 fr=72 (0.2169), cf=0.818, gamma=1.300, delta=0.050, M=-1.162e+001
5 47 -> 85 fr=46 (0.1386), cf=0.582, gamma=1.572, delta=0.050, M=-1.157e+001
5 47 -> ~84 fr=46 (0.1386), cf=0.582, gamma=1.572, delta=0.050, M=-1.157e+001
16 -> ~85 fr=139 (0.4187), cf=0.728, gamma=1.156, delta=0.057, M=-1.121e+001
16 -> 84 fr=139 (0.4187), cf=0.728, gamma=1.156, delta=0.057, M=-1.121e+001
27 -> 84 fr=84 (0.2530), cf=0.792, gamma=1.259, delta=0.052, M=-1.117e+001
66 -> 84 fr=72 (0.2169), cf=0.809, gamma=1.285, delta=0.048, M=-1.077e+001
5 29 -> 85 fr=45 (0.1355), cf=0.570, gamma=1.538, delta=0.047, M=-1.042e+001
5 29 -> ~84 fr=45 (0.1355), cf=0.570, gamma=1.538, delta=0.047, M=-1.042e+001
5 46 71 -> ~85 fr=58 (0.1747), cf=0.829, gamma=1.316, delta=0.042, M=-9.922e+000
3 46 71 -> ~85 fr=58 (0.1747), cf=0.829, gamma=1.316, delta=0.042, M=-9.922e+000
5 46 71 -> 84 fr=58 (0.1747), cf=0.829, gamma=1.316, delta=0.042, M=-9.922e+000
3 46 71 -> 84 fr=58 (0.1747), cf=0.829, gamma=1.316, delta=0.042, M=-9.922e+000
20 47 -> 85 fr=36 (0.1084), cf=0.600, gamma=1.620, delta=0.041, M=-9.774e+000
20 47 -> ~84 fr=36 (0.1084), cf=0.600, gamma=1.620, delta=0.041, M=-9.774e+000
46 71 -> ~85 fr=60 (0.1807), cf=0.822, gamma=1.306, delta=0.042, M=-9.769e+000
46 71 -> 84 fr=60 (0.1807), cf=0.822, gamma=1.306, delta=0.042, M=-9.769e+000
3 61 71 -> ~85 fr=57 (0.1717), cf=0.826, gamma=1.312, delta=0.041, M=-9.554e+000
3 61 71 -> 84 fr=57 (0.1717), cf=0.826, gamma=1.312, delta=0.041, M=-9.554e+000
3 42 -> ~85 fr=38 (0.1145), cf=0.884, gamma=1.404, delta=0.033, M=-9.404e+000
3 42 -> 84 fr=38 (0.1145), cf=0.884, gamma=1.404, delta=0.033, M=-9.404e+000
46 -> 84 fr=68 (0.2048), cf=0.800, gamma=1.271, delta=0.044, M=-9.336e+000
61 71 -> ~85 fr=58 (0.1747), cf=0.817, gamma=1.298, delta=0.040, M=-9.050e+000
61 71 -> 84 fr=58 (0.1747), cf=0.817, gamma=1.298, delta=0.040, M=-9.050e+000
42 -> 84 fr=40 (0.1205), cf=0.870, gamma=1.381, delta=0.033, M=-9.040e+000
47 -> 85 fr=48 (0.1446), cf=0.533, gamma=1.440, delta=0.044, M=-8.682e+000
3 61 72 -> ~85 fr=46 (0.1386), cf=0.836, gamma=1.329, delta=0.034, M=-8.269e+000
3 61 72 -> 84 fr=46 (0.1386), cf=0.836, gamma=1.329, delta=0.034, M=-8.269e+000
3 36 61 -> ~85 fr=35 (0.1054), cf=0.875, gamma=1.390, delta=0.030, M=-8.204e+000
3 36 61 -> 84 fr=35 (0.1054), cf=0.875, gamma=1.390, delta=0.030, M=-8.204e+000
29 -> 85 fr=47 (0.1416), cf=0.528, gamma=1.425, delta=0.042, M=-8.129e+000
3 61 -> ~85 fr=68 (0.2048), cf=0.782, gamma=1.242, delta=0.040, M=-7.885e+000
3 61 -> 84 fr=68 (0.2048), cf=0.782, gamma=1.242, delta=0.040, M=-7.885e+000
61 72 -> ~85 fr=47 (0.1416), cf=0.825, gamma=1.310, delta=0.033, M=-7.736e+000
61 72 -> 84 fr=47 (0.1416), cf=0.825, gamma=1.310, delta=0.033, M=-7.736e+000
61 -> 84 fr=69 (0.2078), cf=0.775, gamma=1.232, delta=0.039, M=-7.532e+000
3 36 71 -> ~85 fr=55 (0.1657), cf=0.797, gamma=1.266, delta=0.035, M=-7.255e+000
3 36 71 -> 84 fr=55 (0.1657), cf=0.797, gamma=1.266, delta=0.035, M=-7.255e+000
36 71 -> ~85 fr=57 (0.1717), cf=0.792, gamma=1.258, delta=0.035, M=-7.175e+000
36 71 -> 84 fr=57 (0.1717), cf=0.792, gamma=1.258, delta=0.035, M=-7.175e+000
23 72 -> ~85 fr=63 (0.1898), cf=0.778, gamma=1.236, delta=0.036, M=-6.999e+000
23 72 -> 84 fr=63 (0.1898), cf=0.778, gamma=1.236, delta=0.036, M=-6.999e+000
3 57 -> ~85 fr=47 (0.1416), cf=0.810, gamma=1.287, delta=0.032, M=-6.921e+000
3 57 -> 84 fr=47 (0.1416), cf=0.810, gamma=1.287, delta=0.032, M=-6.921e+000
3 41 -> ~85 fr=34 (0.1024), cf=0.850, gamma=1.350, delta=0.027, M=-6.774e+000
3 41 -> 84 fr=34 (0.1024), cf=0.850, gamma=1.350, delta=0.027, M=-6.774e+000
5 57 -> ~85 fr=45 (0.1355), cf=0.804, gamma=1.276, delta=0.029, M=-6.278e+000
5 57 -> 84 fr=45 (0.1355), cf=0.804, gamma=1.276, delta=0.029, M=-6.278e+000
57 -> 84 fr=49 (0.1476), cf=0.790, gamma=1.255, delta=0.030, M=-6.093e+000
3 5 35 -> 85 fr=82 (0.2470), cf=0.439, gamma=1.184, delta=0.038, M=-6.017e+000
3 5 35 -> ~84 fr=82 (0.2470), cf=0.439, gamma=1.184, delta=0.038, M=-6.017e+000
5 35 -> 85 fr=82 (0.2470), cf=0.436, gamma=1.177, delta=0.037, M=-5.761e+000
5 35 -> ~84 fr=82 (0.2470), cf=0.436, gamma=1.177, delta=0.037, M=-5.761e+000
3 23 71 -> ~85 fr=69 (0.2078), cf=0.750, gamma=1.191, delta=0.033, M=-5.756e+000
3 23 71 -> 84 fr=69 (0.2078), cf=0.750, gamma=1.191, delta=0.033, M=-5.756e+000
23 71 -> ~85 fr=71 (0.2139), cf=0.747, gamma=1.187, delta=0.034, M=-5.755e+000
23 71 -> 84 fr=71 (0.2139), cf=0.747, gamma=1.187, delta=0.034, M=-5.755e+000
56 -> 84 fr=36 (0.1084), cf=0.818, gamma=1.300, delta=0.025, M=-5.702e+000
48 -> 85 fr=36 (0.1084), cf=0.514, gamma=1.388, delta=0.030, M=-5.476e+000
41 -> 84 fr=35 (0.1054), cf=0.814, gamma=1.293, delta=0.024, M=-5.382e+000
3 32 -> ~85 fr=35 (0.1054), cf=0.814, gamma=1.293, delta=0.024, M=-5.382e+000
3 32 -> 84 fr=35 (0.1054), cf=0.814, gamma=1.293, delta=0.024, M=-5.382e+000
