1 -> ~85 fr=169 (0.5090), cf=0.876, gamma=1.391, delta=0.143, M=-6.485e+001
1 -> 84 fr=169 (0.5090), cf=0.876, gamma=1.391, delta=0.143, M=-6.485e+001
38 -> 85 fr=37 (0.1114), cf=0.822, gamma=2.219, delta=0.061, M=-2.422e+001
3 49 -> ~85 fr=65 (0.1958), cf=0.903, gamma=1.434, delta=0.059, M=-1.881e+001
3 49 -> 84 fr=65 (0.1958), cf=0.903, gamma=1.434, delta=0.059, M=-1.881e+001
49 -> 84 fr=70 (0.2108), cf=0.886, gamma=1.408, delta=0.061, M=-1.841e+001
16 -> ~85 fr=142 (0.4277), cf=0.755, gamma=1.200, delta=0.071, M=-1.678e+001
16 -> 84 fr=142 (0.4277), cf=0.755, gamma=1.200, delta=0.071, M=-1.678e+001
5 20 47 -> 85 fr=36 (0.1084), cf=0.706, gamma=1.905, delta=0.052, M=-1.587e+001
5 20 47 -> ~84 fr=36 (0.1084), cf=0.706, gamma=1.905, delta=0.052, M=-1.587e+001
5 25 47 -> 85 fr=37 (0.1114), cf=0.685, gamma=1.849, delta=0.051, M=-1.506e+001
5 25 47 -> ~84 fr=37 (0.1114), cf=0.685, gamma=1.849, delta=0.051, M=-1.506e+001
5 47 -> 85 fr=47 (0.1416), cf=0.618, gamma=1.669, delta=0.057, M=-1.453e+001
5 47 -> ~84 fr=47 (0.1416), cf=0.618, gamma=1.669, delta=0.057, M=-1.453e+001
3 66 -> ~85 fr=76 (0.2289), cf=0.835, gamma=1.327, delta=0.056, M=-1.417e+001
3 66 -> 84 fr=76 (0.2289), cf=0.835, gamma=1.327, delta=0.056, M=-1.417e+001
27 -> 84 fr=86 (0.2590), cf=0.811, gamma=1.289, delta=0.058, M=-1.361e+001
66 -> 84 fr=76 (0.2289), cf=0.826, gamma=1.312, delta=0.054, M=-1.320e+001
5 25 -> 85 fr=67 (0.2018), cf=0.532, gamma=1.435, delta=0.061, M=-1.320e+001
5 25 -> ~84 fr=67 (0.2018), cf=0.532, gamma=1.435, delta=0.061, M=-1.320e+001
25 47 -> 85 fr=39 (0.1175), cf=0.639, gamma=1.726, delta=0.049, M=-1.304e+001
25 47 -> ~84 fr=39 (0.1175), cf=0.639, gamma=1.726, delta=0.049, M=-1.304e+001
3 61 71 -> ~85 fr=58 (0.1747), cf=0.866, gamma=1.375, delta=0.048, M=-1.298e+001
3 61 71 -> 84 fr=58 (0.1747), cf=0.866, gamma=1.375, delta=0.048, M=-1.298e+001
65 -> 84 fr=43 (0.1295), cf=0.915, gamma=1.453, delta=0.040, M=-1.293e+001
61 71 -> ~85 fr=60 (0.1807), cf=0.857, gamma=1.362, delta=0.048, M=-1.270e+001
61 71 -> 84 fr=60 (0.1807), cf=0.857, gamma=1.362, delta=0.048, M=-1.270e+001
47 -> 85 fr=50 (0.1506), cf=0.581, gamma=1.569, delta=0.055, M=-1.270e+001
5 29 -> 85 fr=47 (0.1416), cf=0.587, gamma=1.586, delta=0.052, M=-1.224e+001
5 29 -> ~84 fr=47 (0.1416), cf=0.587, gamma=1.586, delta=0.052, M=-1.224e+001
3 61 -> ~85 fr=68 (0.2048), cf=0.829, gamma=1.317, delta=0.049, M=-1.189e+001
3 61 -> 84 fr=68 (0.2048), cf=0.829, gamma=1.317, delta=0.049, M=-1.189e+001
61 -> 84 fr=70 (0.2108), cf=0.824, gamma=1.308, delta=0.050, M=-1.175e+001
15 -> 85 fr=38 (0.1145), cf=0.623, gamma=1.681, delta=0.046, M=-1.169e+001
29 -> 85 fr=49 (0.1476), cf=0.557, gamma=1.503, delta=0.049, M=-1.057e+001
3 46 71 -> ~85 fr=57 (0.1717), cf=0.838, gamma=1.332, delta=0.043, M=-1.048e+001
