9 36 65 -> 103 fr=74 (0.1205), cf=0.961, gamma=7.974, delta=0.105, M=-2.117e+002
9 23 36 38 56 -> 103 fr=73 (0.1189), cf=0.973, gamma=8.076, delta=0.104, M=-2.087e+002
9 36 38 56 74 -> 103 fr=74 (0.1205), cf=0.937, gamma=7.772, delta=0.105, M=-2.060e+002
23 36 65 -> 103 fr=73 (0.1189), cf=0.948, gamma=7.866, delta=0.104, M=-2.025e+002
9 23 36 38 -> 103 fr=73 (0.1189), cf=0.948, gamma=7.866, delta=0.104, M=-2.025e+002
36 65 -> 103 fr=74 (0.1205), cf=0.914, gamma=7.580, delta=0.105, M=-2.010e+002
23 36 38 56 74 -> 103 fr=73 (0.1189), cf=0.913, gamma=7.571, delta=0.103, M=-1.948e+002
9 36 38 56 77 -> 103 fr=74 (0.1205), cf=0.881, gamma=7.310, delta=0.104, M=-1.943e+002
9 36 38 56 72 -> 103 fr=74 (0.1205), cf=0.881, gamma=7.310, delta=0.104, M=-1.943e+002
9 23 38 65 -> 103 fr=73 (0.1189), cf=0.901, gamma=7.478, delta=0.103, M=-1.924e+002
23 36 38 56 -> 103 fr=73 (0.1189), cf=0.901, gamma=7.478, delta=0.103, M=-1.924e+002
9 23 65 -> 103 fr=73 (0.1189), cf=0.869, gamma=7.211, delta=0.102, M=-1.861e+002
9 23 38 56 -> 103 fr=73 (0.1189), cf=0.869, gamma=7.211, delta=0.102, M=-1.861e+002
23 36 38 74 -> 103 fr=73 (0.1189), cf=0.859, gamma=7.126, delta=0.102, M=-1.841e+002
23 36 38 77 -> 103 fr=73 (0.1189), cf=0.849, gamma=7.043, delta=0.102, M=-1.823e+002
23 36 38 72 -> 103 fr=73 (0.1189), cf=0.849, gamma=7.043, delta=0.102, M=-1.823e+002
9 36 38 56 -> 103 fr=74 (0.1205), cf=0.813, gamma=6.747, delta=0.103, M=-1.813e+002
9 36 38 74 -> 103 fr=74 (0.1205), cf=0.813, gamma=6.747, delta=0.103, M=-1.813e+002
9 36 56 72 74 -> 103 fr=74 (0.1205), cf=0.804, gamma=6.674, delta=0.102, M=-1.797e+002
23 38 65 -> 103 fr=73 (0.1189), cf=0.820, gamma=6.806, delta=0.101, M=-1.769e+002
9 23 36 56 72 -> 103 fr=73 (0.1189), cf=0.820, gamma=6.806, delta=0.101, M=-1.769e+002
9 23 36 72 74 -> 103 fr=73 (0.1189), cf=0.811, gamma=6.730, delta=0.101, M=-1.753e+002
9 38 65 -> 103 fr=74 (0.1205), cf=0.779, gamma=6.463, delta=0.102, M=-1.751e+002
9 23 36 72 -> 103 fr=73 (0.1189), cf=0.802, gamma=6.656, delta=0.101, M=-1.737e+002
9 36 56 74 -> 103 fr=74 (0.1205), cf=0.771, gamma=6.396, delta=0.102, M=-1.736e+002
9 36 38 77 -> 103 fr=74 (0.1205), cf=0.771, gamma=6.396, delta=0.102, M=-1.736e+002
9 36 38 72 -> 103 fr=74 (0.1205), cf=0.771, gamma=6.396, delta=0.102, M=-1.736e+002
23 36 38 -> 103 fr=73 (0.1189), cf=0.785, gamma=6.513, delta=0.101, M=-1.706e+002
9 23 36 56 -> 103 fr=73 (0.1189), cf=0.785, gamma=6.513, delta=0.101, M=-1.706e+002
23 36 56 72 74 -> 103 fr=73 (0.1189), cf=0.785, gamma=6.513, delta=0.101, M=-1.706e+002
9 23 36 74 -> 103 fr=73 (0.1189), cf=0.777, gamma=6.444, delta=0.100, M=-1.691e+002
9 23 36 -> 103 fr=73 (0.1189), cf=0.768, gamma=6.376, delta=0.100, M=-1.676e+002
23 36 56 72 -> 103 fr=73 (0.1189), cf=0.768, gamma=6.376, delta=0.100, M=-1.676e+002
23 65 -> 103 fr=73 (0.1189), cf=0.760, gamma=6.309, delta=0.100, M=-1.662e+002
9 36 38 -> 103 fr=74 (0.1205), cf=0.718, gamma=5.961, delta=0.100, M=-1.641e+002
9 36 56 72 -> 103 fr=74 (0.1205), cf=0.718, gamma=5.961, delta=0.100, M=-1.641e+002
23 36 56 74 -> 103 fr=73 (0.1189), cf=0.745, gamma=6.181, delta=0.100, M=-1.634e+002
23 36 72 74 -> 103 fr=73 (0.1189), cf=0.745, gamma=6.181, delta=0.100, M=-1.634e+002
9 65 -> 103 fr=74 (0.1205), cf=0.712, gamma=5.904, delta=0.100, M=-1.629e+002
9 36 72 74 -> 103 fr=74 (0.1205), cf=0.712, gamma=5.904, delta=0.100, M=-1.629e+002
23 36 56 -> 103 fr=73 (0.1189), cf=0.730, gamma=6.057, delta=0.099, M=-1.608e+002
