9 36 65 -> 103 fr=81 (0.1319), cf=0.964, gamma=7.310, delta=0.114, M=-2.250e+002
9 23 36 38 56 -> 103 fr=80 (0.1303), cf=0.976, gamma=7.395, delta=0.113, M=-2.220e+002
9 36 38 56 74 -> 103 fr=81 (0.1319), cf=0.953, gamma=7.224, delta=0.114, M=-2.219e+002
36 65 -> 103 fr=81 (0.1319), cf=0.942, gamma=7.140, delta=0.113, M=-2.191e+002
9 23 36 38 -> 103 fr=80 (0.1303), cf=0.952, gamma=7.219, delta=0.112, M=-2.157e+002
9 36 38 56 77 -> 103 fr=81 (0.1319), cf=0.910, gamma=6.899, delta=0.113, M=-2.114e+002
9 36 38 56 72 -> 103 fr=81 (0.1319), cf=0.910, gamma=6.899, delta=0.113, M=-2.114e+002
9 23 38 65 -> 103 fr=80 (0.1303), cf=0.920, gamma=6.970, delta=0.112, M=-2.077e+002
23 36 38 56 72 74 -> 103 fr=80 (0.1303), cf=0.920, gamma=6.970, delta=0.112, M=-2.077e+002
23 36 38 56 74 -> 103 fr=80 (0.1303), cf=0.909, gamma=6.891, delta=0.111, M=-2.053e+002
23 36 38 56 72 -> 103 fr=80 (0.1303), cf=0.909, gamma=6.891, delta=0.111, M=-2.053e+002
23 36 38 56 -> 103 fr=80 (0.1303), cf=0.899, gamma=6.814, delta=0.111, M=-2.030e+002
9 36 38 74 -> 103 fr=81 (0.1319), cf=0.853, gamma=6.463, delta=0.112, M=-1.989e+002
9 23 65 -> 103 fr=80 (0.1303), cf=0.879, gamma=6.664, delta=0.111, M=-1.987e+002
9 23 38 56 -> 103 fr=80 (0.1303), cf=0.879, gamma=6.664, delta=0.111, M=-1.987e+002
23 36 38 72 74 -> 103 fr=80 (0.1303), cf=0.870, gamma=6.592, delta=0.111, M=-1.966e+002
9 36 38 56 -> 103 fr=81 (0.1319), cf=0.835, gamma=6.330, delta=0.111, M=-1.952e+002
9 36 56 72 74 -> 103 fr=81 (0.1319), cf=0.835, gamma=6.330, delta=0.111, M=-1.952e+002
23 36 38 74 -> 103 fr=80 (0.1303), cf=0.860, gamma=6.521, delta=0.110, M=-1.947e+002
23 36 38 72 -> 103 fr=80 (0.1303), cf=0.860, gamma=6.521, delta=0.110, M=-1.947e+002
23 36 38 77 -> 103 fr=80 (0.1303), cf=0.851, gamma=6.451, delta=0.110, M=-1.928e+002
9 36 38 77 -> 103 fr=81 (0.1319), cf=0.818, gamma=6.202, delta=0.111, M=-1.918e+002
9 36 38 72 -> 103 fr=81 (0.1319), cf=0.818, gamma=6.202, delta=0.111, M=-1.918e+002
9 23 36 56 72 -> 103 fr=80 (0.1303), cf=0.842, gamma=6.383, delta=0.110, M=-1.909e+002
23 38 65 -> 103 fr=80 (0.1303), cf=0.833, gamma=6.317, delta=0.110, M=-1.891e+002
9 23 36 72 74 -> 103 fr=80 (0.1303), cf=0.833, gamma=6.317, delta=0.110, M=-1.891e+002
9 36 56 74 -> 103 fr=81 (0.1319), cf=0.802, gamma=6.079, delta=0.110, M=-1.885e+002
9 23 36 72 -> 103 fr=80 (0.1303), cf=0.825, gamma=6.252, delta=0.109, M=-1.874e+002
9 38 65 -> 103 fr=81 (0.1319), cf=0.794, gamma=6.020, delta=0.110, M=-1.869e+002
9 23 36 56 -> 103 fr=80 (0.1303), cf=0.808, gamma=6.125, delta=0.109, M=-1.841e+002
23 36 56 72 74 -> 103 fr=80 (0.1303), cf=0.808, gamma=6.125, delta=0.109, M=-1.841e+002
9 23 36 74 -> 103 fr=80 (0.1303), cf=0.800, gamma=6.064, delta=0.109, M=-1.825e+002
9 23 36 -> 103 fr=80 (0.1303), cf=0.792, gamma=6.004, delta=0.109, M=-1.809e+002
23 36 56 72 -> 103 fr=80 (0.1303), cf=0.792, gamma=6.004, delta=0.109, M=-1.809e+002
9 36 38 -> 103 fr=81 (0.1319), cf=0.757, gamma=5.738, delta=0.109, M=-1.795e+002
9 36 56 72 -> 103 fr=81 (0.1319), cf=0.757, gamma=5.738, delta=0.109, M=-1.795e+002
9 36 72 74 -> 103 fr=81 (0.1319), cf=0.757, gamma=5.738, delta=0.109, M=-1.795e+002
23 36 38 -> 103 fr=80 (0.1303), cf=0.784, gamma=5.945, delta=0.108, M=-1.794e+002
23 65 -> 103 fr=80 (0.1303), cf=0.777, gamma=5.888, delta=0.108, M=-1.779e+002
36 38 56 72 74 -> 103 fr=81 (0.1319), cf=0.743, gamma=5.633, delta=0.109, M=-1.768e+002
23 36 72 74 -> 103 fr=80 (0.1303), cf=0.769, gamma=5.831, delta=0.108, M=-1.764e+002
36 38 56 74 -> 103 fr=81 (0.1319), cf=0.736, gamma=5.582, delta=0.108, M=-1.754e+002
23 36 56 74 -> 103 fr=80 (0.1303), cf=0.762, gamma=5.775, delta=0.108, M=-1.750e+002
9 36 74 -> 103 fr=81 (0.1319), cf=0.730, gamma=5.532, delta=0.108, M=-1.741e+002
9 36 56 77 -> 103 fr=81 (0.1319), cf=0.730, gamma=5.532, delta=0.108, M=-1.741e+002
23 36 72 -> 103 fr=80 (0.1303), cf=0.755, gamma=5.721, delta=0.108, M=-1.736e+002
23 36 56 -> 103 fr=80 (0.1303), cf=0.748, gamma=5.667, delta=0.107, M=-1.722e+002
9 23 56 72 74 -> 103 fr=80 (0.1303), cf=0.748, gamma=5.667, delta=0.107, M=-1.722e+002
9 23 56 72 -> 103 fr=80 (0.1303), cf=0.741, gamma=5.615, delta=0.107, M=-1.708e+002
9 65 -> 103 fr=81 (0.1319), cf=0.711, gamma=5.386, delta=0.107, M=-1.703e+002
9 23 38 -> 103 fr=80 (0.1303), cf=0.734, gamma=5.563, delta=0.107, M=-1.695e+002
23 36 74 -> 103 fr=80 (0.1303), cf=0.727, gamma=5.513, delta=0.107, M=-1.682e+002
23 38 56 72 74 -> 103 fr=80 (0.1303), cf=0.727, gamma=5.513, delta=0.107, M=-1.682e+002
9 23 56 74 -> 103 fr=80 (0.1303), cf=0.721, gamma=5.463, delta=0.106, M=-1.669e+002
23 38 56 74 -> 103 fr=80 (0.1303), cf=0.721, gamma=5.463, delta=0.106, M=-1.669e+002
23 38 56 72 -> 103 fr=80 (0.1303), cf=0.721, gamma=5.463, delta=0.106, M=-1.669e+002
9 36 72 -> 103 fr=81 (0.1319), cf=0.692, gamma=5.248, delta=0.107, M=-1.667e+002
23 36 77 -> 103 fr=80 (0.1303), cf=0.714, gamma=5.414, delta=0.106, M=-1.657e+002
9 23 56 -> 103 fr=80 (0.1303), cf=0.714, gamma=5.414, delta=0.106, M=-1.657e+002
23 38 56 -> 103 fr=80 (0.1303), cf=0.714, gamma=5.414, delta=0.106, M=-1.657e+002
9 38 56 74 -> 103 fr=81 (0.1319), cf=0.686, gamma=5.203, delta=0.107, M=-1.656e+002
36 38 56 72 77 -> 103 fr=81 (0.1319), cf=0.686, gamma=5.203, delta=0.107, M=-1.656e+002
9 36 56 -> 103 fr=81 (0.1319), cf=0.681, gamma=5.160, delta=0.106, M=-1.644e+002
36 38 56 77 -> 103 fr=81 (0.1319), cf=0.681, gamma=5.160, delta=0.106, M=-1.644e+002
9 36 77 -> 103 fr=81 (0.1319), cf=0.669, gamma=5.074, delta=0.106, M=-1.622e+002
36 56 72 74 -> 103 fr=81 (0.1319), cf=0.669, gamma=5.074, delta=0.106, M=-1.622e+002
9 38 56 77 -> 103 fr=81 (0.1319), cf=0.664, gamma=5.033, delta=0.106, M=-1.611e+002
9 38 56 72 -> 103 fr=81 (0.1319), cf=0.664, gamma=5.033, delta=0.106, M=-1.611e+002
23 36 -> 103 fr=80 (0.1303), cf=0.667, gamma=5.053, delta=0.105, M=-1.564e+002
65 98 -> 103 fr=62 (0.1010), cf=1.000, gamma=7.580, delta=0.088, M=-1.561e+002
36 38 74 98 -> 103 fr=62 (0.1010), cf=1.000, gamma=7.580, delta=0.088, M=-1.561e+002
36 38 77 98 -> 103 fr=62 (0.1010), cf=1.000, gamma=7.580, delta=0.088, M=-1.561e+002
36 38 72 98 -> 103 fr=62 (0.1010), cf=1.000, gamma=7.580, delta=0.088, M=-1.561e+002
38 56 74 98 -> 103 fr=62 (0.1010), cf=1.000, gamma=7.580, delta=0.088, M=-1.561e+002
38 56 77 98 -> 103 fr=62 (0.1010), cf=1.000, gamma=7.580, delta=0.088, M=-1.561e+002
38 56 72 98 -> 103 fr=62 (0.1010), cf=1.000, gamma=7.580, delta=0.088, M=-1.561e+002
36 56 74 -> 103 fr=81 (0.1319), cf=0.638, gamma=4.835, delta=0.105, M=-1.559e+002
38 65 69 -> 103 fr=63 (0.1026), cf=0.984, gamma=7.462, delta=0.089, M=-1.554e+002
9 36 -> 103 fr=81 (0.1319), cf=0.628, gamma=4.760, delta=0.104, M=-1.539e+002
9 38 56 -> 103 fr=81 (0.1319), cf=0.623, gamma=4.723, delta=0.104, M=-1.529e+002
36 38 72 74 -> 103 fr=81 (0.1319), cf=0.623, gamma=4.723, delta=0.104, M=-1.529e+002
9 23 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
23 56 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
23 38 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
36 74 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
36 77 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
36 72 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
56 74 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
56 77 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
56 72 98 -> 103 fr=62 (0.1010), cf=0.984, gamma=7.460, delta=0.087, M=-1.520e+002
36 38 74 -> 103 fr=81 (0.1319), cf=0.618, gamma=4.687, delta=0.104, M=-1.520e+002
9 23 72 74 -> 103 fr=80 (0.1303), cf=0.640, gamma=4.851, delta=0.103, M=-1.512e+002
9 23 72 -> 103 fr=80 (0.1303), cf=0.635, gamma=4.813, delta=0.103, M=-1.502e+002
23 98 -> 103 fr=62 (0.1010), cf=0.969, gamma=7.343, delta=0.087, M=-1.486e+002
9 23 74 -> 103 fr=80 (0.1303), cf=0.620, gamma=4.701, delta=0.103, M=-1.472e+002
23 56 72 74 -> 103 fr=80 (0.1303), cf=0.620, gamma=4.701, delta=0.103, M=-1.472e+002
36 38 56 72 -> 103 fr=81 (0.1319), cf=0.591, gamma=4.482, delta=0.102, M=-1.464e+002
9 23 -> 103 fr=80 (0.1303), cf=0.615, gamma=4.665, delta=0.102, M=-1.463e+002
38 65 -> 103 fr=81 (0.1319), cf=0.587, gamma=4.449, delta=0.102, M=-1.455e+002
23 56 72 -> 103 fr=80 (0.1303), cf=0.611, gamma=4.629, delta=0.102, M=-1.453e+002
36 56 72 77 -> 103 fr=81 (0.1319), cf=0.583, gamma=4.417, delta=0.102, M=-1.447e+002
36 38 72 77 -> 103 fr=81 (0.1319), cf=0.583, gamma=4.417, delta=0.102, M=-1.447e+002
36 38 77 -> 103 fr=81 (0.1319), cf=0.579, gamma=4.386, delta=0.102, M=-1.438e+002
36 72 74 -> 103 fr=81 (0.1319), cf=0.570, gamma=4.324, delta=0.101, M=-1.421e+002
23 56 74 -> 103 fr=80 (0.1303), cf=0.593, gamma=4.492, delta=0.101, M=-1.417e+002
9 56 72 74 -> 103 fr=81 (0.1319), cf=0.563, gamma=4.264, delta=0.101, M=-1.404e+002
