9 36 65 -> 103 fr=82 (0.1336), cf=0.976, gamma=7.310, delta=0.115, M=-2.301e+002
9 23 36 38 56 -> 103 fr=81 (0.1319), cf=0.988, gamma=7.396, delta=0.114, M=-2.276e+002
9 36 38 56 74 -> 103 fr=82 (0.1336), cf=0.953, gamma=7.140, delta=0.115, M=-2.237e+002
23 36 65 -> 103 fr=81 (0.1319), cf=0.964, gamma=7.220, delta=0.114, M=-2.206e+002
9 23 36 38 -> 103 fr=81 (0.1319), cf=0.964, gamma=7.220, delta=0.114, M=-2.206e+002
36 65 -> 103 fr=82 (0.1336), cf=0.932, gamma=6.977, delta=0.114, M=-2.182e+002
9 36 38 56 77 -> 103 fr=82 (0.1336), cf=0.911, gamma=6.822, delta=0.114, M=-2.132e+002
9 36 38 56 72 -> 103 fr=82 (0.1336), cf=0.911, gamma=6.822, delta=0.114, M=-2.132e+002
23 36 38 56 74 -> 103 fr=81 (0.1319), cf=0.931, gamma=6.971, delta=0.113, M=-2.120e+002
9 23 38 65 -> 103 fr=81 (0.1319), cf=0.920, gamma=6.892, delta=0.113, M=-2.095e+002
23 36 38 56 -> 103 fr=81 (0.1319), cf=0.920, gamma=6.892, delta=0.113, M=-2.095e+002
9 23 38 56 -> 103 fr=81 (0.1319), cf=0.900, gamma=6.739, delta=0.112, M=-2.048e+002
9 23 65 -> 103 fr=81 (0.1319), cf=0.890, gamma=6.665, delta=0.112, M=-2.025e+002
23 36 38 74 -> 103 fr=81 (0.1319), cf=0.880, gamma=6.593, delta=0.112, M=-2.004e+002
23 36 38 77 -> 103 fr=81 (0.1319), cf=0.871, gamma=6.522, delta=0.112, M=-1.984e+002
23 36 38 72 -> 103 fr=81 (0.1319), cf=0.871, gamma=6.522, delta=0.112, M=-1.984e+002
9 36 38 56 -> 103 fr=82 (0.1336), cf=0.837, gamma=6.265, delta=0.112, M=-1.969e+002
9 36 38 74 -> 103 fr=82 (0.1336), cf=0.837, gamma=6.265, delta=0.112, M=-1.969e+002
9 36 56 72 74 -> 103 fr=82 (0.1336), cf=0.837, gamma=6.265, delta=0.112, M=-1.969e+002
9 23 36 56 72 -> 103 fr=81 (0.1319), cf=0.853, gamma=6.384, delta=0.111, M=-1.945e+002
9 23 36 72 74 -> 103 fr=81 (0.1319), cf=0.844, gamma=6.318, delta=0.111, M=-1.926e+002
9 23 36 72 -> 103 fr=81 (0.1319), cf=0.835, gamma=6.253, delta=0.111, M=-1.908e+002
9 36 56 74 -> 103 fr=82 (0.1336), cf=0.804, gamma=6.020, delta=0.111, M=-1.901e+002
9 36 38 77 -> 103 fr=82 (0.1336), cf=0.804, gamma=6.020, delta=0.111, M=-1.901e+002
9 36 38 72 -> 103 fr=82 (0.1336), cf=0.804, gamma=6.020, delta=0.111, M=-1.901e+002
23 38 65 -> 103 fr=81 (0.1319), cf=0.827, gamma=6.189, delta=0.111, M=-1.891e+002
9 23 36 56 -> 103 fr=81 (0.1319), cf=0.818, gamma=6.126, delta=0.110, M=-1.874e+002
23 36 56 72 74 -> 103 fr=81 (0.1319), cf=0.818, gamma=6.126, delta=0.110, M=-1.874e+002
9 23 36 74 -> 103 fr=81 (0.1319), cf=0.810, gamma=6.065, delta=0.110, M=-1.857e+002
9 38 65 -> 103 fr=82 (0.1336), cf=0.781, gamma=5.848, delta=0.111, M=-1.855e+002
9 23 36 -> 103 fr=81 (0.1319), cf=0.802, gamma=6.005, delta=0.110, M=-1.841e+002
23 36 38 -> 103 fr=81 (0.1319), cf=0.802, gamma=6.005, delta=0.110, M=-1.841e+002
23 36 56 72 -> 103 fr=81 (0.1319), cf=0.802, gamma=6.005, delta=0.110, M=-1.841e+002
9 36 56 72 -> 103 fr=82 (0.1336), cf=0.766, gamma=5.738, delta=0.110, M=-1.825e+002
23 65 -> 103 fr=81 (0.1319), cf=0.779, gamma=5.832, delta=0.109, M=-1.795e+002
23 36 56 74 -> 103 fr=81 (0.1319), cf=0.779, gamma=5.832, delta=0.109, M=-1.795e+002
23 36 72 74 -> 103 fr=81 (0.1319), cf=0.779, gamma=5.832, delta=0.109, M=-1.795e+002
9 36 38 -> 103 fr=82 (0.1336), cf=0.745, gamma=5.582, delta=0.110, M=-1.783e+002
9 36 72 74 -> 103 fr=82 (0.1336), cf=0.745, gamma=5.582, delta=0.110, M=-1.783e+002
36 38 56 74 -> 103 fr=82 (0.1336), cf=0.745, gamma=5.582, delta=0.110, M=-1.783e+002
9 23 56 72 74 -> 103 fr=81 (0.1319), cf=0.771, gamma=5.776, delta=0.109, M=-1.780e+002
9 36 56 77 -> 103 fr=82 (0.1336), cf=0.739, gamma=5.532, delta=0.109, M=-1.770e+002
23 36 56 -> 103 fr=81 (0.1319), cf=0.764, gamma=5.722, delta=0.109, M=-1.766e+002
23 36 72 -> 103 fr=81 (0.1319), cf=0.764, gamma=5.722, delta=0.109, M=-1.766e+002
9 23 56 72 -> 103 fr=81 (0.1319), cf=0.764, gamma=5.722, delta=0.109, M=-1.766e+002
9 65 -> 103 fr=82 (0.1336), cf=0.719, gamma=5.386, delta=0.109, M=-1.731e+002
9 36 74 -> 103 fr=82 (0.1336), cf=0.719, gamma=5.386, delta=0.109, M=-1.731e+002
23 36 74 -> 103 fr=81 (0.1319), cf=0.743, gamma=5.564, delta=0.108, M=-1.724e+002
9 23 56 74 -> 103 fr=81 (0.1319), cf=0.743, gamma=5.564, delta=0.108, M=-1.724e+002
9 23 56 -> 103 fr=81 (0.1319), cf=0.736, gamma=5.514, delta=0.108, M=-1.711e+002
23 38 56 74 -> 103 fr=81 (0.1319), cf=0.736, gamma=5.514, delta=0.108, M=-1.711e+002
23 36 77 -> 103 fr=81 (0.1319), cf=0.730, gamma=5.464, delta=0.108, M=-1.698e+002
9 23 38 -> 103 fr=81 (0.1319), cf=0.730, gamma=5.464, delta=0.108, M=-1.698e+002
23 38 56 -> 103 fr=81 (0.1319), cf=0.730, gamma=5.464, delta=0.108, M=-1.698e+002
9 36 56 -> 103 fr=82 (0.1336), cf=0.689, gamma=5.160, delta=0.108, M=-1.671e+002
9 36 72 -> 103 fr=82 (0.1336), cf=0.689, gamma=5.160, delta=0.108, M=-1.671e+002
36 38 56 77 -> 103 fr=82 (0.1336), cf=0.689, gamma=5.160, delta=0.108, M=-1.671e+002
9 38 56 74 -> 103 fr=82 (0.1336), cf=0.683, gamma=5.117, delta=0.107, M=-1.659e+002
36 56 72 74 -> 103 fr=82 (0.1336), cf=0.672, gamma=5.033, delta=0.107, M=-1.637e+002
9 36 77 -> 103 fr=82 (0.1336), cf=0.667, gamma=4.992, delta=0.107, M=-1.626e+002
9 38 56 77 -> 103 fr=82 (0.1336), cf=0.661, gamma=4.952, delta=0.107, M=-1.615e+002
9 38 56 72 -> 103 fr=82 (0.1336), cf=0.661, gamma=4.952, delta=0.107, M=-1.615e+002
65 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
23 38 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
36 38 74 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
36 38 77 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
36 38 72 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
38 56 74 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
38 56 77 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
38 56 72 98 -> 103 fr=64 (0.1042), cf=1.000, gamma=7.488, delta=0.090, M=-1.614e+002
23 36 -> 103 fr=81 (0.1319), cf=0.681, gamma=5.097, delta=0.106, M=-1.601e+002
36 56 74 -> 103 fr=82 (0.1336), cf=0.646, gamma=4.835, delta=0.106, M=-1.583e+002
23 98 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
36 74 98 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
36 77 98 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
36 72 98 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
56 74 98 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
56 77 98 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
56 72 98 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
38 65 69 -> 103 fr=64 (0.1042), cf=0.985, gamma=7.373, delta=0.090, M=-1.573e+002
