8 -> 36 fr=37 (0.4022), cf=1.000, gamma=2.486, delta=0.240, M=-5.953e+001
7 -> ~36 fr=55 (0.5978), cf=1.000, gamma=1.673, delta=0.240, M=-5.953e+001
5 21 -> 36 fr=36 (0.3913), cf=1.000, gamma=2.486, delta=0.234, M=-5.550e+001
5 16 20 -> 36 fr=36 (0.3913), cf=1.000, gamma=2.486, delta=0.234, M=-5.550e+001
5 18 20 -> 36 fr=36 (0.3913), cf=1.000, gamma=2.486, delta=0.234, M=-5.550e+001
2 18 -> 36 fr=35 (0.3804), cf=1.000, gamma=2.486, delta=0.227, M=-5.215e+001
5 16 -> 36 fr=36 (0.3913), cf=0.973, gamma=2.419, delta=0.230, M=-5.191e+001
5 20 -> 36 fr=36 (0.3913), cf=0.973, gamma=2.419, delta=0.230, M=-5.191e+001
5 18 -> 36 fr=36 (0.3913), cf=0.973, gamma=2.419, delta=0.230, M=-5.191e+001
2 5 -> 36 fr=34 (0.3696), cf=1.000, gamma=2.486, delta=0.221, M=-4.919e+001
2 16 -> 36 fr=34 (0.3696), cf=1.000, gamma=2.486, delta=0.221, M=-4.919e+001
6 -> ~36 fr=53 (0.5761), cf=0.981, gamma=1.642, delta=0.225, M=-4.898e+001
2 9 -> 36 fr=33 (0.3587), cf=1.000, gamma=2.486, delta=0.214, M=-4.650e+001
2 21 -> 36 fr=35 (0.3804), cf=0.946, gamma=2.352, delta=0.219, M=-4.572e+001
3 18 20 21 -> 36 fr=37 (0.4022), cf=0.860, gamma=2.140, delta=0.214, M=-4.390e+001
4 -> 37 fr=18 (0.1957), cf=1.000, gamma=5.111, delta=0.157, M=-4.322e+001
3 -> ~37 fr=74 (0.8043), cf=1.000, gamma=1.243, delta=0.157, M=-4.322e+001
15 26 -> 37 fr=18 (0.1957), cf=1.000, gamma=5.111, delta=0.157, M=-4.322e+001
1 26 -> 37 fr=18 (0.1957), cf=1.000, gamma=5.111, delta=0.157, M=-4.322e+001
6 26 -> 37 fr=18 (0.1957), cf=1.000, gamma=5.111, delta=0.157, M=-4.322e+001
7 26 -> 37 fr=18 (0.1957), cf=1.000, gamma=5.111, delta=0.157, M=-4.322e+001
16 20 21 -> 36 fr=36 (0.3913), cf=0.878, gamma=2.183, delta=0.212, M=-4.207e+001
