8 -> 36 fr=37 (0.4111), cf=1.000, gamma=2.432, delta=0.242, M=-5.849e+001
7 -> ~36 fr=53 (0.5889), cf=1.000, gamma=1.698, delta=0.242, M=-5.849e+001
5 21 -> 36 fr=36 (0.4000), cf=1.000, gamma=2.432, delta=0.236, M=-5.450e+001
5 16 20 -> 36 fr=36 (0.4000), cf=1.000, gamma=2.432, delta=0.236, M=-5.450e+001
5 18 20 -> 36 fr=36 (0.4000), cf=1.000, gamma=2.432, delta=0.236, M=-5.450e+001
2 18 -> 36 fr=35 (0.3889), cf=1.000, gamma=2.432, delta=0.229, M=-5.119e+001
5 16 -> 36 fr=36 (0.4000), cf=0.973, gamma=2.367, delta=0.231, M=-5.091e+001
5 20 -> 36 fr=36 (0.4000), cf=0.973, gamma=2.367, delta=0.231, M=-5.091e+001
5 18 -> 36 fr=36 (0.4000), cf=0.973, gamma=2.367, delta=0.231, M=-5.091e+001
2 5 -> 36 fr=34 (0.3778), cf=1.000, gamma=2.432, delta=0.222, M=-4.826e+001
2 16 -> 36 fr=34 (0.3778), cf=1.000, gamma=2.432, delta=0.222, M=-4.826e+001
6 -> ~36 fr=51 (0.5667), cf=0.981, gamma=1.665, delta=0.226, M=-4.798e+001
3 18 20 21 -> 36 fr=37 (0.4111), cf=0.902, gamma=2.195, delta=0.224, M=-4.697e+001
2 9 -> 36 fr=33 (0.3667), cf=1.000, gamma=2.432, delta=0.216, M=-4.560e+001
16 20 21 -> 36 fr=36 (0.4000), cf=0.923, gamma=2.245, delta=0.222, M=-4.544e+001
2 21 -> 36 fr=35 (0.3889), cf=0.946, gamma=2.301, delta=0.220, M=-4.476e+001
3 18 20 -> 36 fr=37 (0.4111), cf=0.860, gamma=2.093, delta=0.215, M=-4.287e+001
4 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
3 -> ~37 fr=72 (0.8000), cf=1.000, gamma=1.250, delta=0.160, M=-4.278e+001
15 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
1 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
6 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
7 26 -> 37 fr=18 (0.2000), cf=1.000, gamma=5.000, delta=0.160, M=-4.278e+001
16 20 -> 36 fr=36 (0.4000), cf=0.878, gamma=2.136, delta=0.213, M=-4.107e+001
1 -> ~36 fr=49 (0.5444), cf=0.961, gamma=1.632, delta=0.211, M=-4.002e+001
1 15 18 -> 37 fr=18 (0.2000), cf=0.947, gamma=4.737, delta=0.158, M=-3.983e+001
7 15 18 -> 37 fr=18 (0.2000), cf=0.947, gamma=4.737, delta=0.158, M=-3.983e+001
1 6 15 31 -> 37 fr=18 (0.2000), cf=0.947, gamma=4.737, delta=0.158, M=-3.983e+001
1 15 21 31 -> 37 fr=18 (0.2000), cf=0.947, gamma=4.737, delta=0.158, M=-3.983e+001
6 7 15 31 -> 37 fr=18 (0.2000), cf=0.947, gamma=4.737, delta=0.158, M=-3.983e+001
7 15 21 31 -> 37 fr=18 (0.2000), cf=0.947, gamma=4.737, delta=0.158, M=-3.983e+001
15 18 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
1 15 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
6 15 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
7 15 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
15 21 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
1 21 23 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
7 20 21 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
7 21 23 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
1 6 20 21 31 -> 37 fr=18 (0.2000), cf=0.900, gamma=4.500, delta=0.156, M=-3.753e+001
11 16 21 -> 36 fr=31 (0.3444), cf=0.969, gamma=2.356, delta=0.198, M=-3.751e+001
3 20 21 31 -> 36 fr=32 (0.3556), cf=0.941, gamma=2.289, delta=0.200, M=-3.700e+001
