1 5 19 23 27 -> ~38 fr=344 (0.4978), cf=0.815, gamma=1.252, delta=0.100, M=-6.689e+001
1 5 19 23 27 -> 37 fr=344 (0.4978), cf=0.815, gamma=1.252, delta=0.100, M=-6.689e+001
1 5 9 19 -> ~38 fr=364 (0.5268), cf=0.800, gamma=1.228, delta=0.098, M=-6.676e+001
1 5 9 19 -> 37 fr=364 (0.5268), cf=0.800, gamma=1.228, delta=0.098, M=-6.676e+001
1 5 23 27 -> ~38 fr=345 (0.4993), cf=0.814, gamma=1.249, delta=0.100, M=-6.643e+001
1 5 23 27 -> 37 fr=345 (0.4993), cf=0.814, gamma=1.249, delta=0.100, M=-6.643e+001
1 5 19 23 -> ~38 fr=363 (0.5253), cf=0.800, gamma=1.228, delta=0.097, M=-6.598e+001
1 5 19 23 -> 37 fr=363 (0.5253), cf=0.800, gamma=1.228, delta=0.097, M=-6.598e+001
1 5 23 -> ~38 fr=364 (0.5268), cf=0.798, gamma=1.226, delta=0.097, M=-6.561e+001
1 5 23 -> 37 fr=364 (0.5268), cf=0.798, gamma=1.226, delta=0.097, M=-6.561e+001
1 5 9 -> ~38 fr=365 (0.5282), cf=0.797, gamma=1.224, delta=0.097, M=-6.525e+001
1 5 9 -> 37 fr=365 (0.5282), cf=0.797, gamma=1.224, delta=0.097, M=-6.525e+001
5 23 -> ~38 fr=390 (0.5644), cf=0.777, gamma=1.193, delta=0.091, M=-6.462e+001
5 23 -> 37 fr=390 (0.5644), cf=0.777, gamma=1.193, delta=0.091, M=-6.462e+001
1 5 19 -> ~38 fr=371 (0.5369), cf=0.791, gamma=1.215, delta=0.095, M=-6.432e+001
1 5 19 -> 37 fr=371 (0.5369), cf=0.791, gamma=1.215, delta=0.095, M=-6.432e+001
1 5 -> ~38 fr=372 (0.5384), cf=0.788, gamma=1.210, delta=0.094, M=-6.288e+001
1 5 -> 37 fr=372 (0.5384), cf=0.788, gamma=1.210, delta=0.094, M=-6.288e+001
5 9 19 -> ~38 fr=388 (0.5615), cf=0.776, gamma=1.192, delta=0.090, M=-6.285e+001
5 9 19 -> 37 fr=388 (0.5615), cf=0.776, gamma=1.192, delta=0.090, M=-6.285e+001
5 9 -> ~38 fr=390 (0.5644), cf=0.774, gamma=1.188, delta=0.089, M=-6.240e+001
5 9 -> 37 fr=390 (0.5644), cf=0.774, gamma=1.188, delta=0.089, M=-6.240e+001
5 19 -> ~38 fr=397 (0.5745), cf=0.768, gamma=1.179, delta=0.087, M=-6.210e+001
5 19 -> 37 fr=397 (0.5745), cf=0.768, gamma=1.179, delta=0.087, M=-6.210e+001
5 -> ~38 fr=399 (0.5774), cf=0.766, gamma=1.176, delta=0.086, M=-6.176e+001
8 -> 38 fr=94 (0.1360), cf=0.764, gamma=2.191, delta=0.074, M=-5.707e+001
1 9 19 23 27 32 -> ~38 fr=338 (0.4891), cf=0.740, gamma=1.136, delta=0.058, M=-2.508e+001
1 9 19 23 27 32 -> 37 fr=338 (0.4891), cf=0.740, gamma=1.136, delta=0.058, M=-2.508e+001
1 19 23 27 32 -> ~38 fr=343 (0.4964), cf=0.736, gamma=1.130, delta=0.057, M=-2.449e+001
1 19 23 27 32 -> 37 fr=343 (0.4964), cf=0.736, gamma=1.130, delta=0.057, M=-2.449e+001
1 9 19 23 27 -> ~38 fr=371 (0.5369), cf=0.722, gamma=1.108, delta=0.052, M=-2.353e+001
1 9 19 23 27 -> 37 fr=371 (0.5369), cf=0.722, gamma=1.108, delta=0.052, M=-2.353e+001
1 9 23 27 32 -> ~38 fr=345 (0.4993), cf=0.732, gamma=1.125, delta=0.055, M=-2.331e+001
1 9 23 27 32 -> 37 fr=345 (0.4993), cf=0.732, gamma=1.125, delta=0.055, M=-2.331e+001
1 19 23 27 -> ~38 fr=378 (0.5470), cf=0.717, gamma=1.101, delta=0.050, M=-2.279e+001
1 19 23 27 -> 37 fr=378 (0.5470), cf=0.717, gamma=1.101, delta=0.050, M=-2.279e+001
1 23 27 32 -> ~38 fr=350 (0.5065), cf=0.729, gamma=1.120, delta=0.054, M=-2.278e+001
1 23 27 32 -> 37 fr=350 (0.5065), cf=0.729, gamma=1.120, delta=0.054, M=-2.278e+001
1 9 19 27 32 -> ~38 fr=345 (0.4993), cf=0.729, gamma=1.120, delta=0.053, M=-2.198e+001
1 9 19 27 32 -> 37 fr=345 (0.4993), cf=0.729, gamma=1.120, delta=0.053, M=-2.198e+001
1 9 19 23 32 -> ~38 fr=357 (0.5166), cf=0.724, gamma=1.112, delta=0.052, M=-2.184e+001
1 9 19 23 32 -> 37 fr=357 (0.5166), cf=0.724, gamma=1.112, delta=0.052, M=-2.184e+001
1 19 23 32 -> ~38 fr=364 (0.5268), cf=0.721, gamma=1.107, delta=0.051, M=-2.162e+001
1 19 23 32 -> 37 fr=364 (0.5268), cf=0.721, gamma=1.107, delta=0.051, M=-2.162e+001
1 9 19 27 -> ~38 fr=378 (0.5470), cf=0.713, gamma=1.095, delta=0.048, M=-2.075e+001
1 9 19 27 -> 37 fr=378 (0.5470), cf=0.713, gamma=1.095, delta=0.048, M=-2.075e+001
1 14 19 27 32 -> ~38 fr=318 (0.4602), cf=0.736, gamma=1.130, delta=0.053, M=-2.032e+001
1 14 19 27 32 -> 37 fr=318 (0.4602), cf=0.736, gamma=1.130, delta=0.053, M=-2.032e+001
1 9 27 32 -> ~38 fr=353 (0.5109), cf=0.722, gamma=1.108, delta=0.050, M=-2.014e+001
1 9 27 32 -> 37 fr=353 (0.5109), cf=0.722, gamma=1.108, delta=0.050, M=-2.014e+001
1 9 23 32 -> ~38 fr=365 (0.5282), cf=0.716, gamma=1.099, delta=0.048, M=-1.947e+001
1 9 23 32 -> 37 fr=365 (0.5282), cf=0.716, gamma=1.099, delta=0.048, M=-1.947e+001
1 9 23 27 -> ~38 fr=378 (0.5470), cf=0.711, gamma=1.091, delta=0.046, M=-1.944e+001
1 9 23 27 -> 37 fr=378 (0.5470), cf=0.711, gamma=1.091, delta=0.046, M=-1.944e+001
1 19 27 32 -> ~38 fr=351 (0.5080), cf=0.721, gamma=1.107, delta=0.049, M=-1.933e+001
1 19 27 32 -> 37 fr=351 (0.5080), cf=0.721, gamma=1.107, delta=0.049, M=-1.933e+001
1 23 32 -> ~38 fr=372 (0.5384), cf=0.713, gamma=1.094, delta=0.046, M=-1.933e+001
1 23 32 -> 37 fr=372 (0.5384), cf=0.713, gamma=1.094, delta=0.046, M=-1.933e+001
1 9 19 32 -> ~38 fr=366 (0.5297), cf=0.715, gamma=1.098, delta=0.047, M=-1.927e+001
1 9 19 32 -> 37 fr=366 (0.5297), cf=0.715, gamma=1.098, delta=0.047, M=-1.927e+001
1 9 19 23 -> ~38 fr=390 (0.5644), cf=0.705, gamma=1.083, delta=0.043, M=-1.922e+001
1 9 19 23 -> 37 fr=390 (0.5644), cf=0.705, gamma=1.083, delta=0.043, M=-1.922e+001
1 19 23 -> ~38 fr=399 (0.5774), cf=0.701, gamma=1.077, delta=0.041, M=-1.908e+001
1 19 23 -> 37 fr=399 (0.5774), cf=0.701, gamma=1.077, delta=0.041, M=-1.908e+001
1 14 19 32 -> ~38 fr=337 (0.4877), cf=0.725, gamma=1.113, delta=0.049, M=-1.880e+001
1 14 19 32 -> 37 fr=337 (0.4877), cf=0.725, gamma=1.113, delta=0.049, M=-1.880e+001
1 23 27 -> ~38 fr=385 (0.5572), cf=0.706, gamma=1.085, delta=0.044, M=-1.879e+001
1 23 27 -> 37 fr=385 (0.5572), cf=0.706, gamma=1.085, delta=0.044, M=-1.879e+001
1 19 27 -> ~38 fr=386 (0.5586), cf=0.704, gamma=1.082, delta=0.042, M=-1.798e+001
1 19 27 -> 37 fr=386 (0.5586), cf=0.704, gamma=1.082, delta=0.042, M=-1.798e+001
1 27 32 -> ~38 fr=359 (0.5195), cf=0.714, gamma=1.096, delta=0.045, M=-1.763e+001
1 27 32 -> 37 fr=359 (0.5195), cf=0.714, gamma=1.096, delta=0.045, M=-1.763e+001
1 9 19 -> ~38 fr=400 (0.5789), cf=0.698, gamma=1.072, delta=0.039, M=-1.760e+001
1 9 19 -> 37 fr=400 (0.5789), cf=0.698, gamma=1.072, delta=0.039, M=-1.760e+001
1 19 32 -> ~38 fr=374 (0.5412), cf=0.707, gamma=1.086, delta=0.043, M=-1.708e+001
1 19 32 -> 37 fr=374 (0.5412), cf=0.707, gamma=1.086, delta=0.043, M=-1.708e+001
1 9 32 -> ~38 fr=375 (0.5427), cf=0.706, gamma=1.084, delta=0.042, M=-1.689e+001
1 9 32 -> 37 fr=375 (0.5427), cf=0.706, gamma=1.084, delta=0.042, M=-1.689e+001
1 9 27 -> ~38 fr=386 (0.5586), cf=0.702, gamma=1.078, delta=0.040, M=-1.672e+001
1 9 27 -> 37 fr=386 (0.5586), cf=0.702, gamma=1.078, delta=0.040, M=-1.672e+001
1 14 19 -> ~38 fr=372 (0.5384), cf=0.706, gamma=1.084, delta=0.042, M=-1.626e+001
1 14 19 -> 37 fr=372 (0.5384), cf=0.706, gamma=1.084, delta=0.042, M=-1.626e+001
1 14 32 -> ~38 fr=342 (0.4949), cf=0.715, gamma=1.099, delta=0.044, M=-1.595e+001
1 14 32 -> 37 fr=342 (0.4949), cf=0.715, gamma=1.099, delta=0.044, M=-1.595e+001
9 19 23 27 32 -> ~38 fr=354 (0.5123), cf=0.711, gamma=1.092, delta=0.043, M=-1.574e+001
9 19 23 27 32 -> 37 fr=354 (0.5123), cf=0.711, gamma=1.092, delta=0.043, M=-1.574e+001
1 19 -> ~38 fr=410 (0.5933), cf=0.690, gamma=1.060, delta=0.034, M=-1.552e+001
1 19 -> 37 fr=410 (0.5933), cf=0.690, gamma=1.060, delta=0.034, M=-1.552e+001
1 32 -> ~38 fr=383 (0.5543), cf=0.699, gamma=1.073, delta=0.038, M=-1.486e+001
1 32 -> 37 fr=383 (0.5543), cf=0.699, gamma=1.073, delta=0.038, M=-1.486e+001
1 9 23 -> ~38 fr=398 (0.5760), cf=0.693, gamma=1.065, delta=0.035, M=-1.475e+001
1 9 23 -> 37 fr=398 (0.5760), cf=0.693, gamma=1.065, delta=0.035, M=-1.475e+001
9 23 27 32 -> ~38 fr=362 (0.5239), cf=0.706, gamma=1.084, delta=0.040, M=-1.473e+001
9 23 27 32 -> 37 fr=362 (0.5239), cf=0.706, gamma=1.084, delta=0.040, M=-1.473e+001
1 23 -> ~38 fr=407 (0.5890), cf=0.690, gamma=1.059, delta=0.033, M=-1.465e+001
1 23 -> 37 fr=407 (0.5890), cf=0.690, gamma=1.059, delta=0.033, M=-1.465e+001
9 19 23 27 -> ~38 fr=396 (0.5731), cf=0.694, gamma=1.065, delta=0.035, M=-1.446e+001
9 19 23 27 -> 37 fr=396 (0.5731), cf=0.694, gamma=1.065, delta=0.035, M=-1.446e+001
19 23 27 32 -> ~38 fr=359 (0.5195), cf=0.705, gamma=1.083, delta=0.040, M=-1.421e+001
19 23 27 32 -> 37 fr=359 (0.5195), cf=0.705, gamma=1.083, delta=0.040, M=-1.421e+001
1 27 -> ~38 fr=394 (0.5702), cf=0.694, gamma=1.065, delta=0.035, M=-1.419e+001
1 27 -> 37 fr=394 (0.5702), cf=0.694, gamma=1.065, delta=0.035, M=-1.419e+001
23 27 32 -> ~38 fr=367 (0.5311), cf=0.700, gamma=1.075, delta=0.037, M=-1.327e+001
