1 5 23 27 -> ~38 fr=343 (0.4964), cf=0.821, gamma=1.260, delta=0.102, M=-6.977e+001
1 5 23 27 -> 37 fr=343 (0.4964), cf=0.821, gamma=1.260, delta=0.102, M=-6.977e+001
5 23 27 -> ~38 fr=370 (0.5355), cf=0.797, gamma=1.224, delta=0.098, M=-6.809e+001
5 23 27 -> 37 fr=370 (0.5355), cf=0.797, gamma=1.224, delta=0.098, M=-6.809e+001
1 5 9 19 27 -> ~38 fr=340 (0.4920), cf=0.817, gamma=1.255, delta=0.100, M=-6.638e+001
1 5 9 19 27 -> 37 fr=340 (0.4920), cf=0.817, gamma=1.255, delta=0.100, M=-6.638e+001
1 5 9 27 -> ~38 fr=342 (0.4949), cf=0.814, gamma=1.250, delta=0.099, M=-6.545e+001
1 5 9 27 -> 37 fr=342 (0.4949), cf=0.814, gamma=1.250, delta=0.099, M=-6.545e+001
1 5 19 27 -> ~38 fr=347 (0.5022), cf=0.809, gamma=1.242, delta=0.098, M=-6.438e+001
1 5 19 27 -> 37 fr=347 (0.5022), cf=0.809, gamma=1.242, delta=0.098, M=-6.438e+001
1 5 27 -> ~38 fr=349 (0.5051), cf=0.806, gamma=1.238, delta=0.097, M=-6.352e+001
1 5 27 -> 37 fr=349 (0.5051), cf=0.806, gamma=1.238, delta=0.097, M=-6.352e+001
1 5 23 -> ~38 fr=360 (0.5210), cf=0.796, gamma=1.223, delta=0.095, M=-6.256e+001
1 5 23 -> 37 fr=360 (0.5210), cf=0.796, gamma=1.223, delta=0.095, M=-6.256e+001
5 9 27 -> ~38 fr=368 (0.5326), cf=0.790, gamma=1.213, delta=0.093, M=-6.196e+001
5 9 27 -> 37 fr=368 (0.5326), cf=0.790, gamma=1.213, delta=0.093, M=-6.196e+001
5 23 -> ~38 fr=388 (0.5615), cf=0.774, gamma=1.189, delta=0.089, M=-6.176e+001
5 23 -> 37 fr=388 (0.5615), cf=0.774, gamma=1.189, delta=0.089, M=-6.176e+001
5 27 -> ~38 fr=377 (0.5456), cf=0.782, gamma=1.201, delta=0.091, M=-6.136e+001
5 27 -> 37 fr=377 (0.5456), cf=0.782, gamma=1.201, delta=0.091, M=-6.136e+001
1 5 9 19 -> ~38 fr=357 (0.5166), cf=0.795, gamma=1.221, delta=0.093, M=-6.035e+001
1 5 9 19 -> 37 fr=357 (0.5166), cf=0.795, gamma=1.221, delta=0.093, M=-6.035e+001
1 5 9 -> ~38 fr=359 (0.5195), cf=0.792, gamma=1.217, delta=0.093, M=-5.961e+001
1 5 9 -> 37 fr=359 (0.5195), cf=0.792, gamma=1.217, delta=0.093, M=-5.961e+001
1 5 19 -> ~38 fr=365 (0.5282), cf=0.787, gamma=1.208, delta=0.091, M=-5.860e+001
1 5 19 -> 37 fr=365 (0.5282), cf=0.787, gamma=1.208, delta=0.091, M=-5.860e+001
1 5 -> ~38 fr=367 (0.5311), cf=0.784, gamma=1.204, delta=0.090, M=-5.794e+001
1 5 -> 37 fr=367 (0.5311), cf=0.784, gamma=1.204, delta=0.090, M=-5.794e+001
5 -> ~38 fr=396 (0.5731), cf=0.760, gamma=1.167, delta=0.082, M=-5.584e+001
8 -> 38 fr=88 (0.1274), cf=0.739, gamma=2.120, delta=0.067, M=-4.860e+001
1 9 19 23 27 32 -> ~38 fr=336 (0.4863), cf=0.745, gamma=1.144, delta=0.061, M=-2.705e+001
1 9 19 23 27 32 -> 37 fr=336 (0.4863), cf=0.745, gamma=1.144, delta=0.061, M=-2.705e+001
1 19 23 27 32 -> ~38 fr=342 (0.4949), cf=0.742, gamma=1.139, delta=0.060, M=-2.688e+001
1 19 23 27 32 -> 37 fr=342 (0.4949), cf=0.742, gamma=1.139, delta=0.060, M=-2.688e+001
1 9 23 27 32 -> ~38 fr=344 (0.4978), cf=0.737, gamma=1.131, delta=0.058, M=-2.494e+001
1 9 23 27 32 -> 37 fr=344 (0.4978), cf=0.737, gamma=1.131, delta=0.058, M=-2.494e+001
1 23 27 32 -> ~38 fr=350 (0.5065), cf=0.734, gamma=1.127, delta=0.057, M=-2.484e+001
1 23 27 32 -> 37 fr=350 (0.5065), cf=0.734, gamma=1.127, delta=0.057, M=-2.484e+001
1 19 23 27 -> ~38 fr=375 (0.5427), cf=0.721, gamma=1.107, delta=0.053, M=-2.409e+001
1 19 23 27 -> 37 fr=375 (0.5427), cf=0.721, gamma=1.107, delta=0.053, M=-2.409e+001
