1 5 23 27 -> ~38 fr=342 (0.4942), cf=0.812, gamma=1.249, delta=0.099, M=-6.483e+001
1 5 23 27 -> 37 fr=342 (0.4942), cf=0.812, gamma=1.249, delta=0.099, M=-6.483e+001
1 5 23 -> ~38 fr=363 (0.5246), cf=0.793, gamma=1.219, delta=0.094, M=-6.206e+001
1 5 23 -> 37 fr=363 (0.5246), cf=0.793, gamma=1.219, delta=0.094, M=-6.206e+001
1 5 9 19 27 -> ~38 fr=338 (0.4884), cf=0.809, gamma=1.243, delta=0.096, M=-6.089e+001
1 5 9 19 27 -> 37 fr=338 (0.4884), cf=0.809, gamma=1.243, delta=0.096, M=-6.089e+001
1 5 19 27 -> ~38 fr=346 (0.5000), cf=0.803, gamma=1.235, delta=0.095, M=-6.081e+001
1 5 19 27 -> 37 fr=346 (0.5000), cf=0.803, gamma=1.235, delta=0.095, M=-6.081e+001
5 23 27 -> ~38 fr=368 (0.5318), cf=0.786, gamma=1.209, delta=0.092, M=-6.037e+001
5 23 27 -> 37 fr=368 (0.5318), cf=0.786, gamma=1.209, delta=0.092, M=-6.037e+001
1 5 19 -> ~38 fr=369 (0.5332), cf=0.785, gamma=1.207, delta=0.092, M=-6.005e+001
1 5 19 -> 37 fr=369 (0.5332), cf=0.785, gamma=1.207, delta=0.092, M=-6.005e+001
1 5 9 27 -> ~38 fr=340 (0.4913), cf=0.806, gamma=1.239, delta=0.095, M=-6.001e+001
1 5 9 27 -> 37 fr=340 (0.4913), cf=0.806, gamma=1.239, delta=0.095, M=-6.001e+001
1 5 27 -> ~38 fr=348 (0.5029), cf=0.800, gamma=1.230, delta=0.094, M=-6.000e+001
1 5 27 -> 37 fr=348 (0.5029), cf=0.800, gamma=1.230, delta=0.094, M=-6.000e+001
5 23 -> ~38 fr=391 (0.5650), cf=0.768, gamma=1.181, delta=0.087, M=-5.959e+001
5 23 -> 37 fr=391 (0.5650), cf=0.768, gamma=1.181, delta=0.087, M=-5.959e+001
1 5 -> ~38 fr=371 (0.5361), cf=0.783, gamma=1.204, delta=0.091, M=-5.942e+001
1 5 -> 37 fr=371 (0.5361), cf=0.783, gamma=1.204, delta=0.091, M=-5.942e+001
5 -> ~38 fr=400 (0.5780), cf=0.756, gamma=1.163, delta=0.081, M=-5.588e+001
