8 -> 36 fr=37 (0.3978), cf=1.000, gamma=2.514, delta=0.240, M=-6.003e+001
7 -> ~36 fr=56 (0.6022), cf=1.000, gamma=1.661, delta=0.240, M=-6.003e+001
5 21 -> 36 fr=37 (0.3978), cf=1.000, gamma=2.514, delta=0.240, M=-6.003e+001
5 16 20 -> 36 fr=37 (0.3978), cf=1.000, gamma=2.514, delta=0.240, M=-6.003e+001
5 18 20 -> 36 fr=37 (0.3978), cf=1.000, gamma=2.514, delta=0.240, M=-6.003e+001
5 16 -> 36 fr=37 (0.3978), cf=0.974, gamma=2.447, delta=0.235, M=-5.640e+001
5 20 -> 36 fr=37 (0.3978), cf=0.974, gamma=2.447, delta=0.235, M=-5.640e+001
5 18 -> 36 fr=37 (0.3978), cf=0.974, gamma=2.447, delta=0.235, M=-5.640e+001
6 -> ~36 fr=54 (0.5806), cf=1.000, gamma=1.661, delta=0.231, M=-5.343e+001
2 16 -> 36 fr=35 (0.3763), cf=1.000, gamma=2.514, delta=0.227, M=-5.262e+001
2 18 -> 36 fr=35 (0.3763), cf=1.000, gamma=2.514, delta=0.227, M=-5.262e+001
2 9 -> 36 fr=33 (0.3548), cf=1.000, gamma=2.514, delta=0.214, M=-4.694e+001
16 20 21 -> 36 fr=37 (0.3978), cf=0.881, gamma=2.214, delta=0.218, M=-4.638e+001
2 21 -> 36 fr=35 (0.3763), cf=0.946, gamma=2.378, delta=0.218, M=-4.619e+001
3 18 20 21 -> 36 fr=37 (0.3978), cf=0.860, gamma=2.163, delta=0.214, M=-4.441e+001
4 -> 37 fr=18 (0.1935), cf=1.000, gamma=5.167, delta=0.156, M=-4.343e+001
3 -> ~37 fr=75 (0.8065), cf=1.000, gamma=1.240, delta=0.156, M=-4.343e+001
15 26 -> 37 fr=18 (0.1935), cf=1.000, gamma=5.167, delta=0.156, M=-4.343e+001
6 26 -> 37 fr=18 (0.1935), cf=1.000, gamma=5.167, delta=0.156, M=-4.343e+001
1 26 -> 37 fr=18 (0.1935), cf=1.000, gamma=5.167, delta=0.156, M=-4.343e+001
7 26 -> 37 fr=18 (0.1935), cf=1.000, gamma=5.167, delta=0.156, M=-4.343e+001
16 20 -> 36 fr=37 (0.3978), cf=0.841, gamma=2.114, delta=0.210, M=-4.257e+001
1 -> ~36 fr=52 (0.5591), cf=0.963, gamma=1.599, delta=0.210, M=-4.145e+001
