8 -> 36 fr=36 (0.4091), cf=1.000, gamma=2.444, delta=0.242, M=-5.708e+001
7 -> ~36 fr=52 (0.5909), cf=1.000, gamma=1.692, delta=0.242, M=-5.708e+001
5 21 -> 36 fr=35 (0.3977), cf=1.000, gamma=2.444, delta=0.235, M=-5.311e+001
5 16 20 -> 36 fr=35 (0.3977), cf=1.000, gamma=2.444, delta=0.235, M=-5.311e+001
5 18 20 -> 36 fr=35 (0.3977), cf=1.000, gamma=2.444, delta=0.235, M=-5.311e+001
2 18 -> 36 fr=34 (0.3864), cf=1.000, gamma=2.444, delta=0.228, M=-4.982e+001
5 16 -> 36 fr=35 (0.3977), cf=0.972, gamma=2.377, delta=0.230, M=-4.955e+001
5 20 -> 36 fr=35 (0.3977), cf=0.972, gamma=2.377, delta=0.230, M=-4.955e+001
5 18 -> 36 fr=35 (0.3977), cf=0.972, gamma=2.377, delta=0.230, M=-4.955e+001
2 5 -> 36 fr=33 (0.3750), cf=1.000, gamma=2.444, delta=0.222, M=-4.691e+001
2 16 -> 36 fr=33 (0.3750), cf=1.000, gamma=2.444, delta=0.222, M=-4.691e+001
6 -> ~36 fr=50 (0.5682), cf=0.980, gamma=1.659, delta=0.226, M=-4.665e+001
2 9 -> 36 fr=32 (0.3636), cf=1.000, gamma=2.444, delta=0.215, M=-4.427e+001
2 21 -> 36 fr=34 (0.3864), cf=0.944, gamma=2.309, delta=0.219, M=-4.345e+001
4 -> 37 fr=18 (0.2045), cf=1.000, gamma=4.889, delta=0.163, M=-4.233e+001
3 -> ~37 fr=70 (0.7955), cf=1.000, gamma=1.257, delta=0.163, M=-4.233e+001
15 26 -> 37 fr=18 (0.2045), cf=1.000, gamma=4.889, delta=0.163, M=-4.233e+001
1 26 -> 37 fr=18 (0.2045), cf=1.000, gamma=4.889, delta=0.163, M=-4.233e+001
6 26 -> 37 fr=18 (0.2045), cf=1.000, gamma=4.889, delta=0.163, M=-4.233e+001
7 26 -> 37 fr=18 (0.2045), cf=1.000, gamma=4.889, delta=0.163, M=-4.233e+001
3 18 20 -> 36 fr=36 (0.4091), cf=0.857, gamma=2.095, delta=0.214, M=-4.161e+001
16 20 -> 36 fr=35 (0.3977), cf=0.875, gamma=2.139, delta=0.212, M=-3.981e+001
1 15 18 -> 37 fr=18 (0.2045), cf=0.947, gamma=4.632, delta=0.160, M=-3.939e+001
7 15 18 -> 37 fr=18 (0.2045), cf=0.947, gamma=4.632, delta=0.160, M=-3.939e+001
1 6 15 31 -> 37 fr=18 (0.2045), cf=0.947, gamma=4.632, delta=0.160, M=-3.939e+001
1 15 21 31 -> 37 fr=18 (0.2045), cf=0.947, gamma=4.632, delta=0.160, M=-3.939e+001
6 7 15 31 -> 37 fr=18 (0.2045), cf=0.947, gamma=4.632, delta=0.160, M=-3.939e+001
7 15 21 31 -> 37 fr=18 (0.2045), cf=0.947, gamma=4.632, delta=0.160, M=-3.939e+001
1 -> ~36 fr=48 (0.5455), cf=0.960, gamma=1.625, delta=0.210, M=-3.876e+001
