8 -> 36 fr=37 (0.4157), cf=1.000, gamma=2.405, delta=0.243, M=-5.796e+001
7 -> ~36 fr=52 (0.5843), cf=1.000, gamma=1.712, delta=0.243, M=-5.796e+001
5 21 -> 36 fr=36 (0.4045), cf=1.000, gamma=2.405, delta=0.236, M=-5.399e+001
2 18 -> 36 fr=36 (0.4045), cf=1.000, gamma=2.405, delta=0.236, M=-5.399e+001
5 16 20 -> 36 fr=36 (0.4045), cf=1.000, gamma=2.405, delta=0.236, M=-5.399e+001
5 18 20 -> 36 fr=36 (0.4045), cf=1.000, gamma=2.405, delta=0.236, M=-5.399e+001
2 5 -> 36 fr=35 (0.3933), cf=1.000, gamma=2.405, delta=0.230, M=-5.070e+001
2 16 -> 36 fr=35 (0.3933), cf=1.000, gamma=2.405, delta=0.230, M=-5.070e+001
2 9 -> 36 fr=35 (0.3933), cf=1.000, gamma=2.405, delta=0.230, M=-5.070e+001
5 16 -> 36 fr=36 (0.4045), cf=0.973, gamma=2.340, delta=0.232, M=-5.040e+001
5 20 -> 36 fr=36 (0.4045), cf=0.973, gamma=2.340, delta=0.232, M=-5.040e+001
5 18 -> 36 fr=36 (0.4045), cf=0.973, gamma=2.340, delta=0.232, M=-5.040e+001
6 -> ~36 fr=50 (0.5618), cf=0.980, gamma=1.678, delta=0.227, M=-4.747e+001
2 21 -> 36 fr=36 (0.4045), cf=0.947, gamma=2.279, delta=0.227, M=-4.747e+001
3 18 20 21 -> 36 fr=37 (0.4157), cf=0.902, gamma=2.171, delta=0.224, M=-4.644e+001
1 -> ~36 fr=49 (0.5506), cf=0.980, gamma=1.677, delta=0.222, M=-4.493e+001
16 20 21 -> 36 fr=36 (0.4045), cf=0.923, gamma=2.220, delta=0.222, M=-4.493e+001
4 -> 37 fr=18 (0.2022), cf=1.000, gamma=4.944, delta=0.161, M=-4.256e+001
3 -> ~37 fr=71 (0.7978), cf=1.000, gamma=1.254, delta=0.161, M=-4.256e+001
15 26 -> 37 fr=18 (0.2022), cf=1.000, gamma=4.944, delta=0.161, M=-4.256e+001
1 26 -> 37 fr=18 (0.2022), cf=1.000, gamma=4.944, delta=0.161, M=-4.256e+001
6 26 -> 37 fr=18 (0.2022), cf=1.000, gamma=4.944, delta=0.161, M=-4.256e+001
7 26 -> 37 fr=18 (0.2022), cf=1.000, gamma=4.944, delta=0.161, M=-4.256e+001
3 18 20 -> 36 fr=37 (0.4157), cf=0.860, gamma=2.070, delta=0.215, M=-4.234e+001
16 20 -> 36 fr=36 (0.4045), cf=0.878, gamma=2.112, delta=0.213, M=-4.056e+001
1 15 18 -> 37 fr=18 (0.2022), cf=0.947, gamma=4.684, delta=0.159, M=-3.961e+001
7 15 18 -> 37 fr=18 (0.2022), cf=0.947, gamma=4.684, delta=0.159, M=-3.961e+001
1 6 15 31 -> 37 fr=18 (0.2022), cf=0.947, gamma=4.684, delta=0.159, M=-3.961e+001
1 15 21 31 -> 37 fr=18 (0.2022), cf=0.947, gamma=4.684, delta=0.159, M=-3.961e+001
6 7 15 31 -> 37 fr=18 (0.2022), cf=0.947, gamma=4.684, delta=0.159, M=-3.961e+001
7 15 21 31 -> 37 fr=18 (0.2022), cf=0.947, gamma=4.684, delta=0.159, M=-3.961e+001
11 16 21 -> 36 fr=32 (0.3596), cf=0.970, gamma=2.333, delta=0.205, M=-3.931e+001
15 18 -> 37 fr=18 (0.2022), cf=0.900, gamma=4.450, delta=0.157, M=-3.731e+001
1 15 31 -> 37 fr=18 (0.2022), cf=0.900, gamma=4.450, delta=0.157, M=-3.731e+001
6 15 31 -> 37 fr=18 (0.2022), cf=0.900, gamma=4.450, delta=0.157, M=-3.731e+001
7 15 31 -> 37 fr=18 (0.2022), cf=0.900, gamma=4.450, delta=0.157, M=-3.731e+001
15 21 31 -> 37 fr=18 (0.2022), cf=0.900, gamma=4.450, delta=0.157, M=-3.731e+001
3 18 21 23 -> 36 fr=34 (0.3820), cf=0.895, gamma=2.152, delta=0.205, M=-3.680e+001
11 16 -> 36 fr=32 (0.3596), cf=0.941, gamma=2.264, delta=0.201, M=-3.656e+001
3 11 18 21 -> 36 fr=32 (0.3596), cf=0.941, gamma=2.264, delta=0.201, M=-3.656e+001
16 21 23 -> 36 fr=33 (0.3708), cf=0.917, gamma=2.205, delta=0.203, M=-3.649e+001
15 31 -> 37 fr=18 (0.2022), cf=0.857, gamma=4.238, delta=0.155, M=-3.536e+001
23 26 31 -> 37 fr=18 (0.2022), cf=0.857, gamma=4.238, delta=0.155, M=-3.536e+001
1 21 23 31 -> 37 fr=18 (0.2022), cf=0.857, gamma=4.238, delta=0.155, M=-3.536e+001
7 20 21 31 -> 37 fr=18 (0.2022), cf=0.857, gamma=4.238, delta=0.155, M=-3.536e+001
7 21 23 31 -> 37 fr=18 (0.2022), cf=0.857, gamma=4.238, delta=0.155, M=-3.536e+001
1 6 20 21 31 -> 37 fr=18 (0.2022), cf=0.857, gamma=4.238, delta=0.155, M=-3.536e+001
3 9 20 21 -> 36 fr=36 (0.4045), cf=0.818, gamma=1.968, delta=0.199, M=-3.516e+001
9 18 20 21 -> 36 fr=36 (0.4045), cf=0.818, gamma=1.968, delta=0.199, M=-3.516e+001
3 11 18 -> 36 fr=32 (0.3596), cf=0.914, gamma=2.199, delta=0.196, M=-3.420e+001
26 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
1 6 20 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
1 6 23 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
1 20 21 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
1 18 21 23 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
6 7 20 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
6 7 23 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
6 20 21 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
6 21 23 31 -> 37 fr=18 (0.2022), cf=0.818, gamma=4.045, delta=0.152, M=-3.366e+001
