45 -> ~103 fr=10893 (0.6051), cf=0.997, gamma=1.036, delta=0.021, M=-5.059e+002
45 -> ~102 fr=10875 (0.6041), cf=0.995, gamma=1.035, delta=0.020, M=-4.577e+002
40 80 -> ~105 fr=9398 (0.5221), cf=0.996, gamma=1.037, delta=0.018, M=-3.888e+002
75 80 -> ~101 fr=9645 (0.5358), cf=0.994, gamma=1.036, delta=0.019, M=-3.711e+002
75 80 -> ~105 fr=9643 (0.5357), cf=0.994, gamma=1.034, delta=0.018, M=-3.475e+002
75 80 -> ~100 fr=9633 (0.5351), cf=0.993, gamma=1.034, delta=0.018, M=-3.288e+002
34 80 -> ~105 fr=7617 (0.4231), cf=0.998, gamma=1.038, delta=0.016, M=-3.202e+002
75 80 -> ~103 fr=9637 (0.5353), cf=0.993, gamma=1.032, delta=0.017, M=-3.108e+002
75 -> ~103 fr=11575 (0.6430), cf=0.989, gamma=1.027, delta=0.017, M=-3.087e+002
40 80 -> ~100 fr=9358 (0.5198), cf=0.992, gamma=1.033, delta=0.017, M=-2.909e+002
75 -> ~102 fr=11557 (0.6420), cf=0.987, gamma=1.026, delta=0.016, M=-2.816e+002
75 -> ~101 fr=11535 (0.6408), cf=0.985, gamma=1.027, delta=0.017, M=-2.765e+002
40 -> ~100 fr=10952 (0.6084), cf=0.985, gamma=1.026, delta=0.016, M=-2.403e+002
34 -> ~105 fr=8733 (0.4851), cf=0.991, gamma=1.031, delta=0.015, M=-2.343e+002
65 80 -> ~105 fr=7712 (0.4284), cf=0.993, gamma=1.033, delta=0.014, M=-2.269e+002
65 80 -> ~106 fr=7721 (0.4289), cf=0.994, gamma=1.032, delta=0.013, M=-2.238e+002
40 -> ~105 fr=10946 (0.6080), cf=0.985, gamma=1.025, delta=0.015, M=-2.232e+002
34 80 -> ~100 fr=7577 (0.4209), cf=0.992, gamma=1.033, delta=0.014, M=-2.193e+002
65 -> ~106 fr=9563 (0.5312), cf=0.989, gamma=1.027, delta=0.014, M=-2.143e+002
30 50 -> ~101 fr=5378 (0.2987), cf=0.997, gamma=1.040, delta=0.011, M=-2.112e+002
30 50 80 -> ~100 fr=4909 (0.2727), cf=0.999, gamma=1.040, delta=0.010, M=-2.029e+002
65 80 -> ~100 fr=7694 (0.4274), cf=0.990, gamma=1.031, delta=0.013, M=-1.943e+002
40 45 -> ~104 fr=6328 (0.3515), cf=0.994, gamma=1.035, delta=0.012, M=-1.920e+002
30 50 -> ~103 fr=5378 (0.2987), cf=0.997, gamma=1.036, delta=0.010, M=-1.918e+002
80 -> ~100 fr=14529 (0.8071), cf=0.975, gamma=1.015, delta=0.012, M=-1.899e+002
40 -> ~104 fr=10925 (0.6069), cf=0.983, gamma=1.023, delta=0.014, M=-1.897e+002
34 -> ~100 fr=8705 (0.4836), cf=0.987, gamma=1.028, delta=0.013, M=-1.871e+002
30 65 -> ~100 fr=6872 (0.3817), cf=0.991, gamma=1.032, delta=0.012, M=-1.747e+002
30 50 80 -> ~105 fr=4901 (0.2722), cf=0.997, gamma=1.038, delta=0.010, M=-1.743e+002
80 -> ~105 fr=14525 (0.8069), cf=0.975, gamma=1.014, delta=0.012, M=-1.740e+002
65 -> ~100 fr=9517 (0.5287), cf=0.984, gamma=1.025, delta=0.013, M=-1.696e+002
30 75 -> ~100 fr=7956 (0.4420), cf=0.988, gamma=1.029, delta=0.012, M=-1.682e+002
64 -> ~103 fr=3815 (0.2119), cf=1.000, gamma=1.039, delta=0.008, M=-1.648e+002
45 60 75 -> ~105 fr=4825 (0.2680), cf=0.996, gamma=1.037, delta=0.010, M=-1.597e+002
50 80 -> ~101 fr=7039 (0.3910), cf=0.989, gamma=1.031, delta=0.012, M=-1.563e+002
64 -> ~101 fr=3809 (0.2116), cf=0.998, gamma=1.041, delta=0.008, M=-1.530e+002
30 50 -> ~105 fr=5358 (0.2976), cf=0.994, gamma=1.034, delta=0.010, M=-1.511e+002
60 75 -> ~105 fr=7056 (0.3920), cf=0.988, gamma=1.029, delta=0.011, M=-1.438e+002
75 -> ~100 fr=11457 (0.6364), cf=0.979, gamma=1.019, delta=0.012, M=-1.418e+002
39 -> ~101 fr=3083 (0.1713), cf=0.999, gamma=1.042, delta=0.007, M=-1.313e+002
30 45 75 -> ~105 fr=5320 (0.2955), cf=0.992, gamma=1.032, delta=0.009, M=-1.276e+002
35 80 -> ~104 fr=3149 (0.1749), cf=0.999, gamma=1.040, delta=0.007, M=-1.259e+002
35 -> ~104 fr=4515 (0.2508), cf=0.994, gamma=1.034, delta=0.008, M=-1.223e+002
60 65 -> ~105 fr=6441 (0.3578), cf=0.988, gamma=1.028, delta=0.010, M=-1.218e+002
34 -> ~102 fr=8670 (0.4816), cf=0.983, gamma=1.023, delta=0.011, M=-1.205e+002
64 75 -> ~88 fr=2858 (0.1588), cf=1.000, gamma=1.038, delta=0.006, M=-1.118e+002
38 -> ~101 fr=2448 (0.1360), cf=1.000, gamma=1.042, delta=0.006, M=-1.094e+002
75 -> ~105 fr=11433 (0.6351), cf=0.977, gamma=1.016, delta=0.010, M=-1.072e+002
64 -> ~88 fr=3798 (0.2110), cf=0.996, gamma=1.033, delta=0.007, M=-1.056e+002
34 50 80 -> ~103 fr=3159 (0.1755), cf=0.997, gamma=1.036, delta=0.006, M=-1.042e+002
30 50 -> ~102 fr=5336 (0.2964), cf=0.990, gamma=1.029, delta=0.008, M=-1.041e+002
30 50 -> ~100 fr=5331 (0.2961), cf=0.989, gamma=1.030, delta=0.009, M=-1.041e+002
63 -> ~101 fr=2311 (0.1284), cf=1.000, gamma=1.042, delta=0.005, M=-1.028e+002
