45 -> ~103 fr=10876 (0.6046), cf=0.997, gamma=1.036, delta=0.021, M=-5.084e+002
45 -> ~102 fr=10856 (0.6034), cf=0.995, gamma=1.035, delta=0.020, M=-4.528e+002
40 80 -> ~105 fr=9363 (0.5205), cf=0.996, gamma=1.037, delta=0.018, M=-3.837e+002
75 80 -> ~101 fr=9621 (0.5348), cf=0.994, gamma=1.036, delta=0.019, M=-3.664e+002
75 80 -> ~105 fr=9619 (0.5347), cf=0.994, gamma=1.034, delta=0.018, M=-3.437e+002
75 80 -> ~100 fr=9614 (0.5344), cf=0.993, gamma=1.034, delta=0.018, M=-3.375e+002
34 80 -> ~105 fr=7577 (0.4212), cf=0.998, gamma=1.039, delta=0.016, M=-3.245e+002
75 -> ~103 fr=11591 (0.6443), cf=0.989, gamma=1.027, delta=0.017, M=-3.126e+002
40 80 -> ~100 fr=9325 (0.5183), cf=0.992, gamma=1.033, delta=0.017, M=-2.912e+002
75 -> ~102 fr=11571 (0.6432), cf=0.987, gamma=1.026, delta=0.016, M=-2.805e+002
75 -> ~101 fr=11541 (0.6415), cf=0.984, gamma=1.026, delta=0.016, M=-2.609e+002
40 -> ~100 fr=10981 (0.6104), cf=0.985, gamma=1.026, delta=0.016, M=-2.428e+002
34 -> ~105 fr=8727 (0.4851), cf=0.991, gamma=1.031, delta=0.015, M=-2.382e+002
34 80 -> ~100 fr=7538 (0.4190), cf=0.993, gamma=1.034, delta=0.014, M=-2.237e+002
65 80 -> ~105 fr=7703 (0.4282), cf=0.992, gamma=1.033, delta=0.014, M=-2.224e+002
65 80 -> ~106 fr=7712 (0.4287), cf=0.994, gamma=1.031, delta=0.013, M=-2.186e+002
40 -> ~105 fr=10969 (0.6097), cf=0.984, gamma=1.025, delta=0.015, M=-2.154e+002
30 50 -> ~101 fr=5333 (0.2964), cf=0.998, gamma=1.040, delta=0.011, M=-2.116e+002
65 -> ~106 fr=9592 (0.5332), cf=0.989, gamma=1.026, delta=0.014, M=-2.086e+002
40 45 -> ~104 fr=6350 (0.3530), cf=0.995, gamma=1.035, delta=0.012, M=-2.004e+002
34 -> ~100 fr=8704 (0.4838), cf=0.988, gamma=1.029, delta=0.014, M=-1.992e+002
65 80 -> ~100 fr=7689 (0.4274), cf=0.991, gamma=1.032, delta=0.013, M=-1.980e+002
30 50 80 -> ~100 fr=4866 (0.2705), cf=0.998, gamma=1.040, delta=0.010, M=-1.938e+002
30 50 80 -> ~103 fr=4869 (0.2707), cf=0.999, gamma=1.038, delta=0.010, M=-1.919e+002
40 50 -> ~104 fr=4272 (0.2375), cf=1.000, gamma=1.041, delta=0.009, M=-1.910e+002
40 -> ~104 fr=10953 (0.6088), cf=0.983, gamma=1.023, delta=0.014, M=-1.904e+002
30 50 -> ~103 fr=5331 (0.2963), cf=0.997, gamma=1.036, delta=0.010, M=-1.866e+002
30 50 80 -> ~105 fr=4863 (0.2703), cf=0.998, gamma=1.038, delta=0.010, M=-1.813e+002
65 -> ~100 fr=9555 (0.5311), cf=0.985, gamma=1.026, delta=0.013, M=-1.795e+002
30 75 -> ~100 fr=7988 (0.4440), cf=0.988, gamma=1.029, delta=0.013, M=-1.785e+002
