45 -> ~103 fr=10875 (0.6046), cf=0.997, gamma=1.036, delta=0.021, M=-5.145e+002
45 -> ~102 fr=10855 (0.6035), cf=0.995, gamma=1.035, delta=0.020, M=-4.587e+002
40 80 -> ~105 fr=9393 (0.5222), cf=0.996, gamma=1.037, delta=0.018, M=-3.832e+002
75 80 -> ~101 fr=9613 (0.5344), cf=0.994, gamma=1.036, delta=0.019, M=-3.659e+002
75 80 -> ~100 fr=9607 (0.5341), cf=0.993, gamma=1.034, delta=0.018, M=-3.395e+002
75 80 -> ~105 fr=9609 (0.5342), cf=0.993, gamma=1.034, delta=0.018, M=-3.381e+002
34 80 -> ~105 fr=7509 (0.4175), cf=0.998, gamma=1.038, delta=0.015, M=-3.168e+002
75 80 -> ~103 fr=9608 (0.5342), cf=0.993, gamma=1.032, delta=0.017, M=-3.135e+002
75 -> ~103 fr=11589 (0.6443), cf=0.989, gamma=1.027, delta=0.017, M=-3.097e+002
40 80 -> ~100 fr=9354 (0.5200), cf=0.992, gamma=1.033, delta=0.016, M=-2.890e+002
75 -> ~102 fr=11573 (0.6434), cf=0.987, gamma=1.026, delta=0.017, M=-2.865e+002
75 -> ~101 fr=11544 (0.6418), cf=0.985, gamma=1.027, delta=0.017, M=-2.683e+002
40 -> ~100 fr=10975 (0.6102), cf=0.985, gamma=1.026, delta=0.015, M=-2.307e+002
34 80 -> ~100 fr=7473 (0.4155), cf=0.993, gamma=1.034, delta=0.014, M=-2.243e+002
65 80 -> ~105 fr=7698 (0.4280), cf=0.992, gamma=1.033, delta=0.014, M=-2.201e+002
34 -> ~105 fr=8638 (0.4802), cf=0.990, gamma=1.030, delta=0.014, M=-2.194e+002
65 80 -> ~106 fr=7706 (0.4284), cf=0.993, gamma=1.031, delta=0.013, M=-2.140e+002
30 50 -> ~101 fr=5356 (0.2978), cf=0.998, gamma=1.040, delta=0.011, M=-2.129e+002
40 -> ~105 fr=10966 (0.6097), cf=0.984, gamma=1.024, delta=0.014, M=-2.090e+002
65 -> ~106 fr=9578 (0.5325), cf=0.989, gamma=1.026, delta=0.014, M=-2.044e+002
30 50 80 -> ~100 fr=4885 (0.2716), cf=0.999, gamma=1.040, delta=0.010, M=-2.018e+002
65 80 -> ~100 fr=7684 (0.4272), cf=0.990, gamma=1.032, delta=0.013, M=-1.959e+002
34 -> ~100 fr=8622 (0.4793), cf=0.988, gamma=1.029, delta=0.014, M=-1.946e+002
30 50 -> ~103 fr=5355 (0.2977), cf=0.997, gamma=1.036, delta=0.010, M=-1.905e+002
40 50 -> ~104 fr=4270 (0.2374), cf=0.999, gamma=1.040, delta=0.009, M=-1.819e+002
40 45 -> ~104 fr=6327 (0.3518), cf=0.993, gamma=1.034, delta=0.012, M=-1.813e+002
80 -> ~105 fr=14477 (0.8049), cf=0.975, gamma=1.015, delta=0.012, M=-1.810e+002
40 -> ~104 fr=10944 (0.6084), cf=0.982, gamma=1.022, delta=0.013, M=-1.754e+002
30 75 -> ~100 fr=7990 (0.4442), cf=0.988, gamma=1.029, delta=0.013, M=-1.753e+002
80 -> ~100 fr=14466 (0.8042), cf=0.974, gamma=1.015, delta=0.012, M=-1.738e+002
65 -> ~100 fr=9537 (0.5302), cf=0.984, gamma=1.025, delta=0.013, M=-1.696e+002
64 -> ~103 fr=3785 (0.2104), cf=1.000, gamma=1.039, delta=0.008, M=-1.632e+002
45 60 75 -> ~105 fr=4809 (0.2674), cf=0.996, gamma=1.037, delta=0.010, M=-1.617e+002
64 -> ~101 fr=3781 (0.2102), cf=0.999, gamma=1.041, delta=0.008, M=-1.587e+002
75 -> ~100 fr=11480 (0.6382), cf=0.979, gamma=1.020, delta=0.012, M=-1.551e+002
50 80 -> ~101 fr=7012 (0.3898), cf=0.988, gamma=1.030, delta=0.011, M=-1.532e+002
39 -> ~101 fr=3086 (0.1716), cf=1.000, gamma=1.042, delta=0.007, M=-1.408e+002
30 50 -> ~105 fr=5330 (0.2963), cf=0.993, gamma=1.033, delta=0.010, M=-1.397e+002
60 75 -> ~105 fr=7074 (0.3933), cf=0.988, gamma=1.028, delta=0.011, M=-1.371e+002
35 80 -> ~104 fr=3177 (0.1766), cf=1.000, gamma=1.041, delta=0.007, M=-1.356e+002
34 -> ~102 fr=8591 (0.4776), cf=0.985, gamma=1.024, delta=0.011, M=-1.312e+002
35 -> ~104 fr=4559 (0.2535), cf=0.994, gamma=1.035, delta=0.009, M=-1.286e+002
30 45 75 -> ~105 fr=5302 (0.2948), cf=0.992, gamma=1.032, delta=0.009, M=-1.270e+002
60 65 -> ~105 fr=6458 (0.3590), cf=0.987, gamma=1.028, delta=0.010, M=-1.154e+002
64 75 -> ~88 fr=2848 (0.1583), cf=1.000, gamma=1.038, delta=0.006, M=-1.113e+002
38 -> ~101 fr=2406 (0.1338), cf=1.000, gamma=1.042, delta=0.005, M=-1.073e+002
45 75 -> ~105 fr=7880 (0.4381), cf=0.983, gamma=1.023, delta=0.010, M=-1.049e+002
30 50 -> ~100 fr=5309 (0.2952), cf=0.989, gamma=1.030, delta=0.009, M=-1.049e+002
34 50 80 -> ~103 fr=3103 (0.1725), cf=0.998, gamma=1.037, delta=0.006, M=-1.046e+002
64 -> ~88 fr=3768 (0.2095), cf=0.996, gamma=1.033, delta=0.007, M=-1.042e+002
63 -> ~101 fr=2290 (0.1273), cf=1.000, gamma=1.042, delta=0.005, M=-1.018e+002
30 50 -> ~102 fr=5312 (0.2953), cf=0.989, gamma=1.029, delta=0.008, M=-1.015e+002
30 34 80 -> ~101 fr=5562 (0.3092), cf=0.987, gamma=1.029, delta=0.009, M=-1.006e+002
40 50 80 -> ~103 fr=3343 (0.1859), cf=0.996, gamma=1.035, delta=0.006, M=-9.902e+001
35 80 -> ~106 fr=3169 (0.1762), cf=0.997, gamma=1.035, delta=0.006, M=-9.880e+001
62 -> ~101 fr=2223 (0.1236), cf=1.000, gamma=1.042, delta=0.005, M=-9.859e+001
63 -> ~104 fr=2290 (0.1273), cf=1.000, gamma=1.041, delta=0.005, M=-9.850e+001
34 50 -> ~103 fr=3747 (0.2083), cf=0.994, gamma=1.033, delta=0.007, M=-9.597e+001
50 80 -> ~103 fr=6987 (0.3884), cf=0.985, gamma=1.023, delta=0.009, M=-9.554e+001
62 -> ~104 fr=2223 (0.1236), cf=1.000, gamma=1.041, delta=0.005, M=-9.542e+001
72 -> ~104 fr=2222 (0.1235), cf=1.000, gamma=1.041, delta=0.005, M=-9.537e+001
63 -> ~103 fr=2290 (0.1273), cf=1.000, gamma=1.039, delta=0.005, M=-9.396e+001
20 24 45 -> ~88 fr=3606 (0.2005), cf=0.995, gamma=1.033, delta=0.006, M=-9.314e+001
69 -> ~105 fr=2264 (0.1259), cf=1.000, gamma=1.040, delta=0.005, M=-9.253e+001
62 -> ~102 fr=2223 (0.1236), cf=1.000, gamma=1.040, delta=0.005, M=-9.253e+001
75 -> ~105 fr=11432 (0.6356), cf=0.975, gamma=1.015, delta=0.009, M=-9.214e+001
63 -> ~88 fr=2290 (0.1273), cf=1.000, gamma=1.038, delta=0.005, M=-9.169e+001
62 -> ~103 fr=2223 (0.1236), cf=1.000, gamma=1.039, delta=0.005, M=-9.102e+001
63 -> ~102 fr=2289 (0.1273), cf=1.000, gamma=1.039, delta=0.005, M=-9.086e+001
62 -> ~88 fr=2223 (0.1236), cf=1.000, gamma=1.038, delta=0.005, M=-8.882e+001
72 -> ~106 fr=2222 (0.1235), cf=1.000, gamma=1.038, delta=0.005, M=-8.878e+001
74 -> ~106 fr=2212 (0.1230), cf=1.000, gamma=1.038, delta=0.005, M=-8.835e+001
34 80 -> ~101 fr=7383 (0.4105), cf=0.981, gamma=1.022, delta=0.009, M=-8.693e+001
54 -> ~105 fr=2223 (0.1236), cf=0.999, gamma=1.040, delta=0.005, M=-8.675e+001
54 -> ~101 fr=2222 (0.1235), cf=0.999, gamma=1.041, delta=0.005, M=-8.640e+001
50 60 -> ~100 fr=5049 (0.2807), cf=0.987, gamma=1.028, delta=0.008, M=-8.563e+001
54 -> ~102 fr=2223 (0.1236), cf=0.999, gamma=1.039, delta=0.005, M=-8.406e+001
33 -> ~100 fr=2262 (0.1258), cf=0.998, gamma=1.040, delta=0.005, M=-8.294e+001
69 -> ~102 fr=2262 (0.1258), cf=0.999, gamma=1.038, delta=0.005, M=-8.225e+001
14 20 -> ~103 fr=2580 (0.1434), cf=0.997, gamma=1.036, delta=0.005, M=-8.223e+001
20 24 50 -> ~103 fr=3043 (0.1692), cf=0.995, gamma=1.034, delta=0.006, M=-8.197e+001
65 -> ~105 fr=9470 (0.5265), cf=0.977, gamma=1.017, delta=0.009, M=-8.145e+001
30 34 -> ~101 fr=6194 (0.3444), cf=0.983, gamma=1.024, delta=0.008, M=-7.920e+001
73 -> ~104 fr=1831 (0.1018), cf=1.000, gamma=1.041, delta=0.004, M=-7.763e+001
20 24 75 -> ~88 fr=3388 (0.1884), cf=0.993, gamma=1.031, delta=0.006, M=-7.664e+001
40 50 60 -> ~103 fr=2417 (0.1344), cf=0.997, gamma=1.036, delta=0.005, M=-7.548e+001
40 50 -> ~103 fr=4228 (0.2351), cf=0.989, gamma=1.028, delta=0.006, M=-7.508e+001
20 24 50 -> ~88 fr=3040 (0.1690), cf=0.994, gamma=1.032, delta=0.005, M=-7.295e+001
