45 -> ~103 fr=10846 (0.6027), cf=0.997, gamma=1.036, delta=0.021, M=-5.053e+002
45 -> ~102 fr=10830 (0.6018), cf=0.996, gamma=1.035, delta=0.020, M=-4.620e+002
40 80 -> ~105 fr=9395 (0.5221), cf=0.996, gamma=1.037, delta=0.018, M=-3.859e+002
75 80 -> ~101 fr=9609 (0.5340), cf=0.994, gamma=1.037, delta=0.019, M=-3.791e+002
75 80 -> ~100 fr=9601 (0.5335), cf=0.994, gamma=1.035, delta=0.018, M=-3.461e+002
75 80 -> ~105 fr=9602 (0.5336), cf=0.994, gamma=1.034, delta=0.018, M=-3.422e+002
34 80 -> ~105 fr=7572 (0.4208), cf=0.998, gamma=1.038, delta=0.016, M=-3.207e+002
75 80 -> ~103 fr=9596 (0.5332), cf=0.993, gamma=1.032, delta=0.016, M=-3.059e+002
75 -> ~103 fr=11564 (0.6426), cf=0.988, gamma=1.027, delta=0.017, M=-3.041e+002
40 80 -> ~100 fr=9360 (0.5201), cf=0.992, gamma=1.033, delta=0.017, M=-3.001e+002
75 -> ~102 fr=11547 (0.6416), cf=0.987, gamma=1.026, delta=0.016, M=-2.784e+002
75 -> ~101 fr=11524 (0.6404), cf=0.985, gamma=1.027, delta=0.017, M=-2.724e+002
40 -> ~100 fr=11011 (0.6119), cf=0.986, gamma=1.027, delta=0.016, M=-2.534e+002
34 80 -> ~100 fr=7535 (0.4187), cf=0.993, gamma=1.034, delta=0.014, M=-2.255e+002
65 80 -> ~105 fr=7717 (0.4288), cf=0.993, gamma=1.033, delta=0.014, M=-2.252e+002
34 -> ~105 fr=8706 (0.4838), cf=0.990, gamma=1.031, delta=0.014, M=-2.251e+002
30 50 -> ~101 fr=5349 (0.2972), cf=0.998, gamma=1.040, delta=0.012, M=-2.191e+002
65 80 -> ~106 fr=7724 (0.4292), cf=0.993, gamma=1.031, delta=0.013, M=-2.169e+002
