45 -> ~103 fr=10884 (0.6047), cf=0.997, gamma=1.036, delta=0.021, M=-5.191e+002
45 -> ~102 fr=10861 (0.6034), cf=0.995, gamma=1.035, delta=0.020, M=-4.536e+002
40 80 -> ~105 fr=9400 (0.5223), cf=0.996, gamma=1.036, delta=0.018, M=-3.833e+002
75 80 -> ~101 fr=9634 (0.5353), cf=0.994, gamma=1.036, delta=0.019, M=-3.627e+002
75 80 -> ~105 fr=9636 (0.5354), cf=0.994, gamma=1.035, delta=0.018, M=-3.497e+002
75 80 -> ~100 fr=9625 (0.5348), cf=0.993, gamma=1.034, delta=0.018, M=-3.283e+002
34 80 -> ~105 fr=7573 (0.4207), cf=0.998, gamma=1.039, delta=0.016, M=-3.240e+002
75 80 -> ~103 fr=9632 (0.5351), cf=0.994, gamma=1.032, delta=0.017, M=-3.178e+002
75 -> ~103 fr=11591 (0.6440), cf=0.989, gamma=1.027, delta=0.017, M=-3.121e+002
40 80 -> ~100 fr=9357 (0.5199), cf=0.991, gamma=1.032, delta=0.016, M=-2.801e+002
75 -> ~101 fr=11550 (0.6417), cf=0.985, gamma=1.027, delta=0.017, M=-2.779e+002
75 -> ~102 fr=11567 (0.6426), cf=0.987, gamma=1.026, delta=0.016, M=-2.732e+002
34 -> ~105 fr=8700 (0.4834), cf=0.991, gamma=1.031, delta=0.015, M=-2.343e+002
65 80 -> ~105 fr=7735 (0.4297), cf=0.993, gamma=1.033, delta=0.014, M=-2.305e+002
40 -> ~100 fr=10953 (0.6085), cf=0.985, gamma=1.026, delta=0.015, M=-2.271e+002
40 -> ~105 fr=10951 (0.6084), cf=0.985, gamma=1.025, delta=0.015, M=-2.171e+002
34 80 -> ~100 fr=7531 (0.4184), cf=0.992, gamma=1.033, delta=0.013, M=-2.167e+002
65 80 -> ~106 fr=7737 (0.4299), cf=0.993, gamma=1.031, delta=0.013, M=-2.115e+002
30 50 -> ~101 fr=5370 (0.2983), cf=0.997, gamma=1.040, delta=0.011, M=-2.108e+002
65 -> ~106 fr=9602 (0.5335), cf=0.988, gamma=1.026, delta=0.014, M=-2.025e+002
30 50 80 -> ~100 fr=4900 (0.2722), cf=0.998, gamma=1.040, delta=0.010, M=-1.989e+002
65 80 -> ~100 fr=7716 (0.4287), cf=0.990, gamma=1.031, delta=0.013, M=-1.955e+002
40 45 -> ~104 fr=6320 (0.3511), cf=0.994, gamma=1.035, delta=0.012, M=-1.939e+002
30 50 80 -> ~103 fr=4902 (0.2723), cf=0.999, gamma=1.038, delta=0.010, M=-1.935e+002
30 50 -> ~103 fr=5370 (0.2983), cf=0.997, gamma=1.036, delta=0.010, M=-1.914e+002
40 50 -> ~104 fr=4273 (0.2374), cf=1.000, gamma=1.040, delta=0.009, M=-1.862e+002
