45 -> ~103 fr=10904 (0.6053), cf=0.997, gamma=1.036, delta=0.021, M=-5.063e+002
45 -> ~102 fr=10883 (0.6042), cf=0.995, gamma=1.035, delta=0.020, M=-4.490e+002
40 80 -> ~105 fr=9382 (0.5208), cf=0.996, gamma=1.037, delta=0.018, M=-3.879e+002
75 80 -> ~101 fr=9632 (0.5347), cf=0.994, gamma=1.036, delta=0.019, M=-3.670e+002
75 80 -> ~105 fr=9629 (0.5346), cf=0.994, gamma=1.034, delta=0.018, M=-3.418e+002
75 80 -> ~100 fr=9625 (0.5343), cf=0.993, gamma=1.034, delta=0.018, M=-3.381e+002
34 80 -> ~105 fr=7560 (0.4197), cf=0.998, gamma=1.039, delta=0.016, M=-3.267e+002
75 80 -> ~103 fr=9626 (0.5344), cf=0.993, gamma=1.032, delta=0.017, M=-3.120e+002
75 -> ~103 fr=11586 (0.6432), cf=0.988, gamma=1.027, delta=0.017, M=-3.049e+002
40 80 -> ~100 fr=9343 (0.5187), cf=0.992, gamma=1.033, delta=0.017, M=-2.923e+002
75 -> ~102 fr=11569 (0.6423), cf=0.987, gamma=1.026, delta=0.016, M=-2.801e+002
75 -> ~101 fr=11544 (0.6409), cf=0.985, gamma=1.027, delta=0.017, M=-2.696e+002
34 -> ~105 fr=8695 (0.4827), cf=0.991, gamma=1.031, delta=0.015, M=-2.382e+002
40 -> ~100 fr=10960 (0.6084), cf=0.985, gamma=1.026, delta=0.015, M=-2.277e+002
40 -> ~105 fr=10963 (0.6086), cf=0.985, gamma=1.025, delta=0.015, M=-2.262e+002
34 80 -> ~100 fr=7520 (0.4175), cf=0.993, gamma=1.034, delta=0.014, M=-2.226e+002
65 80 -> ~105 fr=7695 (0.4272), cf=0.992, gamma=1.033, delta=0.014, M=-2.198e+002
30 50 -> ~101 fr=5391 (0.2993), cf=0.998, gamma=1.040, delta=0.012, M=-2.180e+002
65 80 -> ~106 fr=7703 (0.4276), cf=0.993, gamma=1.031, delta=0.013, M=-2.137e+002
65 -> ~106 fr=9556 (0.5305), cf=0.989, gamma=1.026, delta=0.014, M=-2.047e+002
30 50 80 -> ~100 fr=4920 (0.2731), cf=0.998, gamma=1.040, delta=0.010, M=-2.001e+002
65 80 -> ~100 fr=7683 (0.4265), cf=0.991, gamma=1.032, delta=0.013, M=-1.995e+002
30 50 80 -> ~103 fr=4920 (0.2731), cf=0.998, gamma=1.037, delta=0.010, M=-1.872e+002
34 -> ~100 fr=8665 (0.4810), cf=0.987, gamma=1.028, delta=0.013, M=-1.867e+002
80 -> ~100 fr=14504 (0.8052), cf=0.975, gamma=1.015, delta=0.012, M=-1.864e+002
30 50 80 -> ~105 fr=4916 (0.2729), cf=0.998, gamma=1.038, delta=0.010, M=-1.841e+002
40 50 -> ~104 fr=4308 (0.2392), cf=0.999, gamma=1.040, delta=0.009, M=-1.839e+002
30 50 -> ~103 fr=5386 (0.2990), cf=0.997, gamma=1.036, delta=0.010, M=-1.834e+002
40 45 -> ~104 fr=6304 (0.3500), cf=0.993, gamma=1.034, delta=0.012, M=-1.822e+002
40 -> ~104 fr=10932 (0.6069), cf=0.982, gamma=1.022, delta=0.013, M=-1.772e+002
80 -> ~105 fr=14502 (0.8051), cf=0.975, gamma=1.015, delta=0.012, M=-1.737e+002
50 80 -> ~101 fr=7076 (0.3928), cf=0.990, gamma=1.032, delta=0.012, M=-1.717e+002
65 -> ~100 fr=9513 (0.5281), cf=0.984, gamma=1.025, delta=0.013, M=-1.667e+002
45 60 75 -> ~105 fr=4792 (0.2660), cf=0.997, gamma=1.037, delta=0.010, M=-1.662e+002
64 -> ~103 fr=3808 (0.2114), cf=1.000, gamma=1.039, delta=0.008, M=-1.643e+002
30 75 -> ~100 fr=7963 (0.4421), cf=0.987, gamma=1.028, delta=0.012, M=-1.623e+002
64 -> ~101 fr=3803 (0.2111), cf=0.999, gamma=1.041, delta=0.008, M=-1.561e+002
75 -> ~100 fr=11477 (0.6372), cf=0.979, gamma=1.020, delta=0.012, M=-1.521e+002
30 50 -> ~105 fr=5367 (0.2980), cf=0.993, gamma=1.034, delta=0.010, M=-1.475e+002
60 75 -> ~105 fr=7035 (0.3906), cf=0.989, gamma=1.029, delta=0.011, M=-1.462e+002
30 45 75 -> ~105 fr=5303 (0.2944), cf=0.992, gamma=1.033, delta=0.009, M=-1.345e+002
39 -> ~101 fr=3060 (0.1699), cf=0.999, gamma=1.042, delta=0.007, M=-1.301e+002
35 80 -> ~104 fr=3189 (0.1770), cf=0.999, gamma=1.040, delta=0.007, M=-1.279e+002
35 -> ~104 fr=4567 (0.2535), cf=0.994, gamma=1.035, delta=0.008, M=-1.268e+002
34 -> ~102 fr=8634 (0.4793), cf=0.984, gamma=1.023, delta=0.011, M=-1.251e+002
60 65 -> ~105 fr=6407 (0.3557), cf=0.988, gamma=1.028, delta=0.010, M=-1.205e+002
64 75 -> ~88 fr=2855 (0.1585), cf=1.000, gamma=1.038, delta=0.006, M=-1.116e+002
64 -> ~88 fr=3793 (0.2106), cf=0.996, gamma=1.034, delta=0.007, M=-1.100e+002
38 -> ~101 fr=2453 (0.1362), cf=1.000, gamma=1.042, delta=0.006, M=-1.096e+002
30 50 -> ~102 fr=5349 (0.2970), cf=0.990, gamma=1.029, delta=0.008, M=-1.077e+002
45 75 -> ~105 fr=7890 (0.4380), cf=0.983, gamma=1.023, delta=0.010, M=-1.052e+002
63 -> ~101 fr=2321 (0.1289), cf=1.000, gamma=1.042, delta=0.005, M=-1.032e+002
34 50 80 -> ~103 fr=3136 (0.1741), cf=0.997, gamma=1.036, delta=0.006, M=-1.031e+002
75 -> ~105 fr=11439 (0.6350), cf=0.976, gamma=1.016, delta=0.010, M=-1.004e+002
63 -> ~104 fr=2321 (0.1289), cf=1.000, gamma=1.041, delta=0.005, M=-9.992e+001
30 50 -> ~100 fr=5338 (0.2963), cf=0.988, gamma=1.029, delta=0.008, M=-9.855e+001
62 -> ~101 fr=2218 (0.1231), cf=1.000, gamma=1.042, delta=0.005, M=-9.833e+001
30 34 80 -> ~101 fr=5602 (0.3110), cf=0.987, gamma=1.028, delta=0.009, M=-9.802e+001
40 50 80 -> ~103 fr=3375 (0.1874), cf=0.996, gamma=1.035, delta=0.006, M=-9.796e+001
35 80 -> ~106 fr=3182 (0.1767), cf=0.997, gamma=1.035, delta=0.006, M=-9.669e+001
63 -> ~103 fr=2321 (0.1289), cf=1.000, gamma=1.039, delta=0.005, M=-9.532e+001
62 -> ~104 fr=2218 (0.1231), cf=1.000, gamma=1.041, delta=0.005, M=-9.518e+001
72 -> ~104 fr=2216 (0.1230), cf=1.000, gamma=1.041, delta=0.005, M=-9.508e+001
34 50 -> ~103 fr=3787 (0.2102), cf=0.994, gamma=1.033, delta=0.007, M=-9.357e+001
63 -> ~88 fr=2321 (0.1289), cf=1.000, gamma=1.038, delta=0.005, M=-9.302e+001
65 -> ~105 fr=9459 (0.5251), cf=0.979, gamma=1.019, delta=0.010, M=-9.285e+001
69 -> ~105 fr=2264 (0.1257), cf=1.000, gamma=1.040, delta=0.005, M=-9.252e+001
62 -> ~102 fr=2218 (0.1231), cf=1.000, gamma=1.040, delta=0.005, M=-9.230e+001
63 -> ~102 fr=2320 (0.1288), cf=1.000, gamma=1.039, delta=0.005, M=-9.222e+001
50 80 -> ~103 fr=7037 (0.3907), cf=0.984, gamma=1.023, delta=0.009, M=-9.129e+001
20 24 45 -> ~88 fr=3610 (0.2004), cf=0.994, gamma=1.032, delta=0.006, M=-9.119e+001
34 80 -> ~101 fr=7434 (0.4127), cf=0.981, gamma=1.023, delta=0.009, M=-9.101e+001
62 -> ~103 fr=2218 (0.1231), cf=1.000, gamma=1.039, delta=0.005, M=-9.079e+001
74 -> ~106 fr=2245 (0.1246), cf=1.000, gamma=1.038, delta=0.005, M=-8.976e+001
50 60 -> ~100 fr=5066 (0.2812), cf=0.988, gamma=1.028, delta=0.008, M=-8.902e+001
62 -> ~88 fr=2218 (0.1231), cf=1.000, gamma=1.038, delta=0.005, M=-8.860e+001
72 -> ~106 fr=2216 (0.1230), cf=1.000, gamma=1.038, delta=0.005, M=-8.852e+001
20 24 50 -> ~103 fr=3025 (0.1679), cf=0.996, gamma=1.035, delta=0.006, M=-8.806e+001
54 -> ~105 fr=2205 (0.1224), cf=0.999, gamma=1.040, delta=0.005, M=-8.593e+001
54 -> ~101 fr=2204 (0.1224), cf=0.999, gamma=1.041, delta=0.005, M=-8.556e+001
30 34 -> ~101 fr=6233 (0.3460), cf=0.983, gamma=1.025, delta=0.008, M=-8.286e+001
14 20 -> ~103 fr=2586 (0.1436), cf=0.997, gamma=1.036, delta=0.005, M=-8.247e+001
33 -> ~100 fr=2246 (0.1247), cf=0.998, gamma=1.040, delta=0.005, M=-8.221e+001
54 -> ~102 fr=2204 (0.1224), cf=0.999, gamma=1.038, delta=0.005, M=-7.975e+001
69 -> ~102 fr=2261 (0.1255), cf=0.998, gamma=1.038, delta=0.005, M=-7.899e+001
73 -> ~104 fr=1831 (0.1016), cf=1.000, gamma=1.041, delta=0.004, M=-7.762e+001
20 44 -> ~100 fr=2138 (0.1187), cf=0.998, gamma=1.040, delta=0.005, M=-7.743e+001
30 45 -> ~105 fr=6753 (0.3749), cf=0.982, gamma=1.022, delta=0.008, M=-7.615e+001
80 -> ~101 fr=14406 (0.7998), cf=0.968, gamma=1.009, delta=0.007, M=-7.423e+001
20 24 75 -> ~88 fr=3372 (0.1872), cf=0.993, gamma=1.031, delta=0.006, M=-7.419e+001
