45 -> ~103 fr=10874 (0.6037), cf=0.997, gamma=1.036, delta=0.021, M=-5.037e+002
45 -> ~102 fr=10857 (0.6028), cf=0.995, gamma=1.035, delta=0.020, M=-4.585e+002
40 80 -> ~105 fr=9406 (0.5222), cf=0.996, gamma=1.037, delta=0.019, M=-3.898e+002
75 80 -> ~101 fr=9639 (0.5352), cf=0.994, gamma=1.036, delta=0.019, M=-3.677e+002
75 80 -> ~105 fr=9636 (0.5350), cf=0.994, gamma=1.034, delta=0.018, M=-3.424e+002
75 80 -> ~100 fr=9626 (0.5345), cf=0.993, gamma=1.034, delta=0.017, M=-3.239e+002
34 80 -> ~105 fr=7593 (0.4216), cf=0.998, gamma=1.038, delta=0.016, M=-3.222e+002
75 80 -> ~103 fr=9631 (0.5347), cf=0.993, gamma=1.032, delta=0.017, M=-3.077e+002
75 -> ~103 fr=11587 (0.6433), cf=0.989, gamma=1.027, delta=0.017, M=-3.071e+002
75 -> ~102 fr=11573 (0.6426), cf=0.987, gamma=1.027, delta=0.017, M=-2.881e+002
40 80 -> ~100 fr=9363 (0.5198), cf=0.991, gamma=1.033, delta=0.016, M=-2.850e+002
75 -> ~101 fr=11550 (0.6413), cf=0.985, gamma=1.027, delta=0.017, M=-2.809e+002
34 -> ~105 fr=8715 (0.4839), cf=0.991, gamma=1.032, delta=0.015, M=-2.435e+002
40 -> ~100 fr=10982 (0.6097), cf=0.985, gamma=1.026, delta=0.015, M=-2.359e+002
65 80 -> ~105 fr=7716 (0.4284), cf=0.992, gamma=1.033, delta=0.014, M=-2.231e+002
40 -> ~105 fr=10975 (0.6093), cf=0.984, gamma=1.025, delta=0.015, M=-2.173e+002
65 80 -> ~106 fr=7724 (0.4288), cf=0.993, gamma=1.031, delta=0.013, M=-2.171e+002
65 -> ~106 fr=9578 (0.5318), cf=0.989, gamma=1.027, delta=0.014, M=-2.149e+002
34 80 -> ~100 fr=7550 (0.4192), cf=0.992, gamma=1.033, delta=0.013, M=-2.139e+002
30 50 -> ~101 fr=5370 (0.2982), cf=0.998, gamma=1.040, delta=0.011, M=-2.137e+002
30 50 80 -> ~100 fr=4902 (0.2722), cf=0.998, gamma=1.040, delta=0.010, M=-1.958e+002
40 45 -> ~104 fr=6319 (0.3508), cf=0.994, gamma=1.035, delta=0.012, M=-1.918e+002
65 80 -> ~100 fr=7697 (0.4273), cf=0.990, gamma=1.031, delta=0.013, M=-1.891e+002
40 -> ~104 fr=10956 (0.6083), cf=0.983, gamma=1.023, delta=0.014, M=-1.875e+002
30 50 80 -> ~103 fr=4903 (0.2722), cf=0.998, gamma=1.037, delta=0.010, M=-1.864e+002
