45 -> ~103 fr=10917 (0.6062), cf=0.997, gamma=1.036, delta=0.021, M=-5.078e+002
45 -> ~102 fr=10899 (0.6052), cf=0.995, gamma=1.035, delta=0.020, M=-4.595e+002
40 80 -> ~105 fr=9424 (0.5233), cf=0.996, gamma=1.037, delta=0.018, M=-3.855e+002
75 80 -> ~101 fr=9634 (0.5350), cf=0.994, gamma=1.036, delta=0.019, M=-3.726e+002
75 80 -> ~100 fr=9626 (0.5345), cf=0.993, gamma=1.034, delta=0.018, M=-3.408e+002
75 80 -> ~105 fr=9628 (0.5347), cf=0.993, gamma=1.034, delta=0.018, M=-3.394e+002
34 80 -> ~105 fr=7577 (0.4208), cf=0.997, gamma=1.038, delta=0.016, M=-3.180e+002
75 -> ~103 fr=11579 (0.6430), cf=0.988, gamma=1.027, delta=0.017, M=-3.026e+002
40 80 -> ~100 fr=9387 (0.5213), cf=0.992, gamma=1.033, delta=0.017, M=-2.955e+002
75 -> ~102 fr=11565 (0.6422), cf=0.987, gamma=1.026, delta=0.017, M=-2.838e+002
75 -> ~101 fr=11541 (0.6409), cf=0.985, gamma=1.027, delta=0.017, M=-2.749e+002
40 -> ~100 fr=11013 (0.6116), cf=0.985, gamma=1.026, delta=0.016, M=-2.399e+002
34 -> ~105 fr=8710 (0.4837), cf=0.990, gamma=1.031, delta=0.015, M=-2.313e+002
34 80 -> ~100 fr=7542 (0.4188), cf=0.993, gamma=1.034, delta=0.014, M=-2.283e+002
40 -> ~105 fr=11006 (0.6112), cf=0.985, gamma=1.025, delta=0.015, M=-2.211e+002
65 80 -> ~105 fr=7694 (0.4273), cf=0.992, gamma=1.033, delta=0.014, M=-2.198e+002
65 80 -> ~106 fr=7704 (0.4278), cf=0.994, gamma=1.031, delta=0.013, M=-2.182e+002
30 50 -> ~101 fr=5344 (0.2968), cf=0.998, gamma=1.040, delta=0.011, M=-2.154e+002
65 -> ~106 fr=9570 (0.5314), cf=0.989, gamma=1.026, delta=0.014, M=-2.056e+002
65 80 -> ~100 fr=7684 (0.4267), cf=0.991, gamma=1.032, delta=0.013, M=-2.035e+002
34 -> ~100 fr=8690 (0.4826), cf=0.988, gamma=1.029, delta=0.014, M=-1.984e+002
30 50 80 -> ~100 fr=4877 (0.2708), cf=0.998, gamma=1.040, delta=0.010, M=-1.945e+002
40 45 -> ~104 fr=6375 (0.3540), cf=0.994, gamma=1.034, delta=0.012, M=-1.904e+002
40 -> ~104 fr=10984 (0.6100), cf=0.983, gamma=1.023, delta=0.014, M=-1.863e+002
30 50 80 -> ~103 fr=4878 (0.2709), cf=0.998, gamma=1.037, delta=0.010, M=-1.851e+002
30 50 -> ~103 fr=5339 (0.2965), cf=0.997, gamma=1.036, delta=0.010, M=-1.811e+002
65 -> ~100 fr=9533 (0.5294), cf=0.985, gamma=1.026, delta=0.013, M=-1.768e+002
30 50 80 -> ~105 fr=4872 (0.2705), cf=0.997, gamma=1.038, delta=0.010, M=-1.759e+002
80 -> ~100 fr=14486 (0.8044), cf=0.974, gamma=1.015, delta=0.012, M=-1.708e+002
30 75 -> ~100 fr=7952 (0.4416), cf=0.988, gamma=1.029, delta=0.012, M=-1.700e+002
80 -> ~105 fr=14490 (0.8046), cf=0.974, gamma=1.014, delta=0.011, M=-1.674e+002
64 -> ~103 fr=3782 (0.2100), cf=1.000, gamma=1.039, delta=0.008, M=-1.631e+002
50 80 -> ~101 fr=7025 (0.3901), cf=0.989, gamma=1.031, delta=0.012, M=-1.622e+002
45 60 75 -> ~105 fr=4830 (0.2682), cf=0.996, gamma=1.037, delta=0.010, M=-1.602e+002
75 -> ~100 fr=11476 (0.6373), cf=0.980, gamma=1.020, delta=0.013, M=-1.587e+002
64 -> ~101 fr=3776 (0.2097), cf=0.998, gamma=1.041, delta=0.008, M=-1.513e+002
30 50 -> ~105 fr=5317 (0.2953), cf=0.993, gamma=1.033, delta=0.010, M=-1.391e+002
60 75 -> ~105 fr=7072 (0.3927), cf=0.988, gamma=1.028, delta=0.011, M=-1.385e+002
39 -> ~101 fr=3059 (0.1699), cf=0.999, gamma=1.042, delta=0.007, M=-1.301e+002
30 45 75 -> ~105 fr=5309 (0.2948), cf=0.992, gamma=1.032, delta=0.009, M=-1.292e+002
35 80 -> ~104 fr=3180 (0.1766), cf=0.999, gamma=1.040, delta=0.007, M=-1.275e+002
35 -> ~104 fr=4549 (0.2526), cf=0.994, gamma=1.035, delta=0.008, M=-1.261e+002
34 -> ~102 fr=8650 (0.4803), cf=0.984, gamma=1.023, delta=0.011, M=-1.220e+002
60 65 -> ~105 fr=6428 (0.3570), cf=0.987, gamma=1.027, delta=0.010, M=-1.141e+002
64 75 -> ~88 fr=2835 (0.1574), cf=1.000, gamma=1.038, delta=0.006, M=-1.107e+002
38 -> ~101 fr=2419 (0.1343), cf=1.000, gamma=1.042, delta=0.005, M=-1.080e+002
45 75 -> ~105 fr=7910 (0.4392), cf=0.983, gamma=1.023, delta=0.010, M=-1.061e+002
30 50 -> ~102 fr=5301 (0.2944), cf=0.990, gamma=1.029, delta=0.008, M=-1.042e+002
64 -> ~88 fr=3765 (0.2091), cf=0.996, gamma=1.033, delta=0.007, M=-1.041e+002
34 50 80 -> ~103 fr=3130 (0.1738), cf=0.997, gamma=1.036, delta=0.006, M=-1.029e+002
30 34 80 -> ~101 fr=5612 (0.3116), cf=0.987, gamma=1.029, delta=0.009, M=-1.027e+002
63 -> ~101 fr=2308 (0.1282), cf=1.000, gamma=1.042, delta=0.005, M=-1.026e+002
30 50 -> ~100 fr=5294 (0.2940), cf=0.988, gamma=1.029, delta=0.008, M=-1.012e+002
