45 -> ~103 fr=10874 (0.6039), cf=0.998, gamma=1.036, delta=0.021, M=-5.249e+002
45 -> ~102 fr=10848 (0.6025), cf=0.995, gamma=1.035, delta=0.020, M=-4.492e+002
40 80 -> ~105 fr=9398 (0.5219), cf=0.996, gamma=1.037, delta=0.019, M=-3.924e+002
75 80 -> ~101 fr=9640 (0.5354), cf=0.994, gamma=1.036, delta=0.018, M=-3.603e+002
75 80 -> ~100 fr=9638 (0.5353), cf=0.993, gamma=1.035, delta=0.018, M=-3.443e+002
75 80 -> ~105 fr=9640 (0.5354), cf=0.994, gamma=1.034, delta=0.018, M=-3.429e+002
34 80 -> ~105 fr=7582 (0.4211), cf=0.998, gamma=1.038, delta=0.016, M=-3.216e+002
75 80 -> ~103 fr=9638 (0.5353), cf=0.993, gamma=1.032, delta=0.017, M=-3.155e+002
75 -> ~103 fr=11573 (0.6427), cf=0.989, gamma=1.027, delta=0.017, M=-3.103e+002
40 80 -> ~100 fr=9357 (0.5197), cf=0.992, gamma=1.033, delta=0.017, M=-2.913e+002
75 -> ~102 fr=11550 (0.6415), cf=0.987, gamma=1.026, delta=0.016, M=-2.734e+002
75 -> ~101 fr=11526 (0.6401), cf=0.985, gamma=1.026, delta=0.016, M=-2.650e+002
40 -> ~100 fr=10956 (0.6085), cf=0.985, gamma=1.026, delta=0.015, M=-2.377e+002
34 -> ~105 fr=8688 (0.4825), cf=0.990, gamma=1.031, delta=0.014, M=-2.300e+002
34 80 -> ~100 fr=7546 (0.4191), cf=0.993, gamma=1.034, delta=0.014, M=-2.286e+002
65 80 -> ~105 fr=7701 (0.4277), cf=0.992, gamma=1.033, delta=0.014, M=-2.224e+002
30 50 -> ~101 fr=5390 (0.2993), cf=0.998, gamma=1.040, delta=0.012, M=-2.213e+002
40 -> ~105 fr=10947 (0.6080), cf=0.984, gamma=1.025, delta=0.015, M=-2.157e+002
65 80 -> ~106 fr=7708 (0.4281), cf=0.993, gamma=1.031, delta=0.013, M=-2.141e+002
65 -> ~106 fr=9555 (0.5307), cf=0.989, gamma=1.027, delta=0.014, M=-2.138e+002
65 80 -> ~100 fr=7689 (0.4270), cf=0.991, gamma=1.032, delta=0.013, M=-2.019e+002
30 50 80 -> ~100 fr=4915 (0.2730), cf=0.998, gamma=1.040, delta=0.010, M=-1.999e+002
