27 52 56 -> ~96 fr=16631 (0.3783), cf=0.966, gamma=1.269, delta=0.080, M=-3.978e+003
27 52 56 -> 97 fr=16631 (0.3783), cf=0.966, gamma=1.269, delta=0.080, M=-3.978e+003
27 52 -> ~96 fr=16806 (0.3823), cf=0.963, gamma=1.266, delta=0.080, M=-3.922e+003
27 52 -> 97 fr=16806 (0.3823), cf=0.963, gamma=1.266, delta=0.080, M=-3.922e+003
43 51 -> 96 fr=7955 (0.1810), cf=0.450, gamma=1.880, delta=0.085, M=-3.622e+003
43 51 -> ~97 fr=7955 (0.1810), cf=0.450, gamma=1.880, delta=0.085, M=-3.622e+003
27 56 -> ~96 fr=16777 (0.3817), cf=0.951, gamma=1.250, delta=0.076, M=-3.441e+003
27 56 -> 97 fr=16777 (0.3817), cf=0.951, gamma=1.250, delta=0.076, M=-3.441e+003
27 -> ~96 fr=16952 (0.3856), cf=0.948, gamma=1.247, delta=0.076, M=-3.401e+003
27 -> 97 fr=16952 (0.3856), cf=0.948, gamma=1.247, delta=0.076, M=-3.401e+003
23 52 56 -> ~96 fr=26103 (0.5938), cf=0.875, gamma=1.151, delta=0.078, M=-3.193e+003
23 52 56 -> 97 fr=26103 (0.5938), cf=0.875, gamma=1.151, delta=0.078, M=-3.193e+003
42 52 56 -> ~96 fr=12214 (0.2779), cf=0.979, gamma=1.287, delta=0.062, M=-3.036e+003
42 52 56 -> 97 fr=12214 (0.2779), cf=0.979, gamma=1.287, delta=0.062, M=-3.036e+003
42 52 -> ~96 fr=12282 (0.2794), cf=0.976, gamma=1.284, delta=0.062, M=-2.986e+003
42 52 -> 97 fr=12282 (0.2794), cf=0.976, gamma=1.284, delta=0.062, M=-2.986e+003
52 56 -> ~96 fr=32606 (0.7418), cf=0.814, gamma=1.071, delta=0.049, M=-2.955e+003
52 56 -> 97 fr=32606 (0.7418), cf=0.814, gamma=1.071, delta=0.049, M=-2.955e+003
23 52 -> ~96 fr=26389 (0.6003), cf=0.866, gamma=1.139, delta=0.073, M=-2.858e+003
23 52 -> 97 fr=26389 (0.6003), cf=0.866, gamma=1.139, delta=0.073, M=-2.858e+003
42 56 -> ~96 fr=12302 (0.2799), cf=0.969, gamma=1.274, delta=0.060, M=-2.753e+003
42 56 -> 97 fr=12302 (0.2799), cf=0.969, gamma=1.274, delta=0.060, M=-2.753e+003
42 -> ~96 fr=12370 (0.2814), cf=0.967, gamma=1.271, delta=0.060, M=-2.713e+003
42 -> 97 fr=12370 (0.2814), cf=0.967, gamma=1.271, delta=0.060, M=-2.713e+003
24 51 -> 96 fr=4665 (0.1061), cf=0.545, gamma=2.278, delta=0.060, M=-2.421e+003
24 51 -> ~97 fr=4665 (0.1061), cf=0.545, gamma=2.278, delta=0.060, M=-2.421e+003
23 56 -> ~96 fr=26414 (0.6009), cf=0.853, gamma=1.121, delta=0.065, M=-2.290e+003
23 56 -> 97 fr=26414 (0.6009), cf=0.853, gamma=1.121, delta=0.065, M=-2.290e+003
52 -> ~96 fr=32996 (0.7506), cf=0.797, gamma=1.048, delta=0.034, M=-2.154e+003
23 -> ~96 fr=26700 (0.6074), cf=0.844, gamma=1.110, delta=0.060, M=-2.012e+003
23 -> 97 fr=26700 (0.6074), cf=0.844, gamma=1.110, delta=0.060, M=-2.012e+003
50 56 -> ~96 fr=12905 (0.2936), cf=0.897, gamma=1.180, delta=0.045, M=-1.225e+003
50 56 -> 97 fr=12905 (0.2936), cf=0.897, gamma=1.180, delta=0.045, M=-1.225e+003
50 -> ~96 fr=13014 (0.2961), cf=0.891, gamma=1.171, delta=0.043, M=-1.124e+003
50 -> 97 fr=13014 (0.2961), cf=0.891, gamma=1.171, delta=0.043, M=-1.124e+003
31 56 61 -> ~96 fr=6094 (0.1386), cf=0.956, gamma=1.257, delta=0.028, M=-1.029e+003
31 56 61 -> 97 fr=6094 (0.1386), cf=0.956, gamma=1.257, delta=0.028, M=-1.029e+003
31 56 -> ~96 fr=6145 (0.1398), cf=0.955, gamma=1.255, delta=0.028, M=-1.028e+003
31 56 -> 97 fr=6145 (0.1398), cf=0.955, gamma=1.255, delta=0.028, M=-1.028e+003
31 61 -> ~96 fr=6138 (0.1396), cf=0.953, gamma=1.253, delta=0.028, M=-1.003e+003
31 61 -> 97 fr=6138 (0.1396), cf=0.953, gamma=1.253, delta=0.028, M=-1.003e+003
31 -> 97 fr=6189 (0.1408), cf=0.952, gamma=1.252, delta=0.028, M=-1.002e+003
44 56 61 -> ~96 fr=9945 (0.2262), cf=0.904, gamma=1.188, delta=0.036, M=-9.490e+002
44 56 61 -> 97 fr=9945 (0.2262), cf=0.904, gamma=1.188, delta=0.036, M=-9.490e+002
44 56 -> ~96 fr=10050 (0.2286), cf=0.902, gamma=1.186, delta=0.036, M=-9.445e+002
44 56 -> 97 fr=10050 (0.2286), cf=0.902, gamma=1.186, delta=0.036, M=-9.445e+002
44 61 -> ~96 fr=10110 (0.2300), cf=0.901, gamma=1.184, delta=0.036, M=-9.287e+002
44 61 -> 97 fr=10110 (0.2300), cf=0.901, gamma=1.184, delta=0.036, M=-9.287e+002
44 -> ~96 fr=10216 (0.2324), cf=0.899, gamma=1.182, delta=0.036, M=-9.218e+002
44 -> 97 fr=10216 (0.2324), cf=0.899, gamma=1.182, delta=0.036, M=-9.218e+002
16 56 61 -> ~96 fr=5332 (0.1213), cf=0.948, gamma=1.246, delta=0.024, M=-8.064e+002
16 56 61 -> 97 fr=5332 (0.1213), cf=0.948, gamma=1.246, delta=0.024, M=-8.064e+002
16 56 -> ~96 fr=5395 (0.1227), cf=0.946, gamma=1.244, delta=0.024, M=-8.015e+002
16 56 -> 97 fr=5395 (0.1227), cf=0.946, gamma=1.244, delta=0.024, M=-8.015e+002
16 61 -> ~96 fr=5383 (0.1225), cf=0.945, gamma=1.242, delta=0.024, M=-7.858e+002
16 61 -> 97 fr=5383 (0.1225), cf=0.945, gamma=1.242, delta=0.024, M=-7.858e+002
16 -> 97 fr=5446 (0.1239), cf=0.943, gamma=1.240, delta=0.024, M=-7.784e+002
56 -> ~96 fr=33044 (0.7517), cf=0.775, gamma=1.020, delta=0.014, M=-6.908e+002
26 61 -> ~96 fr=5294 (0.1204), cf=0.902, gamma=1.186, delta=0.019, M=-4.394e+002
26 61 -> 97 fr=5294 (0.1204), cf=0.902, gamma=1.186, delta=0.019, M=-4.394e+002
26 -> 97 fr=5351 (0.1217), cf=0.900, gamma=1.184, delta=0.019, M=-4.362e+002
17 61 -> ~96 fr=11760 (0.2675), cf=0.840, gamma=1.105, delta=0.025, M=-3.823e+002
17 61 -> 97 fr=11760 (0.2675), cf=0.840, gamma=1.105, delta=0.025, M=-3.823e+002
17 -> ~96 fr=11902 (0.2708), cf=0.839, gamma=1.103, delta=0.025, M=-3.778e+002
17 -> 97 fr=11902 (0.2708), cf=0.839, gamma=1.103, delta=0.025, M=-3.778e+002
45 66 -> 96 fr=8986 (0.2044), cf=0.260, gamma=1.084, delta=0.016, M=-1.969e+002
45 66 -> ~97 fr=8986 (0.2044), cf=0.260, gamma=1.084, delta=0.016, M=-1.969e+002
45 -> ~97 fr=9548 (0.2172), cf=0.254, gamma=1.061, delta=0.013, M=-1.706e+002
2 61 -> ~96 fr=23690 (0.5389), cf=0.783, gamma=1.030, delta=0.016, M=-1.384e+002
2 61 -> 97 fr=23690 (0.5389), cf=0.783, gamma=1.030, delta=0.016, M=-1.384e+002
2 -> ~96 fr=23855 (0.5427), cf=0.782, gamma=1.028, delta=0.015, M=-1.230e+002
2 -> 97 fr=23855 (0.5427), cf=0.782, gamma=1.028, delta=0.015, M=-1.230e+002
15 61 -> ~96 fr=7872 (0.1791), cf=0.812, gamma=1.068, delta=0.011, M=-9.889e+001
15 61 -> 97 fr=7872 (0.1791), cf=0.812, gamma=1.068, delta=0.011, M=-9.889e+001
15 -> 97 fr=7952 (0.1809), cf=0.810, gamma=1.065, delta=0.011, M=-9.250e+001
9 66 -> 96 fr=9619 (0.2188), cf=0.244, gamma=1.019, delta=0.004, M=-2.599e+001
9 66 -> ~97 fr=9619 (0.2188), cf=0.244, gamma=1.019, delta=0.004, M=-2.599e+001
66 -> ~97 fr=9621 (0.2189), cf=0.244, gamma=1.019, delta=0.004, M=-2.582e+001
61 -> ~96 fr=33051 (0.7519), cf=0.762, gamma=1.002, delta=0.001, M=-2.123e+001
