27 52 56 -> ~96 fr=16519 (0.3758), cf=0.966, gamma=1.270, delta=0.080, M=-3.954e+003
27 52 56 -> 97 fr=16519 (0.3758), cf=0.966, gamma=1.270, delta=0.080, M=-3.954e+003
27 52 -> ~96 fr=16699 (0.3799), cf=0.963, gamma=1.266, delta=0.080, M=-3.904e+003
27 52 -> 97 fr=16699 (0.3799), cf=0.963, gamma=1.266, delta=0.080, M=-3.904e+003
43 51 -> 96 fr=7978 (0.1815), cf=0.449, gamma=1.876, delta=0.085, M=-3.624e+003
43 51 -> ~97 fr=7978 (0.1815), cf=0.449, gamma=1.876, delta=0.085, M=-3.624e+003
27 56 -> ~96 fr=16665 (0.3791), cf=0.951, gamma=1.250, delta=0.076, M=-3.398e+003
27 56 -> 97 fr=16665 (0.3791), cf=0.951, gamma=1.250, delta=0.076, M=-3.398e+003
27 -> ~96 fr=16845 (0.3832), cf=0.948, gamma=1.247, delta=0.076, M=-3.364e+003
27 -> 97 fr=16845 (0.3832), cf=0.948, gamma=1.247, delta=0.076, M=-3.364e+003
23 52 56 -> ~96 fr=26141 (0.5947), cf=0.876, gamma=1.151, delta=0.078, M=-3.223e+003
23 52 56 -> 97 fr=26141 (0.5947), cf=0.876, gamma=1.151, delta=0.078, M=-3.223e+003
42 52 56 -> ~96 fr=12217 (0.2779), cf=0.979, gamma=1.287, delta=0.062, M=-3.048e+003
42 52 56 -> 97 fr=12217 (0.2779), cf=0.979, gamma=1.287, delta=0.062, M=-3.048e+003
42 52 -> ~96 fr=12286 (0.2795), cf=0.977, gamma=1.284, delta=0.062, M=-2.996e+003
42 52 -> 97 fr=12286 (0.2795), cf=0.977, gamma=1.284, delta=0.062, M=-2.996e+003
23 52 -> ~96 fr=26437 (0.6014), cf=0.867, gamma=1.140, delta=0.074, M=-2.908e+003
23 52 -> 97 fr=26437 (0.6014), cf=0.867, gamma=1.140, delta=0.074, M=-2.908e+003
52 56 -> ~96 fr=32596 (0.7415), cf=0.814, gamma=1.070, delta=0.048, M=-2.904e+003
52 56 -> 97 fr=32596 (0.7415), cf=0.814, gamma=1.070, delta=0.048, M=-2.904e+003
42 56 -> ~96 fr=12305 (0.2799), cf=0.970, gamma=1.275, delta=0.060, M=-2.771e+003
42 56 -> 97 fr=12305 (0.2799), cf=0.970, gamma=1.275, delta=0.060, M=-2.771e+003
42 -> ~96 fr=12374 (0.2815), cf=0.968, gamma=1.272, delta=0.060, M=-2.728e+003
42 -> 97 fr=12374 (0.2815), cf=0.968, gamma=1.272, delta=0.060, M=-2.728e+003
24 51 -> 96 fr=4698 (0.1069), cf=0.549, gamma=2.295, delta=0.060, M=-2.483e+003
24 51 -> ~97 fr=4698 (0.1069), cf=0.549, gamma=2.295, delta=0.060, M=-2.483e+003
23 56 -> ~96 fr=26449 (0.6017), cf=0.853, gamma=1.122, delta=0.065, M=-2.319e+003
23 56 -> 97 fr=26449 (0.6017), cf=0.853, gamma=1.122, delta=0.065, M=-2.319e+003
52 -> ~96 fr=32999 (0.7507), cf=0.797, gamma=1.048, delta=0.034, M=-2.146e+003
23 -> ~96 fr=26745 (0.6084), cf=0.845, gamma=1.111, delta=0.061, M=-2.058e+003
23 -> 97 fr=26745 (0.6084), cf=0.845, gamma=1.111, delta=0.061, M=-2.058e+003
50 56 -> ~96 fr=12855 (0.2924), cf=0.898, gamma=1.180, delta=0.045, M=-1.230e+003
50 56 -> 97 fr=12855 (0.2924), cf=0.898, gamma=1.180, delta=0.045, M=-1.230e+003
50 -> ~96 fr=12969 (0.2950), cf=0.891, gamma=1.172, delta=0.043, M=-1.132e+003
50 -> 97 fr=12969 (0.2950), cf=0.891, gamma=1.172, delta=0.043, M=-1.132e+003
31 56 -> ~96 fr=6138 (0.1396), cf=0.955, gamma=1.256, delta=0.028, M=-1.032e+003
31 56 -> 97 fr=6138 (0.1396), cf=0.955, gamma=1.256, delta=0.028, M=-1.032e+003
31 -> 97 fr=6180 (0.1406), cf=0.953, gamma=1.253, delta=0.028, M=-1.010e+003
44 56 -> ~96 fr=9977 (0.2270), cf=0.901, gamma=1.185, delta=0.035, M=-9.220e+002
44 56 -> 97 fr=9977 (0.2270), cf=0.901, gamma=1.185, delta=0.035, M=-9.220e+002
44 -> ~96 fr=10151 (0.2309), cf=0.898, gamma=1.181, delta=0.035, M=-9.005e+002
44 -> 97 fr=10151 (0.2309), cf=0.898, gamma=1.181, delta=0.035, M=-9.005e+002
16 56 61 -> ~96 fr=5284 (0.1202), cf=0.947, gamma=1.245, delta=0.024, M=-7.909e+002
16 56 61 -> 97 fr=5284 (0.1202), cf=0.947, gamma=1.245, delta=0.024, M=-7.909e+002
16 56 -> ~96 fr=5348 (0.1217), cf=0.945, gamma=1.243, delta=0.024, M=-7.848e+002
16 56 -> 97 fr=5348 (0.1217), cf=0.945, gamma=1.243, delta=0.024, M=-7.848e+002
16 61 -> ~96 fr=5336 (0.1214), cf=0.944, gamma=1.241, delta=0.024, M=-7.723e+002
16 61 -> 97 fr=5336 (0.1214), cf=0.944, gamma=1.241, delta=0.024, M=-7.723e+002
16 -> 97 fr=5400 (0.1228), cf=0.942, gamma=1.239, delta=0.024, M=-7.637e+002
