27 52 56 -> ~96 fr=16610 (0.3779), cf=0.966, gamma=1.269, delta=0.080, M=-3.979e+003
27 52 56 -> 97 fr=16610 (0.3779), cf=0.966, gamma=1.269, delta=0.080, M=-3.979e+003
27 52 -> ~96 fr=16785 (0.3819), cf=0.964, gamma=1.266, delta=0.080, M=-3.931e+003
27 52 -> 97 fr=16785 (0.3819), cf=0.964, gamma=1.266, delta=0.080, M=-3.931e+003
43 51 -> 96 fr=7928 (0.1804), cf=0.447, gamma=1.872, delta=0.084, M=-3.569e+003
43 51 -> ~97 fr=7928 (0.1804), cf=0.447, gamma=1.872, delta=0.084, M=-3.569e+003
27 56 -> ~96 fr=16755 (0.3812), cf=0.951, gamma=1.249, delta=0.076, M=-3.427e+003
27 56 -> 97 fr=16755 (0.3812), cf=0.951, gamma=1.249, delta=0.076, M=-3.427e+003
27 -> ~96 fr=16930 (0.3851), cf=0.949, gamma=1.246, delta=0.076, M=-3.394e+003
27 -> 97 fr=16930 (0.3851), cf=0.949, gamma=1.246, delta=0.076, M=-3.394e+003
23 52 56 -> ~96 fr=26129 (0.5944), cf=0.876, gamma=1.150, delta=0.078, M=-3.190e+003
23 52 56 -> 97 fr=26129 (0.5944), cf=0.876, gamma=1.150, delta=0.078, M=-3.190e+003
42 52 56 -> ~96 fr=12245 (0.2786), cf=0.979, gamma=1.286, delta=0.062, M=-3.050e+003
42 52 56 -> 97 fr=12245 (0.2786), cf=0.979, gamma=1.286, delta=0.062, M=-3.050e+003
42 52 -> ~96 fr=12314 (0.2801), cf=0.977, gamma=1.283, delta=0.062, M=-2.987e+003
42 52 -> 97 fr=12314 (0.2801), cf=0.977, gamma=1.283, delta=0.062, M=-2.987e+003
52 56 -> ~96 fr=32631 (0.7423), cf=0.814, gamma=1.069, delta=0.048, M=-2.887e+003
52 56 -> 97 fr=32631 (0.7423), cf=0.814, gamma=1.069, delta=0.048, M=-2.887e+003
23 52 -> ~96 fr=26414 (0.6009), cf=0.867, gamma=1.139, delta=0.073, M=-2.869e+003
23 52 -> 97 fr=26414 (0.6009), cf=0.867, gamma=1.139, delta=0.073, M=-2.869e+003
42 56 -> ~96 fr=12333 (0.2806), cf=0.969, gamma=1.274, delta=0.060, M=-2.765e+003
