27 52 56 -> ~96 fr=16538 (0.3762), cf=0.967, gamma=1.271, delta=0.080, M=-3.991e+003
27 52 56 -> 97 fr=16538 (0.3762), cf=0.967, gamma=1.271, delta=0.080, M=-3.991e+003
27 52 -> ~96 fr=16711 (0.3802), cf=0.964, gamma=1.267, delta=0.080, M=-3.942e+003
27 52 -> 97 fr=16711 (0.3802), cf=0.964, gamma=1.267, delta=0.080, M=-3.942e+003
43 51 -> 96 fr=7976 (0.1815), cf=0.448, gamma=1.871, delta=0.084, M=-3.602e+003
43 51 -> ~97 fr=7976 (0.1815), cf=0.448, gamma=1.871, delta=0.084, M=-3.602e+003
27 56 -> ~96 fr=16686 (0.3796), cf=0.952, gamma=1.251, delta=0.076, M=-3.443e+003
27 56 -> 97 fr=16686 (0.3796), cf=0.952, gamma=1.251, delta=0.076, M=-3.443e+003
27 -> ~96 fr=16859 (0.3835), cf=0.949, gamma=1.248, delta=0.076, M=-3.409e+003
27 -> 97 fr=16859 (0.3835), cf=0.949, gamma=1.248, delta=0.076, M=-3.409e+003
23 52 56 -> ~96 fr=26145 (0.5948), cf=0.876, gamma=1.151, delta=0.078, M=-3.215e+003
23 52 56 -> 97 fr=26145 (0.5948), cf=0.876, gamma=1.151, delta=0.078, M=-3.215e+003
42 52 56 -> ~96 fr=12117 (0.2757), cf=0.979, gamma=1.287, delta=0.061, M=-3.009e+003
42 52 56 -> 97 fr=12117 (0.2757), cf=0.979, gamma=1.287, delta=0.061, M=-3.009e+003
42 52 -> ~96 fr=12189 (0.2773), cf=0.977, gamma=1.284, delta=0.061, M=-2.959e+003
42 52 -> 97 fr=12189 (0.2773), cf=0.977, gamma=1.284, delta=0.061, M=-2.959e+003
52 56 -> ~96 fr=32624 (0.7422), cf=0.814, gamma=1.070, delta=0.048, M=-2.933e+003
52 56 -> 97 fr=32624 (0.7422), cf=0.814, gamma=1.070, delta=0.048, M=-2.933e+003
23 52 -> ~96 fr=26431 (0.6013), cf=0.866, gamma=1.139, delta=0.073, M=-2.889e+003
23 52 -> 97 fr=26431 (0.6013), cf=0.866, gamma=1.139, delta=0.073, M=-2.889e+003
42 56 -> ~96 fr=12207 (0.2777), cf=0.969, gamma=1.274, delta=0.060, M=-2.732e+003
42 56 -> 97 fr=12207 (0.2777), cf=0.969, gamma=1.274, delta=0.060, M=-2.732e+003
42 -> ~96 fr=12279 (0.2793), cf=0.967, gamma=1.272, delta=0.060, M=-2.690e+003
42 -> 97 fr=12279 (0.2793), cf=0.967, gamma=1.272, delta=0.060, M=-2.690e+003
24 51 -> 96 fr=4684 (0.1066), cf=0.548, gamma=2.291, delta=0.060, M=-2.463e+003
24 51 -> ~97 fr=4684 (0.1066), cf=0.548, gamma=2.291, delta=0.060, M=-2.463e+003
23 56 -> ~96 fr=26439 (0.6015), cf=0.853, gamma=1.121, delta=0.065, M=-2.307e+003
23 56 -> 97 fr=26439 (0.6015), cf=0.853, gamma=1.121, delta=0.065, M=-2.307e+003
52 -> ~96 fr=33016 (0.7511), cf=0.797, gamma=1.048, delta=0.034, M=-2.151e+003
23 -> ~96 fr=26725 (0.6080), cf=0.845, gamma=1.110, delta=0.060, M=-2.037e+003
23 -> 97 fr=26725 (0.6080), cf=0.845, gamma=1.110, delta=0.060, M=-2.037e+003
50 56 -> ~96 fr=12813 (0.2915), cf=0.896, gamma=1.178, delta=0.044, M=-1.197e+003
50 56 -> 97 fr=12813 (0.2915), cf=0.896, gamma=1.178, delta=0.044, M=-1.197e+003
50 -> ~96 fr=12921 (0.2939), cf=0.890, gamma=1.170, delta=0.043, M=-1.107e+003
50 -> 97 fr=12921 (0.2939), cf=0.890, gamma=1.170, delta=0.043, M=-1.107e+003
31 56 61 -> ~96 fr=6100 (0.1388), cf=0.954, gamma=1.255, delta=0.028, M=-1.014e+003
31 56 61 -> 97 fr=6100 (0.1388), cf=0.954, gamma=1.255, delta=0.028, M=-1.014e+003
31 56 -> ~96 fr=6159 (0.1401), cf=0.954, gamma=1.254, delta=0.028, M=-1.014e+003
31 56 -> 97 fr=6159 (0.1401), cf=0.954, gamma=1.254, delta=0.028, M=-1.014e+003
31 61 -> ~96 fr=6138 (0.1396), cf=0.952, gamma=1.251, delta=0.028, M=-9.908e+002
31 61 -> 97 fr=6138 (0.1396), cf=0.952, gamma=1.251, delta=0.028, M=-9.908e+002
31 -> 97 fr=6197 (0.1410), cf=0.951, gamma=1.250, delta=0.028, M=-9.893e+002
44 56 61 -> ~96 fr=9939 (0.2261), cf=0.903, gamma=1.187, delta=0.036, M=-9.403e+002
44 56 61 -> 97 fr=9939 (0.2261), cf=0.903, gamma=1.187, delta=0.036, M=-9.403e+002
44 56 -> ~96 fr=10048 (0.2286), cf=0.902, gamma=1.186, delta=0.036, M=-9.379e+002
44 56 -> 97 fr=10048 (0.2286), cf=0.902, gamma=1.186, delta=0.036, M=-9.379e+002
44 61 -> ~96 fr=10101 (0.2298), cf=0.900, gamma=1.183, delta=0.036, M=-9.216e+002
44 61 -> 97 fr=10101 (0.2298), cf=0.900, gamma=1.183, delta=0.036, M=-9.216e+002
44 -> ~96 fr=10212 (0.2323), cf=0.899, gamma=1.182, delta=0.036, M=-9.180e+002
44 -> 97 fr=10212 (0.2323), cf=0.899, gamma=1.182, delta=0.036, M=-9.180e+002
16 56 61 -> ~96 fr=5357 (0.1219), cf=0.949, gamma=1.248, delta=0.024, M=-8.272e+002
16 56 61 -> 97 fr=5357 (0.1219), cf=0.949, gamma=1.248, delta=0.024, M=-8.272e+002
16 56 -> ~96 fr=5426 (0.1234), cf=0.948, gamma=1.246, delta=0.024, M=-8.253e+002
16 56 -> 97 fr=5426 (0.1234), cf=0.948, gamma=1.246, delta=0.024, M=-8.253e+002
16 61 -> ~96 fr=5406 (0.1230), cf=0.946, gamma=1.244, delta=0.024, M=-8.039e+002
16 61 -> 97 fr=5406 (0.1230), cf=0.946, gamma=1.244, delta=0.024, M=-8.039e+002
16 -> 97 fr=5475 (0.1246), cf=0.945, gamma=1.242, delta=0.024, M=-8.008e+002
56 -> ~96 fr=33045 (0.7518), cf=0.775, gamma=1.019, delta=0.014, M=-6.788e+002
26 61 -> ~96 fr=5289 (0.1203), cf=0.898, gamma=1.181, delta=0.018, M=-4.161e+002
26 61 -> 97 fr=5289 (0.1203), cf=0.898, gamma=1.181, delta=0.018, M=-4.161e+002
26 -> 97 fr=5352 (0.1218), cf=0.897, gamma=1.179, delta=0.018, M=-4.143e+002
