27 52 56 -> ~96 fr=16576 (0.3771), cf=0.967, gamma=1.269, delta=0.080, M=-3.985e+003
27 52 56 -> 97 fr=16576 (0.3771), cf=0.967, gamma=1.269, delta=0.080, M=-3.985e+003
27 52 -> ~96 fr=16744 (0.3809), cf=0.964, gamma=1.266, delta=0.080, M=-3.936e+003
27 52 -> 97 fr=16744 (0.3809), cf=0.964, gamma=1.266, delta=0.080, M=-3.936e+003
43 51 -> 96 fr=7942 (0.1807), cf=0.447, gamma=1.876, delta=0.084, M=-3.603e+003
43 51 -> ~97 fr=7942 (0.1807), cf=0.447, gamma=1.876, delta=0.084, M=-3.603e+003
27 56 -> ~96 fr=16727 (0.3805), cf=0.952, gamma=1.250, delta=0.076, M=-3.441e+003
27 56 -> 97 fr=16727 (0.3805), cf=0.952, gamma=1.250, delta=0.076, M=-3.441e+003
27 -> ~96 fr=16895 (0.3844), cf=0.950, gamma=1.247, delta=0.076, M=-3.407e+003
27 -> 97 fr=16895 (0.3844), cf=0.950, gamma=1.247, delta=0.076, M=-3.407e+003
23 52 56 -> ~96 fr=26181 (0.5956), cf=0.876, gamma=1.151, delta=0.078, M=-3.220e+003
23 52 56 -> 97 fr=26181 (0.5956), cf=0.876, gamma=1.151, delta=0.078, M=-3.220e+003
42 52 56 -> ~96 fr=12203 (0.2776), cf=0.978, gamma=1.284, delta=0.061, M=-3.001e+003
42 52 56 -> 97 fr=12203 (0.2776), cf=0.978, gamma=1.284, delta=0.061, M=-3.001e+003
42 52 -> ~96 fr=12273 (0.2792), cf=0.976, gamma=1.281, delta=0.061, M=-2.945e+003
42 52 -> 97 fr=12273 (0.2792), cf=0.976, gamma=1.281, delta=0.061, M=-2.945e+003
52 56 -> ~96 fr=32662 (0.7430), cf=0.815, gamma=1.070, delta=0.048, M=-2.933e+003
52 56 -> 97 fr=32662 (0.7430), cf=0.815, gamma=1.070, delta=0.048, M=-2.933e+003
23 52 -> ~96 fr=26470 (0.6022), cf=0.867, gamma=1.139, delta=0.073, M=-2.892e+003
23 52 -> 97 fr=26470 (0.6022), cf=0.867, gamma=1.139, delta=0.073, M=-2.892e+003
42 56 -> ~96 fr=12298 (0.2798), cf=0.969, gamma=1.272, delta=0.060, M=-2.732e+003
42 56 -> 97 fr=12298 (0.2798), cf=0.969, gamma=1.272, delta=0.060, M=-2.732e+003
42 -> ~96 fr=12368 (0.2814), cf=0.967, gamma=1.269, delta=0.060, M=-2.686e+003
42 -> 97 fr=12368 (0.2814), cf=0.967, gamma=1.269, delta=0.060, M=-2.686e+003
24 51 -> 96 fr=4660 (0.1060), cf=0.548, gamma=2.298, delta=0.060, M=-2.461e+003
24 51 -> ~97 fr=4660 (0.1060), cf=0.548, gamma=2.298, delta=0.060, M=-2.461e+003
23 56 -> ~96 fr=26488 (0.6026), cf=0.854, gamma=1.121, delta=0.065, M=-2.323e+003
23 56 -> 97 fr=26488 (0.6026), cf=0.854, gamma=1.121, delta=0.065, M=-2.323e+003
52 -> ~96 fr=33045 (0.7518), cf=0.798, gamma=1.047, delta=0.034, M=-2.119e+003
23 -> ~96 fr=26777 (0.6092), cf=0.846, gamma=1.110, delta=0.060, M=-2.051e+003
23 -> 97 fr=26777 (0.6092), cf=0.846, gamma=1.110, delta=0.060, M=-2.051e+003
50 56 -> ~96 fr=12884 (0.2931), cf=0.898, gamma=1.178, delta=0.044, M=-1.213e+003
50 56 -> 97 fr=12884 (0.2931), cf=0.898, gamma=1.178, delta=0.044, M=-1.213e+003
50 -> ~96 fr=12991 (0.2955), cf=0.891, gamma=1.170, delta=0.043, M=-1.111e+003
50 -> 97 fr=12991 (0.2955), cf=0.891, gamma=1.170, delta=0.043, M=-1.111e+003
31 56 61 -> ~96 fr=6121 (0.1392), cf=0.955, gamma=1.254, delta=0.028, M=-1.016e+003
31 56 61 -> 97 fr=6121 (0.1392), cf=0.955, gamma=1.254, delta=0.028, M=-1.016e+003
31 56 -> ~96 fr=6177 (0.1405), cf=0.954, gamma=1.253, delta=0.028, M=-1.015e+003
31 56 -> 97 fr=6177 (0.1405), cf=0.954, gamma=1.253, delta=0.028, M=-1.015e+003
31 61 -> ~96 fr=6163 (0.1402), cf=0.952, gamma=1.250, delta=0.028, M=-9.900e+002
31 61 -> 97 fr=6163 (0.1402), cf=0.952, gamma=1.250, delta=0.028, M=-9.900e+002
31 -> 97 fr=6219 (0.1415), cf=0.951, gamma=1.249, delta=0.028, M=-9.877e+002
44 56 -> ~96 fr=10002 (0.2275), cf=0.904, gamma=1.187, delta=0.036, M=-9.478e+002
44 56 -> 97 fr=10002 (0.2275), cf=0.904, gamma=1.187, delta=0.036, M=-9.478e+002
44 61 -> ~96 fr=10047 (0.2286), cf=0.902, gamma=1.184, delta=0.035, M=-9.249e+002
44 61 -> 97 fr=10047 (0.2286), cf=0.902, gamma=1.184, delta=0.035, M=-9.249e+002
44 -> ~96 fr=10159 (0.2311), cf=0.901, gamma=1.182, delta=0.036, M=-9.245e+002
44 -> 97 fr=10159 (0.2311), cf=0.901, gamma=1.182, delta=0.036, M=-9.245e+002
16 56 61 -> ~96 fr=5316 (0.1209), cf=0.951, gamma=1.249, delta=0.024, M=-8.338e+002
16 56 61 -> 97 fr=5316 (0.1209), cf=0.951, gamma=1.249, delta=0.024, M=-8.338e+002
16 56 -> ~96 fr=5386 (0.1225), cf=0.950, gamma=1.248, delta=0.024, M=-8.334e+002
16 56 -> 97 fr=5386 (0.1225), cf=0.950, gamma=1.248, delta=0.024, M=-8.334e+002
16 61 -> ~96 fr=5369 (0.1221), cf=0.948, gamma=1.245, delta=0.024, M=-8.108e+002
16 61 -> 97 fr=5369 (0.1221), cf=0.948, gamma=1.245, delta=0.024, M=-8.108e+002
16 -> 97 fr=5439 (0.1237), cf=0.947, gamma=1.243, delta=0.024, M=-8.092e+002
56 -> ~96 fr=33097 (0.7529), cf=0.777, gamma=1.020, delta=0.014, M=-7.016e+002
26 61 -> ~96 fr=5290 (0.1203), cf=0.901, gamma=1.183, delta=0.019, M=-4.275e+002
26 61 -> 97 fr=5290 (0.1203), cf=0.901, gamma=1.183, delta=0.019, M=-4.275e+002
26 -> 97 fr=5355 (0.1218), cf=0.900, gamma=1.181, delta=0.019, M=-4.268e+002
17 61 -> ~96 fr=11858 (0.2698), cf=0.843, gamma=1.107, delta=0.026, M=-4.037e+002
17 61 -> 97 fr=11858 (0.2698), cf=0.843, gamma=1.107, delta=0.026, M=-4.037e+002
17 -> ~96 fr=12007 (0.2732), cf=0.842, gamma=1.105, delta=0.026, M=-3.972e+002
17 -> 97 fr=12007 (0.2732), cf=0.842, gamma=1.105, delta=0.026, M=-3.972e+002
45 66 -> 96 fr=8974 (0.2042), cf=0.259, gamma=1.087, delta=0.016, M=-2.098e+002
45 66 -> ~97 fr=8974 (0.2042), cf=0.259, gamma=1.087, delta=0.016, M=-2.098e+002
45 -> ~97 fr=9526 (0.2167), cf=0.253, gamma=1.064, delta=0.013, M=-1.820e+002
2 61 -> ~96 fr=23743 (0.5401), cf=0.785, gamma=1.030, delta=0.016, M=-1.434e+002
2 61 -> 97 fr=23743 (0.5401), cf=0.785, gamma=1.030, delta=0.016, M=-1.434e+002
2 -> ~96 fr=23920 (0.5442), cf=0.783, gamma=1.028, delta=0.015, M=-1.287e+002
2 -> 97 fr=23920 (0.5442), cf=0.783, gamma=1.028, delta=0.015, M=-1.287e+002
15 61 -> ~96 fr=7867 (0.1790), cf=0.813, gamma=1.068, delta=0.011, M=-9.757e+001
15 61 -> 97 fr=7867 (0.1790), cf=0.813, gamma=1.068, delta=0.011, M=-9.757e+001
15 -> 97 fr=7943 (0.1807), cf=0.811, gamma=1.065, delta=0.011, M=-9.171e+001
66 -> ~97 fr=9586 (0.2181), cf=0.243, gamma=1.020, delta=0.004, M=-2.687e+001
61 -> ~96 fr=33077 (0.7525), cf=0.763, gamma=1.002, delta=0.001, M=-1.742e+001
