1 -> 31 fr=516 (0.4125), cf=0.938, gamma=1.114, delta=0.042, M=-3.930e+001
15 27 -> 31 fr=933 (0.7458), cf=0.882, gamma=1.047, delta=0.033, M=-3.536e+001
11 -> 31 fr=341 (0.2726), cf=0.947, gamma=1.124, delta=0.030, M=-2.684e+001
20 23 -> 31 fr=666 (0.5324), cf=0.893, gamma=1.060, delta=0.030, M=-1.949e+001
23 -> 31 fr=678 (0.5420), cf=0.891, gamma=1.057, delta=0.029, M=-1.899e+001
6 -> 31 fr=386 (0.3086), cf=0.913, gamma=1.083, delta=0.024, M=-1.489e+001
1 15 -> ~32 fr=498 (0.3981), cf=0.947, gamma=1.054, delta=0.020, M=-1.444e+001
15 27 -> ~33 fr=1040 (0.8313), cf=0.983, gamma=1.012, delta=0.010, M=-1.401e+001
1 -> ~32 fr=519 (0.4149), cf=0.944, gamma=1.050, delta=0.020, M=-1.361e+001
15 -> ~33 fr=1048 (0.8377), cf=0.982, gamma=1.011, delta=0.009, M=-1.297e+001
1 -> ~33 fr=547 (0.4373), cf=0.995, gamma=1.024, delta=0.010, M=-1.286e+001
11 15 -> ~32 fr=333 (0.2662), cf=0.957, gamma=1.065, delta=0.016, M=-1.230e+001
11 -> ~32 fr=344 (0.2750), cf=0.956, gamma=1.064, delta=0.016, M=-1.224e+001
15 27 -> ~32 fr=969 (0.7746), cf=0.916, gamma=1.019, delta=0.015, M=-1.165e+001
15 -> ~32 fr=976 (0.7802), cf=0.915, gamma=1.018, delta=0.014, M=-1.086e+001
1 -> ~34 fr=550 (0.4396), cf=1.000, gamma=1.015, delta=0.006, M=-1.052e+001
6 12 -> ~33 fr=295 (0.2358), cf=1.000, gamma=1.030, delta=0.007, M=-9.841e+000
25 -> 31 fr=129 (0.1031), cf=0.949, gamma=1.126, delta=0.012, M=-9.713e+000
26 -> ~31 fr=190 (0.1519), cf=0.170, gamma=1.082, delta=0.012, M=-9.713e+000
27 -> ~32 fr=1102 (0.8809), cf=0.905, gamma=1.007, delta=0.006, M=-8.456e+000
6 -> ~33 fr=420 (0.3357), cf=0.993, gamma=1.022, delta=0.007, M=-7.973e+000
23 -> ~35 fr=761 (0.6083), cf=1.000, gamma=1.006, delta=0.004, M=-7.533e+000
2 12 -> 31 fr=201 (0.1607), cf=0.914, gamma=1.084, delta=0.013, M=-7.477e+000
20 23 -> ~32 fr=687 (0.5492), cf=0.921, gamma=1.025, delta=0.013, M=-6.840e+000
7 20 -> 31 fr=392 (0.3133), cf=0.885, gamma=1.050, delta=0.015, M=-6.662e+000
7 -> 31 fr=406 (0.3245), cf=0.883, gamma=1.048, delta=0.015, M=-6.388e+000
20 27 -> ~33 fr=1140 (0.9113), cf=0.976, gamma=1.005, delta=0.004, M=-6.345e+000
27 -> ~33 fr=1187 (0.9488), cf=0.975, gamma=1.003, delta=0.003, M=-6.233e+000
23 -> ~33 fr=748 (0.5979), cf=0.983, gamma=1.012, delta=0.007, M=-6.191e+000
11 -> ~34 fr=360 (0.2878), cf=1.000, gamma=1.015, delta=0.004, M=-6.158e+000
23 -> ~32 fr=699 (0.5588), cf=0.919, gamma=1.022, delta=0.012, M=-5.978e+000
11 -> ~33 fr=357 (0.2854), cf=0.992, gamma=1.021, delta=0.006, M=-5.945e+000
15 23 -> ~34 fr=704 (0.5627), cf=0.994, gamma=1.009, delta=0.005, M=-5.782e+000
25 -> ~32 fr=131 (0.1047), cf=0.963, gamma=1.072, delta=0.007, M=-5.776e+000
23 -> ~34 fr=756 (0.6043), cf=0.993, gamma=1.008, delta=0.005, M=-5.428e+000
12 20 -> 31 fr=472 (0.3773), cf=0.874, gamma=1.037, delta=0.014, M=-5.399e+000
6 -> ~34 fr=422 (0.3373), cf=0.998, gamma=1.012, delta=0.004, M=-5.151e+000
12 -> 31 fr=490 (0.3917), cf=0.872, gamma=1.035, delta=0.013, M=-5.112e+000
12 20 -> ~33 fr=532 (0.4253), cf=0.985, gamma=1.014, delta=0.006, M=-4.999e+000
20 -> ~37 fr=1188 (0.9496), cf=0.999, gamma=1.002, delta=0.001, M=-4.959e+000
2 -> 31 fr=231 (0.1847), cf=0.892, gamma=1.059, delta=0.010, M=-4.868e+000
1 -> ~35 fr=550 (0.4396), cf=1.000, gamma=1.006, delta=0.003, M=-4.651e+000
15 -> ~34 fr=1056 (0.8441), cf=0.990, gamma=1.004, delta=0.003, M=-4.597e+000
12 -> ~33 fr=553 (0.4420), cf=0.984, gamma=1.013, delta=0.006, M=-4.576e+000
