1 15 -> 31 fr=494 (0.3949), cf=0.946, gamma=1.123, delta=0.043, M=-4.311e+001
1 -> 31 fr=517 (0.4133), cf=0.942, gamma=1.118, delta=0.044, M=-4.222e+001
15 27 -> 31 fr=922 (0.7370), cf=0.882, gamma=1.047, delta=0.033, M=-3.399e+001
11 -> 31 fr=337 (0.2694), cf=0.949, gamma=1.127, delta=0.030, M=-2.750e+001
20 23 -> 31 fr=650 (0.5196), cf=0.893, gamma=1.060, delta=0.029, M=-1.864e+001
23 -> 31 fr=663 (0.5300), cf=0.891, gamma=1.058, delta=0.029, M=-1.827e+001
6 -> 31 fr=381 (0.3046), cf=0.920, gamma=1.092, delta=0.026, M=-1.765e+001
1 15 -> ~32 fr=496 (0.3965), cf=0.950, gamma=1.058, delta=0.022, M=-1.623e+001
1 -> ~32 fr=520 (0.4157), cf=0.947, gamma=1.054, delta=0.021, M=-1.558e+001
1 15 -> ~33 fr=520 (0.4157), cf=0.996, gamma=1.026, delta=0.010, M=-1.386e+001
15 27 -> ~33 fr=1027 (0.8209), cf=0.983, gamma=1.012, delta=0.010, M=-1.300e+001
1 -> ~33 fr=546 (0.4365), cf=0.995, gamma=1.024, delta=0.010, M=-1.282e+001
15 -> ~33 fr=1036 (0.8281), cf=0.982, gamma=1.011, delta=0.009, M=-1.205e+001
11 -> ~32 fr=339 (0.2710), cf=0.955, gamma=1.063, delta=0.016, M=-1.180e+001
15 27 -> ~32 fr=957 (0.7650), cf=0.916, gamma=1.019, delta=0.014, M=-1.095e+001
1 -> ~34 fr=549 (0.4388), cf=1.000, gamma=1.015, delta=0.006, M=-1.050e+001
15 -> ~32 fr=965 (0.7714), cf=0.915, gamma=1.018, delta=0.014, M=-1.029e+001
26 29 -> ~31 fr=163 (0.1303), cf=0.180, gamma=1.144, delta=0.016, M=-8.720e+000
25 -> 31 fr=127 (0.1015), cf=0.941, gamma=1.117, delta=0.011, M=-8.336e+000
26 -> ~31 fr=189 (0.1511), cf=0.169, gamma=1.075, delta=0.011, M=-8.336e+000
6 12 23 -> ~33 fr=254 (0.2030), cf=1.000, gamma=1.030, delta=0.006, M=-8.301e+000
27 -> ~32 fr=1101 (0.8801), cf=0.905, gamma=1.007, delta=0.006, M=-8.154e+000
