1 15 -> 31 fr=494 (0.3955), cf=0.943, gamma=1.117, delta=0.041, M=-3.951e+001
1 -> 31 fr=520 (0.4163), cf=0.939, gamma=1.112, delta=0.042, M=-3.932e+001
15 27 -> 31 fr=927 (0.7422), cf=0.881, gamma=1.044, delta=0.031, M=-3.169e+001
11 -> 31 fr=341 (0.2730), cf=0.945, gamma=1.119, delta=0.029, M=-2.507e+001
6 -> 31 fr=388 (0.3106), cf=0.917, gamma=1.087, delta=0.025, M=-1.638e+001
20 23 -> 31 fr=669 (0.5356), cf=0.887, gamma=1.051, delta=0.026, M=-1.548e+001
1 15 -> ~32 fr=497 (0.3979), cf=0.948, gamma=1.056, delta=0.021, M=-1.540e+001
1 -> ~32 fr=524 (0.4195), cf=0.946, gamma=1.053, delta=0.021, M=-1.509e+001
23 -> 31 fr=681 (0.5452), cf=0.886, gamma=1.049, delta=0.026, M=-1.503e+001
15 27 -> ~32 fr=964 (0.7718), cf=0.916, gamma=1.020, delta=0.015, M=-1.209e+001
1 15 -> ~33 fr=521 (0.4171), cf=0.994, gamma=1.024, delta=0.010, M=-1.180e+001
15 -> ~32 fr=972 (0.7782), cf=0.915, gamma=1.019, delta=0.014, M=-1.142e+001
11 -> ~32 fr=344 (0.2754), cf=0.953, gamma=1.061, delta=0.016, M=-1.129e+001
1 -> ~33 fr=550 (0.4404), cf=0.993, gamma=1.022, delta=0.010, M=-1.110e+001
1 -> ~34 fr=554 (0.4436), cf=1.000, gamma=1.015, delta=0.006, M=-1.065e+001
15 27 -> ~33 fr=1032 (0.8263), cf=0.981, gamma=1.010, delta=0.008, M=-1.035e+001
27 -> ~32 fr=1100 (0.8807), cf=0.905, gamma=1.008, delta=0.007, M=-9.768e+000
15 -> ~33 fr=1041 (0.8335), cf=0.980, gamma=1.009, delta=0.008, M=-9.480e+000
6 12 23 -> ~33 fr=264 (0.2114), cf=1.000, gamma=1.030, delta=0.006, M=-8.687e+000
25 -> 31 fr=125 (0.1001), cf=0.940, gamma=1.114, delta=0.010, M=-7.935e+000
26 -> ~31 fr=187 (0.1497), cf=0.168, gamma=1.073, delta=0.010, M=-7.935e+000
23 -> ~35 fr=769 (0.6157), cf=1.000, gamma=1.006, delta=0.004, M=-7.687e+000
6 12 -> ~33 fr=298 (0.2386), cf=0.997, gamma=1.026, delta=0.006, M=-7.467e+000
6 -> ~33 fr=419 (0.3355), cf=0.991, gamma=1.020, delta=0.007, M=-6.452e+000
11 -> ~34 fr=361 (0.2890), cf=1.000, gamma=1.015, delta=0.004, M=-6.191e+000
11 -> ~33 fr=358 (0.2866), cf=0.992, gamma=1.021, delta=0.006, M=-5.993e+000
2 12 -> 31 fr=201 (0.1609), cf=0.905, gamma=1.073, delta=0.011, M=-5.972e+000
7 20 -> 31 fr=392 (0.3139), cf=0.881, gamma=1.044, delta=0.013, M=-5.481e+000
6 29 -> ~32 fr=359 (0.2874), cf=0.932, gamma=1.038, delta=0.011, M=-5.476e+000
23 -> ~33 fr=755 (0.6045), cf=0.982, gamma=1.011, delta=0.007, M=-5.441e+000
20 23 29 -> ~32 fr=593 (0.4748), cf=0.921, gamma=1.025, delta=0.012, M=-5.436e+000
7 -> 31 fr=407 (0.3259), cf=0.879, gamma=1.042, delta=0.013, M=-5.311e+000
6 -> ~32 fr=393 (0.3147), cf=0.929, gamma=1.034, delta=0.010, M=-5.166e+000
6 -> ~34 fr=422 (0.3379), cf=0.998, gamma=1.012, delta=0.004, M=-5.164e+000
20 23 -> ~32 fr=691 (0.5532), cf=0.916, gamma=1.020, delta=0.011, M=-5.081e+000
2 20 -> 31 fr=222 (0.1777), cf=0.895, gamma=1.061, delta=0.010, M=-4.982e+000
23 29 -> ~32 fr=601 (0.4812), cf=0.919, gamma=1.023, delta=0.011, M=-4.907e+000
2 -> 31 fr=233 (0.1865), cf=0.893, gamma=1.058, delta=0.010, M=-4.853e+000
1 -> ~35 fr=554 (0.4436), cf=1.000, gamma=1.006, delta=0.003, M=-4.707e+000
25 -> ~32 fr=127 (0.1017), cf=0.955, gamma=1.063, delta=0.006, M=-4.500e+000
15 -> ~34 fr=1051 (0.8415), cf=0.990, gamma=1.004, delta=0.003, M=-4.499e+000
23 -> ~32 fr=703 (0.5629), cf=0.914, gamma=1.018, delta=0.010, M=-4.358e+000
23 -> ~34 fr=763 (0.6109), cf=0.992, gamma=1.007, delta=0.004, M=-4.288e+000
27 -> ~33 fr=1183 (0.9472), cf=0.974, gamma=1.003, delta=0.002, M=-4.230e+000
15 -> ~35 fr=1058 (0.8471), cf=0.996, gamma=1.003, delta=0.002, M=-3.871e+000
7 -> ~35 fr=463 (0.3707), cf=1.000, gamma=1.006, delta=0.002, M=-3.718e+000
12 19 20 29 -> 31 fr=221 (0.1769), cf=0.884, gamma=1.048, delta=0.008, M=-3.539e+000
12 20 29 -> 31 fr=413 (0.3307), cf=0.869, gamma=1.030, delta=0.010, M=-3.517e+000
2 12 -> ~33 fr=220 (0.1761), cf=0.991, gamma=1.020, delta=0.004, M=-3.457e+000
12 20 29 -> ~33 fr=467 (0.3739), cf=0.983, gamma=1.012, delta=0.005, M=-3.441e+000
12 20 -> ~33 fr=539 (0.4315), cf=0.982, gamma=1.011, delta=0.005, M=-3.414e+000
6 -> ~35 fr=423 (0.3387), cf=1.000, gamma=1.006, delta=0.002, M=-3.320e+000
30 -> ~34 fr=207 (0.1657), cf=1.000, gamma=1.015, delta=0.002, M=-3.286e+000
7 -> ~33 fr=455 (0.3643), cf=0.983, gamma=1.012, delta=0.004, M=-3.183e+000
12 -> ~33 fr=561 (0.4492), cf=0.981, gamma=1.010, delta=0.004, M=-3.129e+000
12 29 -> 31 fr=425 (0.3403), cf=0.866, gamma=1.026, delta=0.009, M=-2.962e+000
12 19 -> ~34 fr=290 (0.2322), cf=0.997, gamma=1.011, delta=0.003, M=-2.930e+000
27 -> ~37 fr=1214 (0.9720), cf=0.999, gamma=1.001, delta=0.001, M=-2.924e+000
2 20 -> ~32 fr=230 (0.1841), cf=0.927, gamma=1.032, delta=0.006, M=-2.923e+000
7 -> ~34 fr=460 (0.3683), cf=0.994, gamma=1.008, delta=0.003, M=-2.915e+000
23 -> ~36 fr=769 (0.6157), cf=1.000, gamma=1.002, delta=0.001, M=-2.873e+000
15 -> ~36 fr=1061 (0.8495), cf=0.999, gamma=1.001, delta=0.001, M=-2.808e+000
12 -> 31 fr=493 (0.3947), cf=0.862, gamma=1.021, delta=0.008, M=-2.777e+000
2 12 -> ~32 fr=206 (0.1649), cf=0.928, gamma=1.033, delta=0.005, M=-2.740e+000
11 -> ~35 fr=361 (0.2890), cf=1.000, gamma=1.006, delta=0.002, M=-2.738e+000
18 -> ~33 fr=541 (0.4331), cf=0.980, gamma=1.009, delta=0.004, M=-2.734e+000
20 -> ~32 fr=1073 (0.8591), cf=0.902, gamma=1.004, delta=0.003, M=-2.688e+000
2 -> ~32 fr=241 (0.1930), cf=0.923, gamma=1.028, delta=0.005, M=-2.535e+000
20 -> ~37 fr=1189 (0.9520), cf=0.999, gamma=1.001, delta=0.001, M=-2.383e+000
12 -> ~34 fr=567 (0.4540), cf=0.991, gamma=1.006, delta=0.003, M=-2.364e+000
12 19 -> ~35 fr=291 (0.2330), cf=1.000, gamma=1.006, delta=0.001, M=-2.129e+000
25 -> ~34 fr=133 (0.1065), cf=1.000, gamma=1.015, delta=0.002, M=-2.041e+000
20 -> ~36 fr=1188 (0.9512), cf=0.998, gamma=1.001, delta=0.001, M=-2.001e+000
15 -> ~39 fr=1062 (0.8503), cf=1.000, gamma=1.001, delta=0.001, M=-1.899e+000
2 -> ~35 fr=261 (0.2090), cf=1.000, gamma=1.006, delta=0.001, M=-1.881e+000
19 -> ~35 fr=606 (0.4852), cf=0.997, gamma=1.003, delta=0.002, M=-1.822e+000
1 -> ~36 fr=554 (0.4436), cf=1.000, gamma=1.002, delta=0.001, M=-1.760e+000
18 -> ~36 fr=552 (0.4420), cf=1.000, gamma=1.002, delta=0.001, M=-1.752e+000
7 -> ~32 fr=421 (0.3371), cf=0.909, gamma=1.012, delta=0.004, M=-1.672e+000
27 -> ~35 fr=1208 (0.9672), cf=0.994, gamma=1.001, delta=0.001, M=-1.616e+000
2 -> ~33 fr=256 (0.2050), cf=0.981, gamma=1.010, delta=0.002, M=-1.593e+000
12 -> ~35 fr=570 (0.4564), cf=0.997, gamma=1.003, delta=0.001, M=-1.580e+000
30 -> ~35 fr=207 (0.1657), cf=1.000, gamma=1.006, delta=0.001, M=-1.454e+000
25 -> ~33 fr=131 (0.1049), cf=0.985, gamma=1.014, delta=0.001, M=-1.414e+000
20 29 -> ~33 fr=978 (0.7830), cf=0.973, gamma=1.002, delta=0.002, M=-1.356e+000
15 -> ~37 fr=1061 (0.8495), cf=0.999, gamma=1.001, delta=0.001, M=-1.283e+000
30 -> 31 fr=178 (0.1425), cf=0.860, gamma=1.019, delta=0.003, M=-1.270e+000
6 -> ~36 fr=423 (0.3387), cf=1.000, gamma=1.002, delta=0.001, M=-1.242e+000
12 19 29 -> ~32 fr=231 (0.1849), cf=0.909, gamma=1.012, delta=0.002, M=-1.208e+000
1 -> ~37 fr=554 (0.4436), cf=1.000, gamma=1.002, delta=0.001, M=-1.173e+000
18 -> ~37 fr=552 (0.4420), cf=1.000, gamma=1.002, delta=0.001, M=-1.167e+000
20 -> ~35 fr=1183 (0.9472), cf=0.994, gamma=1.001, delta=0.000, M=-1.134e+000
11 -> ~36 fr=361 (0.2890), cf=1.000, gamma=1.002, delta=0.001, M=-1.024e+000
29 -> ~33 fr=1013 (0.8110), cf=0.972, gamma=1.001, delta=0.001, M=-9.498e-001
27 -> ~34 fr=1198 (0.9592), cf=0.986, gamma=1.000, delta=0.000, M=-9.324e-001
12 29 -> ~32 fr=443 (0.3547), cf=0.902, gamma=1.004, delta=0.002, M=-9.305e-001
18 -> 31 fr=468 (0.3747), cf=0.848, gamma=1.005, delta=0.002, M=-9.245e-001
25 -> ~35 fr=133 (0.1065), cf=1.000, gamma=1.006, delta=0.001, M=-9.034e-001
18 -> ~34 fr=545 (0.4363), cf=0.987, gamma=1.002, delta=0.001, M=-8.730e-001
