1 -> 31 fr=518 (0.4144), cf=0.942, gamma=1.117, delta=0.043, M=-4.203e+001
15 27 -> 31 fr=928 (0.7424), cf=0.880, gamma=1.043, delta=0.031, M=-3.064e+001
11 -> 31 fr=339 (0.2712), cf=0.955, gamma=1.133, delta=0.032, M=-3.045e+001
20 23 -> 31 fr=663 (0.5304), cf=0.891, gamma=1.057, delta=0.029, M=-1.790e+001
23 -> 31 fr=675 (0.5400), cf=0.889, gamma=1.055, delta=0.028, M=-1.741e+001
6 -> 31 fr=390 (0.3120), cf=0.915, gamma=1.086, delta=0.025, M=-1.601e+001
1 -> ~32 fr=521 (0.4168), cf=0.947, gamma=1.054, delta=0.022, M=-1.572e+001
15 27 -> ~33 fr=1038 (0.8304), cf=0.984, gamma=1.013, delta=0.011, M=-1.568e+001
15 -> ~33 fr=1045 (0.8360), cf=0.983, gamma=1.012, delta=0.010, M=-1.450e+001
11 -> ~32 fr=341 (0.2728), cf=0.961, gamma=1.069, delta=0.018, M=-1.419e+001
1 -> ~33 fr=547 (0.4376), cf=0.995, gamma=1.024, delta=0.010, M=-1.288e+001
25 -> 31 fr=130 (0.1040), cf=0.956, gamma=1.134, delta=0.012, M=-1.102e+001
26 -> ~31 fr=190 (0.1520), cf=0.171, gamma=1.088, delta=0.012, M=-1.102e+001
1 -> ~34 fr=550 (0.4400), cf=1.000, gamma=1.015, delta=0.006, M=-1.053e+001
6 12 23 -> ~33 fr=266 (0.2128), cf=1.000, gamma=1.030, delta=0.006, M=-8.753e+000
15 -> ~32 fr=970 (0.7760), cf=0.913, gamma=1.016, delta=0.012, M=-8.602e+000
6 12 -> ~33 fr=303 (0.2424), cf=0.997, gamma=1.026, delta=0.006, M=-7.631e+000
23 -> ~35 fr=759 (0.6072), cf=1.000, gamma=1.006, delta=0.004, M=-7.511e+000
11 -> ~33 fr=353 (0.2824), cf=0.994, gamma=1.024, delta=0.007, M=-7.421e+000
23 -> ~33 fr=747 (0.5976), cf=0.984, gamma=1.013, delta=0.008, M=-7.279e+000
2 12 -> 31 fr=198 (0.1584), cf=0.912, gamma=1.082, delta=0.012, M=-7.076e+000
2 12 -> ~33 fr=217 (0.1736), cf=1.000, gamma=1.030, delta=0.005, M=-6.972e+000
6 -> ~33 fr=422 (0.3376), cf=0.991, gamma=1.020, delta=0.007, M=-6.535e+000
20 23 29 -> ~32 fr=584 (0.4672), cf=0.924, gamma=1.029, delta=0.013, M=-6.451e+000
27 -> ~32 fr=1102 (0.8816), cf=0.903, gamma=1.005, delta=0.005, M=-6.237e+000
