1 15 -> 31 fr=491 (0.3925), cf=0.948, gamma=1.125, delta=0.044, M=-4.395e+001
1 -> 31 fr=515 (0.4117), cf=0.943, gamma=1.120, delta=0.044, M=-4.321e+001
15 27 -> 31 fr=924 (0.7386), cf=0.883, gamma=1.048, delta=0.034, M=-3.578e+001
11 -> 31 fr=344 (0.2750), cf=0.956, gamma=1.134, delta=0.033, M=-3.161e+001
20 23 -> 31 fr=655 (0.5236), cf=0.896, gamma=1.064, delta=0.031, M=-2.098e+001
23 -> 31 fr=667 (0.5332), cf=0.894, gamma=1.061, delta=0.031, M=-2.044e+001
1 15 -> ~32 fr=493 (0.3941), cf=0.952, gamma=1.059, delta=0.022, M=-1.698e+001
15 27 -> ~33 fr=1030 (0.8233), cf=0.985, gamma=1.014, delta=0.011, M=-1.675e+001
1 -> ~32 fr=518 (0.4141), cf=0.949, gamma=1.056, delta=0.022, M=-1.638e+001
15 -> ~33 fr=1038 (0.8297), cf=0.984, gamma=1.013, delta=0.011, M=-1.561e+001
11 -> ~32 fr=346 (0.2766), cf=0.961, gamma=1.070, delta=0.018, M=-1.464e+001
25 -> 31 fr=136 (0.1087), cf=0.965, gamma=1.145, delta=0.014, M=-1.344e+001
26 -> ~31 fr=192 (0.1535), cf=0.173, gamma=1.098, delta=0.014, M=-1.344e+001
6 -> 31 fr=377 (0.3014), cf=0.908, gamma=1.078, delta=0.022, M=-1.302e+001
1 -> ~33 fr=543 (0.4341), cf=0.995, gamma=1.024, delta=0.010, M=-1.269e+001
15 27 -> ~32 fr=958 (0.7658), cf=0.916, gamma=1.019, delta=0.015, M=-1.107e+001
1 -> ~34 fr=546 (0.4365), cf=1.000, gamma=1.015, delta=0.006, M=-1.042e+001
15 -> ~32 fr=965 (0.7714), cf=0.915, gamma=1.018, delta=0.014, M=-1.029e+001
27 -> ~32 fr=1102 (0.8809), cf=0.906, gamma=1.008, delta=0.007, M=-9.784e+000
6 12 23 -> ~33 fr=258 (0.2062), cf=1.000, gamma=1.030, delta=0.006, M=-8.449e+000
23 -> ~33 fr=735 (0.5875), cf=0.985, gamma=1.014, delta=0.008, M=-8.014e+000
6 -> ~33 fr=412 (0.3293), cf=0.993, gamma=1.022, delta=0.007, M=-7.702e+000
7 20 -> 31 fr=398 (0.3181), cf=0.888, gamma=1.054, delta=0.016, M=-7.670e+000
11 -> ~33 fr=358 (0.2862), cf=0.994, gamma=1.024, delta=0.007, M=-7.580e+000
25 -> ~32 fr=137 (0.1095), cf=0.972, gamma=1.081, delta=0.008, M=-7.490e+000
7 -> 31 fr=413 (0.3301), cf=0.886, gamma=1.052, delta=0.016, M=-7.450e+000
2 12 -> 31 fr=193 (0.1543), cf=0.915, gamma=1.086, delta=0.012, M=-7.364e+000
23 -> ~35 fr=746 (0.5963), cf=1.000, gamma=1.006, delta=0.004, M=-7.290e+000
20 23 -> ~32 fr=674 (0.5388), cf=0.922, gamma=1.026, delta=0.014, M=-7.115e+000
2 20 -> 31 fr=213 (0.1703), cf=0.906, gamma=1.076, delta=0.012, M=-6.653e+000
18 23 -> ~32 fr=273 (0.2182), cf=0.945, gamma=1.051, delta=0.011, M=-6.610e+000
2 -> 31 fr=224 (0.1791), cf=0.903, gamma=1.072, delta=0.012, M=-6.450e+000
23 -> ~32 fr=686 (0.5484), cf=0.920, gamma=1.023, delta=0.013, M=-6.228e+000
11 -> ~34 fr=360 (0.2878), cf=1.000, gamma=1.015, delta=0.004, M=-6.158e+000
27 -> ~33 fr=1186 (0.9480), cf=0.975, gamma=1.003, delta=0.003, M=-6.095e+000
15 -> ~34 fr=1045 (0.8353), cf=0.991, gamma=1.005, delta=0.004, M=-5.699e+000
23 -> ~34 fr=741 (0.5923), cf=0.993, gamma=1.008, delta=0.005, M=-5.118e+000
6 -> ~34 fr=414 (0.3309), cf=0.998, gamma=1.012, delta=0.004, M=-5.002e+000
20 -> ~37 fr=1184 (0.9464), cf=0.999, gamma=1.002, delta=0.001, M=-4.835e+000
12 19 -> ~34 fr=287 (0.2294), cf=1.000, gamma=1.015, delta=0.003, M=-4.728e+000
7 18 20 -> ~32 fr=221 (0.1767), cf=0.940, gamma=1.047, delta=0.008, M=-4.652e+000
1 -> ~35 fr=546 (0.4365), cf=1.000, gamma=1.006, delta=0.003, M=-4.605e+000
6 12 29 -> ~32 fr=254 (0.2030), cf=0.934, gamma=1.039, delta=0.008, M=-4.116e+000
2 12 20 -> ~32 fr=189 (0.1511), cf=0.940, gamma=1.047, delta=0.007, M=-4.035e+000
2 12 -> ~32 fr=198 (0.1583), cf=0.938, gamma=1.044, delta=0.007, M=-3.928e+000
12 20 29 -> ~33 fr=451 (0.3605), cf=0.985, gamma=1.014, delta=0.005, M=-3.925e+000
7 18 -> ~32 fr=229 (0.1831), cf=0.935, gamma=1.040, delta=0.007, M=-3.885e+000
12 20 -> ~33 fr=524 (0.4189), cf=0.983, gamma=1.012, delta=0.005, M=-3.871e+000
7 -> ~35 fr=466 (0.3725), cf=1.000, gamma=1.006, delta=0.002, M=-3.741e+000
7 20 -> ~32 fr=413 (0.3301), cf=0.922, gamma=1.026, delta=0.008, M=-3.721e+000
30 -> ~34 fr=226 (0.1807), cf=1.000, gamma=1.015, delta=0.003, M=-3.614e+000
12 -> ~33 fr=545 (0.4357), cf=0.982, gamma=1.011, delta=0.005, M=-3.525e+000
6 12 -> ~32 fr=273 (0.2182), cf=0.929, gamma=1.033, delta=0.007, M=-3.521e+000
12 -> 31 fr=480 (0.3837), cf=0.865, gamma=1.027, delta=0.010, M=-3.472e+000
2 20 -> ~32 fr=219 (0.1751), cf=0.932, gamma=1.037, delta=0.006, M=-3.357e+000
6 -> ~35 fr=415 (0.3317), cf=1.000, gamma=1.006, delta=0.002, M=-3.236e+000
7 -> ~33 fr=458 (0.3661), cf=0.983, gamma=1.012, delta=0.004, M=-3.231e+000
6 29 -> ~32 fr=344 (0.2750), cf=0.922, gamma=1.026, delta=0.007, M=-3.189e+000
6 -> ~32 fr=382 (0.3054), cf=0.920, gamma=1.024, delta=0.007, M=-3.188e+000
7 -> ~32 fr=428 (0.3421), cf=0.918, gamma=1.022, delta=0.007, M=-3.154e+000
30 -> 31 fr=199 (0.1591), cf=0.881, gamma=1.045, delta=0.007, M=-3.028e+000
2 -> ~33 fr=245 (0.1958), cf=0.988, gamma=1.017, delta=0.003, M=-2.948e+000
