1 -> 31 fr=507 (0.4053), cf=0.939, gamma=1.114, delta=0.042, M=-3.882e+001
15 27 -> 31 fr=929 (0.7426), cf=0.879, gamma=1.043, delta=0.031, M=-3.068e+001
11 -> 31 fr=333 (0.2662), cf=0.949, gamma=1.126, delta=0.030, M=-2.682e+001
15 27 -> ~33 fr=1040 (0.8313), cf=0.984, gamma=1.013, delta=0.011, M=-1.578e+001
6 -> 31 fr=380 (0.3038), cf=0.913, gamma=1.084, delta=0.024, M=-1.494e+001
1 -> ~32 fr=511 (0.4085), cf=0.946, gamma=1.053, delta=0.021, M=-1.472e+001
15 -> ~33 fr=1048 (0.8377), cf=0.983, gamma=1.012, delta=0.010, M=-1.469e+001
20 23 -> 31 fr=653 (0.5220), cf=0.885, gamma=1.050, delta=0.025, M=-1.409e+001
23 -> 31 fr=663 (0.5300), cf=0.883, gamma=1.048, delta=0.024, M=-1.341e+001
11 -> ~32 fr=336 (0.2686), cf=0.957, gamma=1.065, delta=0.016, M=-1.258e+001
1 -> ~33 fr=536 (0.4285), cf=0.993, gamma=1.022, delta=0.009, M=-1.051e+001
1 -> ~34 fr=540 (0.4317), cf=1.000, gamma=1.015, delta=0.006, M=-1.026e+001
27 -> ~32 fr=1103 (0.8817), cf=0.906, gamma=1.008, delta=0.007, M=-1.013e+001
25 -> 31 fr=131 (0.1047), cf=0.942, gamma=1.119, delta=0.011, M=-8.853e+000
26 -> ~31 fr=189 (0.1511), cf=0.170, gamma=1.079, delta=0.011, M=-8.853e+000
15 -> ~32 fr=973 (0.7778), cf=0.913, gamma=1.016, delta=0.012, M=-8.848e+000
6 12 23 -> ~33 fr=261 (0.2086), cf=1.000, gamma=1.030, delta=0.006, M=-8.559e+000
6 -> ~33 fr=413 (0.3301), cf=0.993, gamma=1.022, delta=0.007, M=-7.735e+000
23 -> ~35 fr=751 (0.6003), cf=1.000, gamma=1.006, delta=0.004, M=-7.371e+000
23 -> ~33 fr=739 (0.5907), cf=0.984, gamma=1.013, delta=0.008, M=-6.978e+000
27 -> ~33 fr=1187 (0.9488), cf=0.975, gamma=1.003, delta=0.003, M=-6.233e+000
2 12 -> 31 fr=201 (0.1607), cf=0.905, gamma=1.075, delta=0.011, M=-6.146e+000
7 20 -> 31 fr=397 (0.3173), cf=0.882, gamma=1.047, delta=0.014, M=-6.134e+000
11 -> ~34 fr=351 (0.2806), cf=1.000, gamma=1.015, delta=0.004, M=-5.976e+000
7 -> 31 fr=410 (0.3277), cf=0.880, gamma=1.044, delta=0.014, M=-5.808e+000
11 -> ~33 fr=348 (0.2782), cf=0.991, gamma=1.021, delta=0.006, M=-5.675e+000
6 -> ~34 fr=415 (0.3317), cf=0.998, gamma=1.012, delta=0.004, M=-5.021e+000
20 -> ~37 fr=1189 (0.9504), cf=0.999, gamma=1.002, delta=0.001, M=-4.991e+000
25 -> ~32 fr=133 (0.1063), cf=0.957, gamma=1.065, delta=0.006, M=-4.927e+000
7 20 24 -> ~32 fr=157 (0.1255), cf=0.952, gamma=1.059, delta=0.007, M=-4.903e+000
12 -> ~33 fr=559 (0.4468), cf=0.984, gamma=1.013, delta=0.006, M=-4.731e+000
1 -> ~35 fr=540 (0.4317), cf=1.000, gamma=1.006, delta=0.003, M=-4.537e+000
15 23 -> ~34 fr=694 (0.5548), cf=0.993, gamma=1.007, delta=0.004, M=-4.229e+000
6 -> ~32 fr=385 (0.3078), cf=0.925, gamma=1.030, delta=0.009, M=-4.201e+000
2 -> 31 fr=234 (0.1871), cf=0.886, gamma=1.052, delta=0.009, M=-4.167e+000
7 24 -> ~32 fr=166 (0.1327), cf=0.943, gamma=1.050, delta=0.006, M=-3.976e+000
23 -> ~34 fr=745 (0.5955), cf=0.992, gamma=1.006, delta=0.004, M=-3.942e+000
18 23 26 29 -> ~32 fr=187 (0.1495), cf=0.940, gamma=1.046, delta=0.007, M=-3.917e+000
7 -> ~35 fr=466 (0.3725), cf=1.000, gamma=1.006, delta=0.002, M=-3.741e+000
20 23 -> ~32 fr=674 (0.5388), cf=0.913, gamma=1.016, delta=0.009, M=-3.720e+000
30 -> ~34 fr=221 (0.1767), cf=1.000, gamma=1.015, delta=0.003, M=-3.525e+000
18 23 -> ~32 fr=273 (0.2182), cf=0.929, gamma=1.033, delta=0.007, M=-3.521e+000
2 12 20 -> ~32 fr=197 (0.1575), cf=0.934, gamma=1.039, delta=0.006, M=-3.290e+000
20 -> ~32 fr=1074 (0.8585), cf=0.903, gamma=1.004, delta=0.004, M=-3.275e+000
2 12 -> ~32 fr=207 (0.1655), cf=0.932, gamma=1.038, delta=0.006, M=-3.271e+000
15 -> ~34 fr=1054 (0.8425), cf=0.989, gamma=1.003, delta=0.003, M=-3.264e+000
6 -> ~35 fr=416 (0.3325), cf=1.000, gamma=1.006, delta=0.002, M=-3.245e+000
7 -> ~33 fr=458 (0.3661), cf=0.983, gamma=1.012, delta=0.004, M=-3.231e+000
12 -> 31 fr=490 (0.3917), cf=0.863, gamma=1.024, delta=0.009, M=-3.133e+000
23 -> ~32 fr=684 (0.5468), cf=0.911, gamma=1.014, delta=0.007, M=-3.034e+000
12 19 -> ~34 fr=292 (0.2334), cf=0.997, gamma=1.011, delta=0.003, M=-2.953e+000
15 -> ~37 fr=1065 (0.8513), cf=0.999, gamma=1.001, delta=0.001, M=-2.831e+000
12 -> ~35 fr=567 (0.4532), cf=0.998, gamma=1.005, delta=0.002, M=-2.816e+000
11 -> ~35 fr=351 (0.2806), cf=1.000, gamma=1.006, delta=0.002, M=-2.643e+000
27 -> ~37 fr=1216 (0.9720), cf=0.998, gamma=1.001, delta=0.001, M=-2.562e+000
15 19 -> ~35 fr=526 (0.4205), cf=0.998, gamma=1.005, delta=0.002, M=-2.463e+000
18 -> ~36 fr=566 (0.4524), cf=1.000, gamma=1.003, delta=0.001, M=-2.413e+000
7 -> ~32 fr=426 (0.3405), cf=0.914, gamma=1.017, delta=0.006, M=-2.377e+000
15 -> ~35 fr=1061 (0.8481), cf=0.995, gamma=1.002, delta=0.001, M=-2.292e+000
1 -> ~36 fr=540 (0.4317), cf=1.000, gamma=1.003, delta=0.001, M=-2.264e+000
15 -> ~36 fr=1064 (0.8505), cf=0.998, gamma=1.001, delta=0.001, M=-2.240e+000
