27 52 56 -> ~96 fr=16626 (0.3782), cf=0.966, gamma=1.270, delta=0.080, M=-4.009e+003
27 52 56 -> 97 fr=16626 (0.3782), cf=0.966, gamma=1.270, delta=0.080, M=-4.009e+003
27 52 -> ~96 fr=16800 (0.3822), cf=0.964, gamma=1.267, delta=0.080, M=-3.953e+003
27 52 -> 97 fr=16800 (0.3822), cf=0.964, gamma=1.267, delta=0.080, M=-3.953e+003
43 51 -> 96 fr=7972 (0.1814), cf=0.451, gamma=1.885, delta=0.085, M=-3.662e+003
43 51 -> ~97 fr=7972 (0.1814), cf=0.451, gamma=1.885, delta=0.085, M=-3.662e+003
27 56 -> ~96 fr=16765 (0.3814), cf=0.951, gamma=1.250, delta=0.076, M=-3.440e+003
27 56 -> 97 fr=16765 (0.3814), cf=0.951, gamma=1.250, delta=0.076, M=-3.440e+003
27 -> ~96 fr=16939 (0.3853), cf=0.948, gamma=1.247, delta=0.076, M=-3.401e+003
27 -> 97 fr=16939 (0.3853), cf=0.948, gamma=1.247, delta=0.076, M=-3.401e+003
23 52 56 -> ~96 fr=26127 (0.5943), cf=0.876, gamma=1.152, delta=0.078, M=-3.246e+003
23 52 56 -> 97 fr=26127 (0.5943), cf=0.876, gamma=1.152, delta=0.078, M=-3.246e+003
42 52 56 -> ~96 fr=12242 (0.2785), cf=0.978, gamma=1.286, delta=0.062, M=-3.034e+003
42 52 56 -> 97 fr=12242 (0.2785), cf=0.978, gamma=1.286, delta=0.062, M=-3.034e+003
42 52 -> ~96 fr=12314 (0.2801), cf=0.976, gamma=1.283, delta=0.062, M=-2.978e+003
42 52 -> 97 fr=12314 (0.2801), cf=0.976, gamma=1.283, delta=0.062, M=-2.978e+003
52 56 -> ~96 fr=32613 (0.7419), cf=0.814, gamma=1.070, delta=0.049, M=-2.948e+003
52 56 -> 97 fr=32613 (0.7419), cf=0.814, gamma=1.070, delta=0.049, M=-2.948e+003
23 52 -> ~96 fr=26414 (0.6009), cf=0.867, gamma=1.140, delta=0.074, M=-2.929e+003
23 52 -> 97 fr=26414 (0.6009), cf=0.867, gamma=1.140, delta=0.074, M=-2.929e+003
42 56 -> ~96 fr=12329 (0.2805), cf=0.969, gamma=1.274, delta=0.060, M=-2.754e+003
42 56 -> 97 fr=12329 (0.2805), cf=0.969, gamma=1.274, delta=0.060, M=-2.754e+003
42 -> ~96 fr=12401 (0.2821), cf=0.967, gamma=1.271, delta=0.060, M=-2.708e+003
42 -> 97 fr=12401 (0.2821), cf=0.967, gamma=1.271, delta=0.060, M=-2.708e+003
24 51 -> 96 fr=4710 (0.1071), cf=0.550, gamma=2.297, delta=0.060, M=-2.495e+003
24 51 -> ~97 fr=4710 (0.1071), cf=0.550, gamma=2.297, delta=0.060, M=-2.495e+003
23 56 -> ~96 fr=26431 (0.6013), cf=0.854, gamma=1.122, delta=0.066, M=-2.341e+003
23 56 -> 97 fr=26431 (0.6013), cf=0.854, gamma=1.122, delta=0.066, M=-2.341e+003
52 -> ~96 fr=33007 (0.7509), cf=0.798, gamma=1.048, delta=0.035, M=-2.177e+003
23 -> ~96 fr=26718 (0.6078), cf=0.846, gamma=1.112, delta=0.061, M=-2.077e+003
23 -> 97 fr=26718 (0.6078), cf=0.846, gamma=1.112, delta=0.061, M=-2.077e+003
50 56 -> ~96 fr=12926 (0.2940), cf=0.898, gamma=1.181, delta=0.045, M=-1.245e+003
50 56 -> 97 fr=12926 (0.2940), cf=0.898, gamma=1.181, delta=0.045, M=-1.245e+003
50 -> ~96 fr=13036 (0.2965), cf=0.891, gamma=1.172, delta=0.043, M=-1.141e+003
50 -> 97 fr=13036 (0.2965), cf=0.891, gamma=1.172, delta=0.043, M=-1.141e+003
