27 52 56 -> ~96 fr=16575 (0.3771), cf=0.966, gamma=1.269, delta=0.080, M=-3.956e+003
27 52 56 -> 97 fr=16575 (0.3771), cf=0.966, gamma=1.269, delta=0.080, M=-3.956e+003
27 52 -> ~96 fr=16754 (0.3811), cf=0.963, gamma=1.266, delta=0.080, M=-3.906e+003
27 52 -> 97 fr=16754 (0.3811), cf=0.963, gamma=1.266, delta=0.080, M=-3.906e+003
43 51 -> 96 fr=7978 (0.1815), cf=0.449, gamma=1.878, delta=0.085, M=-3.635e+003
43 51 -> ~97 fr=7978 (0.1815), cf=0.449, gamma=1.878, delta=0.085, M=-3.635e+003
27 56 -> ~96 fr=16729 (0.3806), cf=0.951, gamma=1.250, delta=0.076, M=-3.431e+003
27 56 -> 97 fr=16729 (0.3806), cf=0.951, gamma=1.250, delta=0.076, M=-3.431e+003
27 -> ~96 fr=16908 (0.3846), cf=0.949, gamma=1.247, delta=0.076, M=-3.396e+003
27 -> 97 fr=16908 (0.3846), cf=0.949, gamma=1.247, delta=0.076, M=-3.396e+003
23 52 56 -> ~96 fr=26110 (0.5940), cf=0.876, gamma=1.152, delta=0.078, M=-3.242e+003
23 52 56 -> 97 fr=26110 (0.5940), cf=0.876, gamma=1.152, delta=0.078, M=-3.242e+003
42 52 56 -> ~96 fr=12230 (0.2782), cf=0.978, gamma=1.285, delta=0.062, M=-3.016e+003
42 52 56 -> 97 fr=12230 (0.2782), cf=0.978, gamma=1.285, delta=0.062, M=-3.016e+003
42 52 -> ~96 fr=12303 (0.2799), cf=0.976, gamma=1.283, delta=0.062, M=-2.974e+003
42 52 -> 97 fr=12303 (0.2799), cf=0.976, gamma=1.283, delta=0.062, M=-2.974e+003
23 52 -> ~96 fr=26400 (0.6006), cf=0.867, gamma=1.140, delta=0.074, M=-2.925e+003
23 52 -> 97 fr=26400 (0.6006), cf=0.867, gamma=1.140, delta=0.074, M=-2.925e+003
52 56 -> ~96 fr=32592 (0.7414), cf=0.814, gamma=1.070, delta=0.048, M=-2.893e+003
52 56 -> 97 fr=32592 (0.7414), cf=0.814, gamma=1.070, delta=0.048, M=-2.893e+003
42 56 -> ~96 fr=12324 (0.2804), cf=0.968, gamma=1.273, delta=0.060, M=-2.740e+003
42 56 -> 97 fr=12324 (0.2804), cf=0.968, gamma=1.273, delta=0.060, M=-2.740e+003
42 -> ~96 fr=12397 (0.2820), cf=0.967, gamma=1.271, delta=0.060, M=-2.707e+003
42 -> 97 fr=12397 (0.2820), cf=0.967, gamma=1.271, delta=0.060, M=-2.707e+003
24 51 -> 96 fr=4735 (0.1077), cf=0.551, gamma=2.301, delta=0.061, M=-2.522e+003
24 51 -> ~97 fr=4735 (0.1077), cf=0.551, gamma=2.301, delta=0.061, M=-2.522e+003
23 56 -> ~96 fr=26426 (0.6012), cf=0.854, gamma=1.122, delta=0.066, M=-2.338e+003
23 56 -> 97 fr=26426 (0.6012), cf=0.854, gamma=1.122, delta=0.066, M=-2.338e+003
52 -> ~96 fr=32991 (0.7505), cf=0.797, gamma=1.048, delta=0.034, M=-2.111e+003
23 -> ~96 fr=26716 (0.6077), cf=0.846, gamma=1.112, delta=0.061, M=-2.075e+003
23 -> 97 fr=26716 (0.6077), cf=0.846, gamma=1.112, delta=0.061, M=-2.075e+003
50 56 -> ~96 fr=12882 (0.2930), cf=0.898, gamma=1.181, delta=0.045, M=-1.242e+003
50 56 -> 97 fr=12882 (0.2930), cf=0.898, gamma=1.181, delta=0.045, M=-1.242e+003
50 -> ~96 fr=12994 (0.2956), cf=0.892, gamma=1.173, delta=0.044, M=-1.147e+003
50 -> 97 fr=12994 (0.2956), cf=0.892, gamma=1.173, delta=0.044, M=-1.147e+003
31 56 -> ~96 fr=6142 (0.1397), cf=0.955, gamma=1.256, delta=0.028, M=-1.032e+003
31 56 -> 97 fr=6142 (0.1397), cf=0.955, gamma=1.256, delta=0.028, M=-1.032e+003
31 61 -> ~96 fr=6127 (0.1394), cf=0.954, gamma=1.254, delta=0.028, M=-1.010e+003
31 61 -> 97 fr=6127 (0.1394), cf=0.954, gamma=1.254, delta=0.028, M=-1.010e+003
31 -> 97 fr=6182 (0.1406), cf=0.953, gamma=1.253, delta=0.028, M=-1.009e+003
44 56 -> ~96 fr=9984 (0.2271), cf=0.902, gamma=1.186, delta=0.036, M=-9.311e+002
44 56 -> 97 fr=9984 (0.2271), cf=0.902, gamma=1.186, delta=0.036, M=-9.311e+002
44 -> ~96 fr=10155 (0.2310), cf=0.899, gamma=1.181, delta=0.035, M=-9.086e+002
44 -> 97 fr=10155 (0.2310), cf=0.899, gamma=1.181, delta=0.035, M=-9.086e+002
16 56 61 -> ~96 fr=5331 (0.1213), cf=0.949, gamma=1.248, delta=0.024, M=-8.203e+002
16 56 61 -> 97 fr=5331 (0.1213), cf=0.949, gamma=1.248, delta=0.024, M=-8.203e+002
16 56 -> ~96 fr=5393 (0.1227), cf=0.948, gamma=1.246, delta=0.024, M=-8.182e+002
16 56 -> 97 fr=5393 (0.1227), cf=0.948, gamma=1.246, delta=0.024, M=-8.182e+002
