27 52 56 -> ~96 fr=16556 (0.3766), cf=0.966, gamma=1.270, delta=0.080, M=-3.964e+003
27 52 56 -> 97 fr=16556 (0.3766), cf=0.966, gamma=1.270, delta=0.080, M=-3.964e+003
27 52 -> ~96 fr=16732 (0.3806), cf=0.963, gamma=1.266, delta=0.080, M=-3.910e+003
27 52 -> 97 fr=16732 (0.3806), cf=0.963, gamma=1.266, delta=0.080, M=-3.910e+003
43 51 -> 96 fr=7955 (0.1810), cf=0.449, gamma=1.876, delta=0.084, M=-3.605e+003
43 51 -> ~97 fr=7955 (0.1810), cf=0.449, gamma=1.876, delta=0.084, M=-3.605e+003
27 56 -> ~96 fr=16701 (0.3799), cf=0.951, gamma=1.250, delta=0.076, M=-3.425e+003
27 56 -> 97 fr=16701 (0.3799), cf=0.951, gamma=1.250, delta=0.076, M=-3.425e+003
27 -> ~96 fr=16877 (0.3839), cf=0.949, gamma=1.247, delta=0.076, M=-3.387e+003
27 -> 97 fr=16877 (0.3839), cf=0.949, gamma=1.247, delta=0.076, M=-3.387e+003
23 52 56 -> ~96 fr=26119 (0.5942), cf=0.875, gamma=1.151, delta=0.078, M=-3.192e+003
23 52 56 -> 97 fr=26119 (0.5942), cf=0.875, gamma=1.151, delta=0.078, M=-3.192e+003
42 52 56 -> ~96 fr=12187 (0.2772), cf=0.978, gamma=1.286, delta=0.062, M=-3.013e+003
42 52 56 -> 97 fr=12187 (0.2772), cf=0.978, gamma=1.286, delta=0.062, M=-3.013e+003
42 52 -> ~96 fr=12254 (0.2788), cf=0.976, gamma=1.283, delta=0.061, M=-2.958e+003
42 52 -> 97 fr=12254 (0.2788), cf=0.976, gamma=1.283, delta=0.061, M=-2.958e+003
52 56 -> ~96 fr=32627 (0.7422), cf=0.814, gamma=1.070, delta=0.048, M=-2.927e+003
52 56 -> 97 fr=32627 (0.7422), cf=0.814, gamma=1.070, delta=0.048, M=-2.927e+003
23 52 -> ~96 fr=26399 (0.6006), cf=0.866, gamma=1.138, delta=0.073, M=-2.849e+003
23 52 -> 97 fr=26399 (0.6006), cf=0.866, gamma=1.138, delta=0.073, M=-2.849e+003
42 56 -> ~96 fr=12278 (0.2793), cf=0.969, gamma=1.274, delta=0.060, M=-2.738e+003
42 56 -> 97 fr=12278 (0.2793), cf=0.969, gamma=1.274, delta=0.060, M=-2.738e+003
42 -> ~96 fr=12345 (0.2808), cf=0.967, gamma=1.271, delta=0.060, M=-2.692e+003
42 -> 97 fr=12345 (0.2808), cf=0.967, gamma=1.271, delta=0.060, M=-2.692e+003
24 51 -> 96 fr=4662 (0.1061), cf=0.545, gamma=2.279, delta=0.060, M=-2.420e+003
24 51 -> ~97 fr=4662 (0.1061), cf=0.545, gamma=2.279, delta=0.060, M=-2.420e+003
23 56 -> ~96 fr=26416 (0.6009), cf=0.853, gamma=1.121, delta=0.065, M=-2.292e+003
23 56 -> 97 fr=26416 (0.6009), cf=0.853, gamma=1.121, delta=0.065, M=-2.292e+003
52 -> ~96 fr=33017 (0.7511), cf=0.797, gamma=1.048, delta=0.034, M=-2.143e+003
23 -> ~96 fr=26696 (0.6073), cf=0.844, gamma=1.109, delta=0.060, M=-2.007e+003
23 -> 97 fr=26696 (0.6073), cf=0.844, gamma=1.109, delta=0.060, M=-2.007e+003
50 56 -> ~96 fr=12886 (0.2931), cf=0.897, gamma=1.179, delta=0.044, M=-1.210e+003
50 56 -> 97 fr=12886 (0.2931), cf=0.897, gamma=1.179, delta=0.044, M=-1.210e+003
9 51 -> 96 fr=8912 (0.2027), cf=0.304, gamma=1.269, delta=0.043, M=-1.113e+003
9 51 -> ~97 fr=8912 (0.2027), cf=0.304, gamma=1.269, delta=0.043, M=-1.113e+003
50 -> ~96 fr=12996 (0.2956), cf=0.890, gamma=1.170, delta=0.043, M=-1.112e+003
50 -> 97 fr=12996 (0.2956), cf=0.890, gamma=1.170, delta=0.043, M=-1.112e+003
31 56 61 -> ~96 fr=6108 (0.1390), cf=0.954, gamma=1.255, delta=0.028, M=-1.014e+003
31 56 61 -> 97 fr=6108 (0.1390), cf=0.954, gamma=1.255, delta=0.028, M=-1.014e+003
31 56 -> ~96 fr=6165 (0.1402), cf=0.953, gamma=1.253, delta=0.028, M=-1.013e+003
31 56 -> 97 fr=6165 (0.1402), cf=0.953, gamma=1.253, delta=0.028, M=-1.013e+003
31 61 -> ~96 fr=6147 (0.1398), cf=0.952, gamma=1.251, delta=0.028, M=-9.876e+002
31 61 -> 97 fr=6147 (0.1398), cf=0.952, gamma=1.251, delta=0.028, M=-9.876e+002
31 -> 97 fr=6204 (0.1411), cf=0.951, gamma=1.249, delta=0.028, M=-9.857e+002
44 56 61 -> ~96 fr=9927 (0.2258), cf=0.903, gamma=1.187, delta=0.036, M=-9.347e+002
44 56 61 -> 97 fr=9927 (0.2258), cf=0.903, gamma=1.187, delta=0.036, M=-9.347e+002
44 56 -> ~96 fr=10036 (0.2283), cf=0.902, gamma=1.185, delta=0.036, M=-9.335e+002
44 56 -> 97 fr=10036 (0.2283), cf=0.902, gamma=1.185, delta=0.036, M=-9.335e+002
44 61 -> ~96 fr=10100 (0.2298), cf=0.900, gamma=1.183, delta=0.035, M=-9.145e+002
44 61 -> 97 fr=10100 (0.2298), cf=0.900, gamma=1.183, delta=0.035, M=-9.145e+002
44 -> ~96 fr=10211 (0.2323), cf=0.898, gamma=1.181, delta=0.036, M=-9.110e+002
44 -> 97 fr=10211 (0.2323), cf=0.898, gamma=1.181, delta=0.036, M=-9.110e+002
16 56 61 -> ~96 fr=5310 (0.1208), cf=0.948, gamma=1.247, delta=0.024, M=-8.082e+002
16 56 61 -> 97 fr=5310 (0.1208), cf=0.948, gamma=1.247, delta=0.024, M=-8.082e+002
16 56 -> ~96 fr=5379 (0.1224), cf=0.947, gamma=1.245, delta=0.024, M=-8.047e+002
16 56 -> 97 fr=5379 (0.1224), cf=0.947, gamma=1.245, delta=0.024, M=-8.047e+002
16 61 -> ~96 fr=5357 (0.1219), cf=0.945, gamma=1.242, delta=0.024, M=-7.832e+002
16 61 -> 97 fr=5357 (0.1219), cf=0.945, gamma=1.242, delta=0.024, M=-7.832e+002
16 -> 97 fr=5426 (0.1234), cf=0.943, gamma=1.240, delta=0.024, M=-7.772e+002
56 -> ~96 fr=33050 (0.7519), cf=0.775, gamma=1.019, delta=0.014, M=-6.797e+002
26 61 -> ~96 fr=5331 (0.1213), cf=0.900, gamma=1.183, delta=0.019, M=-4.307e+002
26 61 -> 97 fr=5331 (0.1213), cf=0.900, gamma=1.183, delta=0.019, M=-4.307e+002
26 -> 97 fr=5390 (0.1226), cf=0.898, gamma=1.181, delta=0.019, M=-4.261e+002
17 61 -> ~96 fr=11830 (0.2691), cf=0.843, gamma=1.108, delta=0.026, M=-4.048e+002
17 61 -> 97 fr=11830 (0.2691), cf=0.843, gamma=1.108, delta=0.026, M=-4.048e+002
17 -> ~96 fr=11981 (0.2726), cf=0.841, gamma=1.106, delta=0.026, M=-3.992e+002
17 -> 97 fr=11981 (0.2726), cf=0.841, gamma=1.106, delta=0.026, M=-3.992e+002
9 45 66 -> 96 fr=8976 (0.2042), cf=0.259, gamma=1.083, delta=0.016, M=-1.904e+002
9 45 66 -> ~97 fr=8976 (0.2042), cf=0.259, gamma=1.083, delta=0.016, M=-1.904e+002
45 66 -> 96 fr=8977 (0.2042), cf=0.259, gamma=1.083, delta=0.016, M=-1.901e+002
45 66 -> ~97 fr=8977 (0.2042), cf=0.259, gamma=1.083, delta=0.016, M=-1.901e+002
9 45 -> 96 fr=9541 (0.2170), cf=0.254, gamma=1.061, delta=0.013, M=-1.690e+002
9 45 -> ~97 fr=9541 (0.2170), cf=0.254, gamma=1.061, delta=0.013, M=-1.690e+002
45 -> ~97 fr=9542 (0.2171), cf=0.254, gamma=1.061, delta=0.012, M=-1.687e+002
2 61 -> ~96 fr=23730 (0.5398), cf=0.784, gamma=1.031, delta=0.016, M=-1.457e+002
2 61 -> 97 fr=23730 (0.5398), cf=0.784, gamma=1.031, delta=0.016, M=-1.457e+002
2 -> ~96 fr=23905 (0.5438), cf=0.783, gamma=1.029, delta=0.015, M=-1.320e+002
2 -> 97 fr=23905 (0.5438), cf=0.783, gamma=1.029, delta=0.015, M=-1.320e+002
15 61 -> ~96 fr=7841 (0.1784), cf=0.810, gamma=1.065, delta=0.011, M=-8.937e+001
15 61 -> 97 fr=7841 (0.1784), cf=0.810, gamma=1.065, delta=0.011, M=-8.937e+001
15 -> 97 fr=7911 (0.1800), cf=0.808, gamma=1.062, delta=0.011, M=-8.340e+001
9 66 -> 96 fr=9611 (0.2186), cf=0.244, gamma=1.018, delta=0.004, M=-2.332e+001
9 66 -> ~97 fr=9611 (0.2186), cf=0.244, gamma=1.018, delta=0.004, M=-2.332e+001
66 -> ~97 fr=9612 (0.2187), cf=0.244, gamma=1.018, delta=0.004, M=-2.296e+001
61 -> ~96 fr=33047 (0.7518), cf=0.762, gamma=1.002, delta=0.001, M=-1.746e+001
