27 52 56 -> ~96 fr=16536 (0.3762), cf=0.965, gamma=1.269, delta=0.080, M=-3.929e+003
27 52 56 -> 97 fr=16536 (0.3762), cf=0.965, gamma=1.269, delta=0.080, M=-3.929e+003
27 52 -> ~96 fr=16714 (0.3802), cf=0.962, gamma=1.265, delta=0.080, M=-3.875e+003
27 52 -> 97 fr=16714 (0.3802), cf=0.962, gamma=1.265, delta=0.080, M=-3.875e+003
43 51 -> 96 fr=7970 (0.1813), cf=0.449, gamma=1.877, delta=0.085, M=-3.623e+003
43 51 -> ~97 fr=7970 (0.1813), cf=0.449, gamma=1.877, delta=0.085, M=-3.623e+003
27 56 -> ~96 fr=16684 (0.3796), cf=0.951, gamma=1.250, delta=0.076, M=-3.415e+003
27 56 -> 97 fr=16684 (0.3796), cf=0.951, gamma=1.250, delta=0.076, M=-3.415e+003
27 -> ~96 fr=16862 (0.3836), cf=0.948, gamma=1.247, delta=0.076, M=-3.375e+003
27 -> 97 fr=16862 (0.3836), cf=0.948, gamma=1.247, delta=0.076, M=-3.375e+003
23 52 56 -> ~96 fr=26127 (0.5944), cf=0.875, gamma=1.151, delta=0.078, M=-3.199e+003
23 52 56 -> 97 fr=26127 (0.5944), cf=0.875, gamma=1.151, delta=0.078, M=-3.199e+003
42 52 56 -> ~96 fr=12161 (0.2767), cf=0.979, gamma=1.286, delta=0.062, M=-3.019e+003
42 52 56 -> 97 fr=12161 (0.2767), cf=0.979, gamma=1.286, delta=0.062, M=-3.019e+003
42 52 -> ~96 fr=12235 (0.2783), cf=0.976, gamma=1.283, delta=0.061, M=-2.959e+003
42 52 -> 97 fr=12235 (0.2783), cf=0.976, gamma=1.283, delta=0.061, M=-2.959e+003
52 56 -> ~96 fr=32613 (0.7419), cf=0.814, gamma=1.070, delta=0.048, M=-2.928e+003
52 56 -> 97 fr=32613 (0.7419), cf=0.814, gamma=1.070, delta=0.048, M=-2.928e+003
23 52 -> ~96 fr=26419 (0.6010), cf=0.866, gamma=1.138, delta=0.073, M=-2.862e+003
23 52 -> 97 fr=26419 (0.6010), cf=0.866, gamma=1.138, delta=0.073, M=-2.862e+003
42 56 -> ~96 fr=12247 (0.2786), cf=0.969, gamma=1.274, delta=0.060, M=-2.743e+003
42 56 -> 97 fr=12247 (0.2786), cf=0.969, gamma=1.274, delta=0.060, M=-2.743e+003
42 -> ~96 fr=12321 (0.2803), cf=0.967, gamma=1.271, delta=0.060, M=-2.693e+003
42 -> 97 fr=12321 (0.2803), cf=0.967, gamma=1.271, delta=0.060, M=-2.693e+003
24 51 -> 96 fr=4671 (0.1063), cf=0.547, gamma=2.288, delta=0.060, M=-2.447e+003
24 51 -> ~97 fr=4671 (0.1063), cf=0.547, gamma=2.288, delta=0.060, M=-2.447e+003
23 56 -> ~96 fr=26423 (0.6011), cf=0.853, gamma=1.121, delta=0.065, M=-2.294e+003
23 56 -> 97 fr=26423 (0.6011), cf=0.853, gamma=1.121, delta=0.065, M=-2.294e+003
52 -> ~96 fr=33010 (0.7510), cf=0.797, gamma=1.048, delta=0.034, M=-2.141e+003
23 -> ~96 fr=26715 (0.6078), cf=0.844, gamma=1.110, delta=0.060, M=-2.014e+003
23 -> 97 fr=26715 (0.6078), cf=0.844, gamma=1.110, delta=0.060, M=-2.014e+003
50 56 -> ~96 fr=12892 (0.2933), cf=0.898, gamma=1.180, delta=0.045, M=-1.233e+003
50 56 -> 97 fr=12892 (0.2933), cf=0.898, gamma=1.180, delta=0.045, M=-1.233e+003
50 -> ~96 fr=13007 (0.2959), cf=0.892, gamma=1.172, delta=0.043, M=-1.138e+003
50 -> 97 fr=13007 (0.2959), cf=0.892, gamma=1.172, delta=0.043, M=-1.138e+003
31 56 -> ~96 fr=6172 (0.1404), cf=0.955, gamma=1.256, delta=0.029, M=-1.035e+003
31 56 -> 97 fr=6172 (0.1404), cf=0.955, gamma=1.256, delta=0.029, M=-1.035e+003
31 -> 97 fr=6214 (0.1414), cf=0.953, gamma=1.252, delta=0.028, M=-1.013e+003
44 56 61 -> ~96 fr=9930 (0.2259), cf=0.903, gamma=1.186, delta=0.036, M=-9.333e+002
44 56 61 -> 97 fr=9930 (0.2259), cf=0.903, gamma=1.186, delta=0.036, M=-9.333e+002
44 56 -> ~96 fr=10036 (0.2283), cf=0.902, gamma=1.185, delta=0.036, M=-9.325e+002
44 56 -> 97 fr=10036 (0.2283), cf=0.902, gamma=1.185, delta=0.036, M=-9.325e+002
44 61 -> ~96 fr=10099 (0.2297), cf=0.900, gamma=1.183, delta=0.035, M=-9.154e+002
