1 5 23 27 -> ~38 fr=338 (0.4891), cf=0.807, gamma=1.258, delta=0.100, M=-6.634e+001
1 5 23 27 -> 37 fr=338 (0.4891), cf=0.807, gamma=1.258, delta=0.100, M=-6.634e+001
1 5 23 -> ~38 fr=358 (0.5181), cf=0.787, gamma=1.227, delta=0.096, M=-6.347e+001
1 5 23 -> 37 fr=358 (0.5181), cf=0.787, gamma=1.227, delta=0.096, M=-6.347e+001
1 5 9 19 27 -> ~38 fr=334 (0.4834), cf=0.803, gamma=1.252, delta=0.097, M=-6.231e+001
1 5 9 19 27 -> 37 fr=334 (0.4834), cf=0.803, gamma=1.252, delta=0.097, M=-6.231e+001
1 5 9 27 -> ~38 fr=336 (0.4863), cf=0.800, gamma=1.248, delta=0.097, M=-6.150e+001
1 5 9 27 -> 37 fr=336 (0.4863), cf=0.800, gamma=1.248, delta=0.097, M=-6.150e+001
1 5 9 19 -> ~38 fr=355 (0.5137), cf=0.785, gamma=1.225, delta=0.094, M=-6.117e+001
1 5 9 19 -> 37 fr=355 (0.5137), cf=0.785, gamma=1.225, delta=0.094, M=-6.117e+001
5 23 27 -> ~38 fr=362 (0.5239), cf=0.780, gamma=1.217, delta=0.093, M=-6.117e+001
5 23 27 -> 37 fr=362 (0.5239), cf=0.780, gamma=1.217, delta=0.093, M=-6.117e+001
1 5 19 27 -> ~38 fr=341 (0.4935), cf=0.795, gamma=1.240, delta=0.095, M=-6.065e+001
1 5 19 27 -> 37 fr=341 (0.4935), cf=0.795, gamma=1.240, delta=0.095, M=-6.065e+001
1 5 9 -> ~38 fr=357 (0.5166), cf=0.783, gamma=1.221, delta=0.094, M=-6.053e+001
1 5 9 -> 37 fr=357 (0.5166), cf=0.783, gamma=1.221, delta=0.094, M=-6.053e+001
5 23 -> ~38 fr=384 (0.5557), cf=0.762, gamma=1.188, delta=0.088, M=-6.020e+001
5 23 -> 37 fr=384 (0.5557), cf=0.762, gamma=1.188, delta=0.088, M=-6.020e+001
1 5 27 -> ~38 fr=343 (0.4964), cf=0.792, gamma=1.236, delta=0.095, M=-5.991e+001
1 5 27 -> 37 fr=343 (0.4964), cf=0.792, gamma=1.236, delta=0.095, M=-5.991e+001
1 5 19 -> ~38 fr=363 (0.5253), cf=0.777, gamma=1.212, delta=0.092, M=-5.981e+001
1 5 19 -> 37 fr=363 (0.5253), cf=0.777, gamma=1.212, delta=0.092, M=-5.981e+001
1 5 -> ~38 fr=365 (0.5282), cf=0.775, gamma=1.209, delta=0.091, M=-5.925e+001
1 5 -> 37 fr=365 (0.5282), cf=0.775, gamma=1.209, delta=0.091, M=-5.925e+001
5 9 27 -> ~38 fr=360 (0.5210), cf=0.773, gamma=1.205, delta=0.089, M=-5.546e+001
5 9 27 -> 37 fr=360 (0.5210), cf=0.773, gamma=1.205, delta=0.089, M=-5.546e+001
5 -> ~38 fr=392 (0.5673), cf=0.748, gamma=1.167, delta=0.081, M=-5.486e+001
8 -> 38 fr=90 (0.1302), cf=0.744, gamma=2.072, delta=0.067, M=-4.794e+001
1 9 19 23 27 32 -> ~38 fr=326 (0.4718), cf=0.731, gamma=1.140, delta=0.058, M=-2.407e+001
1 9 19 23 27 32 -> 37 fr=326 (0.4718), cf=0.731, gamma=1.140, delta=0.058, M=-2.407e+001
1 19 23 27 32 -> ~38 fr=332 (0.4805), cf=0.728, gamma=1.136, delta=0.057, M=-2.398e+001
1 19 23 27 32 -> 37 fr=332 (0.4805), cf=0.728, gamma=1.136, delta=0.057, M=-2.398e+001
1 9 23 27 32 -> ~38 fr=334 (0.4834), cf=0.726, gamma=1.133, delta=0.057, M=-2.352e+001
1 9 23 27 32 -> 37 fr=334 (0.4834), cf=0.726, gamma=1.133, delta=0.057, M=-2.352e+001
1 23 27 32 -> ~38 fr=340 (0.4920), cf=0.723, gamma=1.128, delta=0.056, M=-2.350e+001
1 23 27 32 -> 37 fr=340 (0.4920), cf=0.723, gamma=1.128, delta=0.056, M=-2.350e+001
1 9 19 23 27 -> ~38 fr=359 (0.5195), cf=0.714, gamma=1.113, delta=0.053, M=-2.288e+001
1 9 19 23 27 -> 37 fr=359 (0.5195), cf=0.714, gamma=1.113, delta=0.053, M=-2.288e+001
1 19 23 27 -> ~38 fr=367 (0.5311), cf=0.710, gamma=1.107, delta=0.051, M=-2.271e+001
1 19 23 27 -> 37 fr=367 (0.5311), cf=0.710, gamma=1.107, delta=0.051, M=-2.271e+001
1 14 19 23 32 -> ~38 fr=325 (0.4703), cf=0.722, gamma=1.127, delta=0.053, M=-2.044e+001
1 14 19 23 32 -> 37 fr=325 (0.4703), cf=0.722, gamma=1.127, delta=0.053, M=-2.044e+001
1 9 14 19 27 32 -> ~38 fr=302 (0.4370), cf=0.731, gamma=1.141, delta=0.054, M=-2.027e+001
1 9 14 19 27 32 -> 37 fr=302 (0.4370), cf=0.731, gamma=1.141, delta=0.054, M=-2.027e+001
1 9 23 27 -> ~38 fr=367 (0.5311), cf=0.704, gamma=1.099, delta=0.048, M=-2.010e+001
1 9 23 27 -> 37 fr=367 (0.5311), cf=0.704, gamma=1.099, delta=0.048, M=-2.010e+001
1 23 27 -> ~38 fr=375 (0.5427), cf=0.701, gamma=1.093, delta=0.046, M=-2.002e+001
1 23 27 -> 37 fr=375 (0.5427), cf=0.701, gamma=1.093, delta=0.046, M=-2.002e+001
1 19 23 32 -> ~38 fr=355 (0.5137), cf=0.709, gamma=1.105, delta=0.049, M=-1.979e+001
1 19 23 32 -> 37 fr=355 (0.5137), cf=0.709, gamma=1.105, delta=0.049, M=-1.979e+001
1 9 19 27 32 -> ~38 fr=332 (0.4805), cf=0.717, gamma=1.118, delta=0.051, M=-1.953e+001
1 9 19 27 32 -> 37 fr=332 (0.4805), cf=0.717, gamma=1.118, delta=0.051, M=-1.953e+001
1 14 19 27 32 -> ~38 fr=308 (0.4457), cf=0.726, gamma=1.133, delta=0.052, M=-1.945e+001
1 14 19 27 32 -> 37 fr=308 (0.4457), cf=0.726, gamma=1.133, delta=0.052, M=-1.945e+001
1 23 32 -> ~38 fr=364 (0.5268), cf=0.704, gamma=1.098, delta=0.047, M=-1.938e+001
1 23 32 -> 37 fr=364 (0.5268), cf=0.704, gamma=1.098, delta=0.047, M=-1.938e+001
1 9 14 27 32 -> ~38 fr=307 (0.4443), cf=0.726, gamma=1.132, delta=0.052, M=-1.909e+001
1 9 14 27 32 -> 37 fr=307 (0.4443), cf=0.726, gamma=1.132, delta=0.052, M=-1.909e+001
1 9 19 27 -> ~38 fr=366 (0.5297), cf=0.702, gamma=1.096, delta=0.046, M=-1.903e+001
1 9 19 27 -> 37 fr=366 (0.5297), cf=0.702, gamma=1.096, delta=0.046, M=-1.903e+001
1 9 27 32 -> ~38 fr=341 (0.4935), cf=0.712, gamma=1.110, delta=0.049, M=-1.888e+001
1 9 27 32 -> 37 fr=341 (0.4935), cf=0.712, gamma=1.110, delta=0.049, M=-1.888e+001
