1 5 19 23 27 -> ~38 fr=340 (0.4920), cf=0.821, gamma=1.256, delta=0.100, M=-6.672e+001
1 5 19 23 27 -> 37 fr=340 (0.4920), cf=0.821, gamma=1.256, delta=0.100, M=-6.672e+001
1 5 23 27 -> ~38 fr=341 (0.4935), cf=0.820, gamma=1.253, delta=0.100, M=-6.623e+001
1 5 23 27 -> 37 fr=341 (0.4935), cf=0.820, gamma=1.253, delta=0.100, M=-6.623e+001
5 23 27 -> ~38 fr=367 (0.5311), cf=0.798, gamma=1.220, delta=0.096, M=-6.445e+001
5 23 27 -> 37 fr=367 (0.5311), cf=0.798, gamma=1.220, delta=0.096, M=-6.445e+001
1 5 9 19 27 -> ~38 fr=338 (0.4891), cf=0.818, gamma=1.251, delta=0.098, M=-6.413e+001
1 5 9 19 27 -> 37 fr=338 (0.4891), cf=0.818, gamma=1.251, delta=0.098, M=-6.413e+001
1 5 19 27 -> ~38 fr=345 (0.4993), cf=0.812, gamma=1.241, delta=0.097, M=-6.317e+001
1 5 19 27 -> 37 fr=345 (0.4993), cf=0.812, gamma=1.241, delta=0.097, M=-6.317e+001
1 5 9 27 -> ~38 fr=339 (0.4906), cf=0.815, gamma=1.246, delta=0.097, M=-6.248e+001
1 5 9 27 -> 37 fr=339 (0.4906), cf=0.815, gamma=1.246, delta=0.097, M=-6.248e+001
1 5 27 -> ~38 fr=346 (0.5007), cf=0.808, gamma=1.236, delta=0.096, M=-6.158e+001
1 5 27 -> 37 fr=346 (0.5007), cf=0.808, gamma=1.236, delta=0.096, M=-6.158e+001
1 5 19 23 -> ~38 fr=360 (0.5210), cf=0.798, gamma=1.220, delta=0.094, M=-6.144e+001
1 5 19 23 -> 37 fr=360 (0.5210), cf=0.798, gamma=1.220, delta=0.094, M=-6.144e+001
1 5 23 -> ~38 fr=361 (0.5224), cf=0.797, gamma=1.218, delta=0.094, M=-6.105e+001
1 5 23 -> 37 fr=361 (0.5224), cf=0.797, gamma=1.218, delta=0.094, M=-6.105e+001
5 23 -> ~38 fr=389 (0.5630), cf=0.776, gamma=1.187, delta=0.089, M=-6.102e+001
5 23 -> 37 fr=389 (0.5630), cf=0.776, gamma=1.187, delta=0.089, M=-6.102e+001
1 5 9 19 -> ~38 fr=359 (0.5195), cf=0.798, gamma=1.220, delta=0.094, M=-6.071e+001
1 5 9 19 -> 37 fr=359 (0.5195), cf=0.798, gamma=1.220, delta=0.094, M=-6.071e+001
5 9 19 27 -> ~38 fr=363 (0.5253), cf=0.794, gamma=1.214, delta=0.093, M=-6.031e+001
5 9 19 27 -> 37 fr=363 (0.5253), cf=0.794, gamma=1.214, delta=0.093, M=-6.031e+001
1 5 19 -> ~38 fr=367 (0.5311), cf=0.791, gamma=1.209, delta=0.092, M=-5.998e+001
1 5 19 -> 37 fr=367 (0.5311), cf=0.791, gamma=1.209, delta=0.092, M=-5.998e+001
5 19 27 -> ~38 fr=371 (0.5369), cf=0.788, gamma=1.204, delta=0.091, M=-5.971e+001
5 19 27 -> 37 fr=371 (0.5369), cf=0.788, gamma=1.204, delta=0.091, M=-5.971e+001
5 9 27 -> ~38 fr=365 (0.5282), cf=0.792, gamma=1.210, delta=0.092, M=-5.959e+001
5 9 27 -> 37 fr=365 (0.5282), cf=0.792, gamma=1.210, delta=0.092, M=-5.959e+001
1 5 9 -> ~38 fr=360 (0.5210), cf=0.795, gamma=1.215, delta=0.092, M=-5.922e+001
1 5 9 -> 37 fr=360 (0.5210), cf=0.795, gamma=1.215, delta=0.092, M=-5.922e+001
5 27 -> ~38 fr=373 (0.5398), cf=0.785, gamma=1.200, delta=0.090, M=-5.906e+001
5 27 -> 37 fr=373 (0.5398), cf=0.785, gamma=1.200, delta=0.090, M=-5.906e+001
1 5 -> ~38 fr=368 (0.5326), cf=0.788, gamma=1.205, delta=0.090, M=-5.854e+001
1 5 -> 37 fr=368 (0.5326), cf=0.788, gamma=1.205, delta=0.090, M=-5.854e+001
5 19 -> ~38 fr=395 (0.5716), cf=0.767, gamma=1.173, delta=0.084, M=-5.750e+001
5 19 -> 37 fr=395 (0.5716), cf=0.767, gamma=1.173, delta=0.084, M=-5.750e+001
